"","looker_id","Gender","ID","width_left_mm","width_horiz_left_mm","sc_width_left_mm","sc_width_horiz_left_mm","ir_width_left_mm","ir_width_horiz_left_mm","ir_width_alt_left_mm","width_right_mm","width_horiz_right_mm","sc_width_right_mm","sc_width_horiz_right_mm","ir_width_right_mm","ir_width_horiz_right_mm","ir_width_alt_right_mm","height_left_mm","sc_height_left_mm","ir_height_left_mm","height_right_mm","sc_height_right_mm","ir_height_right_mm","complete_area_left","complete_area_right","eye_opening_area_left","eye_opening_area_right","iris_pupil_area_left","iris_pupil_area_right","sclera_area_left","sclera_area_right","hac_left","hac_right","hrc_left","hrc_right","ril_left","ril_right","luminance_slope_left","luminance_slope_right","iris_centroid_y_left_mm","iris_centroid_y_right_mm","luminance_slope_abs_left","luminance_slope_abs_right","ir_width_left_alt_mm","ir_width_right_alt_mm","whr_left_mm","whr_right_mm","ssi_left_mm","ssi_left_alt_mm","ssi_right_mm","ssi_right_alt_mm","ssr_left","ssr_right"
"1","F01","f","01",27.0418724388678,27.039,24.1811289231913,24.185,12.2111065018695,12.129,NA,25.8642781650677,25.75,23.6264082966497,23.634,12.1144903731028,12.129,NA,9.64005823638741,9.59337687187164,9.72071839271783,9.43738369648825,9.34064220152204,9.32577139271618,167.471,155.99,161.237,151.066,96.53,94.348,64.707,56.718,122.255,122.29,105.292,95.8723,0.0896601536903556,0.0850049756455245,-17.2886557117403,-13.8575378478832,43.43,41.087,17.2886557117403,13.8575378478832,11.7404888845407,11.5505904568855,2.80515654322455,2.74061953999943,1.98025698322172,2.05963560470058,2.5294201176874,2.04547190767772,0.401316075094426,0.375451789284154
"2","F02","f","02",28.4769786669864,28.339,25.4485699598229,25.441,11.3415941119403,11.321,NA,28.8693176919719,28.768,24.7073264033161,24.727,11.2734763493787,11.236,NA,9.3320814074154,9.28250300367143,9.3431228126038,8.7405688408445,8.66275527818417,9.24748987931036,164.057,155.069,159.191,149.062,86.992,83.196,72.199,65.866,138.498,134.319,108.042,102.733,0.0251150873537652,0.0593512332450943,-18.2690937870993,-21.0947953638848,57.209,57.779,18.2690937870993,21.0947953638848,11.0798391998878,11.1710094989735,3.05151417178575,3.30291062488589,2.24382654754245,2.29683567610626,2.85213256174253,2.21173622720367,0.453536946184144,0.441869825978452
"3","F03","f","03",25.7064281844055,25.555,22.8628145686396,22.843,11.535177935342,11.536,NA,25.0068593989729,24.67,21.5002213244422,21.472,11.4491868706909,11.464,NA,9.62425997662669,9.59525125647145,9.37750933548141,9.77168579267432,9.64508087292469,9.40135769814214,160.373,164.421,154.739,153.838,85.228,85.487,69.511,68.351,127.35,104,112.37,96.4608,0.117530888151284,0.975621190811064,-18.0203763973397,0.086522462562396,60.018,59.736,18.0203763973397,0.086522462562396,10.9493335464482,11.0458682525015,2.67100309497413,2.5591141517997,1.98200796700254,2.08805535712775,2.22913852229035,1.94644919104238,0.449214483743594,0.444305048167553
"4","F04","f","04",26.3203367189708,26.273,23.2996201900374,23.315,11.8426905726697,11.829,NA,26.241379536907,26.073,22.7947178311117,22.801,12.062168503217,11.886,NA,8.23256407414863,8.23586743999742,8.35496867761226,8.40385341179712,8.36962419517578,8.67373814008823,141.866,143.423,134.505,134.734,81.638,83.096,52.867,51.638,114.313,122.398,111.339,105.21,0.0878966560014043,0.0571642055477241,-13.425370242052,12.1695815146604,57.482,56.445,13.425370242052,12.1695815146604,11.3746793674956,11.491992183535,3.19710074308686,3.12254132135027,1.96742624043625,2.04837599700776,2.72350553615662,1.98353057216402,0.39304858555444,0.383258865616697
"5","F05","f","05",25.8375259070988,25.805,22.780307833741,22.788,11.6636214787689,11.572,NA,26.3786415495567,26.261,23.5114784732904,23.514,11.67708953464,11.6,NA,9.35070786818763,9.29454183734433,10.369776022438,9.64445764889643,9.6337245163415,10.3973304903936,155.644,162.238,149.681,157.074,91.708,93.859,57.973,63.215,134.777,125.575,116.209,109.929,0.0474652456305259,0.0593351111643795,21.6679796144756,-17.8234333972039,56.091,54.282,21.6679796144756,17.8234333972039,11.2855580993761,11.4233368120108,2.76316256173519,2.73510885835816,1.95310760686186,2.01853622418553,2.44053880027484,2.05819708025853,0.387310346670586,0.402453620586475
"6","F07","f","07",24.9516858348289,24.966,22.5437360701371,22.509,12.1838071225705,12.023,NA,25.0178493480155,24.894,22.6601747786728,22.667,12.7001951559809,12.483,NA,8.2154905740418,8.18854161852659,8.26205439448997,9.09661434174132,8.98329190735984,9.29831944956046,134.995,151.439,130.764,145.95,82.262,91.832,48.502,54.118,107.59,106.28,112.129,107.949,0.116920425165182,0.0678419506205324,64.5682050051012,-8.89275643653828,56.441,53.6,64.5682050051012,8.89275643653828,11.0401878027278,11.3106891165103,3.03715105141351,2.75023744089237,1.85030309847689,2.04197034262107,2.522480067703,2.00343007797779,0.370912483558166,0.370798218568003
"7","F08","f","08",28.3101458314859,28.302,25.8188059367586,25.825,12.6480542772396,12.66,NA,28.5784029819722,28.432,25.4856033477726,25.465,12.6727506879919,12.66,NA,8.26517354527351,8.2523324527148,8.25482481630778,8.82398324140702,8.80840059616696,9.03908436504294,143.654,158.247,140.424,152.329,87.32,94.274,53.104,58.055,71.1796,138.148,112.613,106.828,0.233477348794535,0.0609267831773287,-9.86399855877829,-20.0659433236016,54.867,53.769,9.86399855877829,20.0659433236016,11.9946244944128,12.3440772924568,3.42523307906526,3.23871909092784,2.04132630765349,2.1525314067802,2.89332927919546,2.06460173117568,0.378168973964565,0.381115874193358
"8","F09","f","09",27.987168863606,27.964,24.1571539921407,24.149,11.2149374050861,11.229,NA,28.9358420129776,28.875,24.7830597182834,24.785,11.1380479887636,11.157,NA,10.3279919096074,10.2605972725651,9.57331853677611,10.04249182185,9.95737738320282,9.60466467471021,202.693,194.879,189.899,184.115,86.288,86.719,103.611,97.396,135.546,119.883,114.843,98.9091,0.0921049987608592,0.159777123633305,21.219844388434,-17.0336743393009,57.039,57.297,21.219844388434,17.0336743393009,10.0738091400179,10.5979408564168,2.70983644338175,2.88134085905059,2.15401594494724,2.398015850447,2.48891437619811,2.33847877187178,0.54561108799941,0.528995464791027
"9","F10","f","10",26.9965310734546,26.954,23.332509037821,23.34,11.5316583803025,11.496,NA,27.4980731870435,27.39,24.8017673966998,24.777,11.5883324943669,11.51,NA,10.4235126671312,10.4083009732169,9.50374668240372,9.10487848500031,9.0960652361784,8.96157834495896,184.514,165.447,176.093,160.101,87.599,81.377,88.494,78.724,101.721,108.365,90.7598,97.9359,0.196465811425683,0.155726784726496,15.5043592244848,-15.586255501539,60.814,58.515,15.5043592244848,15.586255501539,10.588637666607,10.0267818069065,2.58996481661923,3.02014719167804,2.02334376100457,2.2035421149034,2.72664792442935,2.47355212014448,0.502541270805767,0.491714605155496
"10","F11","f","11",24.1286069427972,24.132,22.0149082441876,22.017,11.7729460204318,11.704,NA,24.4335815221592,24.363,22.4089948458203,22.422,11.9858108194648,11.993,NA,7.90423538756743,7.87351435882356,7.84210215023144,8.21914323583418,8.18532097130493,8.20324319269515,117.337,122.81,112.916,118.635,76.788,80.762,36.128,37.873,103.756,94.3046,101.414,81.9687,0.0822276474542688,0.0985306671025627,-14.1007311570765,13.2062625159294,63.448,63.182,14.1007311570765,13.2062625159294,11.324475551788,11.5311872430636,3.05261745883087,2.97276502198339,1.86995746060341,1.94401128277519,2.73770508503929,1.94333804260269,0.319954656558858,0.319239684747334
