"","looker_id","Gender","ID","set","measure","value"
"1","F01","f","01","left","width_left_mm",27.0418724388678
"2","F01","f","01","right","width_left_mm",27.0418724388678
"3","F02","f","02","left","width_left_mm",28.4769786669864
"4","F02","f","02","right","width_left_mm",28.4769786669864
"5","F03","f","03","left","width_left_mm",25.7064281844055
"6","F03","f","03","right","width_left_mm",25.7064281844055
"7","F04","f","04","left","width_left_mm",26.3203367189708
"8","F04","f","04","right","width_left_mm",26.3203367189708
"9","F05","f","05","left","width_left_mm",25.8375259070988
"10","F05","f","05","right","width_left_mm",25.8375259070988
"11","F07","f","07","left","width_left_mm",24.9516858348289
"12","F07","f","07","right","width_left_mm",24.9516858348289
"13","F08","f","08","left","width_left_mm",28.3101458314859
"14","F08","f","08","right","width_left_mm",28.3101458314859
"15","F09","f","09","left","width_left_mm",27.987168863606
"16","F09","f","09","right","width_left_mm",27.987168863606
"17","F10","f","10","left","width_left_mm",26.9965310734546
"18","F10","f","10","right","width_left_mm",26.9965310734546
"19","F11","f","11","left","width_left_mm",24.1286069427972
"20","F11","f","11","right","width_left_mm",24.1286069427972
"21","F12","f","12","left","width_left_mm",26.5654240884651
"22","F12","f","12","right","width_left_mm",26.5654240884651
"23","F13","f","13","left","width_left_mm",26.7100006739049
"24","F13","f","13","right","width_left_mm",26.7100006739049
"25","F14","f","14","left","width_left_mm",28.0390888760673
"26","F14","f","14","right","width_left_mm",28.0390888760673
"27","F15","f","15","left","width_left_mm",27.0720166223353
"28","F15","f","15","right","width_left_mm",27.0720166223353
"29","F16","f","16","left","width_left_mm",26.4111080608141
"30","F16","f","16","right","width_left_mm",26.4111080608141
"31","F17","f","17","left","width_left_mm",26.2495612153803
"32","F17","f","17","right","width_left_mm",26.2495612153803
"33","F18","f","18","left","width_left_mm",29.1244238397947
"34","F18","f","18","right","width_left_mm",29.1244238397947
"35","F19","f","19","left","width_left_mm",25.1244884724048
"36","F19","f","19","right","width_left_mm",25.1244884724048
"37","F20","f","20","left","width_left_mm",28.6555262558551
"38","F20","f","20","right","width_left_mm",28.6555262558551
"39","F21","f","21","left","width_left_mm",22.6567884749803
"40","F21","f","21","right","width_left_mm",22.6567884749803
"41","F22","f","22","left","width_left_mm",27.5762101819666
"42","F22","f","22","right","width_left_mm",27.5762101819666
"43","F23","f","23","left","width_left_mm",26.988037720442
"44","F23","f","23","right","width_left_mm",26.988037720442
"45","F24","f","24","left","width_left_mm",26.6666252083011
"46","F24","f","24","right","width_left_mm",26.6666252083011
"47","F25","f","25","left","width_left_mm",27.8661724856501
"48","F25","f","25","right","width_left_mm",27.8661724856501
"49","F26","f","26","left","width_left_mm",24.5562819864897
"50","F26","f","26","right","width_left_mm",24.5562819864897
"51","F28","f","28","left","width_left_mm",27.7037550703871
"52","F28","f","28","right","width_left_mm",27.7037550703871
"53","M01","m","01","left","width_left_mm",29.1672674928592
"54","M01","m","01","right","width_left_mm",29.1672674928592
"55","M02","m","02","left","width_left_mm",28.556707390734
"56","M02","m","02","right","width_left_mm",28.556707390734
"57","M03","m","03","left","width_left_mm",27.4432285454901
"58","M03","m","03","right","width_left_mm",27.4432285454901
"59","M04","m","04","left","width_left_mm",27.9321015679093
"60","M04","m","04","right","width_left_mm",27.9321015679093
"61","M05","m","05","left","width_left_mm",26.9428836615534
"62","M05","m","05","right","width_left_mm",26.9428836615534
"63","M06","m","06","left","width_left_mm",27.6659938914184
"64","M06","m","06","right","width_left_mm",27.6659938914184
