"","looker_id","Gender","ID","set","measure","value"
"1","F01","f","01","left","width",27.0418724388678
"2","F01","f","01","right","width",25.8642781650677
"3","F02","f","02","left","width",28.4769786669864
"4","F02","f","02","right","width",28.8693176919719
"5","F03","f","03","left","width",25.7064281844055
"6","F03","f","03","right","width",25.0068593989729
"7","F04","f","04","left","width",26.3203367189708
"8","F04","f","04","right","width",26.241379536907
"9","F05","f","05","left","width",25.8375259070988
"10","F05","f","05","right","width",26.3786415495567
"11","F07","f","07","left","width",24.9516858348289
"12","F07","f","07","right","width",25.0178493480155
"13","F08","f","08","left","width",28.3101458314859
"14","F08","f","08","right","width",28.5784029819722
"15","F09","f","09","left","width",27.987168863606
"16","F09","f","09","right","width",28.9358420129776
"17","F10","f","10","left","width",26.9965310734546
"18","F10","f","10","right","width",27.4980731870435
"19","F11","f","11","left","width",24.1286069427972
"20","F11","f","11","right","width",24.4335815221592
"21","F12","f","12","left","width",26.5654240884651
"22","F12","f","12","right","width",25.7343836141455
"23","F13","f","13","left","width",26.7100006739049
"24","F13","f","13","right","width",25.7504917428775
"25","F14","f","14","left","width",28.0390888760673
"26","F14","f","14","right","width",26.3818425626415
"27","F15","f","15","left","width",27.0720166223353
"28","F15","f","15","right","width",26.6394279593237
"29","F16","f","16","left","width",26.4111080608141
"30","F16","f","16","right","width",26.8347666470197
"31","F17","f","17","left","width",26.2495612153803
"32","F17","f","17","right","width",25.7850889081267
"33","F18","f","18","left","width",29.1244238397947
"34","F18","f","18","right","width",27.8973315032101
"35","F19","f","19","left","width",25.1244884724048
"36","F19","f","19","right","width",26.7910398827668
"37","F20","f","20","left","width",28.6555262558551
"38","F20","f","20","right","width",28.4285922620168
"39","F21","f","21","left","width",22.6567884749803
"40","F21","f","21","right","width",24.5259256502176
"41","F22","f","22","left","width",27.5762101819666
"42","F22","f","22","right","width",26.8518864328002
"43","F23","f","23","left","width",26.988037720442
"44","F23","f","23","right","width",26.1640403798802
"45","F24","f","24","left","width",26.6666252083011
"46","F24","f","24","right","width",27.8084423511998
"47","F25","f","25","left","width",27.8661724856501
"48","F25","f","25","right","width",29.0770438834487
"49","F26","f","26","left","width",24.5562819864897
"50","F26","f","26","right","width",24.7316324168058
"51","F28","f","28","left","width",27.7037550703871
"52","F28","f","28","right","width",27.6199050686276
"53","M01","m","01","left","width",29.1672674928592
"54","M01","m","01","right","width",27.4225783069353
"55","M02","m","02","left","width",28.556707390734
"56","M02","m","02","right","width",28.4687470219537
"57","M03","m","03","left","width",27.4432285454901
"58","M03","m","03","right","width",26.5621732921085
"59","M04","m","04","left","width",27.9321015679093
"60","M04","m","04","right","width",27.6278509660089
"61","M05","m","05","left","width",26.9428836615534
"62","M05","m","05","right","width",27.3972198772065
"63","M06","m","06","left","width",27.6659938914184
"64","M06","m","06","right","width",27.2525786302874
"65","M07","m","07","left","width",25.1384532738194
"66","M07","m","07","right","width",25.7978506469047
"67","M08","m","08","left","width",25.468648727406
"68","M08","m","08","right","width",26.0170192181964
"69","M09","m","09","left","width",27.0708642085915
"70","M09","m","09","right","width",26.4254539601499
"71","M10","m","10","left","width",30.2464827872598
"72","M10","m","10","right","width",29.7591271713402
"73","M11","m","11","left","width",25.255881414039
"74","M11","m","11","right","width",26.066093397362
"75","M12","m","12","left","width",31.0681901790239
"76","M12","m","12","right","width",30.5932593392727
"77","M13","m","13","left","width",28.9374633304303
"78","M13","m","13","right","width",26.7404969662121
"79","M14","m","14","left","width",28.4756154279411
"80","M14","m","14","right","width",28.3568507595607
"81","F01","f","01","left","width_horiz",27.039
"82","F01","f","01","right","width_horiz",25.75
"83","F02","f","02","left","width_horiz",28.339
"84","F02","f","02","right","width_horiz",28.768
"85","F03","f","03","left","width_horiz",25.555
"86","F03","f","03","right","width_horiz",24.67
"87","F04","f","04","left","width_horiz",26.273
"88","F04","f","04","right","width_horiz",26.073
"89","F05","f","05","left","width_horiz",25.805
"90","F05","f","05","right","width_horiz",26.261
"91","F07","f","07","left","width_horiz",24.966
"92","F07","f","07","right","width_horiz",24.894
"93","F08","f","08","left","width_horiz",28.302
"94","F08","f","08","right","width_horiz",28.432
"95","F09","f","09","left","width_horiz",27.964
"96","F09","f","09","right","width_horiz",28.875
"97","F10","f","10","left","width_horiz",26.954
"98","F10","f","10","right","width_horiz",27.39
"99","F11","f","11","left","width_horiz",24.132
"100","F11","f","11","right","width_horiz",24.363
"101","F12","f","12","left","width_horiz",26.576
"102","F12","f","12","right","width_horiz",25.678
"103","F13","f","13","left","width_horiz",26.516
"104","F13","f","13","right","width_horiz",25.444
"105","F14","f","14","left","width_horiz",27.987
"106","F14","f","14","right","width_horiz",26.029
"107","F15","f","15","left","width_horiz",27.076
"108","F15","f","15","right","width_horiz",26.643
"109","F16","f","16","left","width_horiz",26.384
"110","F16","f","16","right","width_horiz",26.571
"111","F17","f","17","left","width_horiz",26.261
"112","F17","f","17","right","width_horiz",25.756
"113","F18","f","18","left","width_horiz",29.088
"114","F18","f","18","right","width_horiz",27.91
"115","F19","f","19","left","width_horiz",25.037
"116","F19","f","19","right","width_horiz",26.79
"117","F20","f","20","left","width_horiz",28.66
"118","F20","f","20","right","width_horiz",28.387
"119","F21","f","21","left","width_horiz",22.586
"120","F21","f","21","right","width_horiz",24.5
"121","F22","f","22","left","width_horiz",27.573
"122","F22","f","22","right","width_horiz",26.858
"123","F23","f","23","left","width_horiz",26.999
"124","F23","f","23","right","width_horiz",26.154
"125","F24","f","24","left","width_horiz",26.562
"126","F24","f","24","right","width_horiz",27.685
"127","F25","f","25","left","width_horiz",27.839
"128","F25","f","25","right","width_horiz",28.916
"129","F26","f","26","left","width_horiz",24.457
"130","F26","f","26","right","width_horiz",24.672
"131","F28","f","28","left","width_horiz",27.509
"132","F28","f","28","right","width_horiz",27.105
"133","M01","m","01","left","width_horiz",29.06
"134","M01","m","01","right","width_horiz",27.356
"135","M02","m","02","left","width_horiz",28.564
"136","M02","m","02","right","width_horiz",28.406
"137","M03","m","03","left","width_horiz",27.461
"138","M03","m","03","right","width_horiz",26.552
"139","M04","m","04","left","width_horiz",27.945
"140","M04","m","04","right","width_horiz",27.615
"141","M05","m","05","left","width_horiz",26.866
"142","M05","m","05","right","width_horiz",27.402
"143","M06","m","06","left","width_horiz",27.687
"144","M06","m","06","right","width_horiz",27.197
"145","M07","m","07","left","width_horiz",25.124
"146","M07","m","07","right","width_horiz",25.787
"147","M08","m","08","left","width_horiz",25.387
"148","M08","m","08","right","width_horiz",26.035
"149","M09","m","09","left","width_horiz",26.926
"150","M09","m","09","right","width_horiz",26.439
"151","M10","m","10","left","width_horiz",30.213
"152","M10","m","10","right","width_horiz",29.784
