"","looker_id","looker_id_seq","looker_gender","width_left_px","sc_width_left_px","ir_width_left_px","ir_width_alt_left_px","width_right_px","sc_width_right_px","ir_width_right_px","ir_width_alt_right_px","height_left_px","sc_height_left_px","ir_height_left_px","height_right_px","sc_height_right_px","ir_height_right_px","complete_area_left","complete_area_right","eye_opening_area_left","eye_opening_area_right","iris_pupil_area_left","iris_pupil_area_right","sclera_area_left","sclera_area_right","hac_left","hac_right","hrc_left","hrc_right","ril_left","ril_right","luminance_slope_left","luminance_slope_right","width_px","sc_width_px","ir_width_px","ir_width_alt_px","height_px","sc_height_px","ir_height_px","complete_area","eye_opening_area","iris_pupil_area","sclera_area","hac","hrc","ril","lum_slope","lum_slope_abs","whr_px","ssi_px","ssi_alt_px","ssr","hei_left_px","hei_right_px","hei_px","luminance_slope_abs_left","luminance_slope_abs_right","whr_left_px","whr_right_px","ssi_left_px","ssi_alt_left_px","ssi_right_px","ssi_alt_right_px","ssr_left","ssr_right"
"1","F01",1,"f",1866.14679699026,1665.3978928112,842.728260573953,808.616198356097,1784.88239087874,1623.38243105098,835.998683470853,795.945429780716,666.51205684192,663.609634434602,671.832400473348,651.393775138661,645.193008859925,643.160368712131,167.307,155.936,159.957,150.642,97.032,94.308,62.925,56.334,88.5514,111.337,96.873,85.717,2059.02503766411,1269.60353804655,-10.9712806026365,15.2145453551614,1866.14679699026,1665.3978928112,842.728260573953,808.616198356097,666.51205684192,663.609634434602,671.832400473348,167.307,159.957,97.032,62.925,99.9442,91.295,16.6431428785533,2.12163237626243,13.092912978899,2.7998695264906,1.97619798780328,2.0595653366788,39.3386972748926,21771.5002651775,21148.1867558118,21771.5002651775,10.9712806026365,15.2145453551614,2.7998695264906,2.74009740191145,1.97619798780328,2.0595653366788,2.51611906632334,2.03956498814024,39.3386972748926,37.3959453538854
"2","F02",2,"f",1994.67286566018,1768.83491247374,796.434709008215,771.982641675281,2022.12919354155,1734.10596337854,786.153317394261,777.789176099279,652.788896290517,650.309962528848,656.589548140821,612.171739123593,606.803990850036,651.506003970328,164.01,154.961,158.987,149.154,86.739,82.827,72.248,66.327,119.404,112.806,90.3153,88.6866,1202.56988344164,1590.61598443452,-16.1748012083283,-18.2033241891238,1994.67286566018,1768.83491247374,796.434709008215,771.982641675281,652.788896290517,650.309962528848,656.589548140821,164.01,158.987,86.739,72.248,116.105,89.50095,13.9659293393808,-17.189062698726,17.189062698726,3.0556170256494,2.22094151908126,2.29128845259421,45.4427091523206,25025.4413316875,27414.6618620553,25025.4413316875,16.1748012083283,18.2033241891238,3.0556170256494,3.30320572530268,2.22094151908126,2.29128845259421,2.85776954259864,2.22953213629858,45.4427091523206,44.4688040548695
"3","F03",3,"f",1800.44135733714,1601.32082213184,807.841363279326,765.194041784963,1751.42025475469,1501.19103402365,801.892118525303,756.874126040127,673.900205348674,671.942036035455,662.187661544571,684.260872045514,678.127926374517,658.380872578503,160.4,166.328,154.77,152.625,84.761,85.487,70.009,67.138,89.4784,90.4982,99.5116,98.8448,2557.72482552177,2452.48935196035,-12.9725842696629,18.6428939290938,1800.44135733714,1601.32082213184,807.841363279326,765.194041784963,673.900205348674,671.942036035455,662.187661544571,160.4,154.77,84.761,70.009,89.9883,99.1782,25.0510708874106,2.83515482971543,15.8077390993784,2.67167355499706,1.98222187538342,2.09269902101753,45.2342185178006,20944.5569633004,20098.1025963309,20944.5569633004,12.9725842696629,18.6428939290938,2.67167355499706,2.5595797250821,1.98222187538342,2.09269902101753,2.21372837725396,1.98340910644905,45.2342185178006,43.9888615888616
"4","F04",4,"f",1842.32675434218,1630.93912927276,828.891648094611,795.575192559299,1836.77629595577,1556.35819433863,844.313129980815,800.393266778475,575.724758302854,576.318893323329,585.03344676812,588.266506588083,586.019526042798,606.120197362517,141.974,143.41,134.267,134.332,81.6,83.096,52.667,51.236,88.0238,79.7829,101.062,94.2317,1616.97256443662,1776.21352618363,13.5414980847038,-13.2334090795999,1842.32675434218,1630.93912927276,828.891648094611,795.575192559299,575.724758302854,576.318893323329,585.03344676812,141.974,134.267,81.6,52.667,83.90335,97.64685,16.9659304531013,0.154044502551929,13.3874535821519,3.20001307529847,1.96761438364331,2.05001255007232,39.2255729255886,25279.2411371744,25114.9924171828,25279.2411371744,13.5414980847038,13.2334090795999,3.20001307529847,3.1223540272741,1.96761438364331,2.05001255007232,2.65581286147275,1.94449186285994,39.2255729255886,38.1413215019504
"5","F05",5,"f",1815.23932235532,1600.48084219868,819.3980139035,793.41361777803,1853.26838971505,1651.82583133513,820.383503394601,802.445326766782,656.959019882742,652.587672304155,727.07583723468,677.560297384507,676.806045257111,726.426548492827,155.576,162.235,149.616,156.94,91.646,93.839,57.97,63.101,92.5617,86.5737,105.672,104.294,1636.76431125194,1642.85217834513,13.1110937986912,12.1163438392207,1815.23932235532,1600.48084219868,819.3980139035,793.41361777803,656.959019882742,652.587672304155,727.07583723468,155.576,149.616,91.646,57.97,89.5677,104.983,16.3980824479854,12.613718818956,12.613718818956,2.76309368989152,1.95323983588172,2.01720868704127,38.7458560581756,22023.67258465,21884.8204684402,22023.67258465,13.1110937986912,12.1163438392207,2.76309368989152,2.7352080646829,1.95323983588172,2.01720868704127,2.44061920384831,2.05849018772491,38.7458560581756,40.2070855103861
"6","F07",6,"f",1737.20713669297,1561.6102484631,848.167470756807,764.383390745946,1741.65194328258,1539.49893926076,884.137248861849,791.819780894884,571.830854128605,570.054232025303,574.959171039299,633.170641226337,624.942204738127,647.562154172082,135,151.439,130.613,145.127,82.37,91.908,48.243,53.219,79.6298,72.9831,90.7041,90.5873,1727.09204944849,1784.80895820764,12.3462796719227,-8.42585836662126,1737.20713669297,1561.6102484631,848.167470756807,764.383390745946,571.830854128605,570.054232025303,574.959171039299,135,130.613,82.37,48.243,76.30645,90.6457,17.5595050382806,1.96021065265073,10.386069019272,3.03797377170256,1.84115791079526,2.04296726926413,36.9358333397135,23105.5762885547,20901.3587515762,23105.5762885547,12.3462796719227,8.42585836662126,3.03797377170256,2.75068335434713,1.84115791079526,2.04296726926413,2.46342610178787,1.94425420582557,36.9358333397135,36.6706401978956
"7","F08",7,"f",1965.44532089906,1760.5601825865,878.108367982563,822.558811495956,1984.14524386724,1769.39042769565,879.822460448129,857.019786494889,575.905915697508,574.624332763545,571.560028712967,615.213006373507,614.075932395598,630.026666782221,143.066,158.404,139.986,152.486,87.316,94.375,52.67,58.111,71.1796,69.8333,70.2814,61.7451,2334.77348794535,2278.71600329933,-9.86399855877829,-10.4490812784295,1965.44532089906,1760.5601825865,878.108367982563,822.558811495956,575.905915697508,574.624332763545,571.560028712967,143.066,139.986,87.316,52.67,70.50645,66.01325,23.0674474562234,-10.1565399186039,10.1565399186039,3.41278890757461,2.00494636741858,2.14034566037246,37.6251910905376,27595.4403257754,25817.664236461,27595.4403257754,9.86399855877829,10.4490812784295,3.41278890757461,3.22513539751569,2.00494636741858,2.14034566037246,2.88138703106797,2.06458527046645,37.6251910905376,38.1090723082775
"8","F09",8,"f",1936.53632531745,1671.53689271909,775.968472094711,697.045433834059,2002.23355033822,1698.79181612639,770.669388032248,732.420237859715,714.626538681217,709.96188401986,662.551208308859,694.770958179521,689.065905502236,664.404981463058,202.693,194.878,189.899,182.832,86.288,86.719,103.611,96.113,96.7385,99.8268,104.833,92.7556,2538.85079244125,2085.47924700629,13.7169088975541,-14.7596362829896,1936.53632531745,1671.53689271909,775.968472094711,697.045433834059,714.626538681217,709.96188401986,662.551208308859,202.693,189.899,86.288,103.611,98.28265,98.7943,23.1216501972377,-0.521363692717761,14.2382725902718,2.70985783552226,2.15412990711699,2.39803147913171,54.561108799941,19748.2500659508,21926.9011447668,19748.2500659508,13.7169088975541,14.7596362829896,2.70985783552226,2.88186131957011,2.15412990711699,2.39803147913171,2.46535462364547,2.31942227742179,54.561108799941,52.5690251159535
"9","F10",9,"f",1859.92926859599,1607.46302217936,794.302975611321,728.940144469142,1894.27247985104,1708.94206027589,798.358894649517,690.279647061313,729.364125954172,728.479741572476,651.281217484553,627.25536583684,626.621247975452,617.543623758144,185.442,165.446,177.026,159.621,86.863,81.377,90.163,78.244,74.7303,76.7522,74.7303,85.0279,2906.71604957021,2677.37885344874,11.0959776685623,-12.5901709261507,1859.92926859599,1607.46302217936,794.302975611321,728.940144469142,729.364125954172,728.479741572476,651.281217484553,185.442,177.026,86.863,90.163,75.74125,79.8791,27.9204745150947,-0.747096628794227,11.8430742973565,2.5500695776102,2.02374040074847,2.20520578318541,50.9320664761109,19541.4056928361,22479.9257486233,19541.4056928361,11.0959776685623,12.5901709261507,2.5500695776102,3.01993826282192,2.02374040074847,2.20520578318541,2.72723286322847,2.47572424821052,50.9320664761109,49.0186128391628
"10","F11",10,"f",1665.66046489703,1513.28832500486,812.752692356045,782.796741984835,1686.85131075059,1547.06353726665,827.442628339271,795.511833992432,545.592431972092,543.510726012197,541.36960526523,567.491735257711,565.088647460822,566.257143289202,117.333,122.809,112.998,118.635,76.788,80.762,36.21,37.873,68.7268,56.1687,76.2728,63.3737,1682.21256428038,1830.87468530614,-9.54684743502479,-4.98431108074292,1665.66046489703,1513.28832500486,812.752692356045,782.796741984835,545.592431972092,543.510726012197,541.36960526523,117.333,112.998,76.788,36.21,62.44775,69.82325,17.5654362479326,-7.26557925788386,7.26557925788386,3.05293909388801,1.86192963645321,1.93318168541148,32.044814952477,24552.8662836599,23985.0579051798,24552.8662836599,9.54684743502479,4.98431108074292,3.05293909388801,2.9724685064965,1.86192963645321,1.93318168541148,2.73773600694024,1.94473981550018,32.044814952477,31.9239684747334
