"","looker_id","names_x","X","names_y","Y"
"1",1,"width_left_x1",4294.751,"width_left_y1",3149.631
"2",2,"width_left_x1",4634.176,"width_left_y1",4257.096
"3",3,"width_left_x1",4749.279,"width_left_y1",4417.033
"4",4,"width_left_x1",4659.181,"width_left_y1",4200.004
"5",5,"width_left_x1",4802.392,"width_left_y1",4135.188
"6",6,"width_left_x1",4605.115,"width_left_y1",4069.078
"7",7,"width_left_x1",5199.003,"width_left_y1",3965.328
"8",8,"width_left_x1",5041.789,"width_left_y1",4178.71
"9",9,"width_left_x1",4675.211,"width_left_y1",4394.989
"10",10,"width_left_x1",4935.025,"width_left_y1",4549.803
"11",11,"width_left_x1",4551.066,"width_left_y1",4463.101
"12",12,"width_left_x1",4721.263,"width_left_y1",4721.282
"13",13,"width_left_x1",4660.118,"width_left_y1",4417.572
"14",14,"width_left_x1",5053.039,"width_left_y1",4070.612
"15",15,"width_left_x1",4729.382,"width_left_y1",4508.583
"16",16,"width_left_x1",4655.461,"width_left_y1",4208.953
"17",17,"width_left_x1",4734.381,"width_left_y1",4150.404
"18",18,"width_left_x1",4923.47,"width_left_y1",3845.673
"19",19,"width_left_x1",5086.021,"width_left_y1",3983.176
"20",20,"width_left_x1",4842.952,"width_left_y1",4565.51
"21",21,"width_left_x1",4920.39,"width_left_y1",4329.22
"22",22,"width_left_x1",4872.068,"width_left_y1",4357.531
"23",23,"width_left_x1",4906.038,"width_left_y1",4464.855
"24",24,"width_left_x1",4733.221,"width_left_y1",4113.786
"25",25,"width_left_x1",4715.576,"width_left_y1",4218.373
"26",26,"width_left_x1",5011.002,"width_left_y1",4635.24
"27",27,"width_left_x1",4514.192,"width_left_y1",4081.361
"28",28,"width_left_x1",4835.668,"width_left_y1",3561.802
"29",29,"width_left_x1",5240.097,"width_left_y1",4003.614
"30",30,"width_left_x1",5038.193,"width_left_y1",4083.931
"31",31,"width_left_x1",4787.411,"width_left_y1",3782.762
"32",32,"width_left_x1",4520.038,"width_left_y1",3888.359
"33",33,"width_left_x1",4754.22,"width_left_y1",4000.069
"34",34,"width_left_x1",5199.32,"width_left_y1",4128.914
"35",35,"width_left_x1",4447.897,"width_left_y1",4510.41
"36",36,"width_left_x1",4742.034,"width_left_y1",3875.125
"37",37,"width_left_x1",4959.701,"width_left_y1",3956.837
"38",38,"width_left_x1",4640.842,"width_left_y1",3893.727
"39",39,"width_left_x1",4728.036,"width_left_y1",3903.839
"40",40,"width_left_x1",4895.733,"width_left_y1",4361.002
"41",1,"width_left_x2",2429.765,"width_left_y2",3083.82
"42",2,"width_left_x2",2650.981,"width_left_y2",4043.42
"43",3,"width_left_x2",2961.08,"width_left_y2",4207.43
"44",4,"width_left_x2",2822.124,"width_left_y2",4060.758
"45",5,"width_left_x2",2990.697,"width_left_y2",4021.808
"46",6,"width_left_x2",2867.939,"width_left_y2",4058.677
"47",7,"width_left_x2",3235.065,"width_left_y2",3888.368
"48",8,"width_left_x2",3107.054,"width_left_y2",4095.203
"49",9,"width_left_x2",2819.833,"width_left_y2",4264.953
"50",10,"width_left_x2",3270.685,"width_left_y2",4483.492
"51",11,"width_left_x2",2717.877,"width_left_y2",4400.112
"52",12,"width_left_x2",2892.342,"width_left_y2",4494.026
"53",13,"width_left_x2",2746.221,"width_left_y2",4284.026
"54",14,"width_left_x2",3176.254,"width_left_y2",4071.731
"55",15,"width_left_x2",2899.717,"width_left_y2",4404.43
"56",16,"width_left_x2",2836.809,"width_left_y2",4166.756
"57",17,"width_left_x2",2710.23,"width_left_y2",4038.958
"58",18,"width_left_x2",3181.709,"width_left_y2",3686.322
"59",19,"width_left_x2",3097.58,"width_left_y2",3906.232
"60",20,"width_left_x2",3275.721,"width_left_y2",4419.862
"61",21,"width_left_x2",2993.553,"width_left_y2",4255.926
"62",22,"width_left_x2",3038.779,"width_left_y2",4307.718
"63",23,"width_left_x2",3062.724,"width_left_y2",4283.633
"64",24,"width_left_x2",2795.029,"width_left_y2",3994.622
"65",25,"width_left_x2",3010.44,"width_left_y2",4055.385
"66",26,"width_left_x2",3104.51,"width_left_y2",4403.379
"67",27,"width_left_x2",2502.661,"width_left_y2",3891.645
"68",28,"width_left_x2",2846.228,"width_left_y2",3547.536
"69",29,"width_left_x2",3338.661,"width_left_y2",3993.011
"70",30,"width_left_x2",3088.692,"width_left_y2",4034.447
"71",31,"width_left_x2",2938.677,"width_left_y2",3649.713
"72",32,"width_left_x2",2598.686,"width_left_y2",3862.605
"73",33,"width_left_x2",3012.451,"width_left_y2",4085.209
"74",34,"width_left_x2",3438.551,"width_left_y2",3972.688
"75",35,"width_left_x2",2569.463,"width_left_y2",4302.253
"76",36,"width_left_x2",2630.305,"width_left_y2",3998.526
"77",37,"width_left_x2",3190.61,"width_left_y2",3943.483
"78",38,"width_left_x2",2477.402,"width_left_y2",4000.143
"79",39,"width_left_x2",2712.104,"width_left_y2",4003.996
"80",40,"width_left_x2",2921.82,"width_left_y2",4167.446
"81",1,"width_right_x1",8387.505,"width_right_y1",2881.97
"82",2,"width_right_x1",8972.313,"width_right_y1",4090.188
"83",3,"width_right_x1",9024.893,"width_right_y1",4160.724
"84",4,"width_right_x1",8776.266,"width_right_y1",3959.253
"85",5,"width_right_x1",8858.002,"width_right_y1",3852.233
"86",6,"width_right_x1",8564.981,"width_right_y1",3812.941
"87",7,"width_right_x1",9409.247,"width_right_y1",3737.501
"88",8,"width_right_x1",9412.451,"width_right_y1",4073.572
"89",9,"width_right_x1",8710.319,"width_right_y1",4101.719
