Distance_(mm),Gray_Value
0.0000,111.4486
0.0145,110.9232
0.0290,110.2869
0.0435,110.0284
0.0580,109.8418
0.0725,109.7745
0.0869,109.7061
0.1014,109.8243
0.1159,110.0299
0.1304,110.0938
0.1449,109.7869
0.1594,109.4621
0.1739,109.5135
0.1884,109.3842
0.2029,108.9042
0.2174,108.4227
0.2318,107.9556
0.2463,107.7540
0.2608,107.5818
0.2753,107.3997
0.2898,107.1951
0.3043,106.9870
0.3188,106.6173
0.3333,106.4755
0.3478,106.4536
0.3623,106.8199
0.3768,107.0838
0.3912,107.2555
0.4057,107.3458
0.4202,107.5439
0.4347,107.6861
0.4492,107.9012
0.4637,108.1088
0.4782,108.3912
0.4927,108.3204
0.5072,108.0743
0.5217,107.6796
0.5362,107.4401
0.5506,107.2345
0.5651,107.2081
0.5796,107.1866
0.5941,107.0788
0.6086,106.9276
0.6231,107.2425
0.6376,107.5948
0.6521,107.9915
0.6666,108.1352
0.6811,108.2605
0.6955,108.3224
0.7100,108.2739
0.7245,108.1013
0.7390,107.9795
0.7535,107.6527
0.7680,107.5055
0.7825,107.5474
0.7970,107.9865
0.8115,107.9017
0.8260,107.8997
0.8405,107.9761
0.8549,108.0025
0.8694,108.0724
0.8839,108.1931
0.8984,108.1263
0.9129,107.9042
0.9274,107.7430
0.9419,107.8219
0.9564,107.9361
0.9709,107.9611
0.9854,107.7829
0.9998,107.8049
1.0143,107.7779
1.0288,107.7156
1.0433,107.4371
1.0578,107.3867
1.0723,107.1317
1.0868,107.1712
1.1013,107.4007
1.1158,107.5753
1.1303,107.3528
1.1448,107.2819
1.1592,107.2036
1.1737,107.1218
1.1882,107.0539
1.2027,107.0359
1.2172,106.7730
1.2317,106.7211
1.2462,106.8673
1.2607,107.0200
1.2752,106.7420
1.2897,106.4915
1.3042,106.4172
1.3186,106.4371
1.3331,106.3792
1.3476,106.3842
1.3621,106.2824
1.3766,106.0454
1.3911,105.8723
1.4056,106.2360
1.4201,106.3184
1.4346,106.1771
1.4491,106.0439
1.4635,106.1267
1.4780,106.2969
1.4925,106.4566
1.5070,106.3583
1.5215,106.2390
1.5360,106.2625
1.5505,106.5235
1.5650,106.5763
1.5795,106.5699
1.5940,106.3882
1.6085,106.1906
1.6229,106.1956
1.6374,106.0489
1.6519,106.0813
1.6664,106.0734
1.6809,105.7500
1.6954,105.5818
1.7099,105.4361
1.7244,105.4421
1.7389,105.1871
1.7534,105.0808
1.7678,105.2360
1.7823,105.5120
1.7968,105.5848
1.8113,105.7325
1.8258,105.5973
1.8403,105.5215
1.8548,105.7216
1.8693,105.8847
1.8838,105.9935
1.8983,105.9187
1.9128,105.8962
1.9272,105.8363
1.9417,105.9296
1.9562,106.0664
1.9707,105.8024
1.9852,105.4641
1.9997,105.2660
2.0142,105.5569
2.0287,105.9426
2.0432,106.2575
2.0577,106.4172
2.0722,106.6302
2.0866,106.7934
2.1011,107.0329
2.1156,107.3079
2.1301,107.6602
2.1446,107.6941
2.1591,107.7390
2.1736,108.0354
2.1881,108.4172
2.2026,108.3423
2.2171,108.3867
