X_px,Y_px,X_mm,Y_mm
3417.000,3685.000,48.784,52.610
3419.051,3684.939,48.813,52.609
3421.135,3684.886,48.843,52.608
3423.251,3684.838,48.873,52.608
3425.397,3684.797,48.904,52.607
3427.572,3684.761,48.935,52.606
3429.773,3684.730,48.966,52.606
3431.999,3684.706,48.998,52.606
3434.249,3684.686,49.030,52.605
3436.521,3684.670,49.062,52.605
3438.813,3684.660,49.095,52.605
3441.124,3684.653,49.128,52.605
3443.452,3684.650,49.161,52.605
3445.796,3684.651,49.195,52.605
3448.154,3684.656,49.228,52.605
3450.523,3684.664,49.262,52.605
3452.904,3684.674,49.296,52.605
3455.294,3684.687,49.330,52.605
3457.692,3684.703,49.365,52.606
3460.095,3684.720,49.399,52.606
3462.502,3684.740,49.433,52.606
3464.913,3684.760,49.468,52.606
3467.324,3684.783,49.502,52.607
3469.735,3684.806,49.537,52.607
3472.144,3684.830,49.571,52.607
3474.549,3684.855,49.605,52.608
3476.949,3684.880,49.640,52.608
3479.342,3684.904,49.674,52.608
3481.726,3684.929,49.708,52.609
3484.100,3684.953,49.742,52.609
3486.462,3684.976,49.775,52.610
3488.812,3684.998,49.809,52.610
3491.146,3685.019,49.842,52.610
3493.466,3685.040,49.875,52.610
3495.774,3685.060,49.908,52.611
3498.070,3685.082,49.941,52.611
3500.356,3685.105,49.974,52.611
3502.632,3685.131,50.006,52.612
3504.901,3685.161,50.039,52.612
3507.163,3685.194,50.071,52.613
3509.419,3685.233,50.103,52.613
3511.670,3685.278,50.135,52.614
3513.919,3685.329,50.167,52.615
3516.166,3685.388,50.199,52.615
3518.412,3685.455,50.232,52.616
3520.658,3685.531,50.264,52.617
3522.906,3685.618,50.296,52.619
3525.157,3685.715,50.328,52.620
3527.412,3685.823,50.360,52.622
3529.672,3685.944,50.392,52.623
3531.938,3686.078,50.425,52.625
3534.212,3686.227,50.457,52.627
3536.495,3686.389,50.490,52.630
3538.788,3686.568,50.522,52.632
3541.093,3686.763,50.555,52.635
3543.409,3686.975,50.588,52.638
3545.740,3687.206,50.622,52.641
3548.085,3687.455,50.655,52.645
3550.446,3687.723,50.689,52.649
3552.825,3688.013,50.723,52.653
3555.222,3688.323,50.757,52.657
3557.638,3688.656,50.792,52.662
3560.076,3689.011,50.826,52.667
3562.535,3689.390,50.861,52.673
3565.014,3689.792,50.897,52.678
3567.511,3690.215,50.932,52.684
3570.024,3690.659,50.968,52.691
3572.551,3691.122,51.004,52.697
3575.089,3691.603,51.041,52.704
3577.638,3692.102,51.077,52.711
3580.195,3692.617,51.114,52.719
3582.757,3693.147,51.150,52.726
3585.323,3693.691,51.187,52.734
3587.892,3694.249,51.223,52.742
3590.460,3694.818,51.260,52.750
3593.026,3695.398,51.297,52.758
3595.588,3695.989,51.333,52.767
3598.144,3696.588,51.370,52.775
3600.691,3697.194,51.406,52.784
3603.229,3697.808,51.442,52.793
3605.754,3698.427,51.478,52.802
3608.266,3699.051,51.514,52.810
3610.760,3699.678,51.550,52.819
3613.238,3700.308,51.585,52.828
3615.694,3700.939,51.620,52.837
3618.129,3701.571,51.655,52.846
3620.539,3702.202,51.690,52.855
3622.923,3702.831,51.724,52.864
3625.279,3703.458,51.757,52.873
3627.605,3704.080,51.790,52.882
3629.898,3704.697,51.823,52.891
3632.158,3705.309,51.855,52.900
3634.381,3705.913,51.887,52.908
3636.566,3706.510,51.918,52.917
3638.710,3707.097,51.949,52.925
3640.813,3707.674,51.979,52.934
3642.871,3708.240,52.008,52.942
3644.885,3708.794,52.037,52.950
3646.857,3709.339,52.065,52.957
3648.790,3709.875,52.093,52.965
3650.685,3710.405,52.120,52.973
3652.547,3710.929,52.147,52.980
3654.376,3711.449,52.173,52.987
3656.176,3711.967,52.198,52.995
3657.948,3712.484,52.224,53.002
3659.697,3713.002,52.249,53.010
3661.423,3713.522,52.273,53.017
3663.129,3714.045,52.298,53.025
3664.818,3714.574,52.322,53.032
3666.493,3715.109,52.346,53.040
3668.156,3715.652,52.369,53.047
3669.808,3716.205,52.393,53.055
3671.454,3716.768,52.416,53.063
3673.094,3717.344,52.440,53.072
3674.733,3717.935,52.463,53.080
3676.371,3718.540,52.487,53.089
3678.012,3719.163,52.510,53.098
3679.659,3719.803,52.534,53.107
3681.312,3720.464,52.557,53.116
3682.977,3721.147,52.581,53.126
3684.653,3721.852,52.605,53.136
