X_px,Y_px,X_mm,Y_mm
8286.874,3871.996,118.310,55.280
8285.691,3872.001,118.293,55.280
8284.508,3872.006,118.276,55.280
8283.323,3872.012,118.259,55.280
8282.138,3872.019,118.242,55.280
8280.950,3872.027,118.225,55.280
8279.760,3872.036,118.208,55.280
8278.568,3872.046,118.191,55.280
8277.373,3872.058,118.174,55.280
8276.175,3872.070,118.157,55.281
8274.974,3872.084,118.140,55.281
8273.768,3872.099,118.123,55.281
8272.559,3872.115,118.105,55.281
8271.344,3872.134,118.088,55.282
8270.124,3872.154,118.071,55.282
8268.899,3872.175,118.053,55.282
8267.669,3872.198,118.035,55.282
8266.432,3872.223,118.018,55.283
8265.188,3872.250,118.000,55.283
8263.938,3872.279,117.982,55.284
8262.681,3872.310,117.964,55.284
8261.415,3872.343,117.946,55.285
8260.142,3872.379,117.928,55.285
8258.860,3872.417,117.910,55.286
8257.572,3872.457,117.891,55.286
8256.276,3872.499,117.873,55.287
8254.975,3872.544,117.854,55.287
8253.667,3872.592,117.836,55.288
8252.354,3872.642,117.817,55.289
8251.037,3872.695,117.798,55.290
8249.715,3872.751,117.779,55.290
8248.390,3872.810,117.760,55.291
8247.062,3872.872,117.741,55.292
8245.731,3872.938,117.722,55.293
8244.399,3873.006,117.703,55.294
8243.065,3873.077,117.684,55.295
8241.731,3873.152,117.665,55.296
8240.396,3873.230,117.646,55.297
8239.062,3873.312,117.627,55.298
8237.729,3873.397,117.608,55.300
8236.397,3873.486,117.589,55.301
8235.067,3873.578,117.570,55.302
8233.740,3873.675,117.551,55.304
8232.416,3873.775,117.532,55.305
8231.096,3873.879,117.513,55.306
8229.779,3873.988,117.495,55.308
8228.469,3874.100,117.476,55.310
8227.161,3874.216,117.457,55.311
8225.859,3874.337,117.439,55.313
8224.562,3874.461,117.420,55.315
8223.268,3874.589,117.402,55.317
8221.977,3874.721,117.383,55.318
8220.689,3874.857,117.365,55.320
8219.406,3874.997,117.346,55.322
8218.126,3875.140,117.328,55.324
8216.849,3875.287,117.310,55.327
8215.573,3875.437,117.292,55.329
8214.301,3875.591,117.274,55.331
8213.030,3875.748,117.255,55.333
8211.762,3875.909,117.237,55.335
8210.496,3876.073,117.219,55.338
8209.230,3876.240,117.201,55.340
8207.967,3876.411,117.183,55.343
8206.704,3876.585,117.165,55.345
8205.442,3876.762,117.147,55.348
8204.181,3876.941,117.129,55.350
8202.920,3877.124,117.111,55.353
8201.659,3877.310,117.093,55.355
8200.398,3877.499,117.075,55.358
8199.138,3877.690,117.057,55.361
8197.876,3877.885,117.039,55.364
8196.614,3878.081,117.021,55.366
8195.352,3878.281,117.003,55.369
8194.089,3878.482,116.985,55.372
8192.824,3878.686,116.967,55.375
8191.560,3878.892,116.949,55.378
8190.294,3879.101,116.931,55.381
8189.027,3879.311,116.913,55.384
8187.759,3879.522,116.895,55.387
8186.489,3879.736,116.877,55.390
8185.218,3879.951,116.858,55.393
8183.945,3880.168,116.840,55.396
8182.671,3880.386,116.822,55.399
8181.395,3880.605,116.804,55.402
8180.117,3880.826,116.786,55.406
8178.837,3881.047,116.767,55.409
8177.555,3881.270,116.749,55.412
8176.271,3881.493,116.731,55.415
8174.984,3881.717,116.712,55.418
8173.695,3881.941,116.694,55.422
8172.404,3882.167,116.675,55.425
8171.109,3882.392,116.657,55.428
8169.812,3882.618,116.638,55.431
8168.513,3882.844,116.620,55.434
8167.211,3883.070,116.601,55.438
8165.906,3883.296,116.583,55.441
8164.599,3883.523,116.564,55.444
8163.289,3883.750,116.545,55.447
8161.976,3883.977,116.527,55.451
8160.661,3884.205,116.508,55.454
8159.344,3884.432,116.489,55.457
8158.024,3884.660,116.470,55.460
8156.702,3884.888,116.451,55.464
8155.378,3885.116,116.432,55.467
8154.051,3885.345,116.413,55.470
