X_px,Y_px,X_mm,Y_mm
3739.072,3644.008,53.710,52.345
3737.593,3644.016,53.689,52.345
3736.085,3644.026,53.667,52.345
3734.553,3644.039,53.645,52.345
3732.998,3644.055,53.623,52.345
3731.422,3644.073,53.600,52.345
3729.828,3644.094,53.577,52.346
3728.219,3644.117,53.554,52.346
3726.597,3644.142,53.531,52.346
3724.965,3644.169,53.507,52.347
3723.326,3644.198,53.484,52.347
3721.681,3644.229,53.460,52.348
3720.033,3644.260,53.437,52.348
3718.385,3644.294,53.413,52.349
3716.740,3644.329,53.389,52.349
3715.100,3644.365,53.366,52.350
3713.467,3644.402,53.342,52.350
3711.843,3644.439,53.319,52.351
3710.227,3644.478,53.296,52.351
3708.617,3644.517,53.273,52.352
3707.015,3644.556,53.250,52.352
3705.417,3644.595,53.227,52.353
3703.825,3644.634,53.204,52.354
3702.237,3644.673,53.181,52.354
3700.653,3644.711,53.158,52.355
3699.071,3644.749,53.136,52.355
3697.490,3644.785,53.113,52.356
3695.911,3644.820,53.090,52.356
3694.332,3644.854,53.067,52.357
3692.752,3644.886,53.045,52.357
3691.171,3644.917,53.022,52.358
3689.588,3644.946,52.999,52.358
3688.003,3644.972,52.977,52.358
3686.414,3644.997,52.954,52.359
3684.823,3645.020,52.931,52.359
3683.229,3645.041,52.908,52.359
3681.634,3645.062,52.885,52.360
3680.035,3645.081,52.862,52.360
3678.435,3645.100,52.839,52.360
3676.833,3645.119,52.816,52.361
3675.229,3645.138,52.793,52.361
3673.623,3645.157,52.770,52.361
3672.016,3645.177,52.747,52.361
3670.407,3645.198,52.724,52.362
3668.798,3645.220,52.701,52.362
3667.187,3645.243,52.678,52.362
3665.575,3645.268,52.654,52.363
3663.963,3645.296,52.631,52.363
3662.350,3645.325,52.608,52.363
3660.735,3645.357,52.585,52.364
3659.120,3645.392,52.562,52.364
3657.504,3645.429,52.538,52.365
3655.886,3645.470,52.515,52.366
3654.266,3645.515,52.492,52.366
3652.645,3645.562,52.469,52.367
3651.021,3645.614,52.445,52.368
3649.396,3645.670,52.422,52.368
3647.768,3645.730,52.399,52.369
3646.137,3645.794,52.375,52.370
3644.503,3645.863,52.352,52.371
3642.867,3645.937,52.328,52.372
3641.227,3646.016,52.305,52.373
3639.583,3646.101,52.281,52.375
3637.937,3646.191,52.257,52.376
3636.286,3646.287,52.234,52.377
3634.633,3646.388,52.210,52.379
3632.978,3646.494,52.186,52.380
3631.321,3646.605,52.162,52.382
3629.664,3646.722,52.139,52.384
3628.006,3646.843,52.115,52.385
3626.349,3646.968,52.091,52.387
3624.694,3647.097,52.067,52.389
3623.040,3647.231,52.043,52.391
3621.389,3647.368,52.020,52.393
3619.741,3647.509,51.996,52.395
3618.097,3647.654,51.972,52.397
3616.458,3647.802,51.949,52.399
3614.825,3647.952,51.925,52.401
3613.198,3648.106,51.902,52.403
3611.577,3648.262,51.879,52.406
3609.963,3648.421,51.856,52.408
3608.355,3648.583,51.832,52.410
3606.754,3648.747,51.809,52.413
3605.157,3648.914,51.786,52.415
3603.564,3649.084,51.764,52.417
3601.975,3649.258,51.741,52.420
3600.388,3649.434,51.718,52.422
3598.803,3649.614,51.695,52.425
3597.219,3649.798,51.672,52.428
3595.635,3649.984,51.650,52.430
3594.052,3650.175,51.627,52.433
3592.466,3650.370,51.604,52.436
3590.879,3650.568,51.581,52.439
3589.289,3650.771,51.559,52.442
3587.696,3650.977,51.536,52.445
3586.099,3651.188,51.513,52.448
3584.497,3651.403,51.490,52.451
3582.892,3651.623,51.467,52.454
3581.284,3651.846,51.444,52.457
3579.674,3652.074,51.420,52.460
3578.063,3652.305,51.397,52.464
3576.452,3652.540,51.374,52.467
3574.840,3652.779,51.351,52.471
3573.229,3653.021,51.328,52.474
3571.620,3653.267,51.305,52.478
3570.012,3653.517,51.282,52.481
3568.408,3653.769,51.259,52.485
3566.807,3654.025,51.236,52.488
3565.211,3654.283,51.213,52.492
3563.619,3654.545,51.190,52.496
3562.033,3654.809,51.167,52.500
3560.454,3655.077,51.144,52.504
3558.880,3655.346,51.122,52.507
3557.312,3655.619,51.099,52.511
3555.750,3655.894,51.077,52.515
3554.191,3656.172,51.054,52.519
3552.635,3656.452,51.032,52.523
3551.083,3656.735,51.010,52.527
3549.533,3657.020,50.987,52.531
3547.985,3657.308,50.965,52.536
3546.438,3657.598,50.943,52.540
3544.892,3657.890,50.921,52.544
3543.346,3658.185,50.899,52.548
3541.798,3658.482,50.876,52.552
3540.250,3658.781,50.854,52.557
3538.699,3659.083,50.832,52.561
3537.146,3659.387,50.810,52.565
3535.590,3659.693,50.787,52.570
3534.032,3660.000,50.765,52.574
3532.471,3660.310,50.742,52.579
3530.908,3660.622,50.720,52.583
3529.343,3660.935,50.697,52.588
3527.776,3661.249,50.675,52.592
3526.208,3661.565,50.652,52.597
3524.639,3661.882,50.630,52.601
3523.069,3662.200,50.607,52.606
3521.498,3662.520,50.585,52.610
3519.927,3662.840,50.562,52.615
3518.356,3663.161,50.540,52.620
3516.785,3663.482,50.517,52.624
3515.214,3663.804,50.494,52.629
3513.644,3664.126,50.472,52.634
3512.075,3664.449,50.449,52.638
3510.507,3664.772,50.427,52.643
3508.941,3665.094,50.404,52.647
3507.376,3665.417,50.382,52.652
3505.813,3665.739,50.359,52.657
3504.253,3666.060,50.337,52.661
3502.695,3666.381,50.315,52.666
3501.140,3666.701,50.292,52.671
3499.588,3667.021,50.270,52.675
3498.040,3667.338,50.248,52.680
3496.494,3667.655,50.226,52.684
3494.953,3667.970,50.203,52.689
3493.416,3668.284,50.181,52.693
3491.884,3668.596,50.159,52.698
3490.356,3668.906,50.137,52.702
3488.833,3669.215,50.116,52.707
3487.315,3669.521,50.094,52.711
3485.802,3669.825,50.072,52.715
3484.292,3670.127,50.050,52.720
3482.785,3670.428,50.029,52.724
3481.280,3670.729,50.007,52.728
3479.777,3671.028,49.985,52.733
3478.274,3671.326,49.964,52.737
3476.772,3671.624,49.942,52.741
3475.270,3671.921,49.921,52.746
3473.767,3672.219,49.899,52.750
3472.261,3672.517,49.877,52.754
3470.754,3672.815,49.856,52.758
3469.243,3673.114,49.834,52.763
3467.728,3673.413,49.812,52.767
3466.209,3673.714,49.791,52.771
3464.685,3674.016,49.769,52.776
3463.157,3674.319,49.747,52.780
3461.624,3674.624,49.725,52.784
3460.087,3674.930,49.703,52.789
3458.546,3675.239,49.680,52.793
3457.002,3675.549,49.658,52.798
3455.454,3675.861,49.636,52.802
3453.904,3676.175,49.614,52.807
3452.350,3676.491,49.591,52.811
3450.795,3676.809,49.569,52.816
3449.237,3677.130,49.547,52.820
3447.677,3677.453,49.524,52.825
3446.116,3677.780,49.502,52.830
3444.553,3678.108,49.479,52.834
3442.990,3678.440,49.457,52.839
3441.425,3678.774,49.435,52.844
3439.860,3679.112,49.412,52.849
3438.293,3679.452,49.390,52.854
3436.725,3679.795,49.367,52.859
3435.156,3680.142,49.344,52.864
3433.585,3680.491,49.322,52.869
3432.012,3680.843,49.299,52.874
