Distance_(mm),Gray_Value
0.0000,88.5604
0.0145,88.6747
0.0289,88.5908
0.0434,88.5130
0.0578,88.4441
0.0723,88.4456
0.0867,88.6347
0.1012,88.8623
0.1156,88.8373
0.1301,88.9027
0.1445,88.9411
0.1590,88.8772
0.1734,88.8653
0.1879,88.9556
0.2023,88.9810
0.2168,89.1193
0.2312,89.3253
0.2457,89.5524
0.2601,89.8109
0.2746,89.7700
0.2890,89.7355
0.3035,89.7086
0.3179,89.8024
0.3324,89.7720
0.3468,89.8867
0.3613,89.9361
0.3757,89.9885
0.3902,90.1193
0.4047,90.3892
0.4191,90.5090
0.4336,90.3648
0.4480,90.4636
0.4625,90.7465
0.4769,91.1103
0.4914,91.2096
0.5058,91.2605
0.5203,91.2186
0.5347,91.3603
0.5492,91.8253
0.5636,92.1422
0.5781,92.2201
0.5925,92.3533
0.6070,92.6487
0.6214,92.7939
0.6359,92.9606
0.6503,93.2111
0.6648,93.2036
0.6792,93.3338
0.6937,93.5284
0.7081,93.7914
0.7226,94.0389
0.7370,93.9666
0.7515,94.0823
0.7659,94.1133
0.7804,94.0529
0.7949,93.8618
0.8093,93.6158
0.8238,93.6672
0.8382,93.7330
0.8527,93.7201
0.8671,93.8084
0.8816,93.6776
0.8960,93.4371
0.9105,93.4491
0.9249,93.6761
0.9394,93.7390
0.9538,93.8633
0.9683,94.1357
0.9827,94.3683
0.9972,94.7914
1.0116,95.2305
1.0261,95.5030
1.0405,95.6851
1.0550,95.9336
1.0694,96.1263
1.0839,96.4840
1.0983,96.6337
1.1128,96.7605
1.1272,96.8713
1.1417,97.0354
1.1561,97.2974
1.1706,97.5080
1.1850,97.6317
1.1995,97.7106
1.2140,98.0180
1.2284,98.5743
1.2429,98.9656
1.2573,99.2769
1.2718,99.6542
1.2862,99.9356
1.3007,100.0484
1.3151,100.2635
1.3296,100.3992
1.3440,100.6257
1.3585,101.0589
1.3729,101.4162
1.3874,101.4386
1.4018,101.1781
1.4163,100.5115
1.4307,99.6757
1.4452,98.9356
1.4596,98.3273
1.4741,98.1213
1.4885,98.0269
1.5030,98.0125
1.5174,98.3523
1.5319,98.6247
1.5463,99.1492
1.5608,99.9461
1.5752,100.6143
1.5897,101.0080
1.6042,101.3912
1.6186,102.1622
1.6331,102.9261
1.6475,103.4890
1.6620,103.8448
1.6764,104.2854
1.6909,104.4701
1.7053,104.4411
1.7198,104.1991
1.7342,104.0604
1.7487,103.9925
1.7631,104.0554
1.7776,104.2974
1.7920,104.4197
1.8065,104.4885
1.8209,104.3987
1.8354,104.3703
1.8498,104.7141
1.8643,104.5554
1.8787,104.3139
1.8932,104.0559
1.9076,104.1587
1.9221,104.2570
1.9365,104.4671
1.9510,104.7904
1.9654,105.4666
1.9799,106.4845
1.9944,107.3892
2.0088,108.0863
2.0233,108.5309
2.0377,109.0120
2.0522,109.1422
2.0666,109.2705
2.0811,109.5050
2.0955,109.5878
2.1100,109.5394
2.1244,109.6028
2.1389,109.8792
2.1533,109.7680
2.1678,109.3273
2.1822,108.3029
2.1967,107.4451
2.2111,106.9606
2.2256,107.0110
2.2400,107.2261
2.2545,107.6432
2.2689,108.3663
2.2834,109.2146
2.2978,110.2290
2.3123,111.3473
2.3267,111.9331
2.3412,112.0763
2.3556,112.0589
2.3701,112.0190
2.3846,111.9865
2.3990,112.0155
2.4135,112.1532
2.4279,112.5504
2.4424,113.0259
2.4568,113.4017
2.4713,112.8074
2.4857,112.3169
2.5002,112.2550
2.5146,112.3962
2.5291,112.3343
2.5435,112.2809
2.5580,111.9975
2.5724,111.6033
2.5869,111.1053
2.6013,110.9960
2.6158,111.1577
2.6302,111.4531
2.6447,111.5215
2.6591,111.9167
2.6736,112.3109
2.6880,112.5843
2.7025,112.7126
2.7169,112.4082
2.7314,112.4616
2.7458,113.1327
2.7603,114.0374
2.7747,114.7824
2.7892,115.2710
2.8037,115.5549
2.8181,116.0993
2.8326,116.6747
2.8470,117.2385
2.8615,117.3548
2.8759,117.1262
2.8904,117.0983
2.9048,117.2081
2.9193,117.4232
2.9337,117.2350
2.9482,117.0699
2.9626,117.0629
2.9771,116.9616
2.9915,116.8373
3.0060,117.2884
3.0204,117.7789
3.0349,118.3892
3.0493,119.3578
3.0638,120.2879
3.0782,120.9052
3.0927,120.7799
3.1071,120.4321
3.1216,120.1557
3.1360,120.0773
3.1505,120.1672
3.1649,120.0304
3.1794,119.9890
3.1939,120.3019
3.2083,120.6841
3.2228,120.8209
3.2372,120.7450
3.2517,120.3378
3.2661,120.1796
3.2806,119.8263
3.2950,119.7819
3.3095,119.6851
3.3239,119.4067
3.3384,118.8822
3.3528,118.6113
3.3673,118.4865
3.3817,118.3588
3.3962,118.3373
3.4106,118.5793
3.4251,118.8912
3.4395,119.1831
3.4540,119.4122
3.4684,119.7799
3.4829,120.1277
3.4973,120.5559
3.5118,121.3054
3.5262,121.7675
3.5407,122.1457
3.5551,122.1437
3.5696,122.1402
3.5841,122.2630
3.5985,122.1502
3.6130,122.0220
3.6274,121.5389
3.6419,121.0424
3.6563,120.6652
3.6708,120.5863
3.6852,120.5763
3.6997,120.5155
3.7141,120.4915
3.7286,120.8862
3.7430,121.4616
3.7575,122.2849
3.7719,123.0105
3.7864,123.1477
3.8008,123.2884
3.8153,123.4441
3.8297,123.4426
3.8442,123.3164
3.8586,122.9785
3.8731,122.9461
3.8875,123.0669
3.9020,123.2375
3.9164,123.5070
3.9309,123.7749
3.9453,123.6956
3.9598,123.7450
3.9743,124.0873
3.9887,124.4062
4.0032,124.7081
4.0176,124.8044
4.0321,124.9581
4.0465,125.3643
4.0610,125.7670
4.0754,126.1312
4.0899,125.8438
4.1043,125.7565
4.1188,125.7565
4.1332,125.6667
4.1477,125.4925
4.1621,125.0858
4.1766,124.6622
4.1910,124.4137
4.2055,124.2535
4.2199,124.3174
4.2344,124.3239
4.2488,124.3094
4.2633,124.1791
4.2777,124.3852
4.2922,124.7495
4.3066,125.0279
4.3211,124.9671
4.3355,124.7755
4.3500,124.7046
4.3644,124.7335
4.3789,124.7535
4.3934,124.8089
4.4078,124.9346
4.4223,125.2241
4.4367,125.5564
4.4512,125.6208
4.4656,125.5853
4.4801,125.6951
4.4945,125.8019
4.5090,125.8638
4.5234,125.9785
4.5379,126.0878
4.5523,125.9486
4.5668,125.8353
4.5812,125.7480
4.5957,125.6427
4.6101,125.4511
4.6246,125.1073
4.6390,124.4072
4.6535,123.5035
4.6679,122.3508
4.6824,121.6532
4.6968,120.9002
4.7113,120.5344
4.7257,120.2730
4.7402,120.2595
4.7546,120.3034
4.7691,120.3234
4.7836,120.3837
4.7980,120.2136
4.8125,120.3323
4.8269,120.7585
4.8414,121.0908
4.8558,121.0279
4.8703,120.7819
4.8847,120.8737
4.8992,121.1267
4.9136,121.3902
4.9281,121.4441
4.9425,121.1961
4.9570,120.7380
4.9714,120.3234
4.9859,119.8683
5.0003,119.4860
5.0148,118.7695
5.0292,118.5155
5.0437,118.1462
5.0581,117.9052
5.0726,117.4316
5.0870,116.6552
5.1015,115.4566
5.1159,114.5255
5.1304,113.5843
5.1448,113.1766
5.1593,112.3678
5.1738,111.6776
5.1882,111.4311
5.2027,111.8393
5.2171,112.1198
5.2316,112.3194
5.2460,111.9790
5.2605,111.8094
5.2749,111.4920
5.2894,111.1407
5.3038,110.6462
5.3183,109.7784
5.3327,108.9850
5.3472,108.5689
5.3616,108.3323
5.3761,108.0040
5.3905,107.4077
5.4050,107.0130
5.4194,106.7076
5.4339,106.5409
5.4483,106.3154
5.4628,106.1821
5.4772,105.9102
5.4917,105.8278
5.5061,105.1437
5.5206,104.3229
5.5350,103.2385
5.5495,102.4047
5.5640,101.5938
5.5784,100.9271
5.5929,99.8024
5.6073,98.3887
5.6218,96.4481
5.6362,95.3668
5.6507,94.5135
5.6651,94.2295
5.6796,93.6307
5.6940,93.2735
5.7085,92.2849
5.7229,91.3737
5.7374,90.2625
5.7518,88.8957
5.7663,87.3104
5.7807,86.1362
5.7952,85.6986
5.8096,86.2924
5.8241,86.9007
5.8385,87.2136
5.8530,86.9885
5.8674,86.6532
5.8819,86.0928
5.8963,85.6871
5.9108,85.2949
5.9252,84.9286
5.9397,84.2171
5.9542,83.1377
5.9686,81.9237
5.9831,81.1637
5.9975,80.3398
6.0120,79.6427
6.0264,78.9631
6.0409,78.2236
6.0553,77.5808
6.0698,76.8932
6.0842,76.3249
6.0987,76.0609
6.1131,75.8613
6.1276,76.1402
6.1420,76.3573
6.1565,76.3104
6.1709,75.4731
6.1854,74.8932
6.1998,74.7380
6.2143,74.7884
6.2287,74.9681
6.2432,74.9177
6.2576,74.8069
6.2721,74.9501
6.2865,74.5549
6.3010,74.1682
6.3154,73.7350
6.3299,73.4286
6.3443,72.9466
6.3588,72.5634
6.3733,72.3009
6.3877,72.2275
6.4022,71.9920
6.4166,72.1342
6.4311,72.4696
6.4455,72.8982
6.4600,72.7091
6.4744,72.4336
6.4889,72.3698
6.5033,72.2565
6.5178,72.2325
6.5322,71.9736
6.5467,71.4107
6.5611,70.6537
6.5756,69.9521
6.5900,69.8443
6.6045,69.6507
6.6189,69.4431
6.6334,69.4511
6.6478,69.4296
6.6623,69.2061
6.6767,68.8044
6.6912,68.4257
6.7056,68.4506
6.7201,69.0359
6.7345,69.9661
6.7490,70.7046
6.7635,70.9162
6.7779,71.0853
6.7924,71.1143
6.8068,70.6292
6.8213,70.0574
6.8357,69.2954
6.8502,68.8952
6.8646,68.2425
6.8791,68.1682
6.8935,68.1652
6.9080,68.2370
6.9224,67.5349
6.9369,66.8882
6.9513,66.3104
6.9658,65.8523
6.9802,65.6437
