X_px,Y_px,X_mm,Y_mm
8439.000,3651.000,121.959,52.764
8440.665,3650.984,121.983,52.763
8442.373,3650.961,122.008,52.763
8444.121,3650.934,122.033,52.763
8445.907,3650.901,122.059,52.762
8447.730,3650.863,122.085,52.762
8449.589,3650.820,122.112,52.761
8451.480,3650.773,122.139,52.760
8453.402,3650.722,122.167,52.760
8455.354,3650.668,122.195,52.759
8457.334,3650.609,122.224,52.758
8459.340,3650.548,122.253,52.757
8461.369,3650.483,122.282,52.756
8463.421,3650.416,122.312,52.755
8465.493,3650.346,122.342,52.754
8467.584,3650.274,122.372,52.753
8469.691,3650.200,122.402,52.752
8471.813,3650.125,122.433,52.751
8473.949,3650.048,122.464,52.750
8476.097,3649.970,122.495,52.749
8478.253,3649.892,122.526,52.748
8480.417,3649.813,122.557,52.746
8482.587,3649.734,122.589,52.745
8484.761,3649.655,122.620,52.744
8486.937,3649.576,122.652,52.743
8489.113,3649.498,122.683,52.742
8491.289,3649.421,122.715,52.741
8493.461,3649.345,122.746,52.740
8495.628,3649.271,122.777,52.739
8497.788,3649.198,122.809,52.738
8499.939,3649.128,122.840,52.737
8502.081,3649.059,122.871,52.736
8504.210,3648.994,122.901,52.735
8506.325,3648.931,122.932,52.734
8508.427,3648.871,122.962,52.733
8510.517,3648.814,122.992,52.732
8512.594,3648.760,123.022,52.731
8514.660,3648.710,123.052,52.731
8516.715,3648.664,123.082,52.730
8518.761,3648.621,123.112,52.729
8520.796,3648.581,123.141,52.729
8522.822,3648.545,123.170,52.728
8524.841,3648.514,123.199,52.728
8526.852,3648.486,123.229,52.727
8528.855,3648.463,123.257,52.727
8530.853,3648.444,123.286,52.727
8532.844,3648.429,123.315,52.726
8534.830,3648.419,123.344,52.726
8536.812,3648.414,123.372,52.726
8538.789,3648.413,123.401,52.726
8540.764,3648.417,123.430,52.726
8542.734,3648.427,123.458,52.726
8544.704,3648.441,123.487,52.727
8546.672,3648.461,123.515,52.727
8548.639,3648.486,123.543,52.727
8550.605,3648.516,123.572,52.728
8552.572,3648.553,123.600,52.728
8554.540,3648.595,123.629,52.729
8556.510,3648.643,123.657,52.730
8558.481,3648.697,123.686,52.730
8560.456,3648.757,123.714,52.731
8562.434,3648.823,123.743,52.732
8564.416,3648.896,123.771,52.733
8566.402,3648.975,123.800,52.734
8568.395,3649.061,123.829,52.736
8570.392,3649.153,123.858,52.737
8572.394,3649.251,123.887,52.738
8574.400,3649.355,123.916,52.740
8576.412,3649.464,123.945,52.741
8578.428,3649.577,123.974,52.743
8580.447,3649.696,124.003,52.745
8582.471,3649.818,124.032,52.747
8584.498,3649.944,124.062,52.748
8586.528,3650.073,124.091,52.750
8588.562,3650.205,124.120,52.752
8590.599,3650.340,124.150,52.754
8592.638,3650.477,124.179,52.756
8594.679,3650.616,124.209,52.758
8596.723,3650.756,124.238,52.760
8598.768,3650.897,124.268,52.762
8600.814,3651.039,124.297,52.764
8602.863,3651.180,124.327,52.766
8604.912,3651.322,124.357,52.768
8606.963,3651.464,124.386,52.770
8609.014,3651.604,124.416,52.772
8611.064,3651.743,124.446,52.774
8613.116,3651.880,124.475,52.776
8615.167,3652.015,124.505,52.778
8617.218,3652.148,124.534,52.780
8619.268,3652.278,124.564,52.782
8621.317,3652.405,124.594,52.784
8623.365,3652.528,124.623,52.786
8625.412,3652.647,124.653,52.787
8627.458,3652.762,124.682,52.789
8629.501,3652.872,124.712,52.791
8631.543,3652.977,124.742,52.792
8633.582,3653.077,124.771,52.794
8635.618,3653.171,124.800,52.795
8637.651,3653.262,124.830,52.796
8639.682,3653.350,124.859,52.798
8641.708,3653.435,124.888,52.799
8643.730,3653.520,124.918,52.800
8645.750,3653.604,124.947,52.801
8647.764,3653.689,124.976,52.802
8649.773,3653.776,125.005,52.804
8651.777,3653.866,125.034,52.805
8653.776,3653.959,125.063,52.806
8655.770,3654.057,125.092,52.808
8657.757,3654.160,125.120,52.809
8659.737,3654.270,125.149,52.811
