Distance_(mm),Gray_Value
0.0000,75.9116
0.0145,76.1313
0.0290,75.9545
0.0435,75.9192
0.0579,75.7955
0.0724,76.0101
0.0869,76.1793
0.1014,76.0000
0.1159,76.0783
0.1304,76.2298
0.1448,76.3788
0.1593,76.1414
0.1738,75.8384
0.1883,75.8308
0.2028,75.7576
0.2173,76.0278
0.2318,76.0379
0.2462,75.7298
0.2607,75.5101
0.2752,75.3409
0.2897,75.5833
0.3042,75.5328
0.3187,75.4646
0.3331,75.6061
0.3476,75.7828
0.3621,75.6263
0.3766,75.3611
0.3911,75.0909
0.4056,75.2374
0.4201,75.7652
0.4345,76.0000
0.4490,75.8157
0.4635,75.5960
0.4780,75.4293
0.4925,75.1995
0.5070,75.1439
0.5214,75.3030
0.5359,75.4015
0.5504,75.2652
0.5649,75.0278
0.5794,75.3005
0.5939,75.5859
0.6084,75.7172
0.6228,75.8157
0.6373,75.5581
0.6518,75.6869
0.6663,75.5934
0.6808,75.6742
0.6953,75.8636
0.7098,75.9066
0.7242,76.1187
0.7387,75.8510
0.7532,76.0278
0.7677,76.4596
0.7822,76.7197
0.7967,76.9318
0.8111,77.0227
0.8256,76.6818
0.8401,76.4268
0.8546,76.4167
0.8691,76.2500
0.8836,76.6313
0.8981,76.9747
0.9125,77.2576
0.9270,77.0278
0.9415,77.0126
0.9560,77.1035
0.9705,77.3384
0.9850,77.5253
0.9994,77.7045
1.0139,77.5101
1.0284,77.5126
1.0429,77.6944
1.0574,77.8939
1.0719,78.2096
1.0864,78.4444
1.1008,78.5101
1.1153,78.5379
1.1298,78.2273
1.1443,78.1111
1.1588,77.7727
1.1733,77.8232
1.1877,78.1490
1.2022,78.7273
1.2167,78.9015
1.2312,79.1136
1.2457,79.1035
1.2602,79.1389
1.2747,79.0126
1.2891,78.9242
1.3036,78.6717
1.3181,78.4293
1.3326,78.5985
1.3471,78.5051
1.3616,78.9318
1.3760,79.3182
1.3905,79.6389
1.4050,79.9874
1.4195,80.0051
1.4340,79.7980
1.4485,80.0581
1.4630,79.7197
1.4774,79.6995
1.4919,80.0530
1.5064,80.4091
1.5209,80.3965
1.5354,80.3157
1.5499,80.2955
1.5643,80.0732
1.5788,80.1162
1.5933,80.3687
1.6078,80.6389
1.6223,80.8838
1.6368,81.2626
1.6513,81.6212
1.6657,81.7121
1.6802,81.9343
1.6947,81.9949
1.7092,82.1439
1.7237,82.5530
1.7382,83.2854
1.7526,84.0480
1.7671,84.1187
1.7816,84.2323
1.7961,84.4369
1.8106,84.8131
1.8251,85.0934
1.8396,85.3460
1.8540,85.7652
1.8685,86.1389
1.8830,86.3106
1.8975,86.1010
1.9120,85.9672
1.9265,85.7778
1.9410,85.7828
1.9554,85.9697
1.9699,86.1818
1.9844,86.5657
1.9989,86.6187
2.0134,86.4924
2.0279,85.9495
2.0423,85.5455
2.0568,85.2399
2.0713,85.1338
2.0858,85.2045
2.1003,85.5354
2.1148,86.2803
2.1293,86.6237
2.1437,86.8838
2.1582,86.4874
2.1727,86.1465
2.1872,86.0126
2.2017,86.1263
2.2162,85.8485
2.2306,84.8687
2.2451,83.9672
2.2596,82.1591
2.2741,80.1111
2.2886,78.4672
2.3031,78.2601
2.3176,78.5884
2.3320,78.8283
2.3465,79.8990
2.3610,81.0909
2.3755,82.6742
2.3900,83.9848
2.4045,85.2449
2.4189,85.7348
2.4334,85.9394
2.4479,86.0076
2.4624,86.1591
2.4769,85.6970
2.4914,85.4167
2.5059,85.6667
2.5203,86.4167
2.5348,86.9495
2.5493,87.4040
2.5638,88.2424
2.5783,88.9394
2.5928,89.2551
2.6072,89.6641
2.6217,89.5657
2.6362,89.8005
2.6507,90.1389
2.6652,90.5227
2.6797,90.8434
2.6942,90.8485
2.7086,90.9066
2.7231,91.0455
2.7376,91.2652
2.7521,91.4798
2.7666,91.2298
2.7811,90.9823
2.7955,91.0631
2.8100,91.1263
2.8245,91.2172
2.8390,91.2652
2.8535,91.0732
2.8680,90.9571
2.8825,91.2702
2.8969,91.5859
2.9114,91.8434
2.9259,91.9419
2.9404,92.0303
2.9549,92.1667
2.9694,92.3763
2.9838,92.4343
2.9983,92.3207
3.0128,92.4141
3.0273,92.6995
3.0418,92.8662
3.0563,92.9444
3.0708,93.3838
3.0852,93.3687
3.0997,93.3535
3.1142,93.4015
3.1287,93.6540
3.1432,93.9773
3.1577,93.6869
3.1722,93.5379
3.1866,93.6944
3.2011,93.6515
3.2156,93.1288
3.2301,93.0758
3.2446,93.0556
3.2591,93.1768
3.2735,92.9571
3.2880,92.5227
3.3025,92.5303
3.3170,92.3737
3.3315,91.9722
3.3460,92.1414
3.3605,92.1389
3.3749,92.2146
3.3894,91.8081
3.4039,91.4116
3.4184,90.8990
3.4329,90.0758
3.4474,89.3409
3.4618,88.9495
3.4763,88.7424
3.4908,88.6414
3.5053,88.0328
3.5198,87.7980
3.5343,87.3056
3.5488,87.0177
3.5632,86.4444
3.5777,86.1843
3.5922,86.3788
3.6067,86.2146
3.6212,85.8939
3.6357,85.7222
3.6501,85.5682
3.6646,85.1162
3.6791,84.8939
3.6936,84.7323
3.7081,84.5960
3.7226,84.4520
3.7371,84.5000
3.7515,84.5682
3.7660,84.3106
3.7805,83.9242
3.7950,83.6591
3.8095,83.5581
3.8240,83.1313
3.8384,82.5025
3.8529,81.7525
3.8674,81.4116
3.8819,80.9394
3.8964,80.5404
3.9109,79.5177
3.9254,78.7652
3.9398,77.9444
3.9543,77.5354
3.9688,77.0985
