Distance_(mm),Gray_Value
0.0000,59.7690
0.0145,60.1810
0.0290,60.3500
0.0434,60.9452
0.0579,61.0452
0.0724,61.0762
0.0869,60.8833
0.1014,60.8500
0.1159,60.8381
0.1303,60.5071
0.1448,60.1167
0.1593,60.0024
0.1738,59.8714
0.1883,59.7786
0.2028,59.8476
0.2172,59.9381
0.2317,60.0667
0.2462,60.1238
0.2607,60.0143
0.2752,60.1310
0.2897,59.8762
0.3041,59.5881
0.3186,59.7190
0.3331,59.9476
0.3476,59.9952
0.3621,59.9810
0.3766,59.8190
0.3910,59.4405
0.4055,59.5405
0.4200,59.8976
0.4345,60.2452
0.4490,60.2286
0.4635,59.9833
0.4779,59.7905
0.4924,59.7167
0.5069,59.4500
0.5214,59.6167
0.5359,59.8929
0.5503,60.0405
0.5648,59.9429
0.5793,59.6881
0.5938,59.8762
0.6083,60.1500
0.6228,59.4214
0.6372,59.3048
0.6517,59.2095
0.6662,59.0024
0.6807,59.2405
0.6952,59.2357
0.7097,59.5952
0.7241,59.7738
0.7386,59.4810
0.7531,59.3381
0.7676,59.1167
0.7821,58.9286
0.7966,58.2881
0.8110,57.9262
0.8255,57.6571
0.8400,57.8119
0.8545,57.7381
0.8690,58.0548
0.8835,58.4738
0.8979,58.5500
0.9124,58.6643
0.9269,58.5333
0.9414,58.3738
0.9559,58.2143
0.9704,58.6167
0.9848,58.8762
0.9993,59.2333
1.0138,59.1119
1.0283,59.1286
1.0428,59.5619
1.0572,59.8214
1.0717,59.9905
1.0862,60.0643
1.1007,60.1857
1.1152,60.2786
1.1297,60.5333
1.1441,60.4905
1.1586,60.6214
1.1731,60.7905
1.1876,61.1095
1.2021,60.9643
1.2166,61.0690
1.2310,61.4238
1.2455,61.9190
1.2600,62.4762
1.2745,62.9881
1.2890,62.7714
1.3035,62.8500
1.3179,62.2571
1.3324,62.5500
1.3469,62.8286
1.3614,63.1238
1.3759,63.3524
1.3904,63.4548
1.4048,64.0024
1.4193,63.9238
1.4338,63.8524
1.4483,63.5714
1.4628,63.4571
1.4772,63.6262
1.4917,63.5857
1.5062,63.9024
1.5207,63.8762
1.5352,64.0262
1.5497,64.2333
1.5641,64.1952
1.5786,64.1738
1.5931,64.0405
1.6076,64.1857
1.6221,64.3548
1.6366,64.8548
1.6510,65.1000
1.6655,65.0881
1.6800,65.0452
1.6945,64.7714
1.7090,64.3190
1.7235,63.9857
1.7379,63.9524
1.7524,63.6429
1.7669,63.3262
1.7814,62.9810
1.7959,62.9667
1.8104,63.6262
1.8248,64.4238
1.8393,64.4119
1.8538,64.1738
1.8683,64.1833
1.8828,64.2309
1.8973,64.4048
1.9117,64.4857
1.9262,64.6929
1.9407,64.8690
1.9552,64.9000
1.9697,64.8857
1.9841,64.9548
1.9986,65.2238
2.0131,65.3571
2.0276,65.4952
2.0421,65.7095
2.0566,65.8000
2.0710,65.6929
2.0855,65.7309
2.1000,65.7000
2.1145,65.5548
2.1290,65.7048
2.1435,65.7952
2.1579,66.0381
2.1724,65.9095
2.1869,65.7452
2.2014,65.5476
2.2159,65.5524
2.2304,65.2262
2.2448,65.0381
2.2593,65.1024
2.2738,65.1000
2.2883,65.1524
2.3028,64.9500
2.3173,65.2095
2.3317,65.4381
2.3462,65.5667
2.3607,65.5238
2.3752,65.6071
2.3897,65.6905
2.4042,65.8095
2.4186,66.0976
2.4331,66.5048
2.4476,66.7595
2.4621,66.5714
2.4766,66.5524
2.4910,66.4762
2.5055,66.4833
2.5200,66.4357
2.5345,66.8262
2.5490,67.2857
2.5635,67.3976
2.5779,67.2810
2.5924,66.7500
2.6069,66.6810
2.6214,66.4333
2.6359,66.6048
2.6504,66.6476
2.6648,66.4167
2.6793,66.2548
2.6938,65.9929
2.7083,66.1381
2.7228,66.3143
2.7373,66.6738
2.7517,66.4714
2.7662,66.0238
2.7807,66.1643
2.7952,66.3024
2.8097,66.5238
2.8242,66.5905
2.8386,66.3738
2.8531,66.4452
2.8676,66.9381
2.8821,67.3571
2.8966,67.6881
2.9111,67.8262
2.9255,68.1857
2.9400,68.2381
2.9545,68.5333
2.9690,68.6548
2.9835,69.0024
2.9979,69.2619
3.0124,69.3429
3.0269,69.3738
3.0414,69.5095
3.0559,69.5929
3.0704,69.6190
3.0848,69.8357
3.0993,69.9333
3.1138,69.9476
3.1283,70.0405
3.1428,70.3929
3.1573,70.5357
3.1717,70.8405
3.1862,71.0952
3.2007,71.4238
3.2152,71.7262
3.2297,71.7619
3.2442,71.9429
3.2586,72.0476
3.2731,72.0286
3.2876,71.9643
3.3021,71.9952
3.3166,72.4381
3.3311,73.1143
3.3455,73.3524
3.3600,73.4214
3.3745,73.3333
3.3890,73.5548
3.4035,73.5381
3.4179,73.8738
3.4324,74.0524
3.4469,74.2238
3.4614,74.5810
3.4759,74.9833
3.4904,75.2381
3.5048,75.3119
3.5193,75.3429
3.5338,75.5024
3.5483,75.9881
3.5628,76.0714
3.5773,76.0810
3.5917,76.2309
3.6062,76.0857
3.6207,76.1238
3.6352,76.2286
3.6497,76.6714
3.6642,76.8976
3.6786,76.9071
3.6931,77.0976
3.7076,77.3833
3.7221,77.3143
3.7366,76.9690
3.7511,77.4381
3.7655,77.5405
3.7800,77.8119
3.7945,78.0214
3.8090,78.1357
3.8235,78.2262
3.8380,78.1095
3.8524,78.1071
3.8669,78.2048
3.8814,78.5191
3.8959,78.8143
3.9104,79.1595
3.9248,79.5191
3.9393,79.6452
3.9538,79.7786
3.9683,79.6048
3.9828,79.6357
3.9973,79.7214
4.0117,79.7976
4.0262,80.0690
4.0407,80.4095
4.0552,80.5548
4.0697,80.7881
4.0842,80.7714
4.0986,81.3000
4.1131,81.3643
4.1276,81.4238
4.1421,81.6667
4.1566,82.1286
4.1711,82.4738
4.1855,82.5905
4.2000,82.6643
4.2145,82.4071
4.2290,82.0191
4.2435,82.1095
4.2580,82.4619
4.2724,82.9548
4.2869,83.1310
4.3014,83.0857
4.3159,83.0976
4.3304,83.2714
4.3449,83.3357
4.3593,83.5048
4.3738,83.4762
4.3883,83.6310
4.4028,83.8190
4.4173,84.0619
4.4317,83.9643
4.4462,84.1952
4.4607,84.2881
4.4752,84.3048
4.4897,84.4405
4.5042,84.7691
4.5186,84.9143
4.5331,85.0548
4.5476,85.1071
4.5621,85.3571
4.5766,85.4500
4.5911,85.6548
4.6055,85.4976
4.6200,85.1500
4.6345,85.2643
4.6490,85.5095
4.6635,85.4809
4.6780,85.6714
4.6924,85.7000
4.7069,86.1000
4.7214,86.3643
4.7359,86.5238
4.7504,86.5214
4.7649,86.4929
4.7793,86.5452
4.7938,86.6667
4.8083,86.6786
4.8228,86.7048
4.8373,86.9762
4.8518,87.1881
4.8662,87.2905
4.8807,87.6143
4.8952,87.8381
4.9097,87.4000
4.9242,87.3357
4.9386,87.5333
4.9531,87.7667
4.9676,87.8095
4.9821,87.6881
4.9966,87.8357
5.0111,88.1357
5.0255,88.0429
5.0400,87.9048
5.0545,87.6762
5.0690,87.3786
5.0835,87.6405
5.0980,87.8286
5.1124,87.9500
5.1269,87.7619
5.1414,87.9143
5.1559,88.0333
5.1704,88.1595
5.1849,88.0381
5.1993,88.0143
5.2138,88.3071
5.2283,88.4571
5.2428,88.4405
5.2573,88.9524
5.2718,88.5810
5.2862,88.4762
5.3007,88.5905
5.3152,88.7095
5.3297,88.8405
5.3442,88.7500
