X_px,Y_px,X_mm,Y_mm
3511.812,4009.939,51.325,58.605
3507.984,4009.957,51.269,58.605
3504.221,4009.990,51.214,58.605
3500.503,4010.038,51.159,58.606
3496.812,4010.101,51.105,58.607
3493.129,4010.178,51.052,58.608
3489.436,4010.269,50.998,58.609
3485.717,4010.373,50.943,58.611
3481.970,4010.490,50.888,58.613
3478.203,4010.621,50.833,58.615
3474.419,4010.764,50.778,58.617
3470.625,4010.921,50.723,58.619
3466.825,4011.090,50.667,58.622
3463.025,4011.272,50.612,58.624
3459.226,4011.468,50.556,58.627
3455.430,4011.678,50.501,58.630
3451.635,4011.905,50.445,58.633
3447.843,4012.148,50.390,58.637
3444.052,4012.410,50.334,58.641
3440.263,4012.690,50.279,58.645
3436.477,4012.991,50.224,58.649
3432.697,4013.312,50.168,58.654
3428.926,4013.653,50.113,58.659
3425.166,4014.015,50.058,58.664
3421.420,4014.396,50.004,58.670
3417.692,4014.797,49.949,58.676
3413.981,4015.218,49.895,58.682
3410.283,4015.660,49.841,58.688
3406.591,4016.122,49.787,58.695
3402.901,4016.605,49.733,58.702
3399.205,4017.108,49.679,58.709
3395.498,4017.633,49.625,58.717
3391.777,4018.179,49.570,58.725
3388.045,4018.744,49.516,58.733
3384.308,4019.327,49.461,58.742
3380.572,4019.927,49.407,58.751
3376.843,4020.542,49.352,58.760
3373.127,4021.171,49.298,58.769
3369.428,4021.812,49.244,58.778
3365.744,4022.464,49.190,58.788
3362.071,4023.126,49.136,58.797
3358.402,4023.798,49.083,58.807
3354.734,4024.479,49.029,58.817
3351.061,4025.167,48.975,58.827
3347.378,4025.863,48.921,58.837
3343.685,4026.566,48.867,58.848
3339.982,4027.275,48.813,58.858
3336.272,4027.992,48.759,58.869
3332.555,4028.716,48.705,58.879
3328.833,4029.447,48.650,58.890
3325.107,4030.184,48.596,58.901
3321.380,4030.929,48.541,58.911
3317.652,4031.681,48.487,58.922
3313.927,4032.440,48.433,58.934
3310.204,4033.206,48.378,58.945
3306.487,4033.978,48.324,58.956
3302.777,4034.758,48.270,58.967
3299.076,4035.545,48.216,58.979
3295.386,4036.344,48.162,58.991
3291.708,4037.158,48.108,59.002
3288.044,4037.993,48.054,59.015
3284.397,4038.852,48.001,59.027
3280.768,4039.739,47.948,59.040
3277.157,4040.657,47.895,59.054
3273.558,4041.613,47.843,59.068
3269.961,4042.609,47.790,59.082
3266.360,4043.648,47.737,59.097
3262.745,4044.736,47.685,59.113
3259.109,4045.876,47.631,59.130
3255.445,4047.071,47.578,59.147
3251.760,4048.318,47.524,59.166
3248.069,4049.610,47.470,59.184
3244.384,4050.941,47.416,59.204
3240.720,4052.306,47.363,59.224
3237.088,4053.699,47.310,59.244
3233.503,4055.112,47.257,59.265
3229.969,4056.538,47.206,59.286
