Distance_(mm),Gray_Value
0.0000,88.806
0.0143,89.044
0.0286,89.181
0.0429,89.172
0.0572,89.100
0.0715,89.153
0.0858,89.189
0.1001,89.536
0.1144,89.583
0.1288,89.022
0.1431,89.125
0.1574,89.697
0.1717,90.250
0.1860,91.114
0.2003,91.450
0.2146,91.325
0.2289,91.214
0.2432,91.078
0.2575,91.167
0.2718,90.931
0.2861,90.906
0.3004,90.844
0.3147,90.961
0.3290,91.133
0.3433,91.561
0.3576,90.736
0.3719,90.303
0.3863,90.111
0.4006,90.597
0.4149,90.944
0.4292,91.050
0.4435,90.958
0.4578,91.153
0.4721,91.094
0.4864,91.175
0.5007,91.258
0.5150,91.281
0.5293,91.014
0.5436,91.183
0.5579,91.675
0.5722,92.050
0.5865,92.192
0.6008,92.097
0.6151,92.247
0.6294,92.222
0.6438,92.164
0.6581,92.383
0.6724,92.503
0.6867,92.661
0.7010,92.575
0.7153,92.667
0.7296,92.744
0.7439,92.889
0.7582,92.831
0.7725,92.953
0.7868,93.281
0.8011,93.625
0.8154,93.536
0.8297,93.236
0.8440,93.044
0.8583,93.133
0.8726,93.333
0.8869,93.483
0.9013,93.461
0.9156,93.256
0.9299,93.547
0.9442,93.553
0.9585,93.119
0.9728,92.864
0.9871,92.736
1.0014,92.544
1.0157,92.797
1.0300,93.350
1.0443,93.050
1.0586,92.622
1.0729,92.650
1.0872,92.675
1.1015,92.875
1.1158,93.272
1.1301,93.461
1.1445,93.739
1.1588,93.281
1.1731,93.489
1.1874,93.694
1.2017,94.003
1.2160,93.975
1.2303,94.253
1.2446,94.686
1.2589,94.928
1.2732,94.869
1.2875,95.314
1.3018,96.139
1.3161,97.214
1.3304,97.694
1.3447,98.150
1.3590,98.072
1.3733,98.208
1.3876,98.717
1.4020,98.897
1.4163,99.342
1.4306,99.336
1.4449,99.442
1.4592,99.589
1.4735,99.597
1.4878,99.642
1.5021,99.319
1.5164,98.983
1.5307,98.756
1.5450,98.428
1.5593,97.864
1.5736,97.375
1.5879,97.353
1.6022,97.264
1.6165,97.358
1.6308,97.117
1.6451,96.733
1.6595,96.683
1.6738,96.794
1.6881,96.997
1.7024,96.822
1.7167,96.433
1.7310,96.175
1.7453,96.278
1.7596,96.694
1.7739,97.500
1.7882,97.961
1.8025,98.211
1.8168,98.275
1.8311,98.347
1.8454,98.322
1.8597,97.994
1.8740,97.767
1.8883,98.200
1.9027,98.347
1.9170,98.436
1.9313,98.381
1.9456,98.308
1.9599,97.994
1.9742,97.856
1.9885,97.928
2.0028,97.928
2.0171,98.028
2.0314,98.211
2.0457,97.964
2.0600,97.553
2.0743,97.531
2.0886,97.572
2.1029,97.244
2.1172,97.217
2.1315,97.364
2.1458,97.700
2.1602,98.258
2.1745,98.478
2.1888,98.442
2.2031,99.017
2.2174,99.406
2.2317,99.961
2.2460,100.514
2.2603,100.192
2.2746,100.150
2.2889,100.572
2.3032,100.739
2.3175,100.817
2.3318,101.153
2.3461,101.636
2.3604,101.794
2.3747,101.656
2.3890,101.642
2.4033,101.694
2.4177,101.481
2.4320,101.200
2.4463,101.225
2.4606,100.842
2.4749,100.467
2.4892,100.042
2.5035,99.392
2.5178,98.625
2.5321,98.483
2.5464,98.314
2.5607,98.036
2.5750,97.992
2.5893,97.819
2.6036,97.608
2.6179,97.408
2.6322,97.572
2.6465,97.997
2.6608,98.428
2.6752,98.675
2.6895,98.953
2.7038,99.344
2.7181,99.419
2.7324,99.581
2.7467,100.003
2.7610,99.833
2.7753,99.994
2.7896,100.367
2.8039,100.636
2.8182,100.931
2.8325,101.014
2.8468,100.989
2.8611,100.425
2.8754,100.353
2.8897,100.981
2.9040,101.811
2.9184,102.628
2.9327,103.028
2.9470,103.467
2.9613,103.978
2.9756,104.361
2.9899,105.361
3.0042,106.044
3.0185,106.131
3.0328,106.061
3.0471,106.486
3.0614,107.236
3.0757,107.428
3.0900,107.739
3.1043,107.636
3.1186,107.594
3.1329,107.617
3.1472,107.389
3.1615,106.667
3.1759,106.378
3.1902,106.800
3.2045,107.381
3.2188,107.106
3.2331,107.092
3.2474,107.372
3.2617,108.286
3.2760,108.911
3.2903,109.553
3.3046,110.144
3.3189,110.475
3.3332,110.772
3.3475,110.872
3.3618,111.003
3.3761,111.292
3.3904,111.550
3.4047,111.714
3.4190,111.539
3.4334,111.450
