X_px,Y_px,X_mm,Y_mm
7990.000,3532.000,114.658,50.685
7886.000,3534.000,113.166,50.714
7778.000,3548.000,111.616,50.915
7746.000,3554.000,111.157,51.001
7706.493,3567.169,110.590,51.190
7706.493,3567.169,110.590,51.190
7695.000,3567.000,110.425,51.187
7600.000,3601.000,109.062,51.675
7509.000,3643.000,107.756,52.278
7433.000,3695.000,106.665,53.024
7347.000,3759.000,105.431,53.942
7283.000,3807.000,104.513,54.631
7204.000,3859.000,103.379,55.377
7143.000,3899.000,102.503,55.951
7143.000,3927.000,102.503,56.353
7176.000,3997.000,102.977,57.358
7248.000,4091.000,104.010,58.707
7297.000,4119.000,104.713,59.108
7375.000,4127.000,105.833,59.223
7471.000,4140.000,107.210,59.410
7580.000,4168.000,108.775,59.812
7714.000,4188.000,110.697,60.099
7866.000,4212.000,112.879,60.443
7984.000,4223.000,114.572,60.601
8144.000,4213.000,116.868,60.457
8263.000,4193.000,118.576,60.170
8383.000,4161.000,120.298,59.711
8490.000,4129.000,121.833,59.252
8573.000,4088.000,123.024,58.664
8660.000,4043.000,124.273,58.018
8747.000,3983.000,125.521,57.157
8833.000,3912.000,126.755,56.138
8847.000,3881.000,126.956,55.693
8839.000,3849.000,126.841,55.234
8808.000,3811.000,126.397,54.689
8735.000,3760.000,125.349,53.957
8621.000,3697.000,123.713,53.053
8475.000,3644.000,121.618,52.292
8348.889,3600.598,119.808,51.669
8348.889,3600.598,119.808,51.669
8347.000,3599.000,119.781,51.646
8272.000,3570.000,118.705,51.230
8186.000,3550.000,117.471,50.943
8090.000,3535.000,116.093,50.728
7990.000,3532.000,114.658,50.685
