X_px,Y_px,X_mm,Y_mm
3990.000,3623.000,57.578,52.282
3992.144,3622.541,57.609,52.275
3994.292,3622.080,57.640,52.269
3996.444,3621.617,57.671,52.262
3998.600,3621.152,57.702,52.255
4000.760,3620.685,57.733,52.248
4002.924,3620.216,57.764,52.242
4005.092,3619.746,57.796,52.235
4007.264,3619.274,57.827,52.228
4009.441,3618.802,57.858,52.221
4011.621,3618.328,57.890,52.214
4013.805,3617.854,57.921,52.208
4015.994,3617.379,57.953,52.201
4018.187,3616.904,57.985,52.194
4020.384,3616.428,58.016,52.187
4022.586,3615.952,58.048,52.180
4024.792,3615.477,58.080,52.173
4027.002,3615.002,58.112,52.166
4029.216,3614.527,58.144,52.160
4031.435,3614.053,58.176,52.153
4033.659,3613.580,58.208,52.146
4035.886,3613.107,58.240,52.139
4038.119,3612.636,58.272,52.132
4040.356,3612.167,58.305,52.126
4042.597,3611.699,58.337,52.119
4044.843,3611.232,58.369,52.112
4047.094,3610.768,58.402,52.105
4049.349,3610.305,58.434,52.099
4051.609,3609.845,58.467,52.092
4053.874,3609.388,58.500,52.085
4056.144,3608.933,58.532,52.079
4058.418,3608.480,58.565,52.072
4060.697,3608.031,58.598,52.066
4062.981,3607.585,58.631,52.059
4065.270,3607.142,58.664,52.053
4067.563,3606.703,58.697,52.047
4069.862,3606.268,58.730,52.040
4072.166,3605.836,58.764,52.034
4074.474,3605.408,58.797,52.028
4076.788,3604.985,58.830,52.022
4079.106,3604.566,58.864,52.016
4081.430,3604.151,58.897,52.010
4083.759,3603.741,58.931,52.004
4086.093,3603.337,58.965,51.998
4088.432,3602.937,58.998,51.992
4090.777,3602.543,59.032,51.987
4093.126,3602.154,59.066,51.981
4095.481,3601.771,59.100,51.976
4097.841,3601.393,59.134,51.970
4100.207,3601.022,59.168,51.965
4102.578,3600.657,59.202,51.959
4104.954,3600.298,59.237,51.954
4107.335,3599.946,59.271,51.949
4109.723,3599.600,59.306,51.944
4112.115,3599.261,59.340,51.939
4114.513,3598.930,59.375,51.935
4116.917,3598.605,59.409,51.930
4119.325,3598.288,59.444,51.925
4121.739,3597.978,59.479,51.921
4124.158,3597.674,59.514,51.916
4126.581,3597.378,59.549,51.912
4129.008,3597.088,59.584,51.908
4131.439,3596.805,59.619,51.904
4133.875,3596.528,59.654,51.900
4136.313,3596.258,59.689,51.896
4138.755,3595.994,59.725,51.892
4141.200,3595.736,59.760,51.888
4143.647,3595.485,59.795,51.885
4146.098,3595.240,59.830,51.881
4148.550,3595.000,59.866,51.878
4151.005,3594.767,59.901,51.874
4153.462,3594.539,59.937,51.871
4155.920,3594.317,59.972,51.868
4158.379,3594.101,60.008,51.865
4160.840,3593.890,60.043,51.862
4163.301,3593.684,60.079,51.859
4165.763,3593.484,60.114,51.856
4168.226,3593.289,60.150,51.853
4170.688,3593.100,60.185,51.850
4173.150,3592.915,60.221,51.848
4175.612,3592.735,60.256,51.845
4178.074,3592.560,60.292,51.843
4180.535,3592.390,60.327,51.840
4182.994,3592.225,60.363,51.838
4185.452,3592.064,60.398,51.835
4187.909,3591.907,60.434,51.833
4190.363,3591.755,60.469,51.831
4192.816,3591.608,60.505,51.829
4195.267,3591.464,60.540,51.827
4197.714,3591.325,60.575,51.825
4200.159,3591.189,60.611,51.823
4202.601,3591.058,60.646,51.821
4205.040,3590.930,60.681,51.819
4207.475,3590.806,60.716,51.817
4209.906,3590.686,60.751,51.816
4212.333,3590.569,60.786,51.814
4214.757,3590.456,60.821,51.812
4217.175,3590.346,60.856,51.811
4219.589,3590.240,60.891,51.809
4221.998,3590.136,60.926,51.808
4224.402,3590.036,60.960,51.806
4226.800,3589.938,60.995,51.805
4229.192,3589.844,61.030,51.803
4231.579,3589.752,61.064,51.802
4233.959,3589.663,61.098,51.801
4236.333,3589.577,61.133,51.800
4238.700,3589.493,61.167,51.798
4241.060,3589.411,61.201,51.797
4243.413,3589.332,61.235,51.796
4245.759,3589.256,61.269,51.795
4248.097,3589.181,61.302,51.794
4250.427,3589.108,61.336,51.793
4252.749,3589.037,61.370,51.792
4255.062,3588.969,61.403,51.791
4257.367,3588.902,61.436,51.790
4259.664,3588.836,61.469,51.789
4261.952,3588.773,61.502,51.788
4264.233,3588.712,61.535,51.787
4266.506,3588.653,61.568,51.786
4268.771,3588.596,61.601,51.785
4271.029,3588.541,61.633,51.785
4273.280,3588.488,61.666,51.784
4275.524,3588.438,61.698,51.783
4277.761,3588.389,61.730,51.782
4279.991,3588.344,61.763,51.782
4282.214,3588.300,61.795,51.781
4284.432,3588.259,61.827,51.781
4286.643,3588.220,61.859,51.780
4288.848,3588.184,61.890,51.779
4291.047,3588.151,61.922,51.779
4293.241,3588.120,61.954,51.779
4295.429,3588.092,61.985,51.778
4297.612,3588.066,62.017,51.778
4299.790,3588.043,62.048,51.777
4301.963,3588.023,62.080,51.777
4304.131,3588.007,62.111,51.777
4306.294,3587.992,62.142,51.777
4308.454,3587.981,62.173,51.777
4310.608,3587.973,62.204,51.776
4312.759,3587.968,62.236,51.776
4314.906,3587.967,62.266,51.776
4317.049,3587.968,62.297,51.776
4319.189,3587.972,62.328,51.776
4321.325,3587.980,62.359,51.777
4323.458,3587.991,62.390,51.777
4325.588,3588.006,62.421,51.777
4327.716,3588.024,62.451,51.777
4329.840,3588.045,62.482,51.777
4331.962,3588.070,62.513,51.778
4334.083,3588.099,62.543,51.778
4336.200,3588.131,62.574,51.779
4338.316,3588.167,62.604,51.779
4340.430,3588.206,62.635,51.780
4342.542,3588.249,62.665,51.780
4344.653,3588.296,62.696,51.781
4346.763,3588.347,62.726,51.782
4348.871,3588.402,62.757,51.783
4350.979,3588.461,62.787,51.783
4353.086,3588.524,62.817,51.784
4355.192,3588.591,62.848,51.785
4357.298,3588.662,62.878,51.786
4359.404,3588.737,62.909,51.787
4361.510,3588.816,62.939,51.789
4363.616,3588.900,62.969,51.790
4365.722,3588.988,63.000,51.791
4367.829,3589.080,63.030,51.792
4369.936,3589.177,63.061,51.794
4372.043,3589.279,63.091,51.795
4374.151,3589.385,63.121,51.797
4376.260,3589.495,63.152,51.798
4378.368,3589.611,63.182,51.800
4380.476,3589.732,63.213,51.802
4382.584,3589.857,63.243,51.804
4384.692,3589.988,63.274,51.806
