Distance_(mm),Gray_Value
0.0000,65.7186
0.0143,66.0956
0.0286,66.2482
0.0430,66.4048
0.0573,66.7013
0.0716,66.8743
0.0859,66.8461
0.1003,66.6202
0.1146,66.4085
0.1289,66.1894
0.1432,66.3306
0.1576,66.5205
0.1719,66.5000
0.1862,66.2705
0.2005,66.0770
0.2148,66.1170
0.2292,66.3320
0.2435,66.3907
0.2578,66.6116
0.2721,66.5997
0.2865,66.7705
0.3008,66.8757
0.3151,66.6603
0.3294,66.5219
0.3438,66.2113
0.3581,65.9390
0.3724,65.8502
0.3867,65.6835
0.4010,65.5196
0.4154,65.3689
0.4297,65.1521
0.4440,65.2741
0.4583,65.1621
0.4727,65.0674
0.4870,64.8570
0.5013,64.6566
0.5156,64.5624
0.5300,64.3757
0.5443,64.3119
0.5586,63.9977
0.5729,63.6093
0.5873,63.3411
0.6016,63.4622
0.6159,63.7937
0.6302,63.9945
0.6445,64.0524
0.6589,63.8843
0.6732,63.6535
0.6875,63.8197
0.7018,63.8657
0.7162,63.8420
0.7305,63.7486
0.7448,64.0096
0.7591,64.1084
0.7735,64.1594
0.7878,63.9754
0.8021,63.8652
0.8164,63.6981
0.8307,63.7250
0.8451,63.5055
0.8594,63.2550
0.8737,63.1129
0.8880,63.0487
0.9024,63.1066
0.9167,63.4622
0.9310,63.9162
0.9453,63.8843
0.9597,63.9003
0.9740,64.0437
0.9883,63.9545
1.0026,63.9153
1.0169,63.5519
1.0313,63.3151
1.0456,63.1826
1.0599,63.3579
1.0742,63.4918
1.0886,63.6298
1.1029,63.7778
1.1172,63.7204
1.1315,63.4654
1.1459,63.4809
1.1602,63.2564
1.1745,63.1225
1.1888,63.0478
1.2031,63.2924
1.2175,63.3165
1.2318,63.3520
1.2461,63.1799
1.2604,63.1184
1.2748,63.0173
1.2891,63.0865
1.3034,63.1694
1.3177,63.1535
1.3321,62.9986
1.3464,62.9158
1.3607,62.5897
1.3750,62.8857
1.3894,63.1170
1.4037,62.9668
1.4180,62.9135
1.4323,62.8761
1.4466,62.7441
1.4610,62.6075
1.4753,62.3711
1.4896,62.2468
1.5039,62.3206
1.5183,62.6507
1.5326,62.9053
1.5469,63.1480
1.5612,63.1011
1.5756,62.9563
1.5899,62.7327
1.6042,62.9636
1.6185,62.9230
1.6328,62.8515
1.6472,62.7746
1.6615,62.9021
1.6758,63.0228
1.6901,63.1047
1.7045,63.1799
1.7188,63.1002
1.7331,62.9804
1.7474,63.2036
1.7618,63.1926
1.7761,63.1589
1.7904,63.0970
1.8047,63.1311
1.8190,63.4627
1.8334,63.8784
1.8477,64.2145
1.8620,64.1148
1.8763,64.0647
1.8907,64.0264
1.9050,63.8265
1.9193,63.6689
1.9336,63.3679
1.9480,63.3238
1.9623,63.3115
1.9766,63.4258
1.9909,63.5109
2.0052,63.6594
2.0196,63.7546
2.0339,63.7236
2.0482,63.4490
2.0625,63.4431
2.0769,63.1658
2.0912,62.9030
2.1055,62.7787
2.1198,63.2195
2.1342,63.7236
2.1485,63.9841
2.1628,63.9809
2.1771,63.8215
2.1915,63.7404
2.2058,63.8484
2.2201,63.7577
2.2344,63.6730
2.2487,63.8743
2.2631,64.2710
2.2774,64.1667
2.2917,64.1047
2.3060,64.4540
2.3204,64.7710
2.3347,64.9449
2.3490,65.0970
2.3633,65.0387
2.3777,64.8005
2.3920,64.4135
2.4063,64.4454
2.4206,64.5820
2.4349,64.9827
2.4493,64.8379
2.4636,64.7008
2.4779,64.6307
2.4922,64.7127
2.5066,64.7728
2.5209,65.0046
2.5352,65.0287
2.5495,64.8338
2.5639,64.7395
2.5782,65.5273
2.5925,66.2773
2.6068,66.4873
2.6211,66.5191
2.6355,66.8429
2.6498,67.0610
2.6641,67.0487
2.6784,66.7951
2.6928,66.7928
2.7071,67.0237
2.7214,67.3930
2.7357,67.3201
2.7501,67.4048
2.7644,67.4772
2.7787,67.3402
2.7930,67.3780
2.8073,67.6280
2.8217,67.7090
2.8360,67.6630
2.8503,67.4668
2.8646,67.6498
2.8790,67.9048
2.8933,68.2190
2.9076,68.0210
2.9219,67.8552
2.9363,67.6954
2.9506,67.5606
2.9649,67.6070
2.9792,67.8128
2.9935,68.0888
3.0079,68.5173
3.0222,68.7486
3.0365,69.0387
3.0508,69.3365
3.0652,69.5132
3.0795,69.4822
3.0938,69.4622
3.1081,69.2732
3.1225,69.0337
3.1368,68.6352
3.1511,68.4554
3.1654,68.6362
3.1798,68.6712
3.1941,68.5975
3.2084,68.7860
3.2227,69.0587
3.2370,69.0961
3.2514,69.1316
3.2657,69.4130
3.2800,69.6708
3.2943,69.7892
3.3087,69.6352
3.3230,69.7550
3.3373,69.9704
3.3516,70.0920
3.3660,70.2245
3.3803,70.4617
3.3946,70.7072
3.4089,70.7855
3.4232,70.9822
3.4376,71.2627
3.4519,71.4098
3.4662,71.7259
3.4805,71.8834
3.4949,72.1685
3.5092,72.3220
3.5235,72.5915
3.5378,72.9185
3.5522,73.2250
3.5665,73.4681
3.5808,73.5724
3.5951,73.6075
3.6094,73.7436
3.6238,73.8365
3.6381,74.1694
3.6524,73.7486
3.6667,73.5669
3.6811,73.8602
3.6954,74.0455
3.7097,74.2878
3.7240,74.7914
3.7384,74.9576
3.7527,74.9790
3.7670,74.7924
3.7813,74.6689
3.7956,74.9886
3.8100,75.3201
3.8243,75.5355
3.8386,75.7231
3.8529,76.0182
3.8673,76.1125
3.8816,75.9235
3.8959,75.9554
3.9102,76.3338
3.9246,76.8848
3.9389,77.2168
3.9532,77.4244
3.9675,77.0159
3.9819,76.7254
3.9962,76.4727
4.0105,76.0915
4.0248,75.8329
4.0391,75.8092
4.0535,75.6293
4.0678,76.0023
4.0821,76.5323
4.0964,76.9458
4.1108,77.3525
4.1251,77.7491
4.1394,78.0947
4.1537,78.3985
4.1681,78.7468
4.1824,79.2263
4.1967,79.6671
4.2110,79.9772
4.2253,80.6034
4.2397,81.3811
4.2540,82.1516
4.2683,82.6539
4.2826,82.9117
4.2970,83.3406
4.3113,83.5669
4.3256,83.6913
4.3399,83.4331
4.3543,83.4727
4.3686,83.9121
4.3829,84.4567
4.3972,84.4549
4.4115,84.4103
4.4259,84.2486
4.4402,84.0082
4.4545,84.2760
4.4688,84.4344
4.4832,84.5688
4.4975,84.7313
4.5118,84.9540
4.5261,85.5014
4.5405,86.0046
4.5548,86.4080
4.5691,86.5018
4.5834,86.4645
4.5977,86.4809
4.6121,86.2755
4.6264,86.0879
4.6407,86.1384
4.6550,85.6858
4.6694,85.2514
4.6837,85.3402
4.6980,85.9162
4.7123,86.3256
4.7267,86.3766
4.7410,86.3078
4.7553,86.4800
4.7696,86.7873
4.7839,87.0328
4.7983,86.7773
4.8126,86.7723
4.8269,86.7892
4.8412,86.9608
4.8556,86.9759
4.8699,87.0096
4.8842,87.1844
4.8985,87.3802
4.9129,87.4413
4.9272,87.5050
4.9415,87.4850
4.9558,87.2828
4.9702,87.2659
4.9845,87.6557
4.9988,87.8320
5.0131,87.7350
5.0274,87.8229
5.0418,87.9763
5.0561,88.1990
5.0704,88.4590
5.0847,88.4945
5.0991,88.1963
5.1134,88.1849
5.1277,88.4025
5.1420,88.5150
5.1564,88.8015
5.1707,88.7823
5.1850,88.5883
5.1993,88.3497
5.2136,88.4121
5.2280,88.4672
5.2423,88.2618
5.2566,87.8028
5.2709,87.8306
5.2853,88.1680
5.2996,88.7892
5.3139,89.3324
5.3282,89.6066
5.3426,89.7199
5.3569,89.8352
5.3712,89.8616
5.3855,89.8789
5.3998,89.8925
5.4142,89.8242
5.4285,89.6553
5.4428,89.8138
5.4571,90.0897
5.4715,90.2919
5.4858,90.3880
5.5001,90.7377
5.5144,91.1093
5.5288,91.1694
5.5431,90.9349
5.5574,90.6425
5.5717,90.6785
5.5860,90.9804
5.6004,90.8434
5.6147,90.7787
5.6290,90.5082
5.6433,89.9176
5.6577,89.4545
5.6720,89.0533
5.6863,88.7869
5.7006,88.6753
5.7150,88.1744
5.7293,87.7791
5.7436,87.5724
5.7579,87.4936
5.7723,87.2386
5.7866,87.1070
5.8009,86.8912
5.8152,86.8461
5.8295,86.9768
5.8439,87.4481
5.8582,88.0587
5.8725,88.6553
5.8868,89.2049
5.9012,89.7036
5.9155,90.2637
5.9298,90.6207
5.9441,90.7864
5.9585,90.6321
5.9728,90.6903
5.9871,90.8848
6.0014,90.7550
6.0157,90.5801
6.0301,90.6125
6.0444,90.5801
6.0587,90.8875
6.0730,91.3934
6.0874,91.5055
6.1017,91.4071
6.1160,91.2869
6.1303,91.5141
6.1447,92.0296
6.1590,92.1940
6.1733,92.1972
6.1876,92.5861
6.2019,92.9526
6.2163,93.1325
6.2306,93.0619
6.2449,92.9822
6.2592,92.8830
6.2736,92.9030
6.2879,93.1735
6.3022,93.3461
6.3165,93.5260
6.3309,93.7842
6.3452,94.1362
6.3595,94.3324
6.3738,94.0569
6.3881,93.8406
6.4025,93.6375
6.4168,93.6430
6.4311,93.5970
6.4454,93.5373
6.4598,92.9836
6.4741,92.1662
6.4884,91.1521
6.5027,90.5965
6.5171,90.1908
6.5314,90.0583
6.5457,89.8611
6.5600,89.7022
6.5744,89.6831
6.5887,89.8893
6.6030,90.2846
6.6173,90.5806
6.6316,90.2600
6.6460,90.2436
6.6603,90.4513
6.6746,90.6762
6.6889,90.6990
6.7033,90.8511
6.7176,90.9982
6.7319,91.2386
6.7462,91.3383
6.7606,91.1826
6.7749,90.4499
6.7892,89.7117
6.8035,89.4080
6.8178,89.1348
6.8322,88.5820
6.8465,87.8497
6.8608,86.9531
6.8751,86.3821
6.8895,86.0433
6.9038,85.9071
6.9181,85.5551
6.9324,85.2691
