Distance_(mm),Gray_Value
0.0000,68.8757
0.0143,68.8947
0.0286,68.9459
0.0430,69.0497
0.0573,68.9839
0.0716,68.9956
0.0859,68.9430
0.1003,68.7880
0.1146,69.5073
0.1289,69.8626
0.1432,70.1330
0.1576,70.2982
0.1719,70.5687
0.1862,70.4474
0.2005,69.8319
0.2148,70.0731
0.2292,70.7003
0.2435,71.6579
0.2578,71.7617
0.2721,71.6170
0.2865,71.4269
0.3008,71.4240
0.3151,71.5921
0.3294,71.6696
0.3438,71.6009
0.3581,71.4020
0.3724,71.2734
0.3867,71.9327
0.4010,72.4810
0.4154,72.4518
0.4297,72.3772
0.4440,72.4444
0.4583,72.2208
0.4727,71.9664
0.4870,71.6667
0.5013,71.9137
0.5156,72.6096
0.5300,72.9561
0.5443,72.7866
0.5586,72.3363
0.5729,71.9123
0.5873,71.2485
0.6016,70.7412
0.6159,70.9605
0.6302,71.5468
0.6445,71.5059
0.6589,71.0526
0.6732,71.1155
0.6875,71.5088
0.7018,72.1257
0.7162,72.1535
0.7305,71.8670
0.7448,71.6959
0.7591,71.7222
0.7735,71.9868
0.7878,72.0278
0.8021,72.3626
0.8164,72.7120
0.8307,72.7646
0.8451,72.8757
0.8594,73.2880
0.8737,73.5760
0.8880,73.8012
0.9024,74.1974
0.9167,74.1871
0.9310,73.7061
0.9453,73.4050
0.9597,73.2134
0.9740,73.3830
0.9883,73.4927
1.0026,73.8523
1.0169,73.7851
1.0313,73.9342
1.0456,74.0512
1.0599,73.9898
1.0742,74.5556
1.0886,75.1681
1.1029,75.3319
1.1172,75.3553
1.1315,75.5716
1.1459,75.8816
1.1602,76.1608
1.1745,76.0804
1.1888,76.4474
1.2031,77.0044
1.2175,77.2822
1.2318,77.7924
1.2461,77.5950
1.2604,77.7325
1.2748,78.0687
1.2891,78.1930
1.3034,77.8728
1.3177,77.5117
1.3321,77.5746
1.3464,77.9313
1.3607,78.3216
1.3750,78.5789
1.3894,78.5775
1.4037,78.7208
1.4180,78.6433
1.4323,78.5863
1.4466,78.8991
1.4610,78.1871
1.4753,77.8904
1.4896,78.0556
1.5039,78.2047
1.5183,78.2441
1.5326,78.3713
1.5469,78.6038
1.5612,78.7661
1.5756,78.8728
1.5899,79.1988
1.6042,79.8421
1.6185,80.3626
1.6328,80.5863
1.6472,80.6316
1.6615,80.5629
1.6758,80.4795
1.6901,80.1652
1.7045,79.9634
