X_px,Y_px,X_mm,Y_mm
7791.000,3396.000,112.172,48.894
7790.909,3396.002,112.171,48.894
7790.639,3396.009,112.167,48.894
7790.194,3396.019,112.160,48.895
7789.582,3396.034,112.151,48.895
7788.805,3396.053,112.140,48.895
7787.869,3396.077,112.127,48.895
7786.780,3396.105,112.111,48.896
7785.542,3396.137,112.093,48.896
7784.159,3396.174,112.073,48.897
7782.638,3396.216,112.052,48.897
7780.983,3396.262,112.028,48.898
7779.200,3396.312,112.002,48.899
7777.292,3396.368,111.975,48.900
7775.267,3396.427,111.945,48.900
7773.126,3396.492,111.915,48.901
7770.878,3396.561,111.882,48.902
7768.526,3396.635,111.848,48.903
7766.075,3396.714,111.813,48.905
7763.530,3396.797,111.776,48.906
7760.896,3396.886,111.738,48.907
7758.180,3396.979,111.699,48.908
7755.384,3397.077,111.659,48.910
7752.515,3397.180,111.618,48.911
7749.576,3397.288,111.575,48.913
7746.575,3397.401,111.532,48.915
7743.515,3397.520,111.488,48.916
7740.400,3397.643,111.443,48.918
7737.238,3397.771,111.398,48.920
7734.032,3397.905,111.352,48.922
7730.787,3398.043,111.305,48.924
7727.509,3398.187,111.258,48.926
7724.202,3398.336,111.210,48.928
7720.872,3398.491,111.162,48.930
7717.523,3398.650,111.114,48.932
7714.161,3398.815,111.066,48.935
7710.790,3398.986,111.017,48.937
7707.416,3399.162,110.968,48.940
7704.042,3399.343,110.920,48.942
7700.676,3399.530,110.871,48.945
7697.321,3399.722,110.823,48.948
7693.983,3399.920,110.775,48.951
7690.667,3400.123,110.727,48.954
7687.376,3400.333,110.680,48.957
7684.118,3400.547,110.633,48.960
7680.896,3400.768,110.587,48.963
7677.715,3400.994,110.541,48.966
7674.582,3401.225,110.496,48.970
7671.500,3401.463,110.451,48.973
7668.475,3401.707,110.408,48.976
7665.511,3401.956,110.365,48.980
7662.613,3402.211,110.323,48.984
7659.781,3402.472,110.283,48.988
7657.014,3402.740,110.243,48.991
7654.309,3403.014,110.204,48.995
7651.665,3403.295,110.166,48.999
7649.080,3403.582,110.129,49.004
7646.552,3403.877,110.092,49.008
7644.080,3404.179,110.057,49.012
7641.661,3404.489,110.022,49.017
7639.294,3404.806,109.988,49.021
7636.977,3405.131,109.954,49.026
7634.708,3405.465,109.922,49.031
7632.486,3405.806,109.890,49.036
7630.310,3406.156,109.858,49.041
7628.175,3406.516,109.828,49.046
7626.082,3406.884,109.797,49.051
7624.028,3407.261,109.768,49.056
7622.013,3407.647,109.739,49.062
7620.032,3408.043,109.710,49.068
7618.086,3408.449,109.682,49.074
7616.173,3408.865,109.655,49.080
7614.290,3409.292,109.628,49.086
7612.436,3409.729,109.601,49.092
7610.608,3410.176,109.575,49.098
7608.806,3410.634,109.549,49.105
7607.028,3411.103,109.523,49.112
7605.271,3411.584,109.498,49.119
7603.534,3412.076,109.473,49.126
7601.815,3412.579,109.448,49.133
7600.112,3413.095,109.424,49.140
7598.424,3413.623,109.399,49.148
7596.749,3414.162,109.375,49.156
7595.085,3414.715,109.351,49.164
7593.430,3415.280,109.327,49.172
7591.782,3415.858,109.304,49.180
7590.141,3416.449,109.280,49.189
7588.503,3417.054,109.256,49.197
7586.867,3417.672,109.233,49.206
7585.231,3418.304,109.209,49.215
7583.595,3418.950,109.186,49.225
7581.955,3419.610,109.162,49.234
7580.310,3420.284,109.138,49.244
7578.660,3420.973,109.115,49.254
7577.004,3421.676,109.091,49.264
7575.346,3422.392,109.067,49.274
7573.685,3423.122,109.043,49.285
7572.023,3423.864,109.019,49.296
7570.360,3424.619,108.995,49.306
7568.698,3425.386,108.971,49.317
7567.038,3426.165,108.947,49.329
7565.380,3426.956,108.924,49.340
7563.727,3427.757,108.900,49.352
7562.077,3428.569,108.876,49.363
7560.434,3429.391,108.852,49.375
7558.797,3430.223,108.829,49.387
7557.169,3431.065,108.805,49.399
7555.549,3431.916,108.782,49.411
7553.940,3432.776,108.759,49.424
7552.341,3433.644,108.736,49.436
7550.754,3434.520,108.713,49.449
7549.181,3435.404,108.690,49.462
7547.622,3436.295,108.668,49.474
7546.077,3437.194,108.646,49.487
7544.549,3438.099,108.624,49.500
7543.039,3439.010,108.602,49.514
7541.546,3439.927,108.580,49.527
7540.072,3440.849,108.559,49.540
7538.619,3441.777,108.538,49.553
7537.188,3442.709,108.518,49.567
7535.778,3443.646,108.497,49.580
7534.393,3444.586,108.477,49.594
7533.031,3445.531,108.458,49.607
7531.695,3446.478,108.439,49.621
7530.386,3447.429,108.420,49.635
7529.104,3448.382,108.401,49.649
7527.851,3449.337,108.383,49.662
7526.627,3450.294,108.366,49.676
7525.434,3451.253,108.348,49.690
7524.270,3452.215,108.332,49.704
7523.133,3453.181,108.315,49.718
7522.024,3454.151,108.299,49.732
7520.942,3455.127,108.284,49.746
7519.885,3456.110,108.268,49.760
7518.853,3457.101,108.254,49.774
7517.845,3458.101,108.239,49.788
7516.859,3459.110,108.225,49.803
7515.896,3460.131,108.211,49.818
7514.953,3461.163,108.197,49.833
7514.031,3462.208,108.184,49.848
7513.127,3463.266,108.171,49.863
7512.243,3464.339,108.158,49.878
7511.375,3465.428,108.146,49.894
7510.524,3466.534,108.134,49.910
7509.689,3467.657,108.122,49.926
7508.869,3468.800,108.110,49.942
7508.062,3469.961,108.098,49.959
7507.268,3471.144,108.087,49.976
7506.486,3472.348,108.076,49.994
7505.715,3473.575,108.064,50.011
7504.955,3474.826,108.054,50.029
7504.203,3476.101,108.043,50.048
7503.460,3477.402,108.032,50.066
7502.725,3478.729,108.021,50.085
