X_px,Y_px,X_mm,Y_mm
3896.215,3786.130,56.162,54.575
3893.629,3786.141,56.124,54.575
3891.023,3786.158,56.087,54.575
3888.396,3786.180,56.049,54.576
3885.751,3786.207,56.011,54.576
3883.088,3786.239,55.972,54.576
3880.408,3786.275,55.934,54.577
3877.713,3786.316,55.895,54.577
3875.003,3786.359,55.856,54.578
3872.281,3786.406,55.817,54.579
3869.546,3786.456,55.777,54.580
3866.802,3786.508,55.738,54.580
3864.050,3786.562,55.698,54.581
3861.293,3786.615,55.658,54.582
3858.533,3786.670,55.618,54.583
3855.771,3786.723,55.579,54.583
3853.010,3786.776,55.539,54.584
3850.252,3786.826,55.499,54.585
3847.500,3786.874,55.459,54.586
3844.753,3786.919,55.420,54.586
3842.012,3786.960,55.380,54.587
3839.274,3786.998,55.341,54.587
3836.539,3787.032,55.301,54.588
3833.803,3787.062,55.262,54.588
3831.067,3787.089,55.223,54.589
3828.328,3787.111,55.183,54.589
3825.584,3787.128,55.144,54.589
3822.835,3787.141,55.104,54.589
3820.079,3787.149,55.064,54.590
3817.320,3787.154,55.024,54.590
3814.561,3787.154,54.985,54.590
3811.806,3787.151,54.945,54.590
3809.056,3787.146,54.905,54.589
3806.317,3787.138,54.866,54.589
3803.591,3787.128,54.827,54.589
3800.882,3787.116,54.787,54.589
3798.193,3787.104,54.749,54.589
3795.525,3787.091,54.710,54.589
3792.874,3787.078,54.672,54.588
3790.233,3787.065,54.634,54.588
3787.598,3787.052,54.596,54.588
3784.962,3787.040,54.558,54.588
3782.320,3787.030,54.520,54.588
3779.665,3787.021,54.482,54.588
3776.993,3787.013,54.443,54.588
3774.297,3787.008,54.404,54.587
3771.576,3787.005,54.365,54.587
3768.833,3787.005,54.325,54.587
3766.074,3787.009,54.286,54.587
3763.303,3787.016,54.246,54.588
3760.525,3787.027,54.206,54.588
3757.743,3787.042,54.166,54.588
3754.963,3787.063,54.126,54.588
3752.189,3787.088,54.086,54.589
3749.426,3787.120,54.046,54.589
3746.675,3787.157,54.006,54.590
3743.936,3787.201,53.967,54.590
3741.205,3787.251,53.927,54.591
3738.480,3787.310,53.888,54.592
3735.758,3787.376,53.849,54.593
3733.038,3787.450,53.810,54.594
3730.317,3787.534,53.770,54.595
3727.592,3787.626,53.731,54.596
3724.862,3787.728,53.692,54.598
3722.124,3787.841,53.652,54.599
3719.381,3787.964,53.613,54.601
3716.636,3788.098,53.573,54.603
3713.890,3788.243,53.534,54.605
3711.146,3788.401,53.494,54.608
3708.407,3788.572,53.454,54.610
3705.673,3788.756,53.415,54.613
3702.948,3788.953,53.376,54.616
3700.234,3789.164,53.337,54.619
3697.532,3789.390,53.298,54.622
3694.841,3789.631,53.259,54.625
3692.158,3789.889,53.220,54.629
3689.483,3790.164,53.182,54.633
3686.813,3790.457,53.143,54.637
3684.148,3790.769,53.105,54.642
3681.484,3791.100,53.066,54.646
3678.821,3791.452,53.028,54.652
3676.157,3791.825,52.990,54.657
3673.491,3792.220,52.951,54.663
3670.823,3792.635,52.913,54.669
3668.154,3793.072,52.874,54.675
3665.482,3793.528,52.836,54.681
3662.809,3794.004,52.797,54.688
3660.134,3794.499,52.759,54.695
3657.457,3795.011,52.720,54.703
3654.780,3795.542,52.681,54.710
3652.101,3796.090,52.643,54.718
3649.421,3796.654,52.604,54.727
3646.741,3797.233,52.566,54.735
3644.064,3797.824,52.527,54.743
3641.388,3798.427,52.488,54.752
3638.717,3799.040,52.450,54.761
3636.051,3799.661,52.412,54.770
3633.390,3800.288,52.373,54.779
3630.737,3800.920,52.335,54.788
3628.092,3801.556,52.297,54.797
3625.456,3802.194,52.259,54.806
3622.828,3802.832,52.221,54.816
3620.209,3803.471,52.183,54.825
3617.598,3804.109,52.146,54.834
3614.994,3804.745,52.108,54.843
3612.397,3805.379,52.071,54.852
3609.808,3806.009,52.033,54.861
3607.226,3806.634,51.996,54.870
3604.650,3807.254,51.959,54.879
3602.080,3807.869,51.922,54.888
3599.515,3808.478,51.885,54.897
3596.954,3809.082,51.848,54.906
3594.396,3809.681,51.811,54.914
3591.842,3810.277,51.774,54.923
3589.289,3810.868,51.737,54.931
3586.738,3811.457,51.701,54.940
3584.187,3812.042,51.664,54.948
3581.635,3812.624,51.627,54.957
3579.084,3813.203,51.590,54.965
3576.534,3813.779,51.554,54.973
3573.988,3814.351,51.517,54.982
3571.445,3814.919,51.480,54.990
3568.907,3815.482,51.444,54.998
3566.376,3816.041,51.407,55.006
3563.852,3816.594,51.371,55.014
3561.336,3817.142,51.335,55.022
3558.830,3817.685,51.298,55.030
3556.331,3818.226,51.262,55.037
3553.840,3818.769,51.226,55.045
3551.354,3819.316,51.191,55.053
3548.873,3819.871,51.155,55.061
3546.395,3820.437,51.119,55.069
3543.919,3821.017,51.083,55.078
3541.446,3821.614,51.048,55.086
3538.972,3822.230,51.012,55.095
3536.498,3822.868,50.977,55.104
3534.024,3823.527,50.941,55.114
3531.549,3824.207,50.905,55.124
3529.072,3824.908,50.869,55.134
3526.594,3825.631,50.834,55.144
3524.114,3826.376,50.798,55.155
3521.632,3827.144,50.762,55.166
3519.147,3827.934,50.726,55.177
3516.659,3828.746,50.691,55.189
3514.167,3829.578,50.655,55.201
3511.669,3830.431,50.619,55.213
3509.165,3831.301,50.583,55.226
3506.654,3832.189,50.546,55.239
3504.135,3833.094,50.510,55.252
3501.606,3834.012,50.474,55.265
3499.068,3834.945,50.437,55.278
3496.518,3835.890,50.400,55.292
3493.958,3836.846,50.363,55.306
3491.390,3837.812,50.326,55.320
3488.815,3838.787,50.289,55.334
3486.235,3839.770,50.252,55.348
3483.652,3840.759,50.215,55.362
3481.068,3841.754,50.178,55.377
3478.484,3842.752,50.140,55.391
3475.902,3843.754,50.103,55.405
3473.324,3844.758,50.066,55.420
3470.750,3845.762,50.029,55.434
