Distance_(mm),Gray_Value
0.0000,63.1058
0.0144,63.5365
0.0288,63.8767
0.0432,64.2359
0.0577,64.7610
0.0721,65.6773
0.0865,66.3493
0.1009,66.8181
0.1153,66.6575
0.1297,66.6903
0.1441,66.8798
0.1586,67.3699
0.1730,67.5403
0.1874,67.8227
0.2018,67.7831
0.2162,67.4536
0.2306,66.9536
0.2450,66.6286
0.2595,66.5190
0.2739,66.3927
0.2883,65.5373
0.3027,65.0670
0.3171,64.4589
0.3315,64.2428
0.3459,63.8615
0.3604,64.0069
0.3748,64.3957
0.3892,64.7694
0.4036,64.8189
0.4180,64.7755
0.4324,64.8478
0.4468,65.2679
0.4613,65.4376
0.4757,65.6865
0.4901,65.4262
0.5045,65.1454
0.5189,64.9726
0.5333,65.0183
0.5477,65.0069
0.5622,64.6857
0.5766,64.2298
0.5910,64.1690
0.6054,64.4201
0.6198,64.9490
0.6342,65.2359
0.6486,65.3546
0.6631,65.2192
0.6775,64.8417
0.6919,64.0396
0.7063,63.5693
0.7207,63.1020
0.7351,62.8973
0.7495,62.4300
0.7640,62.4536
0.7784,62.4399
0.7928,62.3075
0.8072,61.8615
0.8216,61.9581
0.8360,61.7557
0.8504,62.0548
0.8649,62.0936
0.8793,62.3158
0.8937,62.1043
0.9081,62.1332
0.9225,61.9490
0.9369,62.2024
0.9514,62.5449
0.9658,63.1271
0.9802,63.7070
0.9946,64.3615
1.0090,65.0966
1.0234,65.5571
1.0378,65.6286
1.0523,65.5639
1.0667,65.1301
1.0811,64.7740
1.0955,64.2839
1.1099,64.3706
1.1243,64.4749
1.1387,64.5921
1.1532,64.5944
1.1676,64.5236
1.1820,64.5662
1.1964,64.8782
1.2108,64.7055
1.2252,65.0396
1.2396,65.2542
1.2541,65.5244
1.2685,65.7542
1.2829,66.4954
1.2973,66.8333
1.3117,67.2945
1.3261,67.2694
1.3405,67.1537
1.3550,67.2283
1.3694,67.7922
1.3838,68.0525
1.3982,68.2047
1.4126,68.5008
1.4270,69.0069
1.4414,69.5708
1.4559,70.0769
1.4703,70.5145
1.4847,70.6408
1.4991,70.7382
1.5135,70.7983
1.5279,70.5419
1.5423,70.0015
1.5568,69.5114
1.5712,69.2770
1.5856,69.0708
1.6000,68.7542
1.6144,68.2283
1.6288,67.9977
1.6432,68.0167
1.6577,68.0814
1.6721,67.7740
1.6865,67.8760
1.7009,67.8973
1.7153,68.1294
1.7297,68.3493
1.7441,69.1408
1.7586,69.9087
1.7730,70.4954
1.7874,70.4985
1.8018,70.2542
1.8162,70.0167
1.8306,69.7032
1.8450,69.0715
1.8595,68.7534
1.8739,69.0053
1.8883,69.6408
1.9027,70.0556
1.9171,70.5008
1.9315,70.7154
1.9459,70.5586
1.9604,70.3569
1.9748,70.6735
1.9892,70.7983
2.0036,70.9269
2.0180,70.7222
2.0324,70.7999
2.0468,70.6408
2.0613,70.5312
