Distance_(mm),Gray_Value
0.0000,69.0524
0.0143,69.1452
0.0286,69.2476
0.0428,69.2881
0.0571,69.5714
0.0714,69.6690
0.0857,69.3762
0.0999,69.3048
0.1142,69.1976
0.1285,69.0024
0.1428,69.1548
0.1570,69.1714
0.1713,69.0619
0.1856,69.1786
0.1999,69.1119
0.2141,68.9048
0.2284,68.7762
0.2427,68.7262
0.2570,68.7571
0.2712,68.8667
0.2855,68.9714
0.2998,68.9143
0.3141,69.0881
0.3283,69.4357
0.3426,69.7762
0.3569,69.8619
0.3712,69.9429
0.3855,70.0333
0.3997,69.9524
0.4140,69.8595
0.4283,70.0905
0.4426,70.4286
0.4568,70.6905
0.4711,70.6810
0.4854,70.8857
0.4997,70.9952
0.5139,71.2048
0.5282,71.3238
0.5425,71.5524
0.5568,71.8500
0.5710,72.2119
0.5853,72.3738
0.5996,72.3310
0.6139,72.5571
0.6281,72.9214
0.6424,73.1143
0.6567,73.6143
0.6710,73.7976
0.6853,73.9786
0.6995,74.0095
0.7138,73.9881
0.7281,74.2429
0.7424,74.4667
0.7566,74.7095
0.7709,74.6690
0.7852,74.3476
0.7995,74.5095
0.8137,74.8429
0.8280,75.4738
0.8423,76.0714
0.8566,76.0429
0.8708,75.9167
0.8851,75.9548
0.8994,76.2762
0.9137,76.8762
0.9279,77.3595
0.9422,77.8619
0.9565,78.2143
0.9708,78.3405
0.9850,78.6524
0.9993,78.6476
1.0136,78.5262
1.0279,78.4190
1.0422,78.9690
1.0564,79.4809
1.0707,79.2167
1.0850,79.2286
1.0993,79.1310
1.1135,79.3429
1.1278,79.5429
1.1421,79.8690
1.1564,80.2167
1.1706,80.4071
1.1849,80.3738
1.1992,80.5214
1.2135,81.3357
1.2277,81.5810
1.2420,81.6667
1.2563,81.6000
1.2706,81.6690
1.2848,82.0786
1.2991,81.8952
1.3134,81.6452
1.3277,81.9333
1.3420,82.0357
1.3562,82.5024
1.3705,83.1976
1.3848,83.4714
1.3991,83.8500
1.4133,84.4333
1.4276,84.7929
1.4419,84.8833
1.4562,85.6405
1.4704,86.3000
1.4847,86.3929
1.4990,86.6690
1.5133,87.3786
1.5275,88.0476
1.5418,88.2262
1.5561,88.3476
1.5704,88.4690
1.5846,88.8643
1.5989,89.1405
1.6132,89.3714
1.6275,89.3524
1.6417,89.6714
1.6560,90.1690
1.6703,90.3643
1.6846,90.6619
1.6989,90.6429
1.7131,90.5071
1.7274,90.6333
1.7417,90.8548
1.7560,90.7286
1.7702,90.6452
1.7845,90.5071
1.7988,90.5976
1.8131,90.9738
1.8273,91.2048
1.8416,91.4024
1.8559,91.4619
1.8702,91.7476
1.8844,91.9119
1.8987,92.1952
1.9130,92.8310
1.9273,93.3190
1.9415,93.3429
1.9558,93.5643
1.9701,94.0143
1.9844,94.9095
1.9987,95.2262
2.0129,95.3476
2.0272,95.8810
2.0415,96.4214
2.0558,96.6714
2.0700,97.3690
2.0843,98.0738
2.0986,98.0357
2.1129,98.0476
2.1271,98.1952
2.1414,97.8429
2.1557,97.5429
2.1700,97.5738
2.1842,97.5619
2.1985,97.3810
2.2128,96.8905
2.2271,96.6190
2.2413,96.7952
2.2556,97.2667
2.2699,97.8714
2.2842,97.9238
2.2984,97.7095
2.3127,97.4714
2.3270,97.4000
2.3413,97.3762
2.3556,97.6286
2.3698,97.7762
2.3841,98.2429
2.3984,98.0833
2.4127,98.4214
2.4269,99.0119
2.4412,99.4429
2.4555,99.8048
2.4698,99.7548
2.4840,100.0429
2.4983,100.3429
2.5126,100.6286
2.5269,100.7714
2.5411,100.9905
2.5554,101.1119
2.5697,101.5048
2.5840,101.6500
2.5982,101.8524
2.6125,101.8643
2.6268,102.0238
2.6411,102.1190
2.6553,102.3143
2.6696,102.7286
2.6839,102.8190
2.6982,102.5548
2.7125,102.6881
2.7267,103.1905
2.7410,103.2000
2.7553,103.2357
2.7696,103.5191
2.7838,103.5405
2.7981,103.5929
2.8124,103.5571
2.8267,103.4524
2.8409,103.1476
2.8552,103.3738
2.8695,103.5381
2.8838,103.9595
2.8980,103.9976
2.9123,103.9881
2.9266,104.1167
2.9409,104.1381
2.9551,104.4119
2.9694,104.5000
2.9837,104.6333
2.9980,105.1310
3.0123,105.3476
3.0265,105.6619
3.0408,105.8024
3.0551,105.7524
3.0694,105.6833
3.0836,105.8619
3.0979,105.9190
3.1122,105.8738
3.1265,105.9024
3.1407,106.0762
3.1550,105.8143
3.1693,105.9000
3.1836,105.7524
3.1978,105.5905
3.2121,105.4214
3.2264,105.7476
3.2407,105.8833
3.2549,105.9857
3.2692,105.9881
3.2835,106.1095
3.2978,106.2500
3.3120,106.3286
3.3263,106.2881
3.3406,106.5714
3.3549,106.4952
3.3692,106.1619
3.3834,106.2190
3.3977,105.7667
3.4120,105.4262
3.4263,105.3524
3.4405,105.3405
3.4548,105.5262
3.4691,105.4190
3.4834,105.2976
3.4976,104.6643
3.5119,103.7571
3.5262,102.7500
3.5405,101.8976
3.5547,101.5048
3.5690,101.5381
3.5833,101.3976
3.5976,100.9071
3.6118,100.0143
3.6261,99.7691
3.6404,99.5024
3.6547,98.7905
3.6690,98.4190
