X_px,Y_px,X_mm,Y_mm
7629.000,3434.000,109.401,49.244
7626.809,3434.311,109.370,49.249
7624.654,3434.629,109.339,49.253
7622.535,3434.955,109.308,49.258
7620.450,3435.287,109.278,49.263
7618.397,3435.627,109.249,49.267
7616.377,3435.973,109.220,49.272
7614.386,3436.326,109.191,49.277
7612.425,3436.686,109.163,49.283
7610.493,3437.051,109.136,49.288
7608.587,3437.422,109.108,49.293
7606.707,3437.799,109.081,49.299
7604.851,3438.182,109.055,49.304
7603.019,3438.570,109.028,49.310
7601.209,3438.963,109.002,49.315
7599.420,3439.361,108.977,49.321
7597.652,3439.764,108.951,49.327
7595.901,3440.171,108.926,49.333
7594.169,3440.583,108.901,49.338
7592.453,3440.999,108.877,49.344
7590.752,3441.418,108.852,49.350
7589.064,3441.842,108.828,49.357
7587.391,3442.269,108.804,49.363
7585.728,3442.699,108.780,49.369
7584.076,3443.133,108.757,49.375
7582.433,3443.569,108.733,49.381
7580.798,3444.009,108.710,49.388
7579.171,3444.450,108.686,49.394
7577.549,3444.894,108.663,49.400
7575.932,3445.341,108.640,49.407
7574.317,3445.789,108.617,49.413
7572.706,3446.239,108.594,49.420
7571.095,3446.690,108.571,49.426
7569.484,3447.143,108.547,49.433
7567.873,3447.597,108.524,49.439
7566.258,3448.052,108.501,49.446
7564.640,3448.507,108.478,49.452
7563.017,3448.963,108.455,49.459
7561.388,3449.420,108.431,49.465
7559.751,3449.877,108.408,49.472
7558.106,3450.333,108.384,49.478
7556.453,3450.790,108.361,49.485
7554.788,3451.246,108.337,49.491
7553.111,3451.701,108.313,49.498
7551.421,3452.155,108.288,49.504
7549.718,3452.609,108.264,49.511
7548.000,3453.061,108.239,49.517
7546.271,3453.513,108.215,49.524
7544.527,3453.964,108.190,49.530
7542.771,3454.415,108.164,49.537
7541.003,3454.865,108.139,49.543
7539.224,3455.314,108.114,49.550
7537.432,3455.763,108.088,49.556
7535.628,3456.212,108.062,49.563
7533.813,3456.661,108.036,49.569
7531.988,3457.109,108.010,49.575
7530.151,3457.558,107.983,49.582
7528.305,3458.007,107.957,49.588
7526.448,3458.456,107.930,49.595
7524.581,3458.905,107.904,49.601
7522.705,3459.354,107.877,49.608
7520.819,3459.804,107.850,49.614
7518.925,3460.254,107.822,49.621
7517.021,3460.705,107.795,49.627
7515.110,3461.157,107.768,49.633
7513.190,3461.609,107.740,49.640
7511.263,3462.062,107.713,49.646
7509.327,3462.516,107.685,49.653
7507.385,3462.971,107.657,49.660
7505.435,3463.428,107.629,49.666
7503.479,3463.885,107.601,49.673
7501.516,3464.344,107.573,49.679
7499.547,3464.804,107.545,49.686
7497.572,3465.265,107.516,49.692
7495.591,3465.729,107.488,49.699
7493.605,3466.193,107.459,49.706
7491.614,3466.659,107.431,49.712
7489.619,3467.128,107.402,49.719
7487.618,3467.598,107.374,49.726
7485.614,3468.070,107.345,49.733
7483.605,3468.544,107.316,49.739
7481.593,3469.020,107.287,49.746
7479.578,3469.498,107.258,49.753
7477.559,3469.979,107.229,49.760
7475.537,3470.462,107.200,49.767
7473.513,3470.948,107.171,49.774
7471.487,3471.436,107.142,49.781
7469.458,3471.927,107.113,49.788
7467.429,3472.420,107.084,49.795
7465.397,3472.917,107.055,49.802
7463.364,3473.416,107.026,49.809
7461.331,3473.918,106.997,49.816
7459.297,3474.423,106.967,49.824
7457.262,3474.932,106.938,49.831
7455.226,3475.443,106.909,49.838
7453.190,3475.958,106.880,49.846
7451.152,3476.476,106.851,49.853
7449.114,3476.998,106.821,49.861
7447.074,3477.522,106.792,49.868
7445.033,3478.051,106.763,49.876
7442.990,3478.582,106.734,49.883
7440.946,3479.117,106.704,49.891
7438.900,3479.656,106.675,49.899
7436.852,3480.198,106.646,49.907
7434.802,3480.744,106.616,49.914
7432.750,3481.293,106.587,49.922
7430.696,3481.846,106.557,49.930
7428.640,3482.403,106.528,49.938
7426.581,3482.964,106.498,49.946
7424.520,3483.529,106.469,49.954
7422.456,3484.097,106.439,49.962
7420.389,3484.669,106.409,49.971
7418.319,3485.246,106.380,49.979
7416.247,3485.826,106.350,49.987
7414.171,3486.410,106.320,49.996
7412.092,3486.999,106.290,50.004
