X_px,Y_px,X_mm,Y_mm
8076.005,3607.950,115.780,51.725
8073.265,3607.971,115.741,51.725
8070.360,3608.008,115.700,51.726
8067.278,3608.062,115.655,51.726
8064.006,3608.137,115.608,51.728
8060.533,3608.236,115.559,51.729
8056.857,3608.360,115.506,51.731
8053.012,3608.506,115.451,51.733
8049.036,3608.669,115.394,51.735
8044.968,3608.844,115.336,51.738
8040.848,3609.029,115.276,51.740
8036.713,3609.217,115.217,51.743
8032.598,3609.405,115.158,51.746
8028.502,3609.593,115.099,51.748
8024.414,3609.783,115.041,51.751
8020.318,3609.977,114.982,51.754
8016.201,3610.175,114.923,51.757
8012.049,3610.380,114.864,51.760
8007.849,3610.593,114.803,51.763
8003.595,3610.815,114.742,51.766
7999.299,3611.045,114.681,51.769
7994.974,3611.284,114.619,51.773
7990.632,3611.531,114.557,51.776
7986.285,3611.786,114.494,51.780
7981.946,3612.049,114.432,51.784
7977.627,3612.318,114.370,51.787
7973.337,3612.594,114.309,51.791
7969.077,3612.879,114.248,51.796
7964.849,3613.174,114.187,51.800
7960.655,3613.478,114.127,51.804
7956.496,3613.794,114.067,51.809
7952.374,3614.123,114.008,51.813
7948.291,3614.465,113.950,51.818
7944.244,3614.823,113.891,51.823
7940.228,3615.200,113.834,51.829
7936.238,3615.598,113.777,51.834
7932.269,3616.019,113.720,51.841
7928.316,3616.467,113.663,51.847
7924.375,3616.944,113.607,51.854
7920.445,3617.449,113.550,51.861
7916.532,3617.977,113.494,51.869
7912.643,3618.521,113.438,51.876
7908.784,3619.076,113.383,51.884
7904.962,3619.635,113.328,51.892
7901.183,3620.192,113.274,51.900
7897.448,3620.740,113.221,51.908
7893.743,3621.266,113.167,51.916
7890.053,3621.758,113.115,51.923
7886.363,3622.202,113.062,51.929
7882.658,3622.587,113.009,51.935
7878.922,3622.899,112.955,51.939
7875.147,3623.134,112.901,51.943
7871.337,3623.304,112.846,51.945
7867.496,3623.421,112.791,51.947
7863.628,3623.499,112.736,51.948
7859.739,3623.551,112.680,51.949
7855.833,3623.588,112.624,51.949
7851.914,3623.625,112.568,51.950
7847.984,3623.669,112.511,51.950
7844.044,3623.730,112.455,51.951
7840.094,3623.819,112.398,51.952
7836.138,3623.943,112.342,51.954
7832.174,3624.113,112.285,51.957
7828.206,3624.336,112.228,51.960
7824.236,3624.615,112.171,51.964
7820.271,3624.949,112.114,51.969
7816.312,3625.339,112.057,51.974
7812.366,3625.784,112.001,51.981
7808.437,3626.285,111.945,51.988
7804.527,3626.842,111.888,51.996
7800.637,3627.452,111.833,52.004
7796.759,3628.115,111.777,52.014
7792.889,3628.828,111.722,52.024
7789.020,3629.589,111.666,52.035
7785.147,3630.395,111.611,52.047
7781.264,3631.244,111.555,52.059
7777.369,3632.135,111.499,52.072
7773.464,3633.067,111.443,52.085
7769.553,3634.036,111.387,52.099
7765.637,3635.042,111.331,52.113
7761.719,3636.084,111.275,52.128
7757.803,3637.159,111.219,52.144
7753.891,3638.266,111.163,52.159
7749.982,3639.404,111.106,52.176
7746.079,3640.572,111.051,52.193
7742.182,3641.767,110.995,52.210
7738.291,3642.990,110.939,52.227
7734.406,3644.237,110.883,52.245
7730.528,3645.509,110.828,52.263
7726.659,3646.805,110.772,52.282
7722.798,3648.125,110.717,52.301
7718.948,3649.471,110.662,52.320
7715.108,3650.843,110.607,52.340
7711.280,3652.241,110.552,52.360
7707.464,3653.667,110.497,52.380
7703.664,3655.122,110.442,52.401
7699.880,3656.604,110.388,52.422
7696.117,3658.113,110.334,52.444
7692.377,3659.649,110.281,52.466
7688.666,3661.211,110.227,52.488
7684.984,3662.799,110.175,52.511
7681.336,3664.412,110.122,52.534
7677.720,3666.054,110.071,52.558
7674.130,3667.730,110.019,52.582
7670.562,3669.446,109.968,52.606
7667.011,3671.208,109.917,52.632
7663.471,3673.020,109.866,52.658
7659.938,3674.888,109.816,52.684
7656.413,3676.814,109.765,52.712
7652.902,3678.795,109.715,52.741
7649.415,3680.827,109.665,52.770
7645.958,3682.907,109.615,52.799
7642.542,3685.032,109.566,52.830
7639.173,3687.198,109.518,52.861
7635.858,3689.402,109.470,52.893
7632.592,3691.642,109.424,52.925
7629.370,3693.917,109.377,52.957
7626.185,3696.226,109.332,52.990
7623.031,3698.568,109.286,53.024
7619.902,3700.941,109.242,53.058
7616.793,3703.344,109.197,53.092
7613.697,3705.776,109.153,53.127
7610.608,3708.238,109.108,53.163
7607.520,3710.728,109.064,53.198
7604.426,3713.247,109.020,53.234
7601.321,3715.793,108.975,53.271
7598.199,3718.367,108.930,53.308
7595.060,3720.965,108.885,53.345
7591.907,3723.577,108.840,53.383
7588.747,3726.198,108.795,53.420
7585.583,3728.818,108.750,53.458
7582.422,3731.429,108.704,53.495
7579.270,3734.024,108.659,53.532
7576.127,3736.597,108.614,53.569
7572.992,3739.148,108.569,53.606
7569.857,3741.680,108.524,53.642
7566.718,3744.197,108.479,53.678
7563.567,3746.700,108.434,53.714
7560.399,3749.194,108.389,53.750
7557.209,3751.680,108.343,53.785
7553.996,3754.156,108.297,53.821
7550.765,3756.618,108.250,53.856
7547.519,3759.059,108.204,53.891
7544.263,3761.475,108.157,53.926
7541.000,3763.859,108.110,53.960
7537.736,3766.207,108.064,53.994
7534.471,3768.515,108.017,54.027
7531.198,3770.783,107.970,54.059
7527.910,3773.011,107.923,54.091
7524.600,3775.200,107.875,54.123
7521.260,3777.350,107.827,54.153
7517.882,3779.463,107.779,54.184
7514.462,3781.538,107.730,54.213
7511.001,3783.570,107.680,54.243
7507.508,3785.555,107.630,54.271
7503.988,3787.487,107.580,54.299
7500.448,3789.360,107.529,54.326
7496.896,3791.168,107.478,54.352
7493.335,3792.907,107.427,54.376
7489.771,3794.575,107.376,54.400
7486.197,3796.175,107.325,54.423
7482.613,3797.709,107.273,54.445
7479.013,3799.180,107.222,54.466
7475.396,3800.591,107.170,54.487
7471.757,3801.944,107.118,54.506
7468.096,3803.242,107.065,54.525
