X_px,Y_px,X_mm,Y_mm
3634.000,3803.000,52.173,54.600
3633.929,3803.006,52.172,54.600
3633.718,3803.024,52.169,54.600
3633.369,3803.054,52.164,54.600
3632.885,3803.096,52.157,54.601
3632.270,3803.149,52.148,54.602
3631.524,3803.214,52.138,54.603
3630.652,3803.291,52.125,54.604
3629.655,3803.379,52.111,54.605
3628.537,3803.478,52.095,54.606
3627.300,3803.589,52.077,54.608
3625.947,3803.710,52.058,54.610
3624.479,3803.843,52.037,54.612
3622.901,3803.986,52.014,54.614
3621.215,3804.141,51.990,54.616
3619.422,3804.306,51.964,54.618
3617.527,3804.482,51.937,54.621
3615.531,3804.668,51.908,54.624
3613.438,3804.865,51.878,54.626
3611.249,3805.072,51.847,54.629
3608.968,3805.289,51.814,54.632
3606.597,3805.517,51.780,54.636
3604.139,3805.754,51.745,54.639
3601.596,3806.002,51.708,54.643
3598.971,3806.259,51.670,54.646
3596.268,3806.526,51.632,54.650
3593.487,3806.803,51.592,54.654
3590.633,3807.090,51.551,54.658
3587.707,3807.385,51.509,54.663
3584.713,3807.691,51.466,54.667
3581.652,3808.005,51.422,54.671
3578.529,3808.329,51.377,54.676
3575.344,3808.662,51.331,54.681
3572.102,3809.003,51.285,54.686
3568.804,3809.354,51.237,54.691
3565.454,3809.713,51.189,54.696
3562.053,3810.082,51.140,54.701
3558.605,3810.458,51.091,54.707
3555.112,3810.844,51.041,54.712
3551.577,3811.237,50.990,54.718
3548.002,3811.639,50.939,54.724
3544.391,3812.049,50.887,54.729
3540.746,3812.468,50.834,54.735
3537.068,3812.894,50.782,54.742
3533.362,3813.328,50.728,54.748
3529.630,3813.770,50.675,54.754
3525.874,3814.220,50.621,54.761
3522.097,3814.677,50.567,54.767
3518.302,3815.142,50.512,54.774
3514.491,3815.615,50.457,54.781
3510.667,3816.094,50.403,54.788
3506.832,3816.581,50.347,54.795
3502.990,3817.075,50.292,54.802
3499.143,3817.577,50.237,54.809
3495.294,3818.085,50.182,54.816
3491.444,3818.600,50.127,54.824
3487.598,3819.121,50.071,54.831
3483.757,3819.650,50.016,54.839
3479.924,3820.185,49.961,54.846
3476.102,3820.726,49.906,54.854
3472.294,3821.274,49.852,54.862
3468.501,3821.828,49.797,54.870
3464.728,3822.388,49.743,54.878
3460.976,3822.955,49.689,54.886
3457.248,3823.527,49.636,54.894
3453.546,3824.105,49.582,54.903
3449.874,3824.689,49.530,54.911
3446.234,3825.279,49.477,54.919
3442.628,3825.874,49.426,54.928
3439.061,3826.475,49.374,54.937
3435.532,3827.081,49.324,54.945
3432.046,3827.693,49.274,54.954
