number,id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
1,1k,2040,4,2.085470085,36.8115942,3.053191489,M
2,2k,2040,2,2.085470085,36.8115942,3.053191489,M
3,3k,2040,1,2.085470085,36.8115942,3.053191489,M
4,4k,2040,1,2.085470085,36.8115942,3.053191489,M
5,5k,2040,1,2.085470085,36.8115942,3.053191489,M
6,6k,2040,2,2.085470085,36.8115942,3.053191489,M
7,7k,2040,1,2.085470085,36.8115942,3.053191489,M
8,8k,2040,1,2.085470085,36.8115942,3.053191489,M
9,9k,2040,1,2.085470085,36.8115942,3.053191489,M
10,10k,2040,1,2.085470085,36.8115942,3.053191489,M
11,11k,2040,1,2.085470085,36.8115942,3.053191489,M
12,12k,2040,1,2.085470085,36.8115942,3.053191489,M
13,13k,2040,1,2.085470085,36.8115942,3.053191489,M
14,14k,2040,3,2.085470085,36.8115942,3.053191489,M
15,15k,2040,1,2.085470085,36.8115942,3.053191489,M
16,16k,2040,1,2.085470085,36.8115942,3.053191489,M
17,17k,2040,1,2.085470085,36.8115942,3.053191489,M
18,18k,2040,1,2.085470085,36.8115942,3.053191489,M
19,19k,2040,1,2.085470085,36.8115942,3.053191489,M
20,20k,2040,1,2.085470085,36.8115942,3.053191489,M
21,21k,2040,2,2.085470085,36.8115942,3.053191489,M
22,22k,2040,2,2.085470085,36.8115942,3.053191489,M
23,23k,2040,1,2.085470085,36.8115942,3.053191489,M
24,24k,2040,1,2.085470085,36.8115942,3.053191489,M
25,25k,2040,2,2.085470085,36.8115942,3.053191489,M
26,26k,2040,1,2.085470085,36.8115942,3.053191489,M
27,27k,2040,1,2.085470085,36.8115942,3.053191489,M
28,28k,2040,1,2.085470085,36.8115942,3.053191489,M
29,29k,2040,1,2.085470085,36.8115942,3.053191489,M
30,30k,2040,1,2.085470085,36.8115942,3.053191489,M
31,1k,4042,4,1.834586466,45.34534535,2.438016529,M
32,2k,4042,1,1.834586466,45.34534535,2.438016529,M
33,3k,4042,2,1.834586466,45.34534535,2.438016529,M
34,4k,4042,1,1.834586466,45.34534535,2.438016529,M
35,5k,4042,3,1.834586466,45.34534535,2.438016529,M
36,6k,4042,1,1.834586466,45.34534535,2.438016529,M
37,7k,4042,1,1.834586466,45.34534535,2.438016529,M
38,8k,4042,1,1.834586466,45.34534535,2.438016529,M
39,9k,4042,1,1.834586466,45.34534535,2.438016529,M
40,10k,4042,1,1.834586466,45.34534535,2.438016529,M
41,11k,4042,1,1.834586466,45.34534535,2.438016529,M
42,12k,4042,1,1.834586466,45.34534535,2.438016529,M
43,13k,4042,1,1.834586466,45.34534535,2.438016529,M
44,14k,4042,2,1.834586466,45.34534535,2.438016529,M
45,15k,4042,1,1.834586466,45.34534535,2.438016529,M
46,16k,4042,1,1.834586466,45.34534535,2.438016529,M
47,17k,4042,1,1.834586466,45.34534535,2.438016529,M
48,18k,4042,1,1.834586466,45.34534535,2.438016529,M
49,19k,4042,2,1.834586466,45.34534535,2.438016529,M
50,20k,4042,1,1.834586466,45.34534535,2.438016529,M
51,21k,4042,2,1.834586466,45.34534535,2.438016529,M
52,22k,4042,2,1.834586466,45.34534535,2.438016529,M
53,23k,4042,1,1.834586466,45.34534535,2.438016529,M
54,24k,4042,1,1.834586466,45.34534535,2.438016529,M
55,25k,4042,2,1.834586466,45.34534535,2.438016529,M
56,26k,4042,1,1.834586466,45.34534535,2.438016529,M
57,27k,4042,1,1.834586466,45.34534535,2.438016529,M
58,28k,4042,1,1.834586466,45.34534535,2.438016529,M
59,29k,4042,1,1.834586466,45.34534535,2.438016529,M
60,30k,4042,1,1.834586466,45.34534535,2.438016529,M
61,1k,4090,1,1.748091603,36.9047619,2.747572816,M
62,2k,4090,2,1.748091603,36.9047619,2.747572816,M
63,3k,4090,3,1.748091603,36.9047619,2.747572816,M
64,4k,4090,1,1.748091603,36.9047619,2.747572816,M
65,5k,4090,1,1.748091603,36.9047619,2.747572816,M
66,6k,4090,1,1.748091603,36.9047619,2.747572816,M
67,7k,4090,1,1.748091603,36.9047619,2.747572816,M
68,8k,4090,2,1.748091603,36.9047619,2.747572816,M
69,9k,4090,2,1.748091603,36.9047619,2.747572816,M
70,10k,4090,3,1.748091603,36.9047619,2.747572816,M
