PhotoID,InPhylogeny0no1yes,Closestin10ktrees,Species,Parvorder,Collector,Infant0Adult1,Male0Female1,WidthLeft,HeightLeft,WHRleft,ExposedEyeballLeft,IrisDiameterLeft,SSIleft,PupilB,IRHleft,IRSleft,IRBleft,ColorCategory,ArcusSenilisNo0Yes1,TemporalCrescent,LimbalRingNo0Yes1,ISBleft,OSBleft,Type,ActivPatt,Genus,Family,lightest,darkest,HC,pupHC
AllenopithecusNigroviridis_1,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,215,110,1.954545455,134,104,1.288461538,11,34,83,60,Deep_yellow,0,1,1,10,-,2,Diurnal,Allenopithecus,Cercopithecidae,60,10,50,49
AllenopithecusNigroviridis_10,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,156,95,1.642105263,140,84,1.666666667,10,21,43,26,Brown,0,0,0,10,11,2,Diurnal,Allenopithecus,Cercopithecidae,26,10,16,16
AllenopithecusNigroviridis_11,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,67,41,1.634146341,56,40,1.4,12,33,60,36,Deep_yellow,0,0,0,11,-,2,Diurnal,Allenopithecus,Cercopithecidae,36,11,25,24
AllenopithecusNigroviridis_12,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,76,50,1.52,60,52,1.153846154,9,24,76,79,Orange,0,1,0,23,-,2,Diurnal,Allenopithecus,Cercopithecidae,79,23,56,70
AllenopithecusNigroviridis_13,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,170,143,1.188811189,150,120,1.25,5,17,68,62,Brown,0,1,1,19,-,2,Diurnal,Allenopithecus,Cercopithecidae,62,19,43,57
AllenopithecusNigroviridis_14,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,1,229,132,1.734848485,164,122,1.344262295,13,25,89,88,Orange,0,1,0,2,-,2,Diurnal,Allenopithecus,Cercopithecidae,88,2,86,75
AllenopithecusNigroviridis_15,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,0,171,105,1.628571429,118,108,1.092592593,7,27,83,77,Orange,1,0,1,6,-,2,Diurnal,Allenopithecus,Cercopithecidae,77,6,71,70
AllenopithecusNigroviridis_16,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,186,135,1.377777778,139,118,1.177966102,20,18,60,60,Brown,0,1,0,38,-,2,Diurnal,Allenopithecus,Cercopithecidae,60,38,22,40
AllenopithecusNigroviridis_17,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,1,152,102,1.490196078,134,76,1.763157895,18,24,75,93,Orange,0,0,1,71,-,2,Diurnal,Allenopithecus,Cercopithecidae,93,71,22,75
AllenopithecusNigroviridis_18,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,0,334,213,1.568075117,253,182,1.39010989,19,23,72,69,Brown,-,-,1,6,-,2,Diurnal,Allenopithecus,Cercopithecidae,69,6,63,50
AllenopithecusNigroviridis_19,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,273,190,1.436842105,217,168,1.291666667,12,17,79,74,Orange,0,1,1,4,-,2,Diurnal,Allenopithecus,Cercopithecidae,74,4,70,62
AllenopithecusNigroviridis_2,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,275,176,1.5625,211,136,1.551470588,3,19,80,35,Brown,0,0,1,5,10,2,Diurnal,Allenopithecus,Cercopithecidae,35,5,30,32
AllenopithecusNigroviridis_20,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,522,362,1.44198895,454,274,1.656934307,8,15,61,38,Brown,0,1,1,3,-,2,Diurnal,Allenopithecus,Cercopithecidae,38,3,35,30
AllenopithecusNigroviridis_21,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,275,151,1.821192053,234,154,1.519480519,21,38,60,85,Pale_Yellow,0,1,1,15,-,2,Diurnal,Allenopithecus,Cercopithecidae,85,15,70,64
AllenopithecusNigroviridis_22,1,Allenopithecus_nigroviridis,Allenopithecus nigroviridis,Catarrhini,Nantha,1,-,122,70,1.742857143,93,82,1.134146341,1,26,89,74,Orange,0,-,0,3,-,2,Diurnal,Allenopithecus,Cercopithecidae,74,3,71,73
