X_px,Y_px,X_mm,Y_mm
8628.742,3433.018,124.282,49.447
8627.330,3433.033,124.262,49.447
8625.867,3433.054,124.241,49.447
8624.360,3433.079,124.219,49.448
8622.812,3433.109,124.197,49.448
8621.227,3433.143,124.174,49.448
8619.607,3433.181,124.151,49.449
8617.960,3433.223,124.127,49.450
8616.288,3433.270,124.103,49.450
8614.595,3433.319,124.078,49.451
8612.886,3433.372,124.054,49.452
8611.163,3433.429,124.029,49.453
8609.433,3433.488,124.004,49.453
8607.697,3433.551,123.979,49.454
8605.962,3433.616,123.954,49.455
8604.229,3433.685,123.929,49.456
8602.506,3433.756,123.904,49.457
8600.793,3433.829,123.880,49.458
8599.091,3433.904,123.855,49.459
8597.397,3433.981,123.831,49.461
8595.713,3434.060,123.806,49.462
8594.036,3434.141,123.782,49.463
8592.365,3434.223,123.758,49.464
8590.701,3434.306,123.734,49.465
8589.040,3434.390,123.710,49.466
8587.384,3434.475,123.686,49.468
8585.729,3434.560,123.663,49.469
8584.076,3434.646,123.639,49.470
8582.424,3434.731,123.615,49.471
8580.771,3434.817,123.591,49.473
8579.116,3434.903,123.567,49.474
8577.460,3434.988,123.544,49.475
8575.800,3435.072,123.520,49.476
8574.135,3435.155,123.496,49.477
8572.466,3435.238,123.472,49.479
8570.793,3435.319,123.447,49.480
8569.116,3435.401,123.423,49.481
8567.436,3435.481,123.399,49.482
8565.753,3435.562,123.375,49.483
8564.066,3435.641,123.351,49.484
8562.377,3435.721,123.326,49.486
8560.686,3435.801,123.302,49.487
8558.992,3435.880,123.278,49.488
8557.297,3435.960,123.253,49.489
8555.601,3436.040,123.229,49.490
8553.902,3436.120,123.204,49.491
8552.204,3436.200,123.180,49.493
8550.504,3436.281,123.155,49.494
8548.805,3436.363,123.131,49.495
8547.104,3436.445,123.106,49.496
8545.404,3436.528,123.082,49.497
8543.704,3436.612,123.057,49.498
8542.004,3436.697,123.033,49.500
8540.303,3436.783,123.008,49.501
8538.602,3436.870,122.984,49.502
8536.899,3436.958,122.959,49.503
8535.197,3437.048,122.935,49.505
8533.493,3437.139,122.910,49.506
8531.788,3437.232,122.886,49.507
8530.082,3437.326,122.861,49.509
8528.374,3437.421,122.837,49.510
8526.665,3437.519,122.812,49.512
8524.954,3437.618,122.787,49.513
8523.242,3437.719,122.763,49.514
8521.527,3437.823,122.738,49.516
