X_px,Y_px,X_mm,Y_mm
4079.502,3633.001,58.956,52.503
4078.517,3633.015,58.942,52.504
4077.460,3633.031,58.927,52.504
4076.335,3633.050,58.910,52.504
4075.148,3633.071,58.893,52.504
4073.903,3633.095,58.875,52.505
4072.605,3633.122,58.857,52.505
4071.259,3633.151,58.837,52.506
4069.869,3633.182,58.817,52.506
4068.440,3633.216,58.796,52.507
4066.978,3633.253,58.775,52.507
4065.485,3633.292,58.754,52.508
4063.968,3633.333,58.732,52.508
4062.431,3633.376,58.710,52.509
4060.878,3633.422,58.687,52.510
4059.316,3633.469,58.665,52.510
4057.747,3633.520,58.642,52.511
4056.177,3633.572,58.619,52.512
4054.611,3633.626,58.597,52.513
4053.053,3633.683,58.574,52.513
4051.509,3633.742,58.552,52.514
4049.982,3633.802,58.530,52.515
4048.475,3633.865,58.508,52.516
4046.986,3633.930,58.486,52.517
4045.514,3633.996,58.465,52.518
4044.059,3634.065,58.444,52.519
4042.618,3634.135,58.423,52.520
4041.191,3634.207,58.403,52.521
4039.776,3634.281,58.382,52.522
4038.373,3634.356,58.362,52.523
4036.979,3634.433,58.342,52.524
4035.594,3634.511,58.322,52.525
4034.216,3634.592,58.302,52.526
4032.844,3634.673,58.282,52.528
4031.478,3634.756,58.262,52.529
4030.115,3634.841,58.242,52.530
4028.754,3634.926,58.223,52.531
4027.395,3635.013,58.203,52.533
4026.036,3635.102,58.184,52.534
4024.676,3635.191,58.164,52.535
4023.313,3635.281,58.144,52.536
4021.946,3635.373,58.124,52.538
4020.575,3635.466,58.105,52.539
4019.199,3635.559,58.085,52.540
4017.819,3635.654,58.065,52.542
4016.435,3635.749,58.045,52.543
4015.047,3635.845,58.025,52.545
4013.656,3635.942,58.005,52.546
4012.263,3636.040,57.985,52.547
4010.868,3636.138,57.964,52.549
4009.472,3636.237,57.944,52.550
4008.073,3636.336,57.924,52.552
4006.675,3636.435,57.904,52.553
4005.275,3636.535,57.884,52.555
4003.876,3636.635,57.863,52.556
4002.477,3636.735,57.843,52.557
4001.079,3636.835,57.823,52.559
3999.682,3636.936,57.803,52.560
3998.287,3637.036,57.783,52.562
3996.895,3637.136,57.762,52.563
3995.504,3637.236,57.742,52.565
3994.117,3637.336,57.722,52.566
3992.734,3637.435,57.702,52.568
3991.353,3637.534,57.682,52.569
3989.976,3637.633,57.662,52.570
3988.601,3637.732,57.643,52.572
3987.228,3637.830,57.623,52.573
3985.857,3637.929,57.603,52.575
3984.486,3638.027,57.583,52.576
3983.117,3638.125,57.563,52.578
3981.747,3638.222,57.543,52.579
3980.377,3638.320,57.524,52.580
3979.007,3638.418,57.504,52.582
3977.635,3638.515,57.484,52.583
3976.261,3638.613,57.464,52.585
3974.885,3638.710,57.444,52.586
3973.506,3638.808,57.424,52.587
3972.124,3638.906,57.404,52.589
3970.739,3639.004,57.384,52.590
3969.349,3639.102,57.364,52.592
3967.954,3639.200,57.344,52.593
3966.555,3639.298,57.324,52.594
3965.150,3639.396,57.304,52.596
3963.739,3639.495,57.283,52.597
3962.323,3639.594,57.263,52.599
3960.902,3639.693,57.242,52.600
3959.477,3639.793,57.222,52.602
3958.047,3639.893,57.201,52.603
3956.613,3639.993,57.180,52.605
3955.176,3640.093,57.159,52.606
3953.736,3640.194,57.139,52.607
3952.294,3640.295,57.118,52.609
3950.849,3640.396,57.097,52.610
3949.403,3640.498,57.076,52.612
3947.955,3640.599,57.055,52.613
3946.507,3640.702,57.034,52.615
3945.058,3640.804,57.013,52.616
3943.608,3640.907,56.992,52.618
3942.159,3641.010,56.971,52.619
3940.711,3641.114,56.950,52.621
3939.264,3641.218,56.930,52.622
3937.818,3641.323,56.909,52.624
3936.374,3641.427,56.888,52.625
3934.932,3641.532,56.867,52.627
3933.493,3641.638,56.846,52.628
3932.057,3641.744,56.825,52.630
3930.623,3641.851,56.805,52.631
3929.191,3641.958,56.784,52.633
3927.761,3642.066,56.763,52.634
3926.334,3642.174,56.743,52.636
3924.909,3642.283,56.722,52.638
3923.485,3642.393,56.702,52.639
3922.064,3642.503,56.681,52.641
3920.644,3642.615,56.660,52.642
3919.226,3642.727,56.640,52.644
3917.809,3642.840,56.619,52.646
3916.394,3642.954,56.599,52.647
3914.979,3643.069,56.579,52.649
3913.567,3643.185,56.558,52.651
3912.155,3643.302,56.538,52.652
3910.745,3643.421,56.517,52.654
3909.335,3643.540,56.497,52.656
3907.927,3643.661,56.477,52.658
3906.519,3643.783,56.456,52.659
3905.112,3643.906,56.436,52.661
3903.705,3644.031,56.416,52.663
3902.299,3644.156,56.395,52.665
3900.894,3644.283,56.375,52.667
3899.489,3644.412,56.355,52.668
3898.085,3644.542,56.334,52.670
3896.681,3644.673,56.314,52.672
3895.279,3644.806,56.294,52.674
3893.876,3644.940,56.274,52.676
3892.475,3645.075,56.253,52.678
3891.074,3645.212,56.233,52.680
3889.674,3645.350,56.213,52.682
3888.275,3645.489,56.193,52.684
3886.876,3645.630,56.172,52.686
3885.478,3645.772,56.152,52.688
3884.081,3645.916,56.132,52.690
3882.685,3646.061,56.112,52.692
3881.289,3646.207,56.092,52.694
3879.894,3646.355,56.072,52.696
3878.500,3646.504,56.051,52.699
3877.106,3646.654,56.031,52.701
3875.714,3646.806,56.011,52.703
3874.322,3646.960,55.991,52.705
3872.931,3647.114,55.971,52.707
3871.541,3647.271,55.951,52.710
3870.151,3647.428,55.931,52.712
3868.763,3647.586,55.911,52.714
3867.375,3647.746,55.891,52.717
3865.988,3647.907,55.871,52.719
3864.601,3648.069,55.851,52.721
3863.215,3648.233,55.830,52.724
3861.831,3648.397,55.810,52.726
3860.446,3648.562,55.790,52.728
3859.063,3648.729,55.770,52.731
3857.680,3648.897,55.751,52.733
3856.298,3649.065,55.731,52.736
3854.917,3649.235,55.711,52.738
3853.536,3649.405,55.691,52.741
3852.156,3649.576,55.671,52.743
3850.777,3649.748,55.651,52.746
3849.399,3649.921,55.631,52.748
3848.021,3650.095,55.611,52.751
3846.644,3650.269,55.591,52.753
3845.267,3650.444,55.571,52.756
3843.891,3650.620,55.551,52.758
3842.515,3650.797,55.531,52.761
3841.138,3650.974,55.511,52.763
3839.762,3651.152,55.492,52.766
3838.386,3651.331,55.472,52.768
3837.009,3651.511,55.452,52.771
3835.631,3651.691,55.432,52.774
3834.252,3651.872,55.412,52.776
3832.873,3652.054,55.392,52.779
3831.493,3652.237,55.372,52.781
3830.112,3652.420,55.352,52.784
3828.729,3652.605,55.332,52.787
3827.344,3652.790,55.312,52.789
3825.958,3652.975,55.292,52.792
3824.570,3653.162,55.272,52.795
3823.180,3653.349,55.252,52.798
3821.788,3653.537,55.232,52.800
3820.394,3653.726,55.212,52.803
3818.998,3653.916,55.191,52.806
3817.599,3654.106,55.171,52.808
3816.199,3654.297,55.151,52.811
3814.798,3654.488,55.131,52.814
3813.396,3654.680,55.111,52.817
3811.995,3654.873,55.090,52.820
3810.593,3655.066,55.070,52.822
3809.193,3655.260,55.050,52.825
3807.794,3655.454,55.030,52.828
3806.397,3655.648,55.009,52.831
3805.002,3655.843,54.989,52.834
3803.610,3656.038,54.969,52.836
3802.222,3656.233,54.949,52.839
3800.837,3656.428,54.929,52.842
3799.457,3656.624,54.909,52.845
3798.081,3656.819,54.889,52.848
3796.710,3657.015,54.869,52.851
3795.345,3657.210,54.850,52.853
3793.987,3657.406,54.830,52.856
3792.635,3657.601,54.810,52.859
3791.290,3657.796,54.791,52.862
3789.952,3657.992,54.772,52.865
3788.619,3658.188,54.752,52.867
3787.289,3658.385,54.733,52.870
3785.961,3658.585,54.714,52.873
