X_px,Y_px,X_mm,Y_mm
3997.000,4107.000,57.895,59.489
3999.035,4107.007,57.925,59.489
4001.082,4107.014,57.954,59.489
4003.141,4107.019,57.984,59.489
4005.210,4107.023,58.014,59.489
4007.291,4107.028,58.044,59.489
4009.382,4107.032,58.075,59.489
4011.484,4107.036,58.105,59.489
4013.595,4107.040,58.136,59.489
4015.716,4107.045,58.166,59.489
4017.846,4107.051,58.197,59.489
4019.985,4107.057,58.228,59.489
4022.133,4107.065,58.259,59.490
4024.288,4107.075,58.291,59.490
4026.452,4107.086,58.322,59.490
4028.623,4107.100,58.353,59.490
4030.802,4107.116,58.385,59.490
4032.987,4107.134,58.417,59.491
4035.178,4107.155,58.448,59.491
4037.376,4107.180,58.480,59.491
4039.580,4107.207,58.512,59.492
4041.790,4107.238,58.544,59.492
4044.004,4107.273,58.576,59.493
4046.224,4107.312,58.608,59.493
4048.448,4107.356,58.641,59.494
4050.676,4107.404,58.673,59.495
4052.908,4107.457,58.705,59.495
4055.144,4107.515,58.738,59.496
4057.382,4107.578,58.770,59.497
4059.624,4107.647,58.802,59.498
4061.868,4107.722,58.835,59.499
4064.115,4107.802,58.867,59.500
4066.363,4107.890,58.900,59.502
4068.612,4107.983,58.933,59.503
4070.863,4108.083,58.965,59.504
4073.115,4108.191,58.998,59.506
4075.367,4108.307,59.030,59.508
4077.619,4108.429,59.063,59.509
4079.870,4108.560,59.096,59.511
4082.121,4108.699,59.128,59.513
4084.371,4108.846,59.161,59.515
4086.619,4109.002,59.193,59.518
4088.864,4109.167,59.226,59.520
4091.108,4109.342,59.258,59.523
4093.348,4109.526,59.291,59.525
4095.585,4109.720,59.323,59.528
4097.819,4109.924,59.356,59.531
4100.048,4110.139,59.388,59.534
4102.273,4110.364,59.420,59.537
4104.493,4110.600,59.452,59.541
4106.708,4110.847,59.484,59.544
4108.917,4111.106,59.516,59.548
4111.120,4111.376,59.548,59.552
4113.316,4111.659,59.580,59.556
4115.506,4111.955,59.612,59.560
4117.688,4112.262,59.643,59.565
4119.863,4112.583,59.675,59.570
4122.029,4112.916,59.706,59.574
4124.187,4113.263,59.738,59.579
4126.336,4113.624,59.769,59.585
4128.476,4113.999,59.800,59.590
4130.605,4114.388,59.831,59.596
4132.725,4114.792,59.861,59.602
4134.834,4115.210,59.892,59.608
4136.932,4115.644,59.922,59.614
4139.019,4116.092,59.952,59.620
4141.093,4116.557,59.983,59.627
4143.156,4117.037,60.012,59.634
4145.206,4117.533,60.042,59.641
4147.245,4118.045,60.072,59.649
4149.272,4118.572,60.101,59.656
4151.289,4119.112,60.130,59.664
4153.295,4119.667,60.159,59.672
4155.292,4120.234,60.188,59.680
4157.281,4120.813,60.217,59.689
4159.262,4121.404,60.246,59.697
4161.234,4122.005,60.274,59.706
4163.201,4122.617,60.303,59.715
4165.161,4123.239,60.331,59.724
4167.116,4123.869,60.359,59.733
4169.066,4124.508,60.388,59.742
4171.011,4125.154,60.416,59.752
4172.953,4125.808,60.444,59.761
4174.893,4126.468,60.472,59.771
4176.829,4127.133,60.500,59.780
4178.764,4127.803,60.528,59.790
4180.698,4128.478,60.556,59.800
4182.632,4129.157,60.584,59.810
4184.566,4129.838,60.612,59.819
4186.500,4130.522,60.640,59.829
4188.437,4131.208,60.668,59.839
4190.375,4131.895,60.696,59.849
4192.316,4132.582,60.724,59.859
4194.261,4133.269,60.753,59.869
4196.210,4133.956,60.781,59.879
4198.163,4134.640,60.809,59.889
4200.122,4135.323,60.838,59.899
4202.087,4136.002,60.866,59.909
4204.058,4136.679,60.895,59.919
4206.037,4137.352,60.923,59.928
4208.023,4138.020,60.952,59.938
4210.016,4138.684,60.981,59.948
4212.017,4139.345,61.010,59.957
4214.025,4140.004,61.039,59.967
4216.040,4140.660,61.068,59.976
4218.062,4141.314,61.097,59.986
4220.091,4141.967,61.127,59.995
4222.127,4142.619,61.156,60.005
4224.169,4143.271,61.186,60.014
4226.218,4143.922,61.216,60.023
4228.274,4144.574,61.245,60.033
4230.335,4145.227,61.275,60.042
4232.404,4145.881,61.305,60.052
4234.478,4146.538,61.335,60.061
4236.559,4147.196,61.365,60.071
4238.645,4147.857,61.396,60.080
4240.737,4148.522,61.426,60.090
4242.835,4149.190,61.456,60.100
4244.939,4149.863,61.487,60.110
4247.048,4150.540,61.517,60.119
4249.163,4151.222,61.548,60.129
4251.283,4151.910,61.579,60.139
4253.409,4152.604,61.609,60.149
4255.539,4153.304,61.640,60.159
4257.675,4154.011,61.671,60.170
4259.815,4154.726,61.702,60.180
4261.961,4155.448,61.733,60.190
4264.111,4156.179,61.764,60.201
4266.266,4156.918,61.796,60.212
4268.425,4157.667,61.827,60.223
4270.589,4158.426,61.858,60.234
4272.757,4159.195,61.890,60.245
4274.930,4159.975,61.921,60.256
4277.106,4160.765,61.953,60.267
4279.286,4161.566,61.984,60.279
