X_px,Y_px,X_mm,Y_mm
3523.356,4016.779,51.028,58.174
3521.709,4016.783,51.004,58.174
3520.009,4016.795,50.980,58.175
3518.259,4016.815,50.954,58.175
3516.466,4016.842,50.928,58.175
3514.635,4016.875,50.902,58.176
3512.771,4016.914,50.875,58.176
3510.881,4016.959,50.848,58.177
3508.968,4017.010,50.820,58.178
3507.040,4017.065,50.792,58.179
3505.100,4017.125,50.764,58.179
3503.155,4017.189,50.736,58.180
3501.209,4017.257,50.707,58.181
3499.269,4017.329,50.679,58.182
3497.333,4017.403,50.651,58.183
3495.401,4017.481,50.623,58.185
3493.474,4017.561,50.595,58.186
3491.551,4017.645,50.568,58.187
3489.632,4017.731,50.540,58.188
3487.717,4017.820,50.512,58.189
3485.805,4017.912,50.484,58.191
3483.896,4018.006,50.457,58.192
3481.990,4018.102,50.429,58.194
3480.087,4018.201,50.402,58.195
3478.187,4018.302,50.374,58.196
3476.289,4018.405,50.347,58.198
3474.392,4018.510,50.319,58.199
3472.498,4018.616,50.292,58.201
3470.605,4018.724,50.264,58.203
3468.714,4018.834,50.237,58.204
3466.824,4018.946,50.209,58.206
3464.935,4019.058,50.182,58.207
3463.047,4019.172,50.155,58.209
3461.159,4019.287,50.127,58.211
3459.272,4019.403,50.100,58.212
3457.385,4019.520,50.073,58.214
3455.498,4019.638,50.045,58.216
3453.610,4019.756,50.018,58.217
3451.723,4019.875,49.991,58.219
3449.834,4019.994,49.963,58.221
3447.947,4020.115,49.936,58.223
3446.059,4020.237,49.909,58.224
3444.170,4020.359,49.881,58.226
3442.283,4020.483,49.854,58.228
3440.396,4020.608,49.827,58.230
3438.509,4020.735,49.799,58.232
3436.623,4020.864,49.772,58.234
3434.738,4020.994,49.745,58.235
3432.854,4021.126,49.717,58.237
3430.971,4021.260,49.690,58.239
3429.089,4021.396,49.663,58.241
3427.208,4021.535,49.636,58.243
3425.327,4021.676,49.608,58.245
3423.448,4021.819,49.581,58.247
3421.569,4021.965,49.554,58.249
3419.690,4022.113,49.527,58.252
3417.812,4022.263,49.500,58.254
3415.934,4022.417,49.472,58.256
3414.055,4022.573,49.445,58.258
3412.176,4022.731,49.418,58.261
3410.297,4022.893,49.391,58.263
3408.417,4023.057,49.364,58.265
3406.537,4023.225,49.336,58.268
3404.656,4023.395,49.309,58.270
