X_px,Y_px,X_mm,Y_mm
7908.000,3904.000,114.530,56.541
7909.835,3903.993,114.557,56.541
7911.667,3903.995,114.583,56.541
7913.498,3904.007,114.610,56.541
7915.325,3904.028,114.636,56.541
7917.151,3904.058,114.663,56.542
7918.977,3904.095,114.689,56.542
7920.801,3904.141,114.716,56.543
7922.625,3904.194,114.742,56.544
7924.449,3904.254,114.768,56.545
7926.272,3904.320,114.795,56.546
7928.098,3904.393,114.821,56.547
7929.924,3904.472,114.848,56.548
7931.751,3904.556,114.874,56.549
7933.581,3904.646,114.901,56.550
7935.412,3904.740,114.927,56.552
7937.247,3904.838,114.954,56.553
7939.084,3904.940,114.980,56.555
7940.925,3905.046,115.007,56.556
7942.770,3905.155,115.034,56.558
7944.619,3905.267,115.061,56.559
7946.473,3905.381,115.087,56.561
7948.331,3905.497,115.114,56.563
7950.195,3905.615,115.141,56.564
7952.065,3905.733,115.168,56.566
7953.941,3905.853,115.196,56.568
7955.824,3905.973,115.223,56.570
7957.714,3906.093,115.250,56.571
7959.611,3906.212,115.278,56.573
7961.516,3906.331,115.305,56.575
7963.429,3906.449,115.333,56.576
7965.350,3906.565,115.361,56.578
7967.280,3906.679,115.389,56.580
7969.220,3906.792,115.417,56.581
7971.170,3906.901,115.445,56.583
7973.129,3907.007,115.474,56.585
7975.099,3907.110,115.502,56.586
7977.079,3907.209,115.531,56.587
7979.069,3907.306,115.560,56.589
7981.069,3907.400,115.589,56.590
7983.078,3907.491,115.618,56.592
7985.096,3907.581,115.647,56.593
7987.124,3907.668,115.676,56.594
7989.159,3907.753,115.706,56.595
7991.203,3907.838,115.735,56.597
7993.255,3907.921,115.765,56.598
7995.315,3908.003,115.795,56.599
7997.383,3908.084,115.825,56.600
7999.458,3908.165,115.855,56.601
8001.540,3908.246,115.885,56.602
8003.628,3908.327,115.915,56.604
8005.723,3908.408,115.946,56.605
8007.825,3908.489,115.976,56.606
8009.932,3908.572,116.007,56.607
8012.045,3908.655,116.037,56.608
8014.164,3908.740,116.068,56.610
8016.288,3908.826,116.099,56.611
8018.416,3908.915,116.129,56.612
8020.549,3909.005,116.160,56.613
8022.687,3909.097,116.191,56.615
8024.829,3909.193,116.222,56.616
8026.975,3909.291,116.253,56.618
8029.125,3909.392,116.284,56.619
8031.277,3909.496,116.316,56.621
8033.433,3909.604,116.347,56.622
8035.592,3909.715,116.378,56.624
8037.753,3909.831,116.409,56.625
8039.917,3909.951,116.441,56.627
8042.083,3910.076,116.472,56.629
8044.250,3910.205,116.504,56.631
8046.419,3910.340,116.535,56.633
8048.589,3910.479,116.566,56.635
8050.760,3910.625,116.598,56.637
8052.932,3910.776,116.629,56.639
8055.104,3910.933,116.661,56.641
8057.277,3911.097,116.692,56.644
8059.450,3911.267,116.724,56.646
8061.623,3911.443,116.755,56.649
8063.795,3911.626,116.787,56.651
8065.966,3911.816,116.818,56.654
8068.138,3912.012,116.850,56.657
8070.308,3912.214,116.881,56.660
8072.477,3912.423,116.912,56.663
8074.646,3912.638,116.944,56.666
8076.812,3912.861,116.975,56.669
8078.978,3913.089,117.007,56.673
8081.142,3913.324,117.038,56.676
8083.304,3913.566,117.069,56.680
8085.464,3913.815,117.100,56.683
8087.622,3914.070,117.132,56.687
8089.778,3914.332,117.163,56.691
8091.932,3914.601,117.194,56.695
8094.083,3914.876,117.225,56.699
8096.230,3915.158,117.256,56.703
8098.376,3915.447,117.287,56.707
8100.518,3915.742,117.318,56.711
8102.657,3916.045,117.349,56.715
8104.793,3916.354,117.380,56.720
8106.925,3916.670,117.411,56.724
8109.053,3916.992,117.442,56.729
8111.178,3917.322,117.473,56.734
8113.298,3917.659,117.504,56.739
8115.415,3918.002,117.534,56.744
8117.527,3918.352,117.565,56.749
8119.635,3918.710,117.595,56.754
8121.737,3919.074,117.626,56.759
8123.835,3919.445,117.656,56.765
8125.929,3919.823,117.686,56.770
8128.017,3920.208,117.717,56.776
8130.099,3920.600,117.747,56.781
8132.176,3921.000,117.777,56.787
8134.248,3921.406,117.807,56.793
8136.313,3921.819,117.837,56.799
8138.374,3922.240,117.867,56.805
8140.427,3922.667,117.896,56.811
8142.475,3923.102,117.926,56.818
8144.516,3923.543,117.956,56.824
8146.550,3923.992,117.985,56.831
8148.579,3924.447,118.015,56.837
8150.601,3924.909,118.044,56.844
8152.616,3925.378,118.073,56.851
8154.625,3925.853,118.102,56.857
8156.627,3926.334,118.131,56.864
8158.623,3926.821,118.160,56.872
8160.612,3927.314,118.189,56.879
8162.595,3927.812,118.218,56.886
8164.572,3928.317,118.246,56.893
8166.542,3928.826,118.275,56.901
8168.505,3929.341,118.303,56.908
8170.462,3929.861,118.331,56.916
8172.412,3930.386,118.360,56.923
8174.356,3930.916,118.388,56.931
8176.293,3931.450,118.416,56.939
8178.223,3931.989,118.444,56.946
8180.147,3932.532,118.472,56.954
8182.064,3933.080,118.500,56.962
8183.975,3933.631,118.527,56.970
8185.879,3934.187,118.555,56.978
8187.776,3934.746,118.582,56.986
8189.667,3935.308,118.610,56.994
8191.551,3935.875,118.637,57.003
8193.428,3936.444,118.664,57.011
8195.299,3937.016,118.691,57.019
8197.162,3937.592,118.718,57.027
8199.020,3938.170,118.745,57.036
8200.869,3938.751,118.772,57.044
8202.713,3939.334,118.799,57.053
8204.550,3939.920,118.825,57.061
8206.380,3940.508,118.852,57.070
8208.203,3941.097,118.878,57.078
8210.020,3941.689,118.904,57.087
8211.829,3942.283,118.931,57.095
8213.632,3942.878,118.957,57.104
8215.428,3943.475,118.983,57.113
8217.217,3944.073,119.009,57.121
8218.999,3944.672,119.034,57.130
8220.775,3945.274,119.060,57.139
8222.545,3945.877,119.086,57.147
8224.308,3946.482,119.111,57.156
8226.064,3947.090,119.137,57.165
8227.814,3947.700,119.162,57.174
8229.560,3948.312,119.187,57.183
8231.298,3948.927,119.213,57.192
8233.030,3949.544,119.238,57.201
8234.758,3950.164,119.263,57.210
8236.479,3950.787,119.288,57.219
8238.194,3951.413,119.312,57.228
8239.904,3952.042,119.337,57.237
8241.609,3952.675,119.362,57.246
8243.309,3953.311,119.386,57.255
8245.003,3953.951,119.411,57.264
8246.692,3954.594,119.435,57.274
8248.377,3955.241,119.460,57.283
8250.057,3955.892,119.484,57.293
8251.730,3956.547,119.508,57.302
8253.401,3957.207,119.533,57.312
8255.066,3957.870,119.557,57.321
8256.728,3958.539,119.581,57.331
8258.384,3959.211,119.605,57.341
8260.036,3959.889,119.629,57.350
8261.685,3960.571,119.653,57.360
8263.328,3961.259,119.676,57.370
8264.968,3961.951,119.700,57.380
8266.604,3962.649,119.724,57.390
8268.236,3963.352,119.748,57.401
8269.865,3964.060,119.771,57.411
8271.490,3964.775,119.795,57.421
8273.112,3965.495,119.818,57.432
