Distance_(mm),Gray_Value
0.0000,101.2070
0.0145,101.5333
0.0290,101.8491
0.0435,102.2105
0.0580,102.7509
0.0724,103.0895
0.0869,103.3070
0.1014,103.5123
0.1159,103.4281
0.1304,103.1579
0.1449,103.0070
0.1594,103.0947
0.1739,103.1491
0.1884,102.9877
0.2029,102.6579
0.2173,102.4667
0.2318,102.3754
0.2463,102.1351
0.2608,102.2333
0.2753,102.2526
0.2898,102.2298
0.3043,102.4754
0.3188,102.5912
0.3333,102.6421
0.3478,102.8070
0.3622,102.9053
0.3767,103.0263
0.3912,103.3175
0.4057,103.5596
0.4202,103.4070
0.4347,103.1439
0.4492,103.1965
0.4637,103.2158
0.4782,103.4404
0.4926,103.6930
0.5071,103.5316
0.5216,103.4298
0.5361,102.9825
0.5506,102.4895
0.5651,102.1053
0.5796,101.7509
0.5941,101.2895
0.6086,101.0316
0.6231,100.7386
0.6375,100.8667
0.6520,101.4228
0.6665,102.1193
0.6810,103.1404
0.6955,104.4772
0.7100,106.0105
0.7245,107.2737
0.7390,107.9807
0.7535,108.7333
0.7680,109.2649
0.7824,109.2333
0.7969,109.0895
0.8114,109.2526
0.8259,108.8351
0.8404,108.5298
0.8549,108.7825
0.8694,108.9895
0.8839,108.7684
0.8984,108.6737
0.9128,108.2860
0.9273,108.2193
0.9418,108.0860
0.9563,107.8825
0.9708,107.7228
0.9853,107.4754
0.9998,107.1544
1.0143,107.1053
1.0288,106.6211
1.0433,106.4123
1.0577,106.3368
1.0722,106.4351
1.0867,106.5947
1.1012,106.9561
1.1157,107.1912
1.1302,107.3684
1.1447,107.7281
1.1592,108.1000
1.1737,108.4649
1.1881,108.6860
1.2026,108.8930
1.2171,109.0947
1.2316,109.3456
1.2461,109.3719
1.2606,109.1333
1.2751,109.2281
1.2896,109.3789
1.3041,109.4105
1.3186,109.7175
1.3330,110.0246
1.3475,110.0754
1.3620,110.0947
1.3765,110.2439
1.3910,110.3544
1.4055,110.2193
1.4200,110.0246
1.4345,109.8614
1.4490,109.8947
1.4635,110.0877
1.4779,110.5070
1.4924,110.9965
1.5069,111.0860
1.5214,111.2754
1.5359,111.5474
1.5504,111.8228
1.5649,112.1070
1.5794,112.3018
1.5939,112.2597
1.6083,112.2509
1.6228,112.2684
1.6373,112.0456
1.6518,111.8035
1.6663,111.6807
1.6808,111.8754
1.6953,111.7386
1.7098,111.8386
1.7243,111.7737
1.7388,111.6491
1.7532,111.7281
1.7677,111.8105
1.7822,112.0982
1.7967,112.5982
1.8112,112.6158
1.8257,112.7105
1.8402,112.8667
1.8547,112.9035
1.8692,113.0719
1.8837,113.0649
1.8981,113.0807
1.9126,113.2018
1.9271,113.3316
1.9416,113.4877
1.9561,113.6193
1.9706,113.5561
1.9851,113.6211
1.9996,113.5088
2.0141,113.6614
2.0285,113.7754
2.0430,113.7702
2.0575,113.7298
2.0720,113.6982
2.0865,113.9772
2.1010,114.5018
2.1155,114.7386
2.1300,114.8193
2.1445,115.1526
2.1590,115.2246
2.1734,115.4140
2.1879,115.4737
2.2024,115.8281
2.2169,116.1754
2.2314,116.6088
2.2459,116.8842
2.2604,117.1982
2.2749,117.4947
2.2894,117.7439
2.3039,117.7965
2.3183,118.1982
2.3328,118.6404
2.3473,118.7474
2.3618,118.8789
2.3763,119.2000
2.3908,119.6632
2.4053,119.8000
2.4198,119.8965
2.4343,119.8596
2.4487,119.9544
2.4632,120.1632
2.4777,120.3596
2.4922,120.4544
2.5067,120.8772
2.5212,121.0860
2.5357,121.0088
2.5502,120.8596
2.5647,120.4790
2.5792,120.1719
2.5936,119.8491
2.6081,119.8018
2.6226,119.7754
2.6371,119.5158
2.6516,119.4667
2.6661,119.1702
2.6806,119.2456
2.6951,119.6439
2.7096,120.2754
2.7241,120.4544
2.7385,120.5754
2.7530,120.7088
2.7675,120.9070
2.7820,120.8070
2.7965,120.9491
2.8110,121.2386
2.8255,121.3298
2.8400,121.4702
2.8545,121.7439
2.8689,122.0474
2.8834,122.3298
2.8979,122.1386
2.9124,122.2544
2.9269,122.7491
2.9414,123.2035
2.9559,123.5772
2.9704,123.6228
2.9849,123.7649
2.9994,123.7018
3.0138,123.9246
3.0283,123.9912
3.0428,123.8211
3.0573,123.5228
