X_px,Y_px,X_mm,Y_mm
7565.796,3791.373,110.573,55.410
7563.420,3791.385,110.538,55.411
7561.016,3791.404,110.503,55.411
7558.587,3791.432,110.468,55.411
7556.138,3791.468,110.432,55.412
7553.670,3791.512,110.396,55.412
7551.188,3791.563,110.360,55.413
7548.694,3791.621,110.323,55.414
7546.192,3791.687,110.287,55.415
7543.685,3791.759,110.250,55.416
7541.175,3791.838,110.213,55.417
7538.662,3791.923,110.176,55.418
7536.145,3792.014,110.140,55.420
7533.622,3792.111,110.103,55.421
7531.092,3792.214,110.066,55.423
7528.556,3792.321,110.029,55.424
7526.012,3792.434,109.992,55.426
7523.458,3792.551,109.954,55.428
7520.895,3792.672,109.917,55.429
7518.320,3792.797,109.879,55.431
7515.737,3792.926,109.841,55.433
7513.148,3793.059,109.804,55.435
7510.554,3793.196,109.766,55.437
7507.958,3793.336,109.728,55.439
7505.361,3793.481,109.690,55.441
7502.767,3793.630,109.652,55.443
7500.176,3793.783,109.614,55.446
7497.592,3793.939,109.576,55.448
7495.015,3794.100,109.539,55.450
7492.447,3794.265,109.501,55.453
7489.887,3794.434,109.464,55.455
7487.333,3794.607,109.426,55.458
7484.787,3794.785,109.389,55.460
7482.246,3794.968,109.352,55.463
7479.710,3795.155,109.315,55.466
7477.179,3795.348,109.278,55.468
7474.652,3795.546,109.241,55.471
7472.128,3795.749,109.204,55.474
7469.607,3795.958,109.167,55.477
7467.089,3796.173,109.130,55.481
7464.571,3796.396,109.094,55.484
7462.055,3796.626,109.057,55.487
7459.538,3796.865,109.020,55.491
7457.021,3797.114,108.983,55.494
7454.502,3797.372,108.946,55.498
7451.981,3797.641,108.910,55.502
7449.459,3797.921,108.873,55.506
7446.933,3798.213,108.836,55.510
7444.405,3798.516,108.799,55.515
7441.875,3798.831,108.762,55.519
7439.345,3799.158,108.725,55.524
7436.812,3799.496,108.688,55.529
7434.281,3799.846,108.651,55.534
7431.749,3800.207,108.614,55.539
7429.218,3800.580,108.577,55.545
7426.688,3800.964,108.540,55.551
7424.160,3801.359,108.503,55.556
7421.635,3801.765,108.466,55.562
7419.113,3802.182,108.429,55.568
7416.595,3802.609,108.392,55.575
7414.083,3803.045,108.356,55.581
7411.577,3803.491,108.319,55.587
7409.077,3803.946,108.283,55.594
7406.585,3804.409,108.246,55.601
7404.102,3804.881,108.210,55.608
7401.628,3805.361,108.174,55.615
7399.161,3805.850,108.138,55.622
7396.702,3806.348,108.102,55.629
7394.247,3806.857,108.066,55.637
7391.796,3807.379,108.030,55.644
7389.348,3807.913,107.994,55.652
7386.901,3808.460,107.958,55.660
7384.455,3809.023,107.923,55.668
7382.007,3809.601,107.887,55.677
7379.557,3810.195,107.851,55.685
7377.104,3810.805,107.815,55.694
7374.648,3811.431,107.779,55.704
7372.190,3812.071,107.743,55.713
7369.729,3812.725,107.708,55.722
7367.265,3813.393,107.672,55.732
7364.798,3814.073,107.635,55.742
7362.327,3814.765,107.599,55.752
7359.854,3815.468,107.563,55.763
7357.377,3816.183,107.527,55.773
7354.898,3816.908,107.491,55.784
7352.416,3817.644,107.454,55.794
7349.931,3818.390,107.418,55.805
7347.443,3819.147,107.382,55.816
7344.954,3819.915,107.345,55.828
7342.463,3820.694,107.309,55.839
7339.971,3821.483,107.273,55.850
7337.477,3822.283,107.236,55.862
7334.982,3823.094,107.200,55.874
7332.487,3823.915,107.163,55.886
7329.990,3824.745,107.127,55.898
7327.492,3825.583,107.090,55.910
7324.991,3826.428,107.054,55.923
7322.488,3827.278,107.017,55.935
7319.982,3828.134,106.980,55.948
7317.474,3828.992,106.944,55.960
7314.962,3829.854,106.907,55.973
7312.447,3830.717,106.870,55.985
7309.927,3831.580,106.834,55.998
7307.404,3832.443,106.797,56.011
7304.876,3833.306,106.760,56.023
7302.344,3834.168,106.723,56.036
7299.807,3835.028,106.686,56.048
7297.265,3835.885,106.648,56.061
