Distance_(mm),Gray_Value
0.0000,86.1573
0.0146,86.0894
0.0292,85.9753
0.0437,85.9945
0.0583,86.0132
0.0729,86.0121
0.0875,85.9984
0.1020,85.8065
0.1166,85.9605
0.1312,86.1310
0.1458,86.2105
0.1604,85.5647
0.1749,85.1266
0.1895,84.9298
0.2041,84.9490
0.2187,85.3070
0.2333,86.1058
0.2478,87.4934
0.2624,89.0888
0.2770,90.5373
0.2916,91.8498
0.3061,92.4836
0.3207,92.7632
0.3353,92.6743
0.3499,92.2434
0.3645,91.4435
0.3790,90.6491
0.3936,89.7336
0.4082,88.9978
0.4228,88.3459
0.4374,88.0779
0.4519,87.6261
0.4665,87.1091
0.4811,86.3734
0.4957,85.8618
0.5102,85.2895
0.5248,84.8766
0.5394,84.4890
0.5540,84.1809
0.5686,84.0252
0.5831,84.2961
0.5977,84.2111
0.6123,84.3942
0.6269,84.4803
0.6415,84.5800
0.6560,84.7401
0.6706,84.8739
0.6852,84.9693
0.6998,85.1173
0.7143,84.8284
0.7289,84.5795
0.7435,84.5378
0.7581,84.7610
0.7727,84.9726
0.7872,85.1842
0.8018,85.2950
0.8164,85.2977
0.8310,85.4786
0.8455,85.7242
0.8601,85.3953
0.8747,85.2621
0.8893,85.6480
0.9039,86.1782
0.9184,86.5471
0.9330,86.7785
0.9476,86.8668
0.9622,86.8054
0.9768,86.5938
0.9913,86.6497
1.0059,86.5691
1.0205,86.4408
1.0351,86.5016
1.0496,86.5784
1.0642,86.6552
1.0788,86.9556
1.0934,87.0395
1.1080,87.1667
1.1225,87.3794
1.1371,87.7160
1.1517,87.8651
1.1663,87.8980
1.1809,87.8262
1.1954,87.8361
1.2100,88.2939
1.2246,88.3514
1.2392,88.3366
1.2537,88.1754
1.2683,88.1908
1.2829,88.4742
1.2975,88.6765
1.3121,88.5916
1.3266,88.0707
1.3412,87.9836
1.3558,88.0652
1.3704,88.4962
1.3850,88.5592
1.3995,88.3399
1.4141,87.8810
1.4287,87.5970
1.4433,87.5302
1.4578,87.7330
1.4724,87.9616
1.4870,87.8114
1.5016,87.6107
1.5162,87.7418
1.5307,88.0022
1.5453,88.0800
1.5599,88.0378
1.5745,87.9046
1.5890,88.0565
1.6036,88.2489
1.6182,88.2451
1.6328,88.2823
1.6474,88.0559
1.6619,88.1765
1.6765,88.4808
1.6911,88.6667
1.7057,88.8849
1.7203,88.9435
1.7348,89.0269
1.7494,89.2599
1.7640,89.5203
1.7786,89.4819
1.7931,88.8646
1.8077,89.1118
1.8223,89.5022
1.8369,89.7802
1.8515,89.9951
1.8660,90.1113
1.8806,90.0389
1.8952,90.0334
1.9098,90.1886
1.9244,90.3904
1.9389,90.3734
1.9535,90.1469
1.9681,89.7939
1.9827,89.9145
1.9972,90.0488
2.0118,90.2127
2.0264,90.2061
2.0410,90.1118
2.0556,90.1776
2.0701,90.3706
2.0847,90.1486
2.0993,90.0340
2.1139,89.8871
2.1285,89.8618
2.1430,90.0329
2.1576,90.0768
2.1722,89.9912
2.1868,89.8004
2.2013,89.6096
2.2159,89.5883
2.2305,89.5345
2.2451,89.5170
2.2597,89.1431
2.2742,89.1393
2.2888,89.2418
2.3034,89.5614
2.3180,89.7319
2.3325,89.6475
2.3471,89.4688
2.3617,89.5691
2.3763,89.2769
2.3909,89.3087
2.4054,89.1815
2.4200,89.2626
2.4346,89.3470
2.4492,89.5800
2.4638,89.8591
2.4783,90.1491
2.4929,90.2922
2.5075,90.4742
2.5221,90.7549
2.5366,91.1634
2.5512,91.3350
2.5658,91.5307
2.5804,91.6146
2.5950,91.8180
2.6095,92.1431
2.6241,92.2281
2.6387,92.3092
2.6533,92.2769
2.6679,92.2769
2.6824,92.4934
2.6970,92.6804
2.7116,92.4380
2.7262,91.8032
2.7407,91.8207
2.7553,91.9962
2.7699,92.2292
2.7845,92.4298
2.7991,92.2988
2.8136,92.2473
2.8282,92.1957
2.8428,92.0373
2.8574,91.7840
2.8720,91.4035
2.8865,91.4145
2.9011,91.4984
2.9157,91.7155
2.9303,91.8914
2.9448,92.2193
2.9594,92.1924
2.9740,92.0406
2.9886,91.9803
3.0032,92.1831
3.0177,92.3202
3.0323,92.3279
3.0469,92.1924
3.0615,92.0104
3.0760,92.2670
3.0906,92.0976
3.1052,92.0389
3.1198,92.1562
3.1344,92.2089
3.1489,92.3723
3.1635,92.4479
3.1781,92.4918
3.1927,92.7599
3.2073,93.3103
3.2218,93.9660
3.2364,94.3717
3.2510,94.4731
3.2656,94.6535
3.2801,94.8361
3.2947,95.1201
3.3093,95.5384
3.3239,95.7226
3.3385,95.8750
3.3530,95.9589
3.3676,96.4457
3.3822,97.0685
3.3968,97.4337
3.4114,97.5921
3.4259,97.6661
3.4405,97.7018
3.4551,97.9293
3.4697,98.1162
3.4842,98.1173
3.4988,98.1809
3.5134,98.5285
3.5280,99.0143
3.5426,99.0757
3.5571,98.9934
3.5717,99.2220
3.5863,99.4940
3.6009,99.6102
3.6155,99.6957
3.6300,99.9123
3.6446,100.1870
3.6592,100.3536
3.6738,100.6321
3.6883,101.1458
3.7029,101.4413
3.7175,101.3141
3.7321,101.3350
3.7467,101.5395
3.7612,101.6436
3.7758,101.9101
3.7904,102.2138
3.8050,102.4572
3.8195,102.8438
3.8341,103.2747
3.8487,103.8465
3.8633,104.0466
3.8779,104.0389
3.8924,104.0466
3.9070,104.2527
3.9216,104.7533
3.9362,105.3443
3.9508,105.4995
3.9653,105.3059
3.9799,105.3416
3.9945,105.6919
4.0091,105.8109
4.0236,106.0258
4.0382,106.0044
4.0528,106.1859
4.0674,106.5680
4.0820,106.9002
4.0965,106.9863
4.1111,106.9315
4.1257,106.6294
4.1403,106.8832
4.1549,107.4326
4.1694,107.8037
4.1840,107.8706
4.1986,107.8728
4.2132,107.9644
4.2277,108.4265
4.2423,108.7100
4.2569,108.6266
4.2715,108.6606
4.2861,108.8997
4.3006,109.0439
4.3152,109.4227
4.3298,109.3827
4.3444,109.1552
4.3590,108.8021
4.3735,108.6497
4.3881,108.7396
4.4027,108.9967
4.4173,109.2599
4.4318,109.5225
4.4464,109.7127
4.4610,109.9211
4.4756,109.8668
4.4902,109.9424
4.5047,109.8333
4.5193,109.9825
4.5339,110.1524
4.5485,110.3191
4.5630,109.9753
4.5776,109.4183
4.5922,108.3553
4.6068,107.6798
4.6214,106.7939
4.6359,105.8569
4.6505,104.8279
4.6651,104.1738
4.6797,103.6480
4.6943,103.6124
4.7088,103.4792
4.7234,103.1349
4.7380,103.1025
4.7526,104.1332
4.7671,105.4698
4.7817,106.9808
4.7963,108.4830
4.8109,109.6283
4.8255,110.1497
4.8400,110.7648
4.8546,111.2664
4.8692,111.5285
4.8838,111.2752
4.8984,111.0888
4.9129,110.9852
4.9275,111.0669
4.9421,110.8273
4.9567,111.0016
4.9712,111.2039
4.9858,111.6946
5.0004,112.1842
5.0150,112.5916
5.0296,112.5203
5.0441,112.1776
5.0587,111.6513
5.0733,111.6639
5.0879,111.6557
5.1025,111.5526
5.1170,111.3240
5.1316,110.9194
5.1462,110.6086
5.1608,110.6645
5.1753,110.7429
5.1899,110.6930
5.2045,110.9150
5.2191,111.3750
5.2337,111.5510
5.2482,111.9660
5.2628,112.4474
5.2774,113.0910
5.2920,113.3399
5.3065,113.5861
5.3211,113.9978
5.3357,114.0269
5.3503,114.0093
5.3649,114.1804
5.3794,114.3257
5.3940,114.2632
5.4086,113.9973
5.4232,113.7560
5.4378,113.4501
5.4523,113.1913
5.4669,113.1447
5.4815,113.2352
5.4961,113.1776
5.5106,113.1743
5.5252,113.0312
5.5398,113.6420
5.5544,114.6793
5.5690,115.4178
5.5835,115.3766
5.5981,115.2127
5.6127,114.9315
5.6273,114.9057
5.6419,114.7308
5.6564,114.3218
5.6710,113.9539
5.6856,113.9792
5.7002,113.7593
5.7147,113.5433
5.7293,113.4819
5.7439,113.6316
5.7585,113.7714
5.7731,114.0965
5.7876,114.3547
5.8022,114.4320
5.8168,114.4512
5.8314,114.2703
5.8460,114.2067
5.8605,114.2533
5.8751,113.8300
5.8897,113.2094
5.9043,112.5450
5.9188,112.1272
5.9334,111.5927
5.9480,111.2116
5.9626,110.9485
5.9772,110.7654
5.9917,110.3668
6.0063,110.5954
6.0209,110.7127
6.0355,110.8355
6.0500,110.7511
6.0646,110.6255
6.0792,110.3591
6.0938,110.1930
6.1084,109.8109
6.1229,109.2845
6.1375,108.6398
6.1521,108.1157
6.1667,107.4978
6.1813,106.6557
6.1958,105.4523
6.2104,104.4468
6.2250,103.2966
6.2396,103.0181
6.2541,103.0115
6.2687,103.2237
6.2833,103.5296
6.2979,103.9912
6.3125,104.5828
6.3270,104.8646
6.3416,104.6760
6.3562,104.3624
6.3708,103.8268
6.3854,103.4693
6.3999,103.0746
6.4145,102.5576
6.4291,101.8311
6.4437,100.9731
6.4582,99.9550
6.4728,99.0159
6.4874,97.5817
6.5020,96.0932
6.5166,94.6354
6.5311,93.2747
6.5457,91.8717
6.5603,91.0630
6.5749,90.0143
6.5894,89.0981
6.6040,88.2982
6.6186,88.3470
6.6332,88.6924
6.6478,88.9298
6.6623,88.1135
6.6769,87.1502
6.6915,85.4479
6.7061,85.1283
6.7207,84.7089
6.7352,84.0159
6.7498,82.6815
6.7644,81.8476
6.7790,80.8783
6.7935,80.2067
6.8081,79.1513
6.8227,78.3355
6.8373,77.4309
6.8519,77.0581
6.8664,76.4616
6.8810,75.6902
6.8956,75.0581
6.9102,74.8503
6.9248,74.3306
6.9393,74.2961
6.9539,74.5685
6.9685,74.9260
6.9831,74.8355
6.9976,74.5521
7.0122,73.9803
7.0268,73.9441
7.0414,73.6009
7.0560,73.1354
7.0705,72.4830
7.0851,72.0488
7.0997,71.3048
7.1143,70.8399
7.1289,70.5110
7.1434,70.4616
7.1580,70.5751
7.1726,70.7604
7.1872,70.5592
7.2017,70.3180
7.2163,69.9644
7.2309,69.7632
7.2455,69.5121
7.2601,69.4896
7.2746,68.8914
7.2892,68.4095
7.3038,67.9084
7.3184,67.7681
7.3329,67.6398
7.3475,67.1891
7.3621,66.5428
7.3767,66.1299
7.3913,65.6935
7.4058,65.4879
7.4204,65.2050
7.4350,64.7922
7.4496,64.2149
7.4642,63.9830
7.4787,63.4254
7.4933,63.0088
7.5079,62.5938
7.5225,62.6409
7.5370,62.6782
7.5516,62.5954
7.5662,62.0789
7.5808,61.5219
7.5954,60.9693
7.6099,60.9337
7.6245,60.6491
7.6391,60.8081
7.6537,60.5943
7.6683,60.3810
7.6828,60.3734
7.6974,60.9298
7.7120,61.5230
7.7266,62.0663
7.7411,62.3503
7.7557,62.3909
7.7703,62.4463
7.7849,62.4172
7.7995,62.3432
7.8140,62.3350
7.8286,62.4326
7.8432,62.4512
7.8578,62.2577
7.8724,62.0049
7.8869,61.7440
7.9015,61.6469
7.9161,61.6393
7.9307,61.6442
7.9452,61.7736
7.9598,61.9364
7.9744,62.0132
7.9890,62.1064
8.0036,62.1212
8.0181,61.9633
8.0327,61.9150
8.0473,61.5855
8.0619,61.3015
8.0764,61.1590
8.0910,60.7758
8.1056,60.4084
8.1202,59.9984
8.1348,59.6102
8.1493,59.3185
8.1639,59.4265
8.1785,59.4167
8.1931,59.2089
8.2077,58.9380
8.2222,58.6212
8.2368,58.4134
8.2514,58.4057
8.2660,58.3509
8.2805,58.1891
8.2951,58.3882
8.3097,58.8904
8.3243,59.4271
8.3389,60.1261
8.3534,60.6064
8.3680,60.8246
8.3826,60.9594
8.3972,61.2440
8.4118,61.2971
8.4263,61.1080
8.4409,60.9770
8.4555,61.1480
8.4701,61.3920
8.4846,61.7083
8.4992,61.6250
8.5138,61.4117
8.5284,61.1634
8.5430,60.9912
8.5575,60.8640
8.5721,61.0532
8.5867,60.9836
8.6013,61.0757
8.6159,61.0959
8.6304,61.0422
8.6450,60.8706
8.6596,60.8602
8.6742,60.9764
8.6887,61.1266
8.7033,61.6234
