Distance_(mm),Gray_Value
0.0000,98.7784
0.0146,98.8144
0.0292,98.8282
0.0437,98.6684
0.0583,98.3746
0.0729,97.9863
0.0875,97.6392
0.1020,97.7165
0.1166,97.9656
0.1312,97.9725
0.1458,97.8780
0.1604,97.2938
0.1749,97.0052
0.1895,96.9021
0.2041,97.1976
0.2187,97.6615
0.2333,97.9622
0.2478,97.9983
0.2624,97.9141
0.2770,98.6306
0.2916,98.6048
0.3061,98.4742
0.3207,98.1598
0.3353,98.1495
0.3499,98.3608
0.3645,98.4759
0.3790,98.2990
0.3936,97.6718
0.4082,97.5808
0.4228,97.6821
0.4374,98.1460
0.4519,98.0258
0.4665,97.3900
0.4811,96.4227
0.4957,96.1289
0.5102,95.9261
0.5248,96.0876
0.5394,96.2337
0.5540,96.0275
0.5686,95.6048
0.5831,95.7835
0.5977,96.0756
0.6123,96.2595
0.6269,96.3058
0.6415,96.2182
0.6560,96.4914
0.6706,96.6598
0.6852,96.3728
0.6998,96.2440
0.7143,95.7165
0.7289,95.6100
0.7435,96.0378
0.7581,96.6357
0.7727,97.4519
0.7872,97.6323
0.8018,97.6615
0.8164,98.3196
0.8310,99.1289
0.8455,99.5533
0.8601,99.1821
0.8747,99.6306
0.8893,99.8540
0.9039,100.1426
0.9184,99.9553
0.9330,99.8110
0.9476,99.6168
0.9622,99.6959
0.9768,100.1787
0.9913,100.5086
1.0059,100.3351
1.0205,99.8351
1.0351,99.2474
1.0496,99.1220
1.0642,99.2526
1.0788,99.7972
1.0934,99.7818
1.1080,99.3282
1.1225,99.3333
1.1371,99.4089
1.1517,98.9983
1.1663,98.8608
1.1809,98.5000
1.1954,98.0189
1.2100,97.7010
1.2246,97.0962
1.2392,96.0464
1.2537,94.9381
1.2683,94.4416
1.2829,94.2320
1.2975,94.2595
1.3121,94.1718
1.3266,94.0515
1.3412,94.0945
1.3558,94.0103
1.3704,94.1392
1.3850,94.3041
1.3995,93.9948
1.4141,93.6718
1.4287,93.4175
1.4433,93.1357
1.4578,93.0567
1.4724,93.2680
1.4870,93.4777
1.5016,93.5567
1.5162,93.5223
1.5307,93.4158
1.5453,93.7595
1.5599,93.9588
1.5745,94.1667
1.5890,94.3041
1.6036,94.7869
1.6182,94.8643
1.6328,95.0120
1.6474,95.0275
1.6619,95.1151
1.6765,95.2835
1.6911,95.2577
1.7057,95.0962
1.7203,95.0670
1.7348,94.8900
1.7494,95.1546
1.7640,95.4364
1.7786,95.3677
1.7931,94.8918
1.8077,94.5584
1.8223,94.6632
1.8369,95.0550
1.8515,95.7938
1.8660,95.8900
1.8806,96.2337
1.8952,96.5808
1.9098,96.7749
1.9244,96.9158
1.9389,96.9725
1.9535,97.0000
1.9681,97.0550
1.9827,97.3265
1.9972,97.7405
2.0118,98.1753
2.0264,98.6254
2.0410,98.8402
2.0556,99.1478
2.0701,99.5189
2.0847,99.7302
2.0993,99.9433
2.1139,100.2852
2.1285,100.2990
2.1430,100.4708
2.1576,99.8436
2.1722,99.4141
2.1868,99.5069
2.2013,99.7045
2.2159,99.8728
2.2305,99.8952
2.2451,100.2165
2.2597,100.6684
2.2742,101.2062
2.2888,101.5670
2.3034,101.6581
2.3180,101.2371
2.3325,100.9931
2.3471,101.0722
2.3617,101.4931
2.3763,101.9399
2.3909,102.0636
2.4054,102.2990
2.4200,102.1082
2.4346,102.2887
2.4492,102.6787
2.4638,103.0052
2.4783,103.1718
2.4929,103.2251
2.5075,103.5189
2.5221,104.0086
2.5366,104.2560
2.5512,104.2509
2.5658,104.3488
2.5804,105.1117
2.5950,105.8574
2.6095,105.9347
2.6241,105.8986
2.6387,106.4089
2.6533,106.7285
2.6679,106.9914
2.6824,106.8196
2.6970,106.6873
2.7116,106.5447
2.7262,106.0722
2.7407,106.3419
2.7553,106.7096
2.7699,106.8780
2.7845,106.9570
2.7991,107.2680
2.8136,107.4021
2.8282,107.6168
2.8428,108.2560
2.8574,108.6426
2.8720,108.7663
2.8865,109.0086
2.9011,109.1134
2.9157,109.3935
2.9303,109.4192
2.9448,109.3247
2.9594,109.3265
2.9740,109.5464
2.9886,109.9622
3.0032,110.5928
3.0177,110.9863
3.0323,110.9330
3.0469,111.0498
3.0615,111.2801
3.0760,110.8728
3.0906,110.5000
3.1052,110.2062
3.1198,110.5808
3.1344,111.0412
3.1489,111.2784
3.1635,111.4639
3.1781,111.6306
3.1927,111.4158
3.2073,111.4485
3.2218,111.8213
3.2364,111.9261
3.2510,111.6924
3.2656,111.4364
3.2801,111.5292
3.2947,111.9072
3.3093,112.6082
3.3239,112.6735
3.3385,112.7904
3.3530,112.8058
3.3676,112.7852
3.3822,112.7938
3.3968,112.3625
3.4114,112.0172
3.4259,112.0206
3.4405,112.1564
3.4551,112.0550
3.4697,111.9828
3.4842,111.6203
3.4988,111.5464
3.5134,111.9261
3.5280,112.2869
3.5426,112.4845
3.5571,112.4381
3.5717,112.3230
3.5863,112.4983
3.6009,112.9897
3.6155,113.5430
3.6300,113.8093
3.6446,113.8763
3.6592,113.8196
3.6738,114.3900
3.6883,114.7629
3.7029,114.5928
3.7175,114.5876
3.7321,114.8814
3.7467,115.2371
3.7612,115.6512
3.7758,116.4948
3.7904,116.4313
3.8050,116.5790
3.8195,117.3643
3.8341,118.0034
3.8487,118.0430
3.8633,118.0086
3.8779,117.7835
3.8924,117.3986
3.9070,117.2921
3.9216,117.6512
3.9362,118.2491
3.9508,118.2354
3.9653,117.9811
3.9799,117.8814
3.9945,117.9605
4.0091,117.5739
4.0236,117.6667
4.0382,117.6770
4.0528,117.7028
4.0674,117.8162
4.0820,118.1512
4.0965,118.4536
4.1111,118.5172
4.1257,118.1443
4.1403,118.0859
4.1549,118.0515
4.1694,117.7698
4.1840,117.5584
4.1986,117.4708
4.2132,117.4811
4.2277,117.6924
4.2423,117.7612
4.2569,117.3849
4.2715,117.5928
4.2861,117.9399
4.3006,118.1254
4.3152,118.1014
4.3298,117.7491
4.3444,117.7509
4.3590,117.4931
4.3735,117.4794
4.3881,117.7285
4.4027,117.9742
4.4173,118.3608
4.4318,118.8316
4.4464,119.4038
4.4610,119.6873
4.4756,119.2784
4.4902,119.2560
4.5047,119.3694
4.5193,119.6718
4.5339,120.1529
4.5485,120.3660
4.5630,120.4897
4.5776,120.4948
4.5922,120.5756
4.6068,120.8952
4.6214,121.1924
4.6359,121.4914
4.6505,121.6186
4.6651,121.6718
4.6797,121.7131
4.6943,121.5241
4.7088,122.1117
4.7234,122.1701
4.7380,122.4485
4.7526,122.7955
4.7671,122.8058
4.7817,122.4742
4.7963,121.9966
4.8109,121.6478
4.8255,121.8419
4.8400,122.1357
4.8546,122.2182
4.8692,122.2869
4.8838,122.4416
4.8984,122.5739
4.9129,123.2766
4.9275,123.8385
4.9421,123.8660
4.9567,123.5825
4.9712,123.6460
4.9858,123.8900
5.0004,123.8454
5.0150,123.7388
5.0296,123.6684
5.0441,123.7732
5.0587,123.7079
5.0733,123.9313
5.0879,124.1323
5.1025,124.3041
5.1170,124.4863
5.1316,124.5017
5.1462,124.3058
5.1608,124.1220
5.1753,123.7354
5.1899,123.5275
5.2045,123.5498
5.2191,124.2560
5.2337,124.9107
5.2482,125.0481
5.2628,124.8849
5.2774,124.7371
5.2920,124.4089
5.3065,124.3677
5.3211,124.3488
5.3357,123.9467
5.3503,123.6615
5.3649,123.9364
5.3794,124.3196
5.3940,124.3265
5.4086,123.9622
5.4232,123.5756
5.4378,123.6117
5.4523,124.0584
5.4669,124.1615
5.4815,123.8179
5.4961,123.4399
5.5106,123.1546
5.5252,123.0481
5.5398,123.1082
5.5544,123.0223
5.5690,122.8282
5.5835,122.6770
5.5981,122.7887
5.6127,123.2010
5.6273,123.6100
5.6419,123.7509
5.6564,123.6014
5.6710,123.4210
5.6856,123.2405
5.7002,123.0567
5.7147,122.7096
5.7293,121.9605
5.7439,121.5842
5.7585,121.4502
5.7731,121.5086
5.7876,121.4794
5.8022,121.2062
5.8168,120.8127
5.8314,120.6409
5.8460,120.2698
5.8605,119.6667
5.8751,118.9244
5.8897,118.1529
5.9043,117.2972
5.9188,117.2680
5.9334,116.8024
5.9480,116.1649
5.9626,115.8540
5.9772,115.7732
5.9917,115.7801
6.0063,115.7131
6.0209,115.7216
6.0355,115.5722
6.0500,115.0309
6.0646,114.5722
6.0792,114.1289
6.0938,113.8179
6.1084,113.0481
6.1229,112.2131
6.1375,111.2801
6.1521,110.9107
6.1667,110.7595
6.1813,110.3866
6.1958,109.7766
6.2104,109.1254
6.2250,108.5859
6.2396,108.4158
6.2541,108.0155
6.2687,107.5206
6.2833,107.1546
6.2979,106.7646
6.3125,105.9261
6.3270,104.9141
6.3416,103.9845
6.3562,103.1495
6.3708,102.1357
6.3854,100.9897
6.3999,100.2337
6.4145,99.4725
6.4291,98.8763
6.4437,98.5979
6.4582,97.6890
6.4728,97.4605
6.4874,97.3007
6.5020,97.0653
6.5166,96.3780
6.5311,96.2526
6.5457,95.8230
6.5603,95.4330
6.5749,94.8076
6.5894,94.5309
6.6040,94.4038
6.6186,93.9227
6.6332,93.3093
6.6478,92.3952
6.6623,91.2887
6.6769,90.8935
6.6915,90.1289
6.7061,89.8144
6.7207,88.7216
6.7352,87.9777
6.7498,87.5636
6.7644,87.6821
6.7790,87.4931
6.7935,87.4089
6.8081,87.5120
6.8227,87.4897
6.8373,87.1701
6.8519,86.6409
6.8664,85.9656
6.8810,85.2595
6.8956,84.9983
6.9102,85.0034
6.9248,84.7835
6.9393,84.0911
6.9539,83.5172
6.9685,83.2388
6.9831,82.7904
6.9976,82.3849
7.0122,81.9261
7.0268,81.8076
7.0414,81.6100
7.0560,81.6426
7.0705,81.5017
7.0851,80.9021
7.0997,80.1306
7.1143,79.3849
7.1289,78.4674
7.1434,77.6529
7.1580,76.6495
7.1726,75.7680
7.1872,74.8694
7.2017,73.9948
7.2163,73.3247
7.2309,72.9777
7.2455,72.7595
7.2601,72.2010
7.2746,71.5842
7.2892,71.2869
7.3038,71.5344
7.3184,71.9330
7.3329,71.9416
7.3475,72.1495
7.3621,72.7491
7.3767,73.7405
7.3913,74.4244
7.4058,74.7698
7.4204,74.8952
7.4350,74.5962
7.4496,74.2698
7.4642,74.3265
7.4787,73.6787
7.4933,72.8746
7.5079,72.3557
7.5225,72.0017
7.5370,71.4948
7.5516,71.2577
7.5662,70.2801
7.5808,69.4863
7.5954,68.5515
7.6099,67.9278
7.6245,67.4227
7.6391,67.3247
7.6537,66.7440
7.6683,66.4691
7.6828,65.9691
7.6974,65.0859
7.7120,64.1289
7.7266,63.8333
7.7411,63.6048
7.7557,63.6753
7.7703,64.1546
7.7849,64.3986
7.7995,64.4055
7.8140,64.1478
7.8286,64.5172
7.8432,64.6873
7.8578,64.4467
7.8724,64.1357
7.8869,63.9467
7.9015,63.8711
7.9161,63.5447
7.9307,63.0825
7.9452,62.6924
7.9598,62.3368
7.9744,62.4570
7.9890,62.3797
8.0036,62.1581
8.0181,62.0601
8.0327,62.1340
8.0473,62.5189
8.0619,63.1065
8.0764,63.3316
8.0910,63.4313
8.1056,63.0034
8.1202,62.5979
8.1348,62.0911
8.1493,61.9863
8.1639,61.9931
8.1785,62.1564
8.1931,62.1375
8.2077,61.9381
8.2222,62.3436
8.2368,62.6134
8.2514,63.1649
8.2660,63.2199
8.2805,63.0292
8.2951,62.9313
8.3097,62.7234
8.3243,62.7388
8.3389,62.2216
8.3534,61.7182
8.3680,61.3797
8.3826,60.7938
8.3972,60.4759
8.4118,60.3093
8.4263,59.8866
8.4409,59.7749
8.4555,59.9656
8.4701,59.6237
8.4846,58.9210
8.4992,58.3814
8.5138,58.1460
8.5284,58.0773
8.5430,57.8179
8.5575,57.7904
8.5721,57.8883
8.5867,57.9656
8.6013,57.8763
8.6159,58.0704
8.6304,58.4691
8.6450,58.5842
8.6596,58.5481
8.6742,58.6426
8.6887,58.6701
8.7033,58.8213
8.7179,59.3058
8.7325,59.8144
8.7471,60.4588
8.7616,60.7131
8.7762,60.7440
8.7908,60.4072
8.8054,60.3505
8.8199,60.8247
8.8345,61.3024
8.8491,61.7182
8.8637,62.0859
8.8783,61.7732
8.8928,61.4863
8.9074,61.0636
8.9220,60.9038
8.9366,60.6460
8.9512,60.4175
8.9657,60.1667
8.9803,60.0911
8.9949,60.1117
9.0095,59.9192
9.0240,59.5241
9.0386,59.4519
9.0532,59.7869
