Distance_(mm),Gray_Value
0.0000,80.7650
0.0143,80.5817
0.0287,80.5442
0.0430,80.5992
0.0573,80.6895
0.0717,80.8970
0.0860,80.9596
0.1004,80.9103
0.1147,80.9084
0.1290,80.9378
0.1434,80.9549
0.1577,81.0731
0.1720,81.2797
0.1864,81.1168
0.2007,80.9520
0.2150,80.3770
0.2294,80.2488
0.2437,80.1225
0.2580,80.4136
0.2724,80.3680
0.2867,80.2317
0.3011,80.3234
0.3154,80.4373
0.3297,80.4164
0.3441,80.4687
0.3584,80.6595
0.3727,80.7431
0.3871,80.7555
0.4014,80.9416
0.4157,81.1201
0.4301,81.1125
0.4444,80.7621
0.4588,80.5451
0.4731,80.5095
0.4874,80.5997
0.5018,80.8409
0.5161,80.9658
0.5304,80.8234
0.5448,80.6667
0.5591,80.6956
0.5734,80.8124
0.5878,80.9141
0.6021,80.8642
0.6165,80.5627
0.6308,80.6211
0.6451,80.7184
0.6595,80.9501
0.6738,80.8993
0.6881,81.0043
0.7025,81.3343
0.7168,81.5446
0.7311,81.2840
0.7455,81.1311
0.7598,81.3732
0.7741,81.6842
0.7885,81.8414
0.8028,81.7322
0.8172,81.6895
0.8315,81.9454
0.8458,81.7901
0.8602,81.8642
0.8745,81.9112
0.8888,82.0446
0.9032,82.2009
0.9175,82.0052
0.9318,81.9316
0.9462,81.9767
0.9605,81.9402
0.9749,81.9753
0.9892,82.2740
1.0035,82.5209
1.0179,82.6923
1.0322,82.8010
1.0465,83.0085
1.0609,83.0855
1.0752,83.3704
1.0895,83.6021
1.1039,83.7545
1.1182,83.7626
1.1326,83.8656
1.1469,83.9349
1.1612,84.1121
1.1756,84.4103
1.1899,84.2151
1.2042,84.1054
1.2186,83.9098
1.2329,83.9321
1.2472,83.8390
1.2616,83.7821
1.2759,83.8737
1.2902,83.9748
1.3046,84.3139
1.3189,84.7322
1.3333,84.9558
1.3476,84.9012
1.3619,84.8158
1.3763,84.6686
1.3906,84.8253
1.4049,85.1068
1.4193,85.5480
1.4336,86.1168
1.4479,86.7270
1.4623,87.4378
1.4766,87.8713
1.4910,88.3704
1.5053,88.5271
1.5196,88.5057
1.5340,88.4668
1.5483,88.5081
1.5626,88.5066
1.5770,88.3803
1.5913,88.1225
1.6056,88.2274
1.6200,88.3561
1.6343,88.3158
1.6486,88.1842
1.6630,88.3865
1.6773,88.5351
1.6917,88.5969
1.7060,88.7056
1.7203,88.5707
1.7347,88.6928
1.7490,88.7227
1.7633,88.9924
1.7777,89.4093
1.7920,89.5100
1.8063,89.4867
1.8207,89.5518
1.8350,89.8333
1.8494,90.0745
1.8637,90.3205
1.8780,90.5622
1.8924,90.6505
1.9067,90.9829
1.9210,91.2483
1.9354,91.3865
1.9497,91.5750
1.9640,91.7621
1.9784,91.8338
1.9927,91.9710
2.0071,92.2887
2.0214,92.3547
2.0357,92.4340
2.0501,92.4259
2.0644,92.7991
2.0787,93.0945
2.0931,93.2346
2.1074,93.3471
2.1217,93.5408
2.1361,93.8481
2.1504,94.1002
2.1647,93.9169
2.1791,93.6790
2.1934,93.5603
2.2078,93.8775
2.2221,94.2654
2.2364,94.6999
2.2508,94.8305
2.2651,95.0707
2.2794,95.7104
2.2938,96.2175
2.3081,96.9022
2.3224,97.1163
2.3368,97.1966
2.3511,97.2825
2.3655,97.3267
2.3798,97.2113
2.3941,96.8272
2.4085,96.7203
2.4228,96.9088
2.4371,97.1002
2.4515,97.3319
2.4658,97.5613
2.4801,97.8134
2.4945,97.9554
2.5088,97.9406
2.5231,98.2284
2.5375,98.5399
2.5518,98.7270
2.5662,98.8020
2.5805,99.1140
2.5948,99.8751
2.6092,100.3628
2.6235,100.5802
2.6378,100.6676
2.6522,100.6619
2.6665,100.8319
2.6808,101.0864
2.6952,101.2194
2.7095,101.0698
2.7239,101.2151
2.7382,101.3148
2.7525,101.4359
2.7669,101.6529
2.7812,101.9136
2.7955,101.7987
2.8099,101.5432
2.8242,101.4269
2.8385,101.3936
2.8529,101.3993
2.8672,101.4501
2.8816,101.4991
2.8959,101.5408
2.9102,101.5983
2.9246,101.7721
2.9389,101.8039
