Distance_(mm),Gray_Value
0.0000,72.7194
0.0144,72.6034
0.0289,72.5586
0.0433,72.2484
0.0577,72.1416
0.0722,72.1159
0.0866,72.3129
0.1011,72.2964
0.1155,72.3123
0.1299,72.0784
0.1444,72.0329
0.1588,72.2101
0.1732,72.2872
0.1877,72.1673
0.2021,72.2174
0.2165,72.1825
0.2310,72.4071
0.2454,72.5092
0.2598,72.7273
0.2743,72.7418
0.2887,72.6759
0.3032,72.6891
0.3176,73.0296
0.3320,73.3155
0.3465,73.3241
0.3609,73.3603
0.3753,73.4018
0.3898,73.4460
0.4042,73.9796
0.4186,74.4163
0.4331,74.4901
0.4475,74.2839
0.4620,74.2516
0.4764,74.2694
0.4908,74.4433
0.5053,73.9328
0.5197,73.8762
0.5341,73.8643
0.5486,73.9736
0.5630,73.8900
0.5774,73.8281
0.5919,73.8294
0.6063,73.7609
0.6207,73.5231
0.6352,73.8281
0.6496,73.8314
0.6641,73.6667
0.6785,73.6509
0.6929,73.9203
0.7074,74.3874
0.7218,74.5171
0.7362,74.3472
0.7507,74.2378
0.7651,74.2932
0.7795,74.7391
0.7940,74.8281
0.8084,74.6061
0.8228,74.4769
0.8373,74.7108
0.8517,74.5942
0.8662,74.8650
0.8806,75.2543
0.8950,75.1970
0.9095,75.3979
0.9239,75.7101
0.9383,75.5955
0.9528,75.2615
0.9672,74.9499
0.9816,74.9868
0.9961,75.2378
1.0105,75.3603
1.0250,75.4414
1.0394,75.5870
1.0538,75.6884
1.0683,75.8360
1.0827,75.9750
1.0971,75.8327
1.1116,75.7253
1.1260,75.8076
1.1404,76.0231
1.1549,76.1390
1.1693,76.0659
1.1837,75.9032
1.1982,75.7839
1.2126,75.8017
1.2271,75.8729
1.2415,75.7543
1.2559,75.5744
1.2704,75.5283
1.2848,75.7273
1.2992,75.9420
1.3137,75.8623
1.3281,75.8063
1.3425,75.7938
1.3570,75.5415
1.3714,75.5178
1.3859,75.7523
1.4003,75.9275
1.4147,76.0099
1.4292,75.9308
1.4436,76.1120
1.4580,76.1943
1.4725,76.0771
1.4869,76.0244
1.5013,76.0481
1.5158,76.2332
1.5302,76.3505
1.5446,76.2306
1.5591,76.0514
1.5735,75.7885
1.5880,75.8992
1.6024,76.1350
1.6168,76.4401
1.6313,76.7042
1.6457,76.9374
1.6601,76.9058
1.6746,76.6983
1.6890,76.8024
1.7034,77.0949
1.7179,77.3887
1.7323,77.3755
1.7468,77.4928
1.7612,77.6812
1.7756,77.8729
1.7901,77.5942
1.8045,77.5837
1.8189,77.7800
1.8334,77.8472
1.8478,77.9018
1.8622,77.7339
1.8767,77.4677
1.8911,77.1812
1.9055,77.1733
1.9200,77.2918
1.9344,77.3920
1.9489,77.5046
1.9633,77.7115
1.9777,77.9585
1.9922,78.2095
2.0066,78.4769
2.0210,78.4974
2.0355,78.2839
2.0499,78.3518
2.0643,78.4684
2.0788,78.8228
2.0932,79.0501
2.1076,79.1271
2.1221,79.3353
2.1365,79.4295
2.1510,79.6957
2.1654,79.6397
2.1798,79.4974
2.1943,79.2780
2.2087,79.2055
2.2231,79.0679
2.2376,79.0072
2.2520,78.9427
2.2664,79.0995
2.2809,79.3478
2.2953,79.3129
2.3098,79.3116
2.3242,78.9657
2.3386,78.7648
2.3531,78.7437
2.3675,78.8933
2.3819,79.1120
2.3964,79.3834
2.4108,79.3959
2.4252,79.5152
2.4397,79.5086
2.4541,79.7714
2.4685,79.9177
2.4830,79.7391
2.4974,79.5046
2.5119,79.3880
2.5263,79.5217
2.5407,79.6186
2.5552,79.3781
2.5696,79.1568
2.5840,79.1430
2.5985,79.2648
2.6129,79.5790
2.6273,79.7444
2.6418,79.6686
2.6562,79.8406
2.6707,80.1660
2.6851,80.2813
2.6995,80.4453
2.7140,80.4183
2.7284,80.8169
2.7428,81.1192
2.7573,81.2062
2.7717,81.3281
2.7861,81.1298
2.8006,81.0507
2.8150,81.1107
2.8294,81.2148
2.8439,81.2536
2.8583,81.4012
2.8728,81.5033
2.8872,81.7036
2.9016,81.9493
2.9161,82.3538
2.9305,82.3933
2.9449,82.5553
2.9594,82.7661
2.9738,82.9980
2.9882,83.3267
3.0027,84.1746
3.0171,84.9117
3.0316,85.6495
3.0460,86.4071
3.0604,86.9295
3.0749,87.1700
3.0893,86.8933
3.1037,86.1943
3.1182,85.7793
3.1326,85.3465
3.1470,85.1436
3.1615,84.8887
3.1759,84.7596
3.1903,84.6871
3.2048,84.5224
3.2192,84.2833
3.2337,84.0646
3.2481,83.7747
3.2625,83.2905
3.2770,82.9032
3.2914,82.9032
3.3058,82.9124
3.3203,83.1443
3.3347,83.0619
3.3491,83.3393
3.3636,83.5178
3.3780,83.5777
3.3924,83.6390
3.4069,83.4598
3.4213,83.4387
3.4358,83.7404
3.4502,83.7675
3.4646,83.7642
3.4791,83.7286
3.4935,83.8353
3.5079,84.1232
3.5224,84.5408
3.5368,84.9539
3.5512,85.0448
3.5657,84.9499
3.5801,85.4895
3.5946,85.8577
3.6090,86.2358
3.6234,86.6153
3.6379,87.0303
3.6523,87.3208
3.6667,87.5744
3.6812,87.6126
3.6956,87.7516
3.7100,87.8090
3.7245,88.2806
3.7389,88.6495
3.7533,88.9130
3.7678,88.9328
3.7822,88.9835
3.7967,88.8294
3.8111,88.9420
3.8255,89.1350
3.8400,89.0455
3.8544,88.7470
3.8688,88.6989
3.8833,88.4414
3.8977,88.5705
3.9121,88.7661
3.9266,88.9486
3.9410,88.9888
3.9555,89.1640
3.9699,89.1950
3.9843,89.2516
3.9988,89.2628
4.0132,89.2325
4.0276,89.1647
4.0421,89.5679
4.0565,89.7115
4.0709,89.7154
4.0854,89.5692
4.0998,89.3814
4.1142,88.9407
4.1287,88.6212
4.1431,88.5679
4.1576,88.6568
4.1720,88.5593
4.1864,88.6812
4.2009,88.9223
4.2153,89.1989
4.2297,89.4071
4.2442,89.4618
4.2586,89.2760
4.2730,89.1298
4.2875,89.1805
4.3019,89.2806
4.3164,89.0547
4.3308,89.3926
4.3452,90.2121
4.3597,90.5217
4.3741,90.2668
4.3885,90.0646
4.4030,90.1805
4.4174,90.6996
4.4318,91.3228
4.4463,91.9895
4.4607,92.3004
4.4751,92.7220
4.4896,92.9361
4.5040,93.5237
4.5185,93.8327
4.5329,94.1344
4.5473,94.4401
4.5618,94.6436
4.5762,94.7174
4.5906,94.9473
4.6051,94.9242
4.6195,94.8841
4.6339,94.4723
4.6484,94.5395
4.6628,94.4802
4.6772,94.3419
4.6917,94.0461
4.7061,93.8228
4.7206,93.8551
4.7350,94.4407
4.7494,95.1680
4.7639,95.6087
4.7783,95.0053
4.7927,94.3524
4.8072,94.4203
4.8216,95.1245
4.8360,95.2938
4.8505,95.3722
4.8649,95.2036
4.8794,95.2292
4.8938,95.3300
4.9082,95.8972
4.9227,96.5520
4.9371,97.2615
4.9515,97.8636
4.9660,99.0527
4.9804,99.6621
4.9948,99.6963
5.0093,99.5072
5.0237,99.0231
5.0381,98.4730
5.0526,98.6107
5.0670,98.6482
5.0815,98.8274
5.0959,98.8768
5.1103,99.4789
5.1248,99.6225
5.1392,99.5718
5.1536,99.3096
5.1681,98.9308
5.1825,98.4032
5.1969,98.1660
5.2114,97.9657
5.2258,97.6574
5.2403,97.0599
5.2547,96.9335
5.2691,97.1917
5.2836,97.8518
5.2980,98.7675
5.3124,99.7642
5.3269,99.8946
5.3413,99.8880
5.3557,100.0007
5.3702,100.6614
5.3846,101.0692
5.3990,101.0494
5.4135,100.4914
5.4279,100.1548
5.4424,99.5092
5.4568,99.1383
5.4712,98.8439
5.4857,98.6390
5.5001,98.7714
5.5145,99.0975
5.5290,99.1258
5.5434,99.4684
5.5578,100.0211
5.5723,100.9084
5.5867,101.1370
5.6012,100.9480
5.6156,100.5283
5.6300,100.0488
5.6445,98.9177
5.6589,97.1555
5.6733,94.4387
5.6878,92.1785
5.7022,89.9512
5.7166,88.3650
5.7311,87.0198
5.7455,87.1555
5.7599,89.1094
5.7744,91.6258
5.7888,91.9657
5.8033,91.9895
5.8177,92.1113
5.8321,92.4618
5.8466,92.9862
5.8610,93.5692
5.8754,94.2312
5.8899,94.8939
5.9043,95.2404
5.9187,95.5362
5.9332,95.4183
5.9476,95.1113
5.9620,94.5929
5.9765,94.0092
5.9909,93.3037
6.0054,92.5007
6.0198,91.6390
6.0342,91.0237
6.0487,90.4822
6.0631,89.9051
6.0775,89.1344
6.0920,88.4315
6.1064,88.0296
6.1208,87.5119
6.1353,86.8597
6.1497,86.3643
6.1642,85.4736
6.1786,85.0257
6.1930,84.6581
6.2075,84.3228
6.2219,83.7404
6.2363,82.8202
6.2508,81.5560
6.2652,81.0112
6.2796,79.8182
6.2941,78.7385
6.3085,77.1271
6.3229,75.8966
6.3374,75.1390
6.3518,74.7339
6.3663,74.3123
6.3807,73.7279
6.3951,72.8360
6.4096,71.8669
6.4240,70.9407
6.4384,70.2615
6.4529,69.6331
6.4673,68.8893
6.4817,68.0040
6.4962,67.4394
6.5106,66.4242
6.5251,65.4480
6.5395,63.9901
6.5539,63.1001
6.5684,62.2938
6.5828,61.4420
6.5972,60.4638
6.6117,59.7655
6.6261,59.0145
6.6405,58.9374
6.6550,58.7062
6.6694,58.3505
6.6838,57.8393
6.6983,57.1726
6.7127,55.9249
6.7272,54.9967
6.7416,54.1489
6.7560,53.5646
6.7705,52.6568
6.7849,52.0165
6.7993,51.3524
6.8138,50.9124
6.8282,50.6377
6.8426,50.5520
6.8571,49.9881
6.8715,49.5296
6.8860,48.6772
6.9004,47.8373
6.9148,46.7813
6.9293,45.4914
6.9437,43.7978
6.9581,42.7899
6.9726,41.8050
6.9870,40.8076
7.0014,39.6588
7.0159,38.8518
7.0303,37.9598
7.0447,37.3630
7.0592,37.1634
7.0736,37.0487
7.0881,36.9743
7.1025,36.7806
7.1169,36.4071
7.1314,36.1660
7.1458,36.0896
7.1602,35.8946
7.1747,35.4058
7.1891,35.2760
7.2035,35.0626
7.2180,34.8017
7.2324,34.6041
7.2469,34.3617
7.2613,34.1700
7.2757,34.0534
7.2902,33.5567
7.3046,33.2233
7.3190,32.7227
7.3335,32.3597
7.3479,32.5382
7.3623,33.0092
7.3768,33.2029
7.3912,32.9960
7.4056,33.1337
7.4201,33.1278
7.4345,33.1601
7.4490,33.1930
7.4634,33.4051
7.4778,33.4486
7.4923,33.4816
7.5067,33.3992
7.5211,33.0072
7.5356,32.8024
7.5500,32.3966
7.5644,32.4605
7.5789,32.6423
7.5933,32.7312
7.6077,32.5264
7.6222,32.2872
7.6366,31.8544
7.6511,31.5553
7.6655,31.3926
7.6799,31.6759
7.6944,31.9361
7.7088,32.6304
7.7232,33.4539
7.7377,33.9888
7.7521,33.7747
7.7665,33.7530
7.7810,33.3913
7.7954,33.3656
7.8099,33.5125
7.8243,34.0389
7.8387,34.1851
7.8532,33.8768
7.8676,33.9025
7.8820,34.1443
7.8965,34.3340
7.9109,34.0679
7.9253,33.8887
7.9398,34.0988
7.9542,34.3584
7.9686,34.4236
7.9831,34.5428
7.9975,34.6864
8.0120,34.6357
8.0264,34.9723
8.0408,35.3307
8.0553,35.4974
8.0697,35.5652
8.0841,35.5797
8.0986,35.5619
8.1130,35.5580
8.1274,35.4611
8.1419,35.2484
8.1563,34.7464
8.1708,34.6120
8.1852,34.8353
8.1996,35.1298
8.2141,34.8465
8.2285,34.5237
8.2429,34.4611
8.2574,34.3682
8.2718,34.3221
8.2862,34.3768
8.3007,34.4565
8.3151,34.5982
8.3295,34.7325
8.3440,34.9256
8.3584,34.9223
8.3729,34.8590
8.3873,34.7879
8.4017,34.6344
8.4162,34.5731
8.4306,34.6449
8.4450,34.7681
8.4595,34.7655
8.4739,34.8505
8.4883,34.9038
8.5028,35.0441
8.5172,35.2780
8.5317,35.3682
8.5461,35.4249
8.5605,35.4032
8.5750,35.3465
8.5894,35.2404
8.6038,35.0231
8.6183,34.8248
8.6327,34.6851
8.6471,34.7780
8.6616,34.9855
8.6760,34.8419
8.6904,34.3432
8.7049,33.8267
8.7193,33.7181
8.7338,33.8702
8.7482,33.9717
8.7626,33.5138
8.7771,33.0244
8.7915,33.3373
8.8059,33.9025
8.8204,34.0692
8.8348,34.0514
8.8492,33.9420
8.8637,34.0422
8.8781,34.1159
8.8925,34.2800
8.9070,34.3953
8.9214,34.3979
8.9359,34.1798
8.9503,34.3248
8.9647,34.5283
8.9792,34.6357
8.9936,34.8584
9.0080,35.0099
9.0225,35.2576
9.0369,35.2734
9.0513,35.3742
9.0658,35.1370
9.0802,35.0665
9.0947,35.1423
9.1091,35.2003
9.1235,35.2108
9.1380,35.2299
9.1524,35.2589
9.1668,35.0540
9.1813,35.3465
9.1957,35.4223
9.2101,35.4012
9.2246,34.9631
9.2390,34.7800
9.2534,34.9697
9.2679,35.2319
9.2823,35.2958
9.2968,34.8314
9.3112,34.2042
9.3256,33.9111
9.3401,33.7332
9.3545,33.6390
9.3689,33.4572
9.3834,33.1495
9.3978,32.8821
9.4122,32.5705
9.4267,32.2780
9.4411,31.7912
9.4556,31.1535
9.4700,30.7200
9.4844,30.5244
9.4989,30.6588
9.5133,30.4144
9.5277,29.1937
9.5422,28.0171
9.5566,27.9704
9.5710,28.3887
9.5855,28.6627
9.5999,28.3801
9.6143,27.9908
9.6288,27.0152
9.6432,26.3999
9.6577,26.0053
9.6721,25.9796
9.6865,25.8024
9.7010,25.3267
9.7154,25.3643
9.7298,25.5639
9.7443,25.2510
9.7587,24.9065
9.7731,24.4697
9.7876,24.2648
9.8020,24.2121
9.8165,24.1087
9.8309,23.7760
9.8453,23.5112
9.8598,23.4862
9.8742,23.3775
9.8886,23.4842
9.9031,23.5567
9.9175,23.6350
9.9319,23.5435
9.9464,23.2615
9.9608,23.0929
9.9752,23.1271
9.9897,23.0619
10.0041,23.0909
10.0186,23.1574
10.0330,23.1917
10.0474,23.0046
10.0619,22.9229
10.0763,22.9302
10.0907,22.2892
10.1052,22.3406
10.1196,22.2516
10.1340,22.0567
10.1485,21.7069
10.1629,21.7009
10.1773,22.0856
10.1918,22.4736
10.2062,22.5797
10.2207,22.5395
10.2351,22.5435
10.2495,22.5606
10.2640,22.7227
10.2784,22.7747
10.2928,22.7694
10.3073,22.9928
10.3217,23.2134
10.3361,23.2134
10.3506,23.2714
10.3650,23.2938
10.3795,23.4321
10.3939,23.6265
10.4083,24.0231
10.4228,24.4196
10.4372,24.5138
10.4516,24.4664
10.4661,24.4005
10.4805,24.7088
10.4949,24.9789
10.5094,24.9980
10.5238,25.1133
10.5382,25.2260
10.5527,25.4078
10.5671,25.7582
10.5816,25.9045
10.5960,25.5942
10.6104,25.1285
10.6249,25.3959
10.6393,25.8742
10.6537,26.1917
10.6682,25.9506
10.6826,25.7839
10.6970,25.5132
10.7115,25.4460
10.7259,25.6647
10.7404,25.6983
10.7548,25.7121
10.7692,25.7418
10.7837,26.0903
10.7981,26.5013
10.8125,26.8860
10.8270,27.0797
10.8414,27.0356
10.8558,27.0896
10.8703,27.0955
10.8847,26.9875
10.8991,26.6469
10.9136,26.9532
10.9280,27.2194
10.9425,27.2905
10.9569,27.1159
10.9713,26.7675
10.9858,26.3544
11.0002,26.1206
11.0146,25.5949
11.0291,25.3874
11.0435,25.1713
11.0579,24.7694
11.0724,24.3353
11.0868,24.5290
11.1013,24.8775
11.1157,25.0053
11.1301,24.6311
11.1446,24.4111
11.1590,24.2260
11.1734,24.5086
11.1879,25.0705
11.2023,25.1904
11.2167,25.3893
11.2312,25.6133
11.2456,25.9071
11.2600,26.3004
11.2745,26.3617
11.2889,25.9401
11.3034,25.7754
11.3178,25.8729
11.3322,26.0422
11.3467,26.3906
11.3611,26.8274
11.3755,27.0224
11.3900,27.4078
11.4044,27.7747
11.4188,28.1509
11.4333,28.2885
11.4477,28.2352
11.4621,28.1304
11.4766,28.2286
11.4910,27.9763
11.5055,27.3432
11.5199,26.9104
11.5343,26.7358
11.5488,26.6133
11.5632,25.9954
11.5776,25.5487
11.5921,25.3893
11.6065,24.7846
11.6209,24.2134
11.6354,23.9499
11.6498,24.2411
11.6643,23.8669
11.6787,23.4420
11.6931,23.5474
11.7076,23.7958
11.7220,24.0955
11.7364,24.3518
11.7509,24.2490
11.7653,24.1462
11.7797,23.8162
11.7942,23.6179
11.8086,23.5942
11.8230,23.6462
11.8375,23.7095
11.8519,23.8426
11.8664,23.8887
11.8808,23.8880
11.8952,24.0270
11.9097,24.0059
11.9241,23.9802
11.9385,23.8511
11.9530,23.8070
11.9674,23.4578
11.9818,23.5606
11.9963,24.2661
12.0107,25.3327
12.0252,26.0494
12.0396,26.3900
12.0540,26.8755
12.0685,27.0791
12.0829,27.2437
12.0973,27.2688
12.1118,27.1561
12.1262,27.1120
12.1406,26.9618
12.1551,26.7793
12.1695,26.7121
12.1839,26.4447
12.1984,26.6034
12.2128,26.7167
12.2273,26.8307
12.2417,27.3781
12.2561,27.9585
12.2706,28.0731
12.2850,28.0138
12.2994,27.9420
12.3139,28.6871
12.3283,29.4914
12.3427,29.3333
12.3572,28.9901
12.3716,28.7536
12.3861,28.5547
12.4005,28.3155
12.4149,28.3195
12.4294,28.4901
12.4438,28.3920
12.4582,28.0079
12.4727,27.5771
12.4871,27.0586
12.5015,26.7141
12.5160,26.0830
12.5304,25.9137
12.5448,25.9414
12.5593,26.1126
12.5737,25.9170
12.5882,25.1943
12.6026,24.7437
12.6170,24.6943
12.6315,24.5349
12.6459,24.1851
12.6603,23.9249
12.6748,23.7780
12.6892,23.4941
12.7036,23.1133
12.7181,23.1535
12.7325,23.2787
12.7469,23.7273
12.7614,23.9809
12.7758,24.1621
12.7903,24.4038
12.8047,24.5698
12.8191,24.7747
12.8336,25.1199
12.8480,25.2273
12.8624,25.0402
12.8769,24.9651
12.8913,24.8702
12.9057,24.9822
12.9202,24.9605
12.9346,24.6779
12.9491,24.6403
12.9635,25.0797
12.9779,24.8623
12.9924,24.6634
13.0068,24.5672
13.0212,24.6153
13.0357,24.2128
13.0501,23.8083
13.0645,23.7628
13.0790,24.1759
13.0934,24.2510
13.1078,24.3188
13.1223,24.2036
13.1367,23.6871
13.1512,23.6482
13.1656,23.9341
13.1800,23.5593
13.1945,22.7279
13.2089,22.2569
13.2233,22.5758
13.2378,22.9914
13.2522,23.3735
13.2666,23.2187
13.2811,23.1430
13.2955,23.0257
13.3100,22.7523
13.3244,22.4618
13.3388,22.3590
13.3533,22.1812
13.3677,22.1917
13.3821,22.4223
13.3966,22.5310
13.4110,22.7233
13.4254,23.1094
13.4399,23.2569
13.4543,23.4723
13.4687,23.4928
13.4832,23.4473
13.4976,23.3300
13.5121,23.0896
13.5265,22.9183
13.5409,22.9598
13.5554,22.6996
13.5698,22.4829
13.5842,22.0132
13.5987,21.6265
13.6131,21.6858
13.6275,21.7148
13.6420,21.1647
13.6564,20.5277
13.6709,20.3287
13.6853,20.7978
13.6997,20.9440
13.7142,20.8123
13.7286,20.4921
13.7430,20.2740
13.7575,19.8577
13.7719,19.6739
13.7863,19.1107
13.8008,19.0639
13.8152,18.8366
13.8296,18.6186
13.8441,18.0527
13.8585,17.4196
13.8730,17.0408
13.8874,17.0547
13.9018,16.7167
13.9163,16.7490
13.9307,16.6792
13.9451,16.4308
13.9596,15.8175
13.9740,15.2964
13.9884,15.2879
14.0029,15.5573
14.0173,15.3551
