X_px,Y_px,X_mm,Y_mm
8550.014,3607.024,123.381,52.051
8548.569,3607.036,123.361,52.052
8547.128,3607.052,123.340,52.052
8545.691,3607.072,123.319,52.052
8544.258,3607.097,123.298,52.052
8542.827,3607.126,123.278,52.053
8541.399,3607.159,123.257,52.053
8539.974,3607.197,123.237,52.054
8538.550,3607.238,123.216,52.054
8537.128,3607.284,123.195,52.055
8535.708,3607.334,123.175,52.056
8534.289,3607.387,123.155,52.057
8532.870,3607.445,123.134,52.057
8531.452,3607.506,123.114,52.058
8530.034,3607.572,123.093,52.059
8528.616,3607.641,123.073,52.060
8527.197,3607.713,123.052,52.061
8525.778,3607.789,123.032,52.062
8524.357,3607.869,123.011,52.064
8522.936,3607.952,122.991,52.065
8521.512,3608.039,122.970,52.066
8520.085,3608.129,122.950,52.067
8518.656,3608.222,122.929,52.069
8517.226,3608.318,122.908,52.070
8515.793,3608.418,122.888,52.071
8514.358,3608.521,122.867,52.073
8512.922,3608.628,122.846,52.074
8511.484,3608.737,122.825,52.076
8510.046,3608.850,122.805,52.078
8508.606,3608.966,122.784,52.079
8507.167,3609.086,122.763,52.081
8505.727,3609.208,122.742,52.083
8504.286,3609.334,122.722,52.085
8502.846,3609.464,122.701,52.087
8501.406,3609.596,122.680,52.088
8499.967,3609.732,122.659,52.090
8498.529,3609.871,122.638,52.092
8497.092,3610.013,122.618,52.094
8495.656,3610.158,122.597,52.097
8494.223,3610.307,122.576,52.099
8492.790,3610.458,122.556,52.101
8491.360,3610.614,122.535,52.103
8489.933,3610.772,122.514,52.105
8488.507,3610.933,122.494,52.108
8487.085,3611.098,122.473,52.110
8485.664,3611.265,122.453,52.113
8484.244,3611.436,122.432,52.115
8482.826,3611.610,122.412,52.118
8481.409,3611.787,122.391,52.120
8479.992,3611.968,122.371,52.123
8478.574,3612.151,122.351,52.125
8477.157,3612.337,122.330,52.128
8475.738,3612.526,122.310,52.131
8474.317,3612.718,122.289,52.134
8472.896,3612.913,122.269,52.136
8471.471,3613.110,122.248,52.139
8470.044,3613.311,122.227,52.142
8468.613,3613.514,122.207,52.145
8467.180,3613.721,122.186,52.148
8465.742,3613.930,122.165,52.151
8464.300,3614.142,122.145,52.154
8462.853,3614.356,122.124,52.157
8461.400,3614.573,122.103,52.160
8459.941,3614.793,122.082,52.163
8458.478,3615.016,122.061,52.167
8457.007,3615.241,122.039,52.170
8455.531,3615.469,122.018,52.173
8454.050,3615.701,121.997,52.177
8452.563,3615.936,121.975,52.180
8451.072,3616.175,121.954,52.183
8449.578,3616.418,121.932,52.187
8448.080,3616.666,121.910,52.190
8446.579,3616.918,121.889,52.194
8445.076,3617.175,121.867,52.198
8443.570,3617.438,121.845,52.202
8442.063,3617.706,121.824,52.206
8440.556,3617.980,121.802,52.209
8439.047,3618.260,121.780,52.214
8437.538,3618.547,121.758,52.218
8436.029,3618.840,121.737,52.222
8434.521,3619.141,121.715,52.226
8433.015,3619.448,121.693,52.231
8431.510,3619.763,121.671,52.235
8430.007,3620.086,121.650,52.240
8428.507,3620.417,121.628,52.245
8427.010,3620.757,121.606,52.250
8425.516,3621.105,121.585,52.255
8424.026,3621.462,121.563,52.260
8422.541,3621.828,121.542,52.265
8421.061,3622.203,121.521,52.270
8419.584,3622.585,121.499,52.276
8418.112,3622.977,121.478,52.282
8416.646,3623.375,121.457,52.287
8415.185,3623.782,121.436,52.293
8413.729,3624.196,121.415,52.299
8412.278,3624.618,121.394,52.305
8410.833,3625.046,121.373,52.311
8409.395,3625.481,121.352,52.318
8407.962,3625.923,121.332,52.324
8406.535,3626.371,121.311,52.331
8405.115,3626.825,121.290,52.337
8403.702,3627.285,121.270,52.344
8402.296,3627.751,121.250,52.350
8400.896,3628.222,121.230,52.357
8399.504,3628.698,121.209,52.364
8398.119,3629.180,121.190,52.371
8396.742,3629.666,121.170,52.378
8395.373,3630.156,121.150,52.385
8394.012,3630.651,121.130,52.392
8392.658,3631.150,121.111,52.400
8391.312,3631.654,121.091,52.407
8389.969,3632.160,121.072,52.414
8388.629,3632.671,121.053,52.421
8387.289,3633.185,121.033,52.429
8385.947,3633.702,121.014,52.436
8384.603,3634.222,120.994,52.444
8383.251,3634.746,120.975,52.451
8381.892,3635.272,120.955,52.459
8380.522,3635.801,120.936,52.467
8379.141,3636.333,120.916,52.474
8377.746,3636.867,120.896,52.482
8376.334,3637.403,120.875,52.490
8374.903,3637.942,120.854,52.498
8373.453,3638.482,120.834,52.505
8371.980,3639.025,120.812,52.513
8370.482,3639.569,120.791,52.521
8368.959,3640.114,120.769,52.529
8367.405,3640.661,120.746,52.537
8365.822,3641.209,120.723,52.545
8364.206,3641.759,120.700,52.553
8362.555,3642.309,120.676,52.561
8360.866,3642.860,120.652,52.568
8359.140,3643.412,120.627,52.576
8357.376,3643.965,120.602,52.584
8355.577,3644.520,120.576,52.592
8353.743,3645.076,120.549,52.600
8351.877,3645.635,120.522,52.609
8349.979,3646.196,120.495,52.617
8348.051,3646.760,120.467,52.625
8346.093,3647.328,120.439,52.633
8344.108,3647.900,120.410,52.641
8342.098,3648.476,120.381,52.650
8340.062,3649.056,120.352,52.658
8338.003,3649.641,120.322,52.666
8335.922,3650.232,120.292,52.675
8333.820,3650.828,120.262,52.683
8331.699,3651.431,120.231,52.692
8329.561,3652.040,120.200,52.701
8327.405,3652.656,120.169,52.710
8325.235,3653.280,120.138,52.719
8323.052,3653.910,120.106,52.728
8320.855,3654.550,120.075,52.737
8318.648,3655.197,120.043,52.747
8316.432,3655.853,120.011,52.756
8314.206,3656.519,119.979,52.766
8311.975,3657.194,119.946,52.775
8309.737,3657.879,119.914,52.785
8307.495,3658.574,119.882,52.795
8305.251,3659.281,119.849,52.805
8303.006,3659.998,119.817,52.816
8300.761,3660.727,119.785,52.826
