X_px,Y_px,X_mm,Y_mm
7999.382,3396.618,115.919,49.220
7995.618,3396.630,115.864,49.220
7991.851,3396.658,115.810,49.221
7988.081,3396.707,115.755,49.222
7984.308,3396.777,115.700,49.223
7980.529,3396.871,115.646,49.224
7976.747,3396.993,115.591,49.226
7972.958,3397.143,115.536,49.228
7969.168,3397.323,115.481,49.231
7965.382,3397.534,115.426,49.234
7961.606,3397.774,115.371,49.237
7957.844,3398.046,115.317,49.241
7954.103,3398.349,115.263,49.245
7950.385,3398.683,115.209,49.250
7946.689,3399.048,115.155,49.256
7943.007,3399.444,115.102,49.261
7939.330,3399.868,115.049,49.267
7935.650,3400.322,114.995,49.274
7931.960,3400.803,114.942,49.281
7928.251,3401.311,114.888,49.288
7924.527,3401.843,114.834,49.296
7920.793,3402.394,114.780,49.304
7917.059,3402.959,114.726,49.312
7913.330,3403.534,114.672,49.321
7909.615,3404.114,114.618,49.329
7905.922,3404.694,114.565,49.337
7902.249,3405.274,114.511,49.346
7898.590,3405.854,114.458,49.354
7894.937,3406.437,114.405,49.363
7891.282,3407.025,114.352,49.371
7887.617,3407.619,114.299,49.380
7883.935,3408.222,114.246,49.388
7880.231,3408.835,114.192,49.397
7876.509,3409.460,114.138,49.406
7872.769,3410.098,114.084,49.416
7869.012,3410.750,114.030,49.425
7865.240,3411.419,113.975,49.435
7861.453,3412.104,113.920,49.445
7857.657,3412.809,113.865,49.455
7853.857,3413.531,113.810,49.465
7850.062,3414.272,113.755,49.476
7846.280,3415.029,113.700,49.487
7842.518,3415.803,113.646,49.498
7838.784,3416.594,113.592,49.510
7835.083,3417.401,113.538,49.521
7831.409,3418.226,113.485,49.533
7827.757,3419.072,113.432,49.546
7824.120,3419.939,113.379,49.558
7820.488,3420.832,113.326,49.571
7816.857,3421.750,113.274,49.584
7813.219,3422.697,113.221,49.598
7809.573,3423.673,113.168,49.612
7805.916,3424.679,113.115,49.627
7802.249,3425.714,113.062,49.642
7798.569,3426.780,113.009,49.657
7794.877,3427.877,112.955,49.673
7791.171,3429.005,112.902,49.690
7787.454,3430.164,112.848,49.706
7783.729,3431.351,112.794,49.724
7780.000,3432.564,112.740,49.741
7776.270,3433.803,112.686,49.759
7772.544,3435.066,112.632,49.777
7768.824,3436.350,112.578,49.796
7765.114,3437.655,112.524,49.815
7761.415,3438.978,112.470,49.834
7757.726,3440.319,112.417,49.854
7754.049,3441.677,112.364,49.873
7750.384,3443.049,112.311,49.893
7746.732,3444.436,112.258,49.913
7743.093,3445.835,112.205,49.934
7739.459,3447.249,112.152,49.954
7735.823,3448.682,112.100,49.975
7732.177,3450.135,112.047,49.996
7728.513,3451.613,111.994,50.017
7724.823,3453.117,111.940,50.039
7721.099,3454.651,111.886,50.061
7717.342,3456.213,111.832,50.084
7713.564,3457.799,111.777,50.107
7709.775,3459.405,111.722,50.130
7705.987,3461.024,111.667,50.154
7702.210,3462.653,111.613,50.177
7698.457,3464.287,111.558,50.201
7694.734,3465.922,111.504,50.225
7691.041,3467.559,111.451,50.248
7687.368,3469.201,111.397,50.272
7683.709,3470.852,111.344,50.296
7680.056,3472.515,111.291,50.320
7676.400,3474.193,111.239,50.344
7672.736,3475.890,111.185,50.369
7669.058,3477.607,111.132,50.394
7665.369,3479.344,111.079,50.419
7661.672,3481.099,111.025,50.445
7657.970,3482.872,110.971,50.470
7654.267,3484.661,110.918,50.496
7650.564,3486.465,110.864,50.522
7646.866,3488.283,110.811,50.549
7643.174,3490.115,110.757,50.575
7639.487,3491.960,110.704,50.602
7635.808,3493.820,110.650,50.629
7632.135,3495.693,110.597,50.656
7628.470,3497.579,110.544,50.683
7624.812,3499.480,110.491,50.711
7621.162,3501.394,110.438,50.739
7617.521,3503.323,110.385,50.767
7613.890,3505.265,110.333,50.795
7610.268,3507.222,110.280,50.823
7606.656,3509.194,110.228,50.852
7603.055,3511.181,110.176,50.880
7599.465,3513.182,110.124,50.909
7595.889,3515.199,110.072,50.939
7592.327,3517.230,110.020,50.968
7588.784,3519.273,109.969,50.998
7585.262,3521.327,109.918,51.027
7581.765,3523.391,109.867,51.057
7578.295,3525.464,109.817,51.087
7574.855,3527.545,109.767,51.118
7571.444,3529.635,109.718,51.148
7568.054,3531.740,109.668,51.178
7564.677,3533.865,109.620,51.209
7561.309,3536.014,109.571,51.240
7557.940,3538.192,109.522,51.272
7554.566,3540.405,109.473,51.304
7551.182,3542.655,109.424,51.337
7547.791,3544.938,109.375,51.370
7544.400,3547.250,109.326,51.403
7541.018,3549.586,109.277,51.437
7537.650,3551.939,109.228,51.471
7534.304,3554.306,109.179,51.505
7530.985,3556.679,109.131,51.540
7527.697,3559.058,109.084,51.574
7524.438,3561.442,109.036,51.609
7521.206,3563.833,108.990,51.643
7517.999,3566.231,108.943,51.678
7514.813,3568.638,108.897,51.713
7511.647,3571.054,108.851,51.748
7508.499,3573.481,108.805,51.783
7505.366,3575.917,108.760,51.819
7502.247,3578.361,108.715,51.854
7499.140,3580.811,108.670,51.889
7496.042,3583.266,108.625,51.925
7492.952,3585.724,108.580,51.961
7489.868,3588.184,108.535,51.996
7486.791,3590.646,108.491,52.032
7483.726,3593.111,108.446,52.068
7480.677,3595.581,108.402,52.103
7477.650,3598.058,108.358,52.139
7474.649,3600.545,108.315,52.175
7471.681,3603.043,108.272,52.212
7468.741,3605.554,108.229,52.248
7465.793,3608.073,108.187,52.284
7462.794,3610.594,108.143,52.321
7459.698,3613.114,108.098,52.358
7456.461,3615.627,108.051,52.394
7453.039,3618.127,108.002,52.430
7449.388,3620.609,107.949,52.466
7445.506,3623.070,107.893,52.502
7441.445,3625.508,107.834,52.537
7437.256,3627.918,107.773,52.572
7432.992,3630.300,107.711,52.607
7428.708,3632.651,107.649,52.641
7424.455,3634.969,107.588,52.674
7420.286,3637.250,107.527,52.707
7416.251,3639.494,107.469,52.740
7412.356,3641.711,107.412,52.772
7408.576,3643.917,107.357,52.804
7404.890,3646.128,107.304,52.836
7401.272,3648.363,107.252,52.868
7397.700,3650.638,107.200,52.901
7394.149,3652.971,107.148,52.935
7390.596,3655.377,107.097,52.970
7387.000,3657.867,107.045,53.006
7383.309,3660.447,106.991,53.043
7379.470,3663.123,106.936,53.082
7375.430,3665.900,106.877,53.122
7371.136,3668.785,106.815,53.164
7366.536,3671.781,106.748,53.208
7361.578,3674.897,106.676,53.253
7356.208,3678.135,106.599,53.300
7350.419,3681.486,106.515,53.348
7344.255,3684.917,106.425,53.398
7337.765,3688.393,106.331,53.448
7330.999,3691.879,106.233,53.499
7324.005,3695.343,106.132,53.549
7316.834,3698.749,106.028,53.598
7309.533,3702.063,105.922,53.646
7302.152,3705.251,105.815,53.693
7294.740,3708.279,105.708,53.737
7287.346,3711.112,105.601,53.778
7280.019,3713.717,105.495,53.815
7272.809,3716.059,105.390,53.849
7265.759,3718.123,105.288,53.879
7258.897,3719.967,105.188,53.906
7252.246,3721.664,105.092,53.931
7245.829,3723.288,104.999,53.954
7239.669,3724.913,104.910,53.978
7233.789,3726.613,104.825,54.002
7228.212,3728.460,104.744,54.029
7222.962,3730.531,104.668,54.059
7218.061,3732.897,104.597,54.093
7213.532,3735.633,104.531,54.133
7209.388,3738.801,104.471,54.179
7205.577,3742.398,104.416,54.231
7202.024,3746.397,104.364,54.289
7198.655,3750.771,104.316,54.352
7195.395,3755.493,104.268,54.421
7192.169,3760.535,104.222,54.494
7188.903,3765.871,104.174,54.571
7185.522,3771.473,104.125,54.652
7181.951,3777.315,104.073,54.737
7178.117,3783.369,104.018,54.825
7174.019,3789.595,103.959,54.915
7169.809,3795.924,103.898,55.007
7165.660,3802.283,103.837,55.099
7161.745,3808.601,103.781,55.190
7158.236,3814.804,103.730,55.280
7155.306,3820.822,103.687,55.367
7153.126,3826.581,103.656,55.451
7151.870,3832.009,103.638,55.530
7151.709,3837.034,103.635,55.602
7152.817,3841.584,103.651,55.668
7155.326,3845.600,103.688,55.726
7159.159,3849.103,103.743,55.777
7164.167,3852.137,103.816,55.821
7170.201,3854.749,103.903,55.859
7177.113,3856.982,104.003,55.891
7184.755,3858.884,104.114,55.919
7192.978,3860.500,104.233,55.942
7201.634,3861.874,104.359,55.962
7210.575,3863.052,104.488,55.979
7219.651,3864.080,104.620,55.994
7228.715,3865.003,104.751,56.008
7237.618,3865.866,104.880,56.020
7246.229,3866.711,105.005,56.032
7254.520,3867.551,105.125,56.045
7262.510,3868.387,105.241,56.057
7270.214,3869.222,105.352,56.069
7277.651,3870.058,105.460,56.081
7284.836,3870.896,105.564,56.093
7291.788,3871.740,105.665,56.105
7298.521,3872.589,105.763,56.118
7305.053,3873.447,105.857,56.130
7311.402,3874.316,105.949,56.143
7317.583,3875.197,106.039,56.155
7323.615,3876.093,106.126,56.168
7329.511,3877.003,106.212,56.182
7335.284,3877.922,106.295,56.195
7340.944,3878.843,106.377,56.208
7346.500,3879.758,106.458,56.221
7351.965,3880.661,106.537,56.235
7357.348,3881.546,106.615,56.247
7362.659,3882.404,106.692,56.260
7367.908,3883.230,106.768,56.272
7373.107,3884.016,106.844,56.283
7378.261,3884.755,106.918,56.294
7383.354,3885.441,106.992,56.304
