Distance_(mm),Gray_Value
0.0000,62.0654
0.0144,62.0183
0.0288,62.3903
0.0432,62.8073
0.0577,62.8284
0.0721,62.8256
0.0865,63.1878
0.1009,63.6048
0.1153,63.2876
0.1297,63.0767
0.1441,62.6983
0.1586,62.4733
0.1730,61.8256
0.1874,61.7124
0.2018,60.9979
0.2162,60.6076
0.2306,60.0788
0.2450,60.7553
0.2595,61.1547
0.2739,61.7686
0.2883,61.8797
0.3027,61.8917
0.3171,62.1660
0.3315,62.7285
0.3459,62.5956
0.3604,62.5879
0.3748,62.1871
0.3892,62.2243
0.4036,62.2096
0.4180,62.1990
0.4324,62.2975
0.4468,62.4093
0.4613,62.2278
0.4757,62.5352
0.4901,62.6899
0.5045,62.7932
0.5189,62.6498
0.5333,62.9677
0.5477,62.9191
0.5622,62.6948
0.5766,62.4416
0.5910,62.5021
0.6054,62.5113
0.6198,62.6041
0.6342,62.5647
0.6486,62.6695
0.6631,62.4444
0.6775,62.3966
0.6919,62.2560
0.7063,62.6793
0.7207,63.3263
0.7351,63.5211
0.7495,63.3931
0.7640,63.1660
0.7784,62.8994
0.7928,62.9796
0.8072,62.8755
0.8216,62.7300
0.8360,62.6252
0.8504,62.8650
0.8649,63.0661
0.8793,63.3622
0.8937,63.3748
0.9081,63.3896
0.9225,63.2440
0.9369,63.3608
0.9514,63.2848
0.9658,63.4311
0.9802,63.4156
0.9946,63.8228
1.0090,64.2194
1.0234,64.4775
1.0378,64.5921
1.0523,64.9016
1.0667,65.1646
1.0811,65.3291
1.0955,65.1428
1.1099,65.2124
1.1243,65.0738
1.1387,65.1842
1.1532,65.1027
1.1676,65.4459
1.1820,65.4965
1.1964,65.4290
1.2108,64.8080
1.2252,64.5703
1.2396,64.7412
1.2541,65.4691
1.2685,65.8608
1.2829,66.1575
1.2973,66.1435
1.3117,66.0471
1.3261,65.9669
1.3405,66.0992
1.3550,66.2968
1.3694,66.1737
1.3838,65.7229
1.3982,65.8031
1.4126,65.6540
1.4270,65.5113
1.4414,65.1259
1.4559,65.2876
1.4703,65.2806
1.4847,65.2806
1.4991,64.9536
1.5135,65.0359
1.5279,64.9599
1.5423,65.1751
1.5568,64.8467
1.5712,64.8819
1.5856,64.9944
1.6000,65.4233
1.6144,65.6083
1.6288,65.8263
1.6432,66.3080
1.6577,66.8889
1.6721,67.0900
1.6865,67.1631
1.7009,66.8833
1.7153,66.9135
1.7297,66.7785
1.7441,66.8270
1.7586,67.2342
1.7730,67.4887
1.7874,67.5309
1.8018,67.8622
1.8162,67.9086
1.8306,68.0802
1.8450,67.5710
1.8595,67.4951
1.8739,67.3467
1.8883,67.3172
1.9027,67.4051
1.9171,67.8256
1.9315,68.1526
1.9459,68.4944
1.9604,68.3031
1.9748,68.0598
1.9892,67.6322
2.0036,67.8734
2.0180,68.3235
2.0324,68.7124
2.0468,68.8397
2.0613,69.0443
2.0757,68.9198
2.0901,69.0900
2.1045,68.7736
2.1189,68.6013
2.1333,68.9269
2.1477,69.1055
2.1622,69.0148
2.1766,69.2201
2.1910,69.2257
2.2054,69.4487
2.2198,69.5218
2.2342,69.4058
2.2486,69.1962
2.2631,69.6336
2.2775,70.0014
2.2919,70.2862
2.3063,70.3959
2.3207,70.7665
2.3351,71.0394
2.3495,71.1596
2.3640,70.9599
2.3784,71.5464
2.3928,72.0373
2.4072,72.5316
2.4216,72.4255
2.4360,71.9255
2.4504,71.0774
2.4649,71.0042
2.4793,70.9662
2.4937,71.1350
2.5081,71.4655
2.5225,72.3361
2.5369,72.4191
2.5514,71.9698
2.5658,70.9754
2.5802,70.9684
2.5946,71.2412
2.6090,71.4691
2.6234,71.4437
2.6378,71.2785
2.6523,70.3797
2.6667,69.6322
2.6811,69.5992
2.6955,70.2553
2.7099,70.4817
2.7243,71.0267
2.7387,71.5767
2.7532,71.4768
2.7676,70.2876
2.7820,69.2707
2.7964,68.4297
2.8108,67.7602
2.8252,67.2764
2.8396,67.9367
2.8541,68.9754
2.8685,69.2553
2.8829,69.5893
2.8973,69.5745
2.9117,69.5499
2.9261,70.1547
2.9405,70.5084
2.9550,71.2820
2.9694,72.0000
2.9838,72.7665
2.9982,72.9916
3.0126,73.2152
3.0270,73.0134
3.0414,72.7025
3.0559,72.1617
3.0703,72.6097
3.0847,72.7433
3.0991,72.1814
3.1135,71.8776
3.1279,71.6639
3.1423,71.3249
3.1568,70.5169
3.1712,69.7954
3.1856,69.8460
3.2000,70.5000
3.2144,71.2461
3.2288,71.3875
3.2432,70.9016
3.2577,69.9135
3.2721,69.3108
3.2865,68.9986
3.3009,69.7215
3.3153,69.9205
3.3297,69.5295
3.3441,69.6807
3.3586,69.8516
3.3730,69.6976
3.3874,69.8031
3.4018,69.8762
3.4162,70.4262
3.4306,70.3326
3.4450,70.2764
3.4595,70.2243
3.4739,69.9845
3.4883,70.0042
3.5027,70.6203
3.5171,70.6399
3.5315,71.0331
3.5459,70.5239
3.5604,70.0429
3.5748,69.0956
3.5892,69.9930
3.6036,71.7243
3.6180,73.6027
3.6324,74.3228
3.6468,75.0127
3.6613,75.2546
3.6757,75.0190
3.6901,73.9747
