Distance_(mm),Gray_Value
0.0000,82.3165
0.0144,82.3146
0.0288,82.5412
0.0432,82.7079
0.0576,82.7547
0.0720,83.0169
0.0864,83.2846
0.1009,83.4700
0.1153,83.6386
0.1297,83.8464
0.1441,83.9251
0.1585,84.0524
0.1729,84.1442
0.1873,84.1835
0.2017,84.1948
0.2161,84.3521
0.2305,84.5431
0.2449,84.8577
0.2593,85.0506
0.2738,84.9232
0.2882,84.7509
0.3026,84.8558
0.3170,85.0094
0.3314,85.5749
0.3458,85.8783
0.3602,85.8764
0.3746,86.0543
0.3890,86.3670
0.4034,86.3596
0.4178,86.0506
0.4322,85.9307
0.4466,85.8858
0.4611,86.0993
0.4755,86.4213
0.4899,86.4850
0.5043,86.7491
0.5187,86.8052
0.5331,86.7378
0.5475,86.4007
0.5619,86.6423
0.5763,86.8970
0.5907,87.0861
0.6051,87.1798
0.6195,87.5543
0.6340,87.4251
0.6484,87.6910
0.6628,87.5356
0.6772,87.4082
0.6916,87.6966
0.7060,87.8015
0.7204,88.1723
0.7348,88.1985
0.7492,88.1873
0.7636,88.7378
0.7780,88.9326
0.7924,89.3745
0.8068,89.6779
0.8213,89.8071
0.8357,90.0880
0.8501,90.0899
0.8645,89.9719
0.8789,90.3296
0.8933,90.4007
0.9077,90.6348
0.9221,90.7809
0.9365,90.8071
0.9509,91.0805
0.9653,91.2903
0.9797,91.6835
0.9942,91.5955
1.0086,91.8333
1.0230,92.1273
1.0374,92.3352
1.0518,92.3277
1.0662,92.2097
1.0806,92.5375
1.0950,92.8839
1.1094,92.6386
1.1238,92.4700
1.1382,92.4513
1.1526,92.5581
1.1670,92.3801
1.1815,92.4850
1.1959,92.5824
1.2103,92.8464
1.2247,93.3727
1.2391,93.3764
1.2535,93.5187
1.2679,93.6423
1.2823,93.5787
1.2967,93.4794
1.3111,93.3708
1.3255,93.6030
1.3399,94.1554
1.3544,94.2547
1.3688,94.4457
1.3832,95.0955
1.3976,95.5281
1.4120,95.5712
1.4264,95.5412
1.4408,95.3464
1.4552,94.8052
1.4696,94.4607
1.4840,94.2247
1.4984,93.9569
1.5128,93.6536
1.5272,93.8446
1.5417,93.8221
1.5561,93.9438
1.5705,93.9813
1.5849,93.8652
1.5993,94.0112
1.6137,94.3202
1.6281,94.8914
1.6425,95.4850
1.6569,95.8820
1.6713,95.9757
1.6857,95.9139
1.7001,96.0936
1.7145,96.4794
1.7290,96.8933
1.7434,97.2322
1.7578,97.8240
1.7722,98.4363
1.7866,98.9438
1.8010,99.1049
1.8154,99.0955
1.8298,99.4419
1.8442,99.9176
1.8586,100.0543
1.8730,100.0150
1.8874,100.1517
1.9019,100.6236
1.9163,101.0993
1.9307,101.4064
1.9451,101.4963
1.9595,101.5993
1.9739,101.6049
1.9883,101.6592
2.0027,101.6816
2.0171,101.6330
2.0315,101.9963
2.0459,102.3127
2.0603,102.1105
2.0747,102.1030
2.0892,102.5150
2.1036,103.0993
2.1180,103.2584
2.1324,103.3614
2.1468,103.4775
2.1612,103.7772
2.1756,104.2865
2.1900,104.4157
2.2044,103.8315
2.2188,103.1311
2.2332,102.7472
2.2476,102.6498
2.2621,102.4906
2.2765,102.4494
2.2909,102.3352
2.3053,102.4363
2.3197,102.2528
2.3341,102.2378
2.3485,102.0075
2.3629,101.4513
2.3773,100.4551
2.3917,100.5075
2.4061,100.4139
2.4205,99.9232
2.4349,99.1854
2.4494,99.0768
2.4638,99.1685
2.4782,99.1685
2.4926,99.3034
2.5070,99.3745
2.5214,99.4925
2.5358,99.7079
2.5502,99.5712
2.5646,99.7247
2.5790,99.3502
2.5934,98.9738
2.6078,99.0393
2.6223,99.1667
2.6367,99.2772
2.6511,99.4213
2.6655,99.6199
2.6799,99.8071
2.6943,100.0787
2.7087,100.4438
2.7231,100.8221
2.7375,101.1742
2.7519,101.3408
2.7663,101.8184
2.7807,102.3858
2.7951,103.2360
2.8096,103.7247
2.8240,104.1404
2.8384,104.5356
2.8528,104.9738
2.8672,105.2191
2.8816,105.3708
2.8960,105.6610
2.9104,106.3390
2.9248,106.5075
2.9392,106.4569
2.9536,106.5524
2.9680,106.4757
2.9825,106.5787
2.9969,107.0637
3.0113,107.6367
3.0257,107.9307
3.0401,108.1798
3.0545,108.1461
3.0689,108.7266
3.0833,108.4120
3.0977,108.1049
3.1121,107.6873
3.1265,107.2491
3.1409,106.9663
3.1553,106.6423
3.1698,106.5300
3.1842,106.4644
3.1986,106.4644
3.2130,106.5637
3.2274,106.8333
3.2418,106.9251
3.2562,106.8539
3.2706,106.8277
3.2850,106.9176
3.2994,106.8839
3.3138,107.3258
3.3282,107.8970
3.3427,108.5768
3.3571,109.2547
3.3715,109.8708
3.3859,110.4457
3.4003,110.4850
3.4147,111.0693
3.4291,111.0768
3.4435,111.3109
3.4579,111.7247
3.4723,111.9757
3.4867,112.1816
3.5011,112.2772
3.5155,112.3577
3.5300,112.7996
3.5444,113.3277
3.5588,113.7603
3.5732,113.9213
3.5876,113.8296
3.6020,113.7060
3.6164,113.4307
3.6308,113.2734
3.6452,113.3633
3.6596,113.8202
3.6740,114.3277
3.6884,114.5618
3.7029,114.6086
3.7173,114.5805
3.7317,114.1461
3.7461,113.8989
3.7605,113.7940
3.7749,113.7622
3.7893,113.8446
3.8037,114.0243
3.8181,114.1629
3.8325,114.1629
3.8469,114.1704
3.8613,114.4232
3.8757,114.4419
3.8902,114.3146
3.9046,114.4251
3.9190,114.7472
3.9334,115.1404
3.9478,115.4288
3.9622,115.4644
3.9766,115.5618
3.9910,115.4682
4.0054,115.3146
4.0198,115.1105
4.0342,115.0618
4.0486,115.2921
4.0631,115.2903
4.0775,115.1498
4.0919,114.9888
4.1063,114.6292
4.1207,114.5581
4.1351,114.0318
4.1495,113.2416
4.1639,112.2772
4.1783,111.2584
4.1927,110.2996
4.2071,109.8614
4.2215,109.4757
4.2359,109.0936
4.2504,109.0356
4.2648,108.6685
4.2792,107.9345
4.2936,107.5543
4.3080,106.9644
4.3224,106.5000
4.3368,105.8352
4.3512,105.5524
4.3656,104.9850
4.3800,104.5206
4.3944,104.0150
4.4088,103.4757
4.4232,103.0150
4.4377,102.8914
4.4521,102.5094
4.4665,101.6966
4.4809,100.4925
4.4953,99.7640
4.5097,99.0712
4.5241,97.9045
4.5385,96.4045
4.5529,95.2360
4.5673,94.4101
4.5817,94.0543
4.5961,93.3408
4.6106,92.3801
4.6250,91.3614
4.6394,90.5618
4.6538,89.5974
4.6682,88.6723
4.6826,87.8071
4.6970,86.9831
4.7114,85.8951
4.7258,85.2678
4.7402,84.8596
4.7546,84.3371
4.7690,83.3221
4.7834,82.6891
