X_px,Y_px,X_mm,Y_mm
3686.663,3525.781,52.714,50.413
3684.027,3525.797,52.676,50.413
3680.733,3525.818,52.629,50.414
3676.949,3525.843,52.575,50.414
3672.839,3525.871,52.516,50.415
3668.573,3525.898,52.455,50.415
3664.316,3525.925,52.394,50.415
3660.213,3525.949,52.335,50.416
3656.271,3525.969,52.279,50.416
3652.448,3525.985,52.224,50.416
3648.699,3525.997,52.171,50.416
3644.982,3526.003,52.118,50.416
3641.254,3526.004,52.064,50.416
3637.473,3525.999,52.010,50.416
3633.629,3525.988,51.955,50.416
3629.733,3525.973,51.900,50.416
3625.800,3525.955,51.843,50.416
3621.842,3525.935,51.787,50.415
3617.873,3525.914,51.730,50.415
3613.906,3525.893,51.673,50.415
3609.950,3525.874,51.617,50.415
3606.005,3525.857,51.560,50.414
3602.069,3525.843,51.504,50.414
3598.140,3525.833,51.448,50.414
3594.216,3525.827,51.392,50.414
3590.295,3525.827,51.336,50.414
3586.375,3525.834,51.280,50.414
3582.459,3525.848,51.224,50.414
3578.551,3525.870,51.168,50.415
3574.655,3525.901,51.112,50.415
3570.776,3525.942,51.057,50.416
3566.919,3525.994,51.001,50.416
3563.087,3526.057,50.947,50.417
3559.281,3526.133,50.892,50.418
3555.493,3526.220,50.838,50.420
3551.715,3526.320,50.784,50.421
3547.939,3526.432,50.730,50.423
3544.157,3526.557,50.676,50.424
3540.360,3526.694,50.622,50.426
3536.544,3526.844,50.567,50.428
3532.717,3527.006,50.512,50.431
3528.886,3527.178,50.458,50.433
3525.062,3527.361,50.403,50.436
3521.254,3527.553,50.349,50.439
3517.470,3527.754,50.294,50.441
3513.718,3527.962,50.241,50.444
3509.994,3528.179,50.188,50.448
3506.288,3528.403,50.135,50.451
3502.591,3528.636,50.082,50.454
3498.894,3528.876,50.029,50.458
3495.187,3529.125,49.976,50.461
3491.461,3529.383,49.923,50.465
3487.719,3529.648,49.869,50.469
3483.967,3529.920,49.815,50.472
3480.211,3530.200,49.762,50.476
3476.457,3530.486,49.708,50.481
3472.713,3530.777,49.654,50.485
3468.984,3531.074,49.601,50.489
3465.273,3531.376,49.548,50.493
3461.576,3531.682,49.495,50.498
3457.893,3531.993,49.443,50.502
3454.219,3532.309,49.390,50.507
3450.552,3532.630,49.338,50.511
3446.891,3532.955,49.285,50.516
3443.232,3533.285,49.233,50.521
3439.570,3533.618,49.181,50.525
3435.902,3533.955,49.128,50.530
3432.223,3534.295,49.076,50.535
