Distance_(mm),Gray_Value
0.0000,63.0874
0.0143,63.2262
0.0286,63.3130
0.0428,63.2275
0.0571,63.1926
0.0714,63.3504
0.0857,63.5911
0.0999,63.7133
0.1142,63.5634
0.1285,63.5838
0.1428,63.7344
0.1570,64.0658
0.1713,64.3314
0.1856,64.4043
0.1999,64.1913
0.2141,64.0138
0.2284,63.8803
0.2427,64.1538
0.2570,64.3636
0.2712,64.5115
0.2855,64.6437
0.2998,64.7193
0.3141,64.7009
0.3283,64.7607
0.3426,64.7396
0.3569,64.8462
0.3712,65.0947
0.3855,65.4773
0.3997,65.7949
0.4140,65.9882
0.4283,65.8514
0.4426,65.7850
0.4568,65.7337
0.4711,65.7232
0.4854,65.7488
0.4997,65.8370
0.5139,65.7995
0.5282,66.0296
0.5425,66.3642
0.5568,66.4333
0.5710,66.2183
0.5853,65.9185
0.5996,65.8317
0.6139,65.7488
0.6281,65.7041
0.6424,65.6318
0.6567,65.1755
0.6710,64.9783
0.6853,65.0026
0.6995,65.3314
0.7138,65.4892
0.7281,65.5391
0.7424,65.7883
0.7566,66.0625
0.7709,66.2110
0.7852,66.1203
0.7995,66.0723
0.8137,66.1381
0.8280,66.3406
0.8423,66.8356
0.8566,67.0579
0.8708,67.3682
0.8851,67.7061
0.8994,68.1828
0.9137,68.6187
0.9279,68.9632
0.9422,69.4938
0.9565,69.8777
0.9708,70.0533
0.9850,70.3945
0.9993,71.0815
1.0136,71.7903
1.0279,72.2413
1.0422,72.5819
1.0564,73.0125
1.0707,73.3695
1.0850,73.8284
1.0993,74.2571
1.1135,74.4333
1.1278,74.5667
1.1421,74.7265
1.1564,75.3406
1.1706,75.5713
1.1849,75.5851
1.1992,75.7462
1.2135,75.9500
1.2277,76.1367
1.2420,76.3077
1.2563,76.2735
1.2706,76.5260
1.2848,76.7035
1.2991,76.9698
1.3134,77.1492
1.3277,77.3570
1.3420,77.3399
1.3562,77.4497
1.3705,77.7278
1.3848,77.8054
1.3991,78.0178
1.4133,78.0296
1.4276,78.1598
1.4419,78.4819
1.4562,78.7857
1.4704,78.9790
1.4847,79.0368
1.4990,79.1348
1.5133,79.2919
1.5275,79.3504
1.5418,79.3465
1.5561,79.2551
1.5704,79.2176
1.5846,79.3886
1.5989,79.4379
1.6132,79.7160
1.6275,79.9112
1.6417,79.9928
1.6560,79.9757
1.6703,80.0434
1.6846,80.0592
1.6989,79.9875
1.7131,79.7239
1.7274,79.5838
1.7417,79.5424
1.7560,79.7002
1.7702,79.7495
1.7845,79.6292
1.7988,79.4254
1.8131,79.4629
1.8273,79.3136
1.8416,79.5404
1.8559,79.5398
1.8702,79.5634
1.8844,79.5115
1.8987,79.5648
1.9130,79.7863
1.9273,79.9520
1.9415,79.9027
1.9558,80.0401
1.9701,80.1854
1.9844,80.2834
1.9987,80.3386
2.0129,80.1755
2.0272,80.1762
2.0415,80.3379
2.0558,80.6824
2.0700,80.7416
2.0843,80.7541
2.0986,80.8994
2.1129,81.2518
2.1271,81.7758
2.1414,82.1321
2.1557,82.2564
2.1700,82.0388
2.1842,82.1091
2.1985,82.4129
2.2128,82.7857
2.2271,82.9586
2.2413,83.1538
2.2556,83.3629
2.2699,83.5819
2.2842,83.6108
2.2984,83.7581
2.3127,83.7968
2.3270,83.8784
2.3413,84.1953
2.3556,84.5924
2.3698,84.7705
2.3841,85.0585
2.3984,85.3537
2.4127,85.3373
2.4269,85.5595
2.4412,85.9086
2.4555,86.0920
2.4698,85.8843
2.4840,85.6193
2.4983,85.6272
2.5126,85.9691
2.5269,85.8370
2.5411,85.6174
2.5554,85.4990
2.5697,85.4405
2.5840,85.5963
2.5982,85.4826
2.6125,85.3826
2.6268,85.0750
2.6411,85.0493
2.6553,84.9507
2.6696,85.0138
2.6839,84.8396
2.6982,84.7278
2.7125,84.7640
2.7267,85.0690
2.7410,85.1473
2.7553,85.2452
2.7696,85.2899
2.7838,85.2682
2.7981,85.3767
2.8124,85.7528
2.8267,86.0868
2.8409,86.1703
2.8552,86.2216
2.8695,86.1657
2.8838,86.3695
2.8980,86.7035
2.9123,86.8521
2.9266,86.8409
2.9409,86.8416
2.9551,87.0828
2.9694,87.4622
2.9837,87.4385
2.9980,87.4043
3.0123,87.3162
3.0265,87.3162
3.0408,87.5674
3.0551,87.6588
3.0694,87.6522
3.0836,87.1308
3.0979,87.4201
3.1122,87.6969
3.1265,87.7817
3.1407,87.6910
3.1550,87.6187
3.1693,87.6469
3.1836,87.7153
3.1978,87.7521
3.2121,87.9191
3.2264,87.8435
3.2407,87.6831
3.2549,87.8205
3.2692,88.3353
3.2835,88.7344
3.2978,88.9421
3.3120,89.0283
3.3263,89.1690
3.3406,89.1861
3.3549,89.4392
3.3692,89.3425
3.3834,89.3366
3.3977,89.2643
3.4120,89.4412
3.4263,89.7653
3.4405,89.5049
3.4548,89.1736
3.4691,89.0283
3.4834,88.9310
3.4976,88.9020
3.5119,88.7449
3.5262,88.4688
3.5405,87.9868
3.5547,88.2452
3.5690,88.4714
3.5833,88.6515
3.5976,88.6476
3.6118,88.5661
3.6261,88.6338
3.6404,88.7041
3.6547,88.8817
3.6690,88.9395
3.6832,88.8764
3.6975,88.7469
3.7118,89.0881
3.7261,89.5634
3.7403,89.6456
3.7546,89.6292
3.7689,89.3616
3.7832,89.0782
3.7974,88.8001
3.8117,88.8271
3.8260,88.5148
3.8403,88.1598
3.8545,88.0026
3.8688,88.1611
3.8831,88.0677
3.8974,88.1045
3.9116,88.0414
3.9259,88.1012
3.9402,87.9678
3.9545,87.9047
3.9687,87.8370
3.9830,87.4096
3.9973,86.5825
4.0116,86.1565
4.0259,86.1723
4.0401,86.0598
4.0544,85.6068
4.0687,85.3195
4.0830,84.8586
4.0972,84.6463
4.1115,84.1170
4.1258,83.4569
4.1401,82.6673
4.1543,82.3024
4.1686,81.9836
4.1829,81.6693
4.1972,80.7318
4.2114,79.8830
4.2257,79.1295
4.2400,78.4306
4.2543,77.5904
4.2685,76.8639
4.2828,75.9080
4.2971,75.1867
4.3114,74.6075
4.3256,74.3820
4.3399,73.7653
4.3542,73.0460
4.3685,72.0888
4.3828,71.4050
4.3970,70.5878
4.4113,69.7962
4.4256,68.7212
4.4399,67.8323
4.4541,66.6200
4.4684,66.0105
4.4827,65.0506
4.4970,64.1940
4.5112,63.3412
4.5255,62.9053
4.5398,62.2972
4.5541,61.7732
4.5683,61.1308
4.5826,60.5615
4.5969,59.6331
4.6112,59.0145
4.6254,58.5924
4.6397,58.5424
4.6540,58.4918
4.6683,58.2064
4.6826,57.8810
4.6968,57.4273
4.7111,57.0053
4.7254,56.6910
4.7397,56.3110
4.7539,56.0835
4.7682,55.8494
4.7825,55.6279
4.7968,55.1170
4.8110,54.3018
4.8253,53.5746
4.8396,53.2571
4.8539,53.1821
4.8681,52.9921
4.8824,52.8922
4.8967,52.6358
4.9110,51.9947
4.9252,52.1920
4.9395,52.4017
4.9538,52.2998
4.9681,52.1414
4.9823,51.8606
4.9966,51.3623
5.0109,51.1446
5.0252,50.5773
