X_px,Y_px,X_mm,Y_mm
3707.000,3570.000,53.145,51.181
3706.919,3570.009,53.144,51.181
3706.678,3570.036,53.140,51.181
3706.283,3570.081,53.135,51.182
3705.737,3570.143,53.127,51.183
3705.044,3570.221,53.117,51.184
3704.211,3570.315,53.105,51.185
3703.240,3570.425,53.091,51.187
3702.136,3570.549,53.075,51.189
3700.904,3570.688,53.057,51.191
3699.547,3570.841,53.038,51.193
3698.071,3571.007,53.017,51.195
3696.480,3571.186,52.994,51.198
3694.779,3571.378,52.970,51.201
3692.971,3571.581,52.944,51.203
3691.061,3571.796,52.916,51.207
3689.053,3572.022,52.888,51.210
3686.953,3572.258,52.857,51.213
3684.763,3572.503,52.826,51.217
3682.490,3572.759,52.793,51.220
3680.136,3573.022,52.760,51.224
3677.708,3573.295,52.725,51.228
3675.208,3573.575,52.689,51.232
3672.642,3573.862,52.652,51.236
3670.013,3574.156,52.615,51.240
3667.327,3574.457,52.576,51.245
3664.588,3574.762,52.537,51.249
3661.799,3575.074,52.497,51.254
3658.966,3575.390,52.456,51.258
3656.093,3575.710,52.415,51.263
3653.185,3576.034,52.373,51.267
3650.245,3576.361,52.331,51.272
3647.278,3576.691,52.289,51.277
3644.289,3577.023,52.246,51.281
3641.282,3577.357,52.203,51.286
3638.261,3577.692,52.159,51.291
3635.231,3578.027,52.116,51.296
3632.197,3578.363,52.072,51.301
3629.162,3578.698,52.029,51.305
3626.131,3579.032,51.985,51.310
3623.108,3579.365,51.942,51.315
3620.099,3579.696,51.899,51.320
3617.107,3580.025,51.856,51.325
3614.137,3580.351,51.814,51.329
3611.193,3580.673,51.771,51.334
3608.279,3580.991,51.730,51.338
3605.401,3581.305,51.688,51.343
3602.562,3581.614,51.648,51.347
3599.766,3581.917,51.608,51.352
3597.019,3582.214,51.568,51.356
3594.320,3582.506,51.529,51.360
3591.668,3582.792,51.491,51.364
3589.061,3583.072,51.454,51.368
3586.499,3583.348,51.417,51.372
3583.979,3583.619,51.381,51.376
3581.499,3583.885,51.346,51.380
3579.060,3584.148,51.311,51.384
3576.658,3584.406,51.276,51.387
3574.293,3584.661,51.242,51.391
3571.963,3584.913,51.209,51.395
3569.666,3585.163,51.176,51.398
3567.401,3585.409,51.144,51.402
3565.167,3585.654,51.112,51.405
3562.962,3585.896,51.080,51.409
3560.785,3586.137,51.049,51.412
3558.634,3586.376,51.018,51.416
3556.507,3586.615,50.987,51.419
3554.404,3586.853,50.957,51.422
3552.322,3587.090,50.927,51.426
3550.260,3587.327,50.898,51.429
3548.218,3587.565,50.869,51.433
3546.192,3587.803,50.839,51.436
3544.182,3588.042,50.811,51.439
3542.186,3588.281,50.782,51.443
3540.203,3588.523,50.754,51.446
3538.231,3588.766,50.725,51.450
3536.269,3589.011,50.697,51.453
3534.315,3589.259,50.669,51.457
3532.368,3589.509,50.641,51.460
3530.426,3589.762,50.613,51.464
3528.488,3590.019,50.586,51.468
3526.553,3590.279,50.558,51.472
3524.618,3590.543,50.530,51.475
3522.682,3590.811,50.502,51.479
3520.745,3591.083,50.475,51.483
3518.804,3591.361,50.447,51.487
3516.857,3591.643,50.419,51.491
3514.904,3591.931,50.391,51.495
3512.943,3592.225,50.363,51.499
3510.973,3592.525,50.335,51.504
3508.991,3592.831,50.306,51.508
3506.997,3593.144,50.278,51.513
3504.989,3593.463,50.249,51.517
3502.965,3593.790,50.220,51.522
3500.924,3594.125,50.190,51.527
3498.865,3594.467,50.161,51.532
3496.787,3594.817,50.131,51.537
3494.690,3595.176,50.101,51.542
3492.577,3595.541,50.071,51.547
3490.447,3595.914,50.040,51.552
3488.301,3596.294,50.010,51.558
3486.141,3596.681,49.979,51.563
3483.967,3597.075,49.947,51.569
3481.781,3597.475,49.916,51.575
3479.582,3597.881,49.885,51.580
3477.373,3598.293,49.853,51.586
3475.153,3598.711,49.821,51.592
3472.924,3599.135,49.789,51.598
3470.686,3599.564,49.757,51.605
3468.441,3599.998,49.725,51.611
3466.189,3600.437,49.693,51.617
3463.932,3600.881,49.660,51.623
3461.670,3601.329,49.628,51.630
3459.404,3601.781,49.595,51.636
3457.135,3602.238,49.563,51.643
3454.864,3602.698,49.530,51.650
3452.591,3603.162,49.498,51.656
3450.318,3603.629,49.465,51.663
3448.046,3604.099,49.432,51.670
3445.775,3604.573,49.400,51.676
3443.506,3605.049,49.367,51.683
3441.240,3605.527,49.335,51.690
3438.979,3606.008,49.302,51.697
3436.722,3606.491,49.270,51.704
3434.472,3606.975,49.238,51.711
3432.228,3607.462,49.206,51.718
3429.991,3607.949,49.174,51.725
3427.764,3608.438,49.142,51.732
3425.545,3608.928,49.110,51.739
3423.337,3609.419,49.078,51.746
3421.140,3609.910,49.047,51.753
3418.955,3610.401,49.015,51.760
3416.783,3610.893,48.984,51.767
3414.625,3611.384,48.953,51.774
3412.482,3611.875,48.923,51.781
3410.354,3612.366,48.892,51.788
3408.243,3612.855,48.862,51.795
3406.149,3613.344,48.832,51.802
3404.074,3613.831,48.802,51.809
3402.018,3614.317,48.773,51.816
3399.981,3614.802,48.743,51.823
3397.966,3615.284,48.714,51.830
3395.973,3615.764,48.686,51.837
3394.002,3616.242,48.658,51.844
3392.054,3616.718,48.630,51.851
3390.127,3617.192,48.602,51.857
3388.222,3617.665,48.575,51.864
3386.335,3618.136,48.548,51.871
3384.468,3618.606,48.521,51.878
3382.617,3619.076,48.494,51.884
3380.783,3619.546,48.468,51.891
3378.965,3620.017,48.442,51.898
3377.161,3620.488,48.416,51.905
3375.371,3620.960,48.391,51.911
3373.593,3621.434,48.365,51.918
3371.826,3621.909,48.340,51.925
3370.069,3622.386,48.315,51.932
3368.322,3622.866,48.289,51.939
3366.583,3623.350,48.265,51.946
3364.851,3623.836,48.240,51.953
3363.125,3624.326,48.215,51.960
3361.405,3624.820,48.190,51.967
3359.688,3625.318,48.166,51.974
3357.975,3625.821,48.141,51.981
3356.264,3626.329,48.117,51.988
3354.554,3626.843,48.092,51.996
3352.843,3627.362,48.068,52.003
3351.132,3627.888,48.043,52.011
3349.419,3628.420,48.018,52.018
3347.702,3628.959,47.994,52.026
3345.982,3629.506,47.969,52.034
3344.256,3630.060,47.944,52.042
3342.524,3630.623,47.920,52.050
3340.785,3631.193,47.895,52.058
3339.037,3631.773,47.870,52.066
3337.281,3632.362,47.844,52.075
3335.514,3632.960,47.819,52.083
3333.735,3633.568,47.794,52.092
3331.945,3634.187,47.768,52.101
