X_px,Y_px,X_mm,Y_mm
7942.000,3615.000,113.859,51.826
7944.083,3614.791,113.889,51.823
7946.197,3614.585,113.919,51.820
7948.342,3614.382,113.950,51.817
7950.517,3614.181,113.981,51.814
7952.721,3613.983,114.013,51.811
7954.954,3613.788,114.045,51.809
7957.213,3613.595,114.077,51.806
7959.499,3613.406,114.110,51.803
7961.810,3613.219,114.143,51.800
7964.146,3613.035,114.177,51.798
7966.504,3612.853,114.211,51.795
7968.886,3612.675,114.245,51.793
7971.290,3612.499,114.279,51.790
7973.714,3612.325,114.314,51.788
7976.158,3612.155,114.349,51.785
7978.621,3611.988,114.384,51.783
7981.101,3611.823,114.420,51.780
7983.599,3611.661,114.456,51.778
7986.113,3611.502,114.492,51.776
7988.642,3611.345,114.528,51.774
7991.186,3611.192,114.564,51.771
7993.742,3611.041,114.601,51.769
7996.312,3610.894,114.638,51.767
7998.892,3610.749,114.675,51.765
8001.483,3610.606,114.712,51.763
8004.084,3610.467,114.749,51.761
8006.694,3610.331,114.787,51.759
8009.312,3610.198,114.824,51.757
8011.936,3610.067,114.862,51.755
8014.566,3609.939,114.900,51.753
8017.202,3609.814,114.937,51.752
8019.841,3609.692,114.975,51.750
8022.483,3609.573,115.013,51.748
8025.128,3609.457,115.051,51.746
8027.774,3609.344,115.089,51.745
8030.421,3609.233,115.127,51.743
8033.067,3609.126,115.165,51.742
8035.712,3609.022,115.203,51.740
8038.354,3608.920,115.241,51.739
8040.994,3608.822,115.279,51.737
8043.628,3608.726,115.316,51.736
8046.258,3608.634,115.354,51.735
8048.882,3608.544,115.392,51.733
8051.499,3608.457,115.429,51.732
8054.107,3608.374,115.467,51.731
8056.707,3608.293,115.504,51.730
8059.297,3608.215,115.541,51.729
8061.877,3608.140,115.578,51.728
8064.445,3608.069,115.615,51.727
8067.000,3608.000,115.651,51.726
8069.542,3607.934,115.688,51.725
8072.072,3607.872,115.724,51.724
8074.589,3607.813,115.760,51.723
8077.094,3607.758,115.796,51.722
8079.587,3607.706,115.832,51.721
