X_px,Y_px,X_mm,Y_mm
3594.000,3821.000,51.599,54.858
3596.041,3820.548,51.628,54.851
3598.087,3820.104,51.658,54.845
3600.138,3819.668,51.687,54.839
3602.194,3819.239,51.717,54.833
3604.254,3818.818,51.746,54.827
3606.319,3818.405,51.776,54.821
3608.388,3818.000,51.806,54.815
3610.462,3817.603,51.835,54.809
3612.541,3817.213,51.865,54.804
3614.623,3816.832,51.895,54.798
3616.710,3816.458,51.925,54.793
3618.802,3816.093,51.955,54.788
3620.897,3815.736,51.985,54.782
3622.996,3815.387,52.015,54.777
3625.100,3815.046,52.045,54.773
3627.207,3814.714,52.076,54.768
3629.319,3814.390,52.106,54.763
3631.434,3814.074,52.136,54.759
3633.553,3813.767,52.167,54.754
3635.675,3813.468,52.197,54.750
3637.802,3813.177,52.228,54.746
3639.932,3812.896,52.258,54.742
3642.065,3812.622,52.289,54.738
3644.202,3812.357,52.320,54.734
3646.342,3812.101,52.350,54.730
3648.485,3811.854,52.381,54.727
3650.632,3811.615,52.412,54.723
3652.782,3811.385,52.443,54.720
3654.935,3811.165,52.474,54.717
3657.091,3810.953,52.505,54.714
3659.250,3810.750,52.536,54.711
3661.413,3810.555,52.567,54.708
3663.577,3810.370,52.598,54.705
3665.745,3810.194,52.629,54.703
3667.916,3810.027,52.660,54.700
3670.089,3809.869,52.691,54.698
3672.264,3809.721,52.723,54.696
3674.443,3809.582,52.754,54.694
3676.624,3809.451,52.785,54.692
3678.807,3809.331,52.817,54.690
3680.992,3809.219,52.848,54.689
3683.180,3809.117,52.879,54.687
3685.370,3809.025,52.911,54.686
3687.562,3808.942,52.942,54.685
3689.756,3808.868,52.974,54.684
3691.953,3808.804,53.005,54.683
3694.152,3808.748,53.037,54.682
3696.354,3808.701,53.068,54.681
3698.559,3808.662,53.100,54.681
3700.767,3808.631,53.132,54.680
3702.978,3808.608,53.164,54.680
3705.191,3808.593,53.195,54.680
3707.409,3808.584,53.227,54.680
3709.629,3808.583,53.259,54.680
3711.854,3808.589,53.291,54.680
3714.082,3808.601,53.323,54.680
3716.314,3808.619,53.355,54.680
3718.550,3808.643,53.387,54.681
3720.790,3808.673,53.419,54.681
3723.035,3808.708,53.451,54.682
3725.284,3808.749,53.484,54.682
3727.538,3808.795,53.516,54.683
3729.796,3808.845,53.549,54.683
3732.059,3808.900,53.581,54.684
3734.328,3808.959,53.614,54.685
3736.601,3809.022,53.646,54.686
3738.880,3809.088,53.679,54.687
3741.164,3809.158,53.712,54.688
3743.454,3809.231,53.745,54.689
3745.749,3809.307,53.778,54.690
3748.050,3809.385,53.811,54.691
3750.358,3809.467,53.844,54.692
3752.671,3809.550,53.877,54.694
3754.991,3809.635,53.910,54.695
3757.317,3809.721,53.944,54.696
3759.650,3809.809,53.977,54.697
3761.989,3809.898,54.011,54.699
3764.335,3809.988,54.044,54.700
3766.688,3810.078,54.078,54.701
3769.049,3810.168,54.112,54.702
3771.416,3810.259,54.146,54.704
3773.791,3810.350,54.180,54.705
3776.173,3810.439,54.214,54.706
3778.563,3810.529,54.249,54.708
3780.961,3810.617,54.283,54.709
3783.367,3810.704,54.318,54.710
3785.781,3810.790,54.352,54.711
3788.203,3810.873,54.387,54.713
3790.634,3810.955,54.422,54.714
3793.073,3811.035,54.457,54.715
3795.520,3811.112,54.492,54.716
3797.975,3811.187,54.527,54.717
3800.438,3811.260,54.563,54.718
3802.908,3811.332,54.598,54.719
3805.385,3811.402,54.634,54.720
3807.867,3811.472,54.669,54.721
3810.356,3811.540,54.705,54.722
3812.850,3811.608,54.741,54.723
3815.350,3811.675,54.777,54.724
3817.853,3811.742,54.813,54.725
3820.361,3811.810,54.849,54.726
3822.873,3811.877,54.885,54.727
3825.387,3811.946,54.921,54.728
3827.905,3812.015,54.957,54.729
3830.425,3812.085,54.993,54.730
3832.947,3812.157,55.030,54.731
3835.471,3812.230,55.066,54.732
3837.996,3812.305,55.102,54.733
3840.521,3812.382,55.138,54.734
3843.047,3812.461,55.175,54.735
3845.573,3812.542,55.211,54.737
3848.098,3812.627,55.247,54.738
3850.623,3812.715,55.283,54.739
3853.145,3812.805,55.319,54.740
3855.666,3812.899,55.356,54.742
3858.185,3812.997,55.392,54.743
3860.701,3813.099,55.428,54.745
3863.214,3813.206,55.464,54.746
3865.724,3813.316,55.500,54.748
3868.229,3813.431,55.536,54.749
3870.730,3813.552,55.572,54.751
3873.227,3813.677,55.608,54.753
