X,Y
48.791,52.617
48.830,52.616
48.870,52.615
48.911,52.614
48.952,52.614
48.994,52.613
49.037,52.613
49.081,52.613
49.124,52.612
49.169,52.612
49.213,52.612
49.259,52.612
49.304,52.613
49.349,52.613
49.395,52.613
49.441,52.614
49.487,52.614
49.533,52.614
49.579,52.615
49.625,52.615
49.670,52.616
49.716,52.616
49.761,52.617
49.806,52.617
49.851,52.618
49.895,52.618
49.939,52.618
49.982,52.619
50.026,52.619
50.069,52.620
50.112,52.621
50.155,52.622
50.197,52.623
50.240,52.624
50.283,52.625
50.326,52.627
50.369,52.629
50.412,52.632
50.455,52.634
50.499,52.637
50.543,52.641
50.587,52.645
50.631,52.649
50.676,52.654
50.721,52.659
50.767,52.665
50.813,52.672
50.859,52.679
50.907,52.686
50.954,52.694
51.002,52.703
51.051,52.712
51.099,52.722
51.148,52.732
51.197,52.742
51.246,52.753
51.295,52.764
51.344,52.775
51.392,52.786
51.441,52.798
51.489,52.810
51.537,52.822
51.584,52.834
51.631,52.846
51.677,52.858
51.723,52.870
51.768,52.882
51.812,52.894
51.855,52.905
51.898,52.917
51.939,52.928
51.980,52.939
52.019,52.950
52.057,52.961
52.094,52.971
52.130,52.981
52.166,52.991
52.200,53.001
52.234,53.011
52.267,53.021
52.300,53.030
52.332,53.041
52.364,53.051
52.396,53.061
52.427,53.072
52.458,53.083
52.489,53.094
52.521,53.106
52.552,53.119
52.584,53.132
52.616,53.145
52.648,53.159
52.681,53.174
52.714,53.189
52.747,53.205
52.780,53.221
52.814,53.238
52.847,53.256
52.881,53.274
52.914,53.293
52.947,53.312
52.981,53.332
53.013,53.352
53.046,53.373
53.078,53.395
53.110,53.416
53.142,53.439
53.173,53.462
53.203,53.485
53.233,53.509
53.262,53.533
53.290,53.558
53.318,53.583
53.345,53.608
53.371,53.634
53.397,53.661
53.422,53.688
53.447,53.716
53.471,53.744
53.495,53.773
53.519,53.803
53.542,53.833
53.564,53.864
53.587,53.895
53.609,53.927
53.631,53.960
53.653,53.994
53.675,54.028
53.697,54.063
53.718,54.099
53.740,54.136
53.762,54.174
53.783,54.212
53.805,54.251
53.827,54.291
53.848,54.331
53.870,54.372
53.891,54.413
53.913,54.454
53.934,54.496
53.955,54.539
53.975,54.581
53.996,54.624
54.016,54.666
54.036,54.709
54.055,54.751
54.075,54.794
54.093,54.836
54.112,54.878
54.130,54.920
54.148,54.961
54.165,55.002
54.181,55.042
54.197,55.082
54.213,55.121
54.228,55.159
54.242,55.197
54.256,55.234
54.269,55.271
54.282,55.307
54.294,55.343
54.306,55.379
54.318,55.414
54.329,55.449
54.339,55.484
54.350,55.519
54.359,55.555
54.369,55.590
54.378,55.626
54.387,55.662
54.396,55.698
54.405,55.735
54.413,55.772
54.421,55.810
54.429,55.849
54.437,55.888
54.444,55.928
54.452,55.969
54.459,56.011
54.466,56.053
54.473,56.095
54.480,56.138
54.486,56.181
54.493,56.225
54.499,56.269
54.505,56.313
54.511,56.357
54.516,56.402
54.522,56.446
54.527,56.491
54.532,56.535
54.536,56.579
54.541,56.623
54.545,56.667
54.549,56.710
54.552,56.753
54.556,56.796
54.559,56.838
54.562,56.880
54.564,56.921
54.566,56.961
