X_px,Y_px,X_mm,Y_mm
3734.797,3898.825,53.321,55.663
3733.808,3898.839,53.307,55.663
3732.736,3898.855,53.291,55.663
3731.587,3898.874,53.275,55.663
3730.366,3898.895,53.258,55.664
3729.080,3898.919,53.239,55.664
3727.734,3898.946,53.220,55.664
3726.336,3898.975,53.200,55.665
3724.890,3899.007,53.179,55.665
3723.404,3899.042,53.158,55.666
3721.883,3899.079,53.136,55.666
3720.332,3899.119,53.114,55.667
3718.759,3899.161,53.092,55.667
3717.170,3899.206,53.069,55.668
3715.569,3899.253,53.046,55.669
3713.964,3899.303,53.023,55.669
3712.361,3899.356,53.000,55.670
3710.765,3899.411,52.978,55.671
3709.183,3899.468,52.955,55.672
3707.621,3899.528,52.933,55.673
3706.080,3899.591,52.911,55.674
3704.559,3899.656,52.889,55.674
3703.056,3899.723,52.868,55.675
3701.569,3899.792,52.846,55.676
3700.097,3899.865,52.825,55.677
3698.636,3899.939,52.805,55.678
3697.187,3900.015,52.784,55.680
3695.746,3900.094,52.763,55.681
3694.312,3900.174,52.743,55.682
3692.883,3900.257,52.722,55.683
3691.457,3900.341,52.702,55.684
3690.032,3900.428,52.682,55.685
3688.606,3900.516,52.661,55.687
3687.178,3900.606,52.641,55.688
3685.746,3900.699,52.620,55.689
3684.307,3900.792,52.600,55.691
3682.860,3900.888,52.579,55.692
3681.403,3900.985,52.558,55.693
3679.934,3901.084,52.538,55.695
3678.453,3901.184,52.516,55.696
3676.961,3901.286,52.495,55.698
3675.460,3901.389,52.474,55.699
3673.950,3901.494,52.452,55.701
3672.433,3901.599,52.430,55.702
3670.910,3901.706,52.409,55.704
3669.381,3901.813,52.387,55.705
3667.849,3901.922,52.365,55.707
3666.314,3902.031,52.343,55.708
3664.777,3902.141,52.321,55.710
3663.240,3902.251,52.299,55.711
3661.704,3902.363,52.277,55.713
3660.170,3902.474,52.255,55.715
3658.639,3902.586,52.234,55.716
3657.113,3902.698,52.212,55.718
3655.591,3902.810,52.190,55.719
3654.077,3902.922,52.168,55.721
3652.570,3903.034,52.147,55.723
3651.072,3903.146,52.125,55.724
3649.584,3903.257,52.104,55.726
3648.106,3903.368,52.083,55.727
3646.635,3903.480,52.062,55.729
3645.171,3903.591,52.041,55.731
3643.712,3903.702,52.020,55.732
3642.258,3903.814,52.000,55.734
3640.806,3903.926,51.979,55.735
3639.355,3904.038,51.958,55.737
3637.906,3904.150,51.937,55.739
3636.455,3904.263,51.917,55.740
3635.002,3904.376,51.896,55.742
3633.545,3904.491,51.875,55.743
3632.084,3904.606,51.854,55.745
3630.617,3904.722,51.833,55.747
3629.142,3904.838,51.812,55.748
3627.659,3904.956,51.791,55.750
3626.166,3905.075,51.770,55.752
3624.662,3905.195,51.748,55.754
3623.146,3905.316,51.727,55.755
3621.615,3905.439,51.705,55.757
3620.073,3905.563,51.683,55.759
3618.519,3905.689,51.661,55.761
3616.956,3905.817,51.638,55.762
3615.385,3905.947,51.616,55.764
3613.808,3906.080,51.593,55.766
3612.227,3906.214,51.571,55.768
3610.642,3906.352,51.548,55.770
3609.056,3906.492,51.526,55.772
3607.471,3906.636,51.503,55.774
3605.887,3906.782,51.480,55.776
3604.307,3906.932,51.458,55.778
3602.733,3907.086,51.435,55.781
3601.165,3907.244,51.413,55.783
3599.606,3907.405,51.391,55.785
3598.057,3907.571,51.369,55.787
3596.520,3907.741,51.347,55.790
3594.996,3907.916,51.325,55.792
3593.487,3908.095,51.303,55.795
3591.995,3908.280,51.282,55.798
3590.521,3908.469,51.261,55.800
3589.065,3908.664,51.240,55.803
3587.627,3908.864,51.220,55.806
3586.206,3909.069,51.199,55.809
3584.800,3909.278,51.179,55.812
3583.408,3909.491,51.159,55.815
3582.030,3909.709,51.140,55.818
3580.664,3909.931,51.120,55.821
3579.309,3910.157,51.101,55.824
3577.964,3910.387,51.082,55.828
3576.628,3910.621,51.063,55.831
3575.301,3910.857,51.044,55.834
3573.980,3911.097,51.025,55.838
3572.666,3911.340,51.006,55.841
3571.355,3911.586,50.987,55.845
3570.050,3911.834,50.969,55.848
3568.746,3912.086,50.950,55.852
3567.445,3912.339,50.932,55.856
3566.144,3912.595,50.913,55.859
3564.842,3912.853,50.894,55.863
3563.540,3913.113,50.876,55.867
3562.235,3913.376,50.857,55.870
3560.926,3913.642,50.838,55.874
3559.613,3913.912,50.820,55.878
3558.295,3914.185,50.801,55.882
3556.970,3914.462,50.782,55.886
3555.638,3914.743,50.763,55.890
3554.297,3915.029,50.744,55.894
3552.947,3915.319,50.725,55.898
3551.587,3915.614,50.705,55.902
3550.215,3915.914,50.686,55.907
3548.830,3916.219,50.666,55.911
3547.432,3916.530,50.646,55.915
3546.019,3916.847,50.626,55.920
3544.591,3917.170,50.605,55.924
3543.146,3917.500,50.585,55.929
3541.684,3917.836,50.564,55.934
3540.205,3918.179,50.543,55.939
3538.708,3918.529,50.521,55.944
3537.194,3918.885,50.500,55.949
3535.665,3919.248,50.478,55.954
3534.119,3919.617,50.456,55.959
3532.558,3919.992,50.433,55.965
3530.983,3920.374,50.411,55.970
3529.393,3920.762,50.388,55.976
3527.788,3921.156,50.365,55.981
3526.170,3921.557,50.342,55.987
3524.539,3921.963,50.319,55.993
3522.895,3922.375,50.296,55.999
3521.239,3922.794,50.272,56.005
3519.570,3923.218,50.248,56.011
3517.890,3923.647,50.224,56.017
3516.200,3924.083,50.200,56.023
3514.498,3924.524,50.176,56.029
3512.786,3924.971,50.151,56.036
3511.064,3925.423,50.127,56.042
3509.333,3925.881,50.102,56.049
3507.594,3926.344,50.077,56.055
3505.845,3926.812,50.052,56.062
3504.088,3927.286,50.027,56.069
3502.323,3927.764,50.002,56.076
3500.549,3928.249,49.976,56.083
3498.767,3928.738,49.951,56.090
3496.977,3929.233,49.925,56.097
3495.179,3929.733,49.900,56.104
3493.373,3930.239,49.874,56.111
3491.559,3930.749,49.848,56.118
3489.737,3931.265,49.822,56.126
3487.907,3931.787,49.796,56.133
3486.070,3932.313,49.770,56.141
3484.226,3932.845,49.743,56.148
3482.374,3933.382,49.717,56.156
3480.514,3933.925,49.690,56.164
3478.647,3934.473,49.664,56.172
3476.773,3935.026,49.637,56.179
3474.892,3935.584,49.610,56.187
3473.004,3936.148,49.583,56.195
3471.109,3936.717,49.556,56.204
3469.207,3937.292,49.529,56.212
3467.299,3937.872,49.502,56.220
3465.384,3938.457,49.474,56.228
3463.462,3939.047,49.447,56.237
3461.533,3939.643,49.419,56.245
3459.599,3940.243,49.392,56.254
3457.657,3940.850,49.364,56.263
3455.710,3941.461,49.336,56.271
3453.757,3942.078,49.308,56.280
3451.798,3942.700,49.280,56.289
3449.833,3943.327,49.252,56.298
3447.863,3943.960,49.224,56.307
3445.886,3944.598,49.196,56.316
3443.905,3945.241,49.168,56.325
3441.918,3945.889,49.139,56.334
3439.927,3946.542,49.111,56.344
3437.930,3947.201,49.082,56.353
3435.928,3947.865,49.054,56.363
3433.921,3948.533,49.025,56.372
3431.910,3949.208,48.997,56.382
3429.894,3949.887,48.968,56.392
3427.874,3950.571,48.939,56.401
3425.850,3951.260,48.910,56.411
3423.821,3951.955,48.881,56.421
3421.789,3952.654,48.852,56.431
3419.752,3953.359,48.823,56.441
3417.712,3954.069,48.794,56.451
3415.668,3954.783,48.765,56.461
3413.621,3955.503,48.735,56.472
3411.570,3956.228,48.706,56.482
3409.516,3956.958,48.677,56.493
3407.458,3957.693,48.647,56.503
3405.398,3958.433,48.618,56.514
3403.335,3959.177,48.589,56.524
3401.269,3959.927,48.559,56.535
3399.200,3960.682,48.530,56.546
3397.129,3961.441,48.500,56.557
3395.055,3962.206,48.470,56.567
3392.978,3962.975,48.441,56.578
3390.899,3963.750,48.411,56.589
3388.817,3964.529,48.381,56.601
3386.734,3965.313,48.352,56.612
3384.647,3966.102,48.322,56.623
3382.559,3966.896,48.292,56.634
3380.469,3967.694,48.262,56.646
3378.377,3968.497,48.232,56.657
3376.283,3969.305,48.202,56.669
3374.187,3970.118,48.172,56.680
3372.089,3970.936,48.142,56.692
3369.990,3971.758,48.113,56.704
3367.889,3972.585,48.083,56.716
3365.787,3973.417,48.053,56.728
3363.683,3974.253,48.022,56.739
3361.578,3975.094,47.992,56.751
3359.472,3975.939,47.962,56.764
3357.365,3976.790,47.932,56.776
3355.256,3977.645,47.902,56.788
3353.146,3978.504,47.872,56.800
3351.036,3979.368,47.842,56.812
3348.924,3980.237,47.812,56.825
3346.812,3981.110,47.782,56.837
3344.699,3981.988,47.751,56.850
3342.586,3982.870,47.721,56.862
3340.472,3983.757,47.691,56.875
3338.357,3984.648,47.661,56.888
3336.243,3985.544,47.631,56.901
3334.128,3986.444,47.601,56.913
3332.012,3987.349,47.570,56.926
3329.897,3988.258,47.540,56.939
3327.781,3989.172,47.510,56.952
3325.666,3990.090,47.480,56.966
3323.550,3991.013,47.450,56.979
3321.435,3991.940,47.419,56.992
3319.320,3992.872,47.389,57.005
3317.206,3993.808,47.359,57.019
3315.091,3994.749,47.329,57.032
3312.978,3995.694,47.299,57.046
3310.865,3996.643,47.268,57.059
3308.752,3997.597,47.238,57.073
3306.640,3998.556,47.208,57.086
3304.529,3999.519,47.178,57.100
3302.419,4000.486,47.148,57.114
3300.310,4001.457,47.118,57.128
3298.202,4002.433,47.088,57.142
3296.094,4003.414,47.058,57.156
3293.989,4004.399,47.027,57.170
3291.884,4005.388,46.997,57.184
3289.781,4006.382,46.967,57.198
3287.679,4007.380,46.937,57.212
3285.579,4008.382,46.907,57.227
3283.480,4009.389,46.877,57.241
3281.383,4010.400,46.848,57.256
3279.288,4011.415,46.818,57.270
3277.194,4012.435,46.788,57.285
3275.102,4013.458,46.758,57.299
3273.012,4014.486,46.728,57.314
3270.923,4015.518,46.698,57.329
3268.836,4016.553,46.668,57.343
3266.751,4017.593,46.639,57.358
3264.668,4018.636,46.609,57.373
3262.586,4019.683,46.579,57.388
3260.506,4020.733,46.549,57.403
3258.428,4021.787,46.520,57.418
3256.352,4022.844,46.490,57.433
3254.277,4023.905,46.461,57.448
3252.204,4024.969,46.431,57.464
3250.133,4026.036,46.401,57.479
3248.064,4027.106,46.372,57.494
3245.996,4028.179,46.342,57.509
3243.931,4029.255,46.313,57.525
3241.867,4030.334,46.283,57.540
3239.805,4031.416,46.254,57.556
3237.745,4032.501,46.224,57.571
3235.687,4033.588,46.195,57.587
3233.630,4034.677,46.166,57.602
3231.576,4035.770,46.136,57.618
3229.523,4036.864,46.107,57.633
3227.472,4037.961,46.078,57.649
3225.423,4039.060,46.049,57.665
3223.376,4040.161,46.019,57.680
3221.331,4041.264,45.990,57.696
3219.288,4042.370,45.961,57.712
3217.247,4043.477,45.932,57.728
3215.208,4044.587,45.903,57.744
3213.172,4045.699,45.874,57.759
3211.138,4046.814,45.845,57.775
3209.108,4047.931,45.816,57.791
3207.081,4049.052,45.787,57.807
3205.057,4050.175,45.758,57.823
3203.037,4051.302,45.729,57.839
3201.020,4052.433,45.700,57.856
3199.008,4053.566,45.671,57.872
3197.000,4054.704,45.643,57.888
3194.996,4055.846,45.614,57.904
3192.998,4056.991,45.586,57.921
3191.004,4058.141,45.557,57.937
3189.015,4059.295,45.529,57.954
3187.031,4060.454,45.500,57.970
3185.053,4061.618,45.472,57.987
3183.082,4062.786,45.444,58.003
3181.115,4063.960,45.416,58.020
3179.156,4065.139,45.388,58.037
3177.202,4066.323,45.360,58.054
3175.256,4067.513,45.332,58.071
