Distance_(mm),Gray_Value
0.0000,73.1271
0.0143,72.9510
0.0286,72.8627
0.0429,72.7521
0.0571,72.5726
0.0714,72.5573
0.0857,72.5812
0.1000,72.7054
0.1143,72.6718
0.1286,72.7886
0.1429,72.8325
0.1572,72.8934
0.1714,72.9538
0.1857,72.9521
0.2000,72.8667
0.2143,72.9026
0.2286,72.9852
0.2429,73.1214
0.2572,73.2353
0.2714,73.1345
0.2857,72.9892
0.3000,72.8211
0.3143,72.8860
0.3286,72.6838
0.3429,72.5231
0.3572,72.3071
0.3714,72.3111
0.3857,72.3789
0.4000,72.4547
0.4143,72.4405
0.4286,72.2906
0.4429,72.2097
0.4572,72.3385
0.4715,72.5219
0.4857,72.4769
0.5000,72.3858
0.5143,72.2644
0.5286,72.4707
0.5429,72.6074
0.5572,72.4678
0.5715,72.3396
0.5857,72.2336
0.6000,72.3185
0.6143,72.5493
0.6286,72.6581
0.6429,72.6199
0.6572,72.5818
0.6715,72.5886
0.6857,72.7288
0.7000,72.8336
0.7143,72.8564
0.7286,72.8501
0.7429,72.7556
0.7572,72.9094
0.7715,72.8570
0.7858,72.7185
0.8000,72.7242
0.8143,72.6296
0.8286,72.7077
0.8429,72.8615
0.8572,72.9293
0.8715,72.7977
0.8858,72.6519
0.9000,72.6342
0.9143,72.7293
0.9286,72.5852
0.9429,72.4422
0.9572,72.1903
0.9715,72.1863
0.9858,72.4724
1.0001,72.8302
1.0143,72.8655
1.0286,72.9282
1.0429,73.0091
1.0572,73.0838
1.0715,73.3812
1.0858,73.5339
1.1001,73.4313
1.1143,73.2273
1.1286,73.4370
1.1429,73.5630
1.1572,73.8046
1.1715,73.9288
1.1858,73.9618
1.2001,74.0205
1.2143,74.3949
1.2286,74.6439
1.2429,74.5048
1.2572,74.3464
1.2715,74.2410
1.2858,74.3601
1.3001,74.6889
1.3144,74.9516
1.3286,74.8667
1.3429,74.9259
1.3572,74.8855
1.3715,74.9687
1.3858,75.0969
1.4001,75.1983
1.4144,75.4496
1.4286,75.7812
1.4429,76.0068
1.4572,76.1960
1.4715,76.1424
1.4858,76.1630
1.5001,76.3687
1.5144,76.5687
1.5286,76.7368
1.5429,76.8564
1.5572,76.9009
1.5715,76.9482
1.5858,76.9806
1.6001,77.1293
1.6144,77.2604
1.6287,77.4222
1.6429,77.6416
1.6572,77.8245
1.6715,77.9259
1.6858,78.0712
1.7001,78.1305
1.7144,78.2308
1.7287,78.4764
1.7429,78.7202
1.7572,78.7675
1.7715,78.7174
1.7858,78.7903
1.8001,78.9117
1.8144,79.1909
1.8287,79.4160
1.8430,79.5573
1.8572,79.5083
1.8715,79.5282
1.8858,79.9248
1.9001,80.3231
1.9144,80.5373
1.9287,80.6610
1.9430,80.6650
1.9572,80.8142
1.9715,80.9601
1.9858,81.1960
2.0001,81.3470
2.0144,81.4182
2.0287,81.4274
2.0430,81.6575
2.0572,81.8701
2.0715,81.9641
2.0858,81.8792
2.1001,81.8353
2.1144,82.0575
2.1287,82.3670
