X_px,Y_px,X_mm,Y_mm
3480.000,3671.000,49.989,52.732
3481.781,3670.644,50.014,52.727
3483.592,3670.280,50.040,52.722
3485.431,3669.909,50.067,52.717
3487.297,3669.531,50.093,52.711
3489.188,3669.146,50.121,52.706
3491.103,3668.756,50.148,52.700
3493.038,3668.360,50.176,52.694
3494.994,3667.959,50.204,52.689
3496.968,3667.554,50.232,52.683
3498.959,3667.145,50.261,52.677
3500.964,3666.733,50.290,52.671
3502.982,3666.318,50.319,52.665
3505.012,3665.900,50.348,52.659
3507.051,3665.480,50.377,52.653
3509.098,3665.059,50.407,52.647
3511.151,3664.637,50.436,52.641
3513.208,3664.214,50.466,52.635
3515.269,3663.792,50.495,52.629
3517.330,3663.370,50.525,52.623
3519.391,3662.948,50.554,52.617
3521.449,3662.529,50.584,52.611
3523.503,3662.111,50.614,52.605
3525.551,3661.696,50.643,52.599
3527.592,3661.284,50.672,52.593
3529.623,3660.875,50.701,52.587
3531.644,3660.470,50.730,52.581
3533.657,3660.068,50.759,52.575
3535.662,3659.671,50.788,52.570
3537.660,3659.277,50.817,52.564
3539.654,3658.888,50.846,52.558
3541.644,3658.502,50.874,52.553
3543.631,3658.120,50.903,52.547
3545.617,3657.742,50.931,52.542
3547.603,3657.368,50.960,52.536
3549.590,3656.998,50.988,52.531
3551.579,3656.632,51.017,52.526
3553.572,3656.271,51.045,52.521
3555.570,3655.913,51.074,52.516
3557.574,3655.559,51.103,52.510
3559.586,3655.209,51.132,52.505
3561.606,3654.864,51.161,52.500
3563.637,3654.522,51.190,52.496
3565.678,3654.186,51.219,52.491
3567.732,3653.853,51.249,52.486
3569.800,3653.524,51.279,52.481
3571.883,3653.200,51.309,52.477
3573.981,3652.880,51.339,52.472
3576.098,3652.564,51.369,52.467
3578.233,3652.252,51.400,52.463
3580.388,3651.945,51.431,52.459
3582.563,3651.643,51.462,52.454
3584.757,3651.345,51.493,52.450
3586.969,3651.052,51.525,52.446
3589.196,3650.763,51.557,52.442
3591.437,3650.481,51.589,52.438
3593.689,3650.203,51.622,52.434
3595.952,3649.932,51.654,52.430
3598.223,3649.666,51.687,52.426
3600.501,3649.406,51.720,52.422
3602.785,3649.153,51.752,52.418
3605.071,3648.906,51.785,52.415
3607.359,3648.666,51.818,52.411
3609.646,3648.433,51.851,52.408
3611.932,3648.207,51.884,52.405
3614.214,3647.988,51.917,52.402
3616.490,3647.777,51.949,52.399
3618.759,3647.574,51.982,52.396
3621.020,3647.379,52.014,52.393
3623.269,3647.192,52.047,52.390
3625.506,3647.013,52.079,52.388
3627.729,3646.843,52.111,52.385
3629.936,3646.682,52.142,52.383
3632.125,3646.530,52.174,52.381
3634.295,3646.387,52.205,52.379
3636.444,3646.254,52.236,52.377
3638.569,3646.131,52.266,52.375
