X_px,Y_px,X_mm,Y_mm
7907.419,3743.968,114.776,54.343
7906.380,3743.981,114.761,54.344
7905.320,3743.996,114.745,54.344
7904.239,3744.015,114.730,54.344
7903.139,3744.036,114.714,54.344
7902.021,3744.060,114.697,54.345
7900.886,3744.087,114.681,54.345
7899.735,3744.116,114.664,54.346
7898.570,3744.148,114.647,54.346
7897.393,3744.183,114.630,54.347
7896.203,3744.221,114.613,54.347
7895.002,3744.262,114.595,54.348
7893.793,3744.305,114.578,54.348
7892.575,3744.351,114.560,54.349
7891.351,3744.400,114.542,54.350
7890.121,3744.451,114.525,54.350
7888.886,3744.506,114.507,54.351
7887.648,3744.563,114.489,54.352
7886.408,3744.623,114.471,54.353
7885.167,3744.685,114.453,54.354
7883.928,3744.751,114.435,54.355
7882.689,3744.819,114.417,54.356
7881.453,3744.890,114.399,54.357
7880.218,3744.963,114.381,54.358
7878.984,3745.039,114.363,54.359
7877.752,3745.118,114.345,54.360
7876.521,3745.198,114.327,54.361
7875.292,3745.282,114.309,54.363
7874.062,3745.367,114.292,54.364
7872.834,3745.456,114.274,54.365
7871.607,3745.546,114.256,54.366
7870.379,3745.638,114.238,54.368
7869.152,3745.732,114.220,54.369
7867.925,3745.829,114.202,54.370
7866.698,3745.927,114.185,54.372
7865.471,3746.027,114.167,54.373
7864.243,3746.129,114.149,54.375
7863.015,3746.233,114.131,54.376
7861.786,3746.339,114.113,54.378
7860.556,3746.446,114.095,54.379
7859.325,3746.554,114.078,54.381
7858.093,3746.665,114.060,54.383
7856.859,3746.776,114.042,54.384
7855.624,3746.890,114.024,54.386
7854.388,3747.004,114.006,54.388
7853.151,3747.120,113.988,54.389
7851.914,3747.237,113.970,54.391
7850.676,3747.355,113.952,54.393
7849.438,3747.474,113.934,54.394
7848.201,3747.594,113.916,54.396
7846.963,3747.715,113.898,54.398
7845.727,3747.836,113.880,54.400
7844.491,3747.959,113.862,54.401
7843.256,3748.082,113.844,54.403
7842.023,3748.206,113.826,54.405
7840.791,3748.331,113.809,54.407
7839.561,3748.456,113.791,54.409
7838.333,3748.581,113.773,54.410
7837.107,3748.707,113.755,54.412
7835.884,3748.833,113.737,54.414
7834.664,3748.959,113.720,54.416
7833.447,3749.085,113.702,54.418
7832.232,3749.211,113.684,54.420
7831.022,3749.338,113.667,54.421
7829.815,3749.464,113.649,54.423
7828.611,3749.591,113.632,54.425
7827.410,3749.717,113.614,54.427
7826.212,3749.843,113.597,54.429
7825.017,3749.969,113.580,54.431
7823.823,3750.096,113.562,54.432
7822.631,3750.222,113.545,54.434
7821.441,3750.348,113.528,54.436
7820.253,3750.474,113.510,54.438
7819.065,3750.600,113.493,54.440
7817.879,3750.726,113.476,54.442
7816.693,3750.852,113.459,54.443
7815.507,3750.978,113.442,54.445
7814.322,3751.104,113.424,54.447
7813.136,3751.230,113.407,54.449
7811.950,3751.355,113.390,54.451
7810.763,3751.481,113.373,54.453
7809.575,3751.607,113.355,54.454
7808.386,3751.733,113.338,54.456
7807.195,3751.858,113.321,54.458
7806.002,3751.984,113.304,54.460
7804.808,3752.110,113.286,54.462
7803.612,3752.235,113.269,54.463
7802.414,3752.360,113.252,54.465
7801.213,3752.485,113.234,54.467
7800.011,3752.610,113.217,54.469
7798.807,3752.735,113.199,54.471
7797.601,3752.859,113.182,54.473
7796.392,3752.982,113.164,54.474
7795.182,3753.106,113.147,54.476
7793.969,3753.229,113.129,54.478
7792.753,3753.351,113.111,54.480
7791.536,3753.473,113.094,54.481
7790.316,3753.594,113.076,54.483
7789.095,3753.714,113.058,54.485
7787.870,3753.834,113.040,54.487
7786.644,3753.953,113.023,54.488
7785.415,3754.071,113.005,54.490
7784.183,3754.188,112.987,54.492
7782.949,3754.304,112.969,54.493
7781.712,3754.420,112.951,54.495
7780.473,3754.534,112.933,54.497
7779.231,3754.648,112.915,54.498
7777.987,3754.760,112.897,54.500
7776.741,3754.872,112.879,54.502
7775.494,3754.983,112.861,54.503
