X,Y
119.371,55.055
119.398,55.066
119.424,55.077
119.451,55.087
119.477,55.098
119.503,55.109
119.528,55.121
119.553,55.132
119.578,55.143
119.603,55.155
119.627,55.167
119.651,55.179
119.674,55.191
119.698,55.203
119.721,55.216
119.743,55.229
119.766,55.242
119.788,55.255
119.809,55.269
119.831,55.283
119.852,55.297
119.872,55.311
119.893,55.326
119.912,55.342
119.932,55.357
119.951,55.373
119.970,55.390
119.989,55.407
120.007,55.424
120.024,55.441
120.042,55.460
120.059,55.478
120.075,55.497
120.092,55.517
120.108,55.537
120.123,55.557
120.138,55.578
120.153,55.600
120.167,55.621
120.181,55.643
120.195,55.666
120.208,55.689
120.221,55.712
120.234,55.735
120.247,55.759
120.259,55.783
120.270,55.807
120.282,55.832
120.293,55.856
120.304,55.881
120.314,55.906
120.325,55.931
120.335,55.956
120.345,55.981
120.354,56.006
120.363,56.032
120.372,56.057
120.381,56.083
120.390,56.108
120.398,56.133
120.406,56.158
120.414,56.184
120.422,56.209
120.429,56.234
120.436,56.259
120.443,56.283
120.450,56.308
120.457,56.332
120.463,56.356
120.470,56.380
120.476,56.404
120.482,56.427
120.488,56.451
120.493,56.474
120.499,56.498
120.504,56.521
120.509,56.544
120.514,56.567
120.519,56.589
120.523,56.612
120.528,56.635
120.532,56.657
120.536,56.680
120.540,56.702
120.544,56.725
120.548,56.747
120.551,56.770
120.555,56.792
120.558,56.814
120.561,56.837
120.564,56.859
120.567,56.881
120.570,56.904
120.572,56.926
120.575,56.948
120.577,56.971
120.579,56.993
120.581,57.016
120.583,57.038
120.585,57.061
120.587,57.084
120.588,57.107
120.590,57.129
120.591,57.152
120.592,57.175
120.593,57.199
120.593,57.222
120.594,57.245
120.594,57.269
120.595,57.292
120.595,57.316
120.595,57.340
120.594,57.364
120.594,57.388
120.593,57.412
120.592,57.436
120.591,57.461
120.590,57.486
120.589,57.511
120.587,57.536
120.585,57.561
120.583,57.586
120.581,57.612
120.579,57.638
120.576,57.664
120.573,57.690
120.570,57.716
120.567,57.743
120.563,57.770
120.560,57.797
120.556,57.824
120.552,57.851
120.547,57.878
120.543,57.906
120.538,57.934
120.533,57.961
120.528,57.989
120.522,58.017
120.517,58.046
120.511,58.074
120.505,58.102
120.499,58.131
120.492,58.159
120.486,58.188
120.479,58.217
120.472,58.245
120.465,58.274
120.458,58.303
120.450,58.332
120.442,58.361
120.435,58.389
120.426,58.418
120.418,58.447
120.410,58.476
120.401,58.505
120.392,58.534
120.383,58.563
120.374,58.591
120.365,58.620
120.355,58.649
120.346,58.678
120.336,58.706
120.326,58.735
