X,Y
115.498,58.982
115.470,58.982
115.441,58.982
115.411,58.983
115.380,58.983
115.349,58.984
115.316,58.984
115.283,58.985
115.249,58.986
115.216,58.987
115.181,58.988
115.147,58.989
115.112,58.990
115.078,58.991
115.043,58.992
115.008,58.994
114.973,58.995
114.939,58.997
114.904,58.999
114.869,59.001
114.834,59.003
114.799,59.005
114.765,59.007
114.730,59.009
114.695,59.012
114.660,59.015
114.625,59.017
114.591,59.020
114.556,59.023
114.521,59.026
114.486,59.029
114.452,59.033
114.417,59.036
114.382,59.040
114.348,59.043
114.313,59.047
114.279,59.051
114.244,59.055
114.210,59.059
114.175,59.064
114.141,59.068
114.107,59.073
114.073,59.078
114.039,59.083
114.004,59.088
113.970,59.093
113.937,59.098
113.903,59.104
113.869,59.110
113.835,59.116
113.802,59.122
113.768,59.128
113.735,59.135
113.702,59.141
113.668,59.148
113.635,59.155
113.602,59.162
113.569,59.169
113.536,59.176
113.503,59.183
113.470,59.191
113.437,59.198
113.404,59.206
113.371,59.213
113.338,59.221
113.305,59.229
113.272,59.237
113.238,59.245
113.204,59.253
113.170,59.262
113.135,59.271
113.100,59.280
113.064,59.289
113.028,59.299
112.991,59.309
112.953,59.320
112.915,59.331
112.875,59.342
112.836,59.354
112.796,59.365
112.756,59.377
112.715,59.390
112.674,59.402
112.633,59.415
112.593,59.427
112.552,59.440
112.511,59.453
112.471,59.466
112.431,59.479
112.392,59.492
112.353,59.505
112.314,59.518
112.276,59.531
112.238,59.544
112.201,59.558
112.163,59.571
112.126,59.584
112.088,59.598
112.051,59.611
112.013,59.625
111.975,59.639
111.937,59.654
111.898,59.668
111.859,59.683
111.819,59.698
111.779,59.714
111.738,59.730
111.696,59.746
111.654,59.762
111.612,59.779
111.569,59.796
111.525,59.814
111.482,59.831
111.437,59.849
111.393,59.868
111.348,59.886
111.303,59.905
111.257,59.924
111.212,59.943
111.166,59.962
111.119,59.982
111.073,60.002
111.027,60.022
110.980,60.042
110.933,60.063
110.886,60.084
110.839,60.104
110.792,60.126
110.745,60.147
110.698,60.168
110.650,60.190
110.602,60.212
110.554,60.234
110.506,60.257
110.458,60.279
110.410,60.302
110.362,60.325
110.313,60.348
110.265,60.371
110.216,60.395
110.167,60.419
110.118,60.442
110.070,60.467
110.020,60.491
109.971,60.515
109.922,60.540
109.873,60.565
109.823,60.590
109.774,60.615
109.724,60.640
109.675,60.666
109.625,60.692
109.575,60.718
109.526,60.744
109.476,60.770
109.426,60.796
109.377,60.823
109.327,60.850
109.277,60.877
109.228,60.904
109.178,60.931
109.128,60.958
109.079,60.986
109.029,61.013
108.979,61.041
108.930,61.069
108.880,61.097
108.831,61.125
108.782,61.153
108.732,61.182
108.683,61.210
108.634,61.239
108.585,61.268
108.535,61.297
108.486,61.326
108.437,61.355
108.388,61.384
108.339,61.413
108.291,61.442
108.242,61.472
108.193,61.501
108.144,61.530
108.096,61.560
108.048,61.590
107.999,61.619
107.951,61.649
107.903,61.679
107.855,61.709
107.807,61.739
107.760,61.770
107.712,61.800
107.665,61.830
107.618,61.861
107.571,61.892
107.524,61.923
107.478,61.954
107.432,61.985
107.386,62.016
107.340,62.048
107.295,62.079
107.250,62.111
107.205,62.143
107.160,62.175
107.116,62.207
107.072,62.239
107.028,62.272
106.985,62.304
106.941,62.337
106.898,62.369
106.855,62.402
106.812,62.434
106.769,62.466
106.727,62.498
106.684,62.530
106.641,62.562
106.599,62.593
106.556,62.624
106.513,62.655
106.471,62.686
106.428,62.716
106.385,62.746
106.342,62.776
106.299,62.805
106.256,62.834
106.214,62.862
106.171,62.890
106.129,62.918
106.086,62.945
106.045,62.972
106.003,62.999
105.962,63.025
105.922,63.051
105.882,63.077
105.843,63.103
105.804,63.128
105.766,63.152
105.729,63.177
105.693,63.201
105.658,63.225
105.624,63.249
105.590,63.272
105.556,63.296
105.522,63.319
105.489,63.343
105.454,63.367
105.420,63.391
105.384,63.415
105.347,63.440
105.309,63.466
105.269,63.492
105.228,63.519
105.184,63.547
105.139,63.576
105.090,63.606
105.039,63.636
104.986,63.668
104.929,63.702
104.871,63.736
104.812,63.771
104.751,63.806
104.690,63.843
104.630,63.880
104.569,63.917
104.510,63.955
104.452,63.994
104.396,64.032
104.342,64.071
104.291,64.110
104.244,64.149
104.200,64.188
104.161,64.226
104.126,64.264
104.097,64.302
104.073,64.339
104.056,64.376
104.045,64.412
104.042,64.448
104.045,64.482
104.055,64.516
104.071,64.549
104.093,64.582
104.119,64.614
104.150,64.645
104.185,64.675
104.223,64.705
104.265,64.734
104.309,64.763
104.355,64.791
104.403,64.819
104.452,64.846
104.501,64.872
104.550,64.898
104.599,64.924
104.648,64.949
104.695,64.974
104.742,64.999
104.789,65.024
104.835,65.049
104.880,65.074
104.924,65.100
104.967,65.126
105.010,65.153
105.052,65.180
105.092,65.208
105.132,65.238
105.171,65.268
105.209,65.300
105.246,65.333
105.282,65.368
105.316,65.404
105.350,65.442
105.382,65.481
105.414,65.522
105.445,65.564
105.475,65.607
105.504,65.650
105.533,65.693
105.562,65.735
105.591,65.777
105.619,65.818
105.648,65.857
105.677,65.895
105.706,65.931
105.736,65.964
105.767,65.995
105.798,66.023
105.831,66.047
105.864,66.068
105.899,66.084
105.934,66.097
105.971,66.107
106.009,66.114
106.048,66.118
106.088,66.119
106.128,66.119
106.170,66.117
106.212,66.113
