Distance_(mm),Gray_Value
0.0000,60.2645
0.0146,60.4550
0.0292,61.1217
0.0438,61.3889
0.0585,61.6481
0.0731,61.9153
0.0877,61.8016
0.1023,61.7090
0.1169,61.4127
0.1315,61.3571
0.1461,61.1085
0.1608,61.7672
0.1754,62.4365
0.1900,62.8836
0.2046,63.1693
0.2192,63.5688
0.2338,64.0000
0.2485,64.1032
0.2631,64.3704
0.2777,64.7196
0.2923,64.8439
0.3069,64.7751
0.3215,64.6693
0.3361,64.5767
0.3508,64.7698
0.3654,64.8439
0.3800,64.9497
0.3946,64.6958
0.4092,64.6720
0.4238,64.9206
0.4384,64.7936
0.4531,64.7593
0.4677,64.8730
0.4823,65.3175
0.4969,66.0238
0.5115,66.2857
0.5261,66.9603
0.5407,67.6429
0.5554,67.9497
0.5700,68.3598
0.5846,68.9577
0.5992,69.3016
0.6138,69.6032
0.6284,70.0688
0.6431,70.7328
0.6577,70.9365
0.6723,71.0926
0.6869,71.5608
0.7015,71.6931
0.7161,71.6243
0.7307,71.5794
0.7454,71.5714
0.7600,71.4630
0.7746,71.3280
0.7892,71.2407
0.8038,71.0079
0.8184,70.3386
0.8330,69.7275
0.8477,70.0079
0.8623,69.8201
0.8769,69.6825
0.8915,69.8280
0.9061,69.9471
0.9207,69.9365
0.9354,69.8624
0.9500,70.0397
0.9646,70.0000
0.9792,69.3730
0.9938,69.1402
1.0084,69.3201
1.0230,70.0159
1.0377,70.4206
1.0523,71.6693
1.0669,72.6534
1.0815,73.5794
1.0961,74.4286
1.1107,75.3228
1.1253,75.9206
1.1400,76.1455
1.1546,76.7196
1.1692,77.2460
1.1838,77.6931
1.1984,78.2487
1.2130,78.2963
1.2276,78.2804
1.2423,78.4233
1.2569,78.6190
1.2715,78.4762
1.2861,78.4180
1.3007,78.2989
1.3153,78.0212
1.3300,78.0159
1.3446,77.7698
1.3592,77.6905
1.3738,77.2434
1.3884,77.3148
1.4030,77.1376
1.4176,77.2249
1.4323,77.2090
1.4469,77.5873
1.4615,77.7143
1.4761,78.1534
1.4907,78.5053
1.5053,79.1243
1.5199,80.0026
1.5346,80.2725
1.5492,80.6958
1.5638,81.0026
1.5784,81.5344
1.5930,81.9153
1.6076,82.5714
1.6222,83.1534
1.6369,83.5317
1.6515,83.8439
1.6661,84.2407
