Distance_(mm),Gray_Value
0.0000,79.8416
0.0144,79.3511
0.0289,79.1064
0.0433,78.7742
0.0577,78.5431
0.0721,78.5095
0.0866,78.6956
0.1010,78.8972
0.1154,78.8907
0.1299,78.5721
0.1443,78.0520
0.1587,77.7530
0.1732,77.7476
0.1876,77.6749
0.2020,77.7441
0.2164,77.4155
0.2309,77.1389
0.2453,76.2246
0.2597,76.2057
0.2742,76.1637
0.2886,76.3363
0.3030,76.5727
0.3174,76.9527
0.3319,77.1448
0.3463,77.5018
0.3607,77.5999
0.3752,77.4900
0.3896,77.4208
0.4040,77.3895
0.4185,77.2465
0.4329,77.2878
0.4473,77.3806
0.4617,77.1773
0.4762,77.3948
0.4906,77.3853
0.5050,77.2004
0.5195,76.8091
0.5339,76.4793
0.5483,76.6554
0.5627,76.5674
0.5772,76.6726
0.5916,76.4882
0.6060,76.4911
0.6205,76.2559
0.6349,76.1661
0.6493,76.1483
0.6638,76.3540
0.6782,76.6832
0.6926,76.8546
0.7070,77.0715
0.7215,77.4982
0.7359,77.4427
0.7503,77.1217
0.7648,77.0059
0.7792,77.1200
0.7936,77.2695
0.8080,77.4403
0.8225,77.8168
0.8369,77.8907
0.8513,78.0957
0.8658,78.2281
0.8802,78.3452
0.8946,78.4894
0.9090,78.7169
0.9235,78.8546
0.9379,79.0083
0.9523,79.2098
0.9668,79.3292
0.9812,79.3126
0.9956,79.2866
1.0101,79.5195
1.0245,79.5449
1.0389,79.2937
1.0533,79.3493
1.0678,79.4439
1.0822,79.5106
1.0966,79.5366
1.1111,79.6874
1.1255,79.7920
1.1399,79.8422
1.1543,79.8044
1.1688,79.6472
1.1832,79.6188
1.1976,79.6726
1.2121,79.6489
1.2265,79.4391
1.2409,79.5396
1.2554,79.8511
1.2698,80.1755
1.2842,80.2784
1.2986,80.4356
1.3131,80.6383
1.3275,80.9243
1.3419,81.1667
1.3564,81.1832
1.3708,81.3505
1.3852,81.5467
1.3996,81.6673
1.4141,81.7943
1.4285,81.8434
1.4429,81.8274
1.4574,81.8180
1.4718,82.0827
1.4862,82.1501
1.5007,82.0142
1.5151,81.8121
1.5295,81.8729
1.5439,82.0703
1.5584,82.3262
1.5728,82.4752
1.5872,82.8611
1.6017,83.3115
1.6161,83.3942
1.6305,83.4823
1.6449,83.4669
1.6594,83.7311
1.6738,83.9592
1.6882,83.7719
1.7027,83.4817
1.7171,83.3907
1.7315,83.3777
1.7460,83.2530
1.7604,83.1531
1.7748,83.1182
1.7892,83.0792
1.8037,82.7512
1.8181,82.5000
1.8325,82.3073
1.8470,82.1306
1.8614,81.8966
1.8758,81.4391
1.8902,81.1259
1.9047,80.9102
1.9191,80.6891
1.9335,80.7258
1.9480,80.6761
1.9624,80.7494
1.9768,80.8995
1.9913,80.9829
2.0057,81.0579
2.0201,81.2695
2.0345,81.5887
2.0490,81.8026
2.0634,81.7937
2.0778,81.8771
2.0923,81.6862
2.1067,81.7346
2.1211,81.7110
2.1355,81.7565
2.1500,82.1005
2.1644,82.4031
2.1788,82.5615
2.1933,82.4551
2.2077,82.3522
2.2221,82.3304
2.2366,82.7287
2.2510,82.9982
2.2654,83.0561
2.2798,83.0922
2.2943,83.3280
2.3087,83.3404
2.3231,83.2784
2.3376,83.2819
2.3520,83.1921
2.3664,82.9031
2.3808,82.6921
2.3953,82.7819
2.4097,82.9202
2.4241,83.0437
2.4386,83.0993
2.4530,82.9025
2.4674,82.6253
2.4819,82.7240
2.4963,82.6560
2.5107,82.6418
2.5251,82.7039
2.5396,82.8061
2.5540,82.9923
2.5684,83.2293
2.5829,83.4261
2.5973,83.4125
2.6117,83.4474
2.6261,83.6418
2.6406,83.6678
2.6550,83.8706
2.6694,83.9102
2.6839,83.9025
2.6983,83.9131
2.7127,83.9054
2.7271,84.0981
2.7416,84.4037
2.7560,84.7317
2.7704,84.8901
2.7849,84.8262
2.7993,85.1466
2.8137,85.4238
2.8282,85.5053
2.8426,85.6832
2.8570,85.9592
2.8714,85.9628
2.8859,85.6885
2.9003,85.3948
2.9147,85.5668
2.9292,85.6915
2.9436,85.6572
2.9580,85.5532
2.9724,85.4557
2.9869,85.5177
3.0013,85.6087
3.0157,85.4959
3.0302,85.5656
3.0446,85.5242
3.0590,85.6720
3.0735,85.8735
3.0879,86.3209
3.1023,86.3611
3.1167,86.3351
3.1312,86.2500
3.1456,86.3481
3.1600,86.6566
3.1745,86.8546
3.1889,86.8812
3.2033,86.8753
3.2177,87.0532
3.2322,86.9019
3.2466,86.7376
3.2610,86.5875
3.2755,86.6939
3.2899,86.8517
3.3043,87.0508
3.3188,87.4137
3.3332,87.7547
3.3476,87.9078
3.3620,88.1797
3.3765,88.2825
3.3909,88.6649
3.4053,89.1164
3.4198,89.3564
3.4342,89.3304
3.4486,89.2866
3.4630,89.2790
3.4775,89.4001
3.4919,89.6247
3.5063,89.7169
3.5208,89.8747
3.5352,90.0709
3.5496,90.3924
3.5641,90.6495
3.5785,90.7275
3.5929,90.7559
3.6073,90.6809
3.6218,90.7654
3.6362,90.8682
3.6506,90.6306
3.6651,90.4238
3.6795,90.6046
3.6939,90.9267
3.7083,90.9894
3.7228,91.0751
3.7372,91.0987
3.7516,90.8457
3.7661,90.7346
3.7805,91.0437
3.7949,91.3381
3.8094,91.5626
3.8238,91.7400
3.8382,91.9119
3.8526,92.1418
3.8671,92.2683
3.8815,92.0686
3.8959,91.9917
3.9104,91.9829
3.9248,92.2370
3.9392,92.4137
3.9536,92.5934
3.9681,92.7683
3.9825,92.9959
3.9969,93.2175
4.0114,93.6844
4.0258,94.1176
4.0402,94.1862
4.0547,94.6265
4.0691,94.8292
4.0835,94.9314
4.0979,94.9137
4.1124,95.0467
4.1268,95.2707
4.1412,95.8056
4.1557,96.1897
4.1701,96.1389
4.1845,96.4149
4.1989,96.5822
4.2134,96.6005
4.2278,96.5567
4.2422,96.7181
4.2567,96.8038
4.2711,96.6755
4.2855,96.4545
4.3000,96.5851
4.3144,96.6365
4.3288,96.6212
4.3432,96.8712
4.3577,97.3824
4.3721,97.8121
4.3865,97.9238
4.4010,98.0762
4.4154,98.0650
4.4298,98.0378
4.4442,97.9427
4.4587,97.9734
4.4731,98.2896
4.4875,98.5479
4.5020,98.6785
4.5164,99.0337
4.5308,99.0343
4.5452,99.1779
4.5597,99.2329
4.5741,99.2996
4.5885,99.3487
4.6030,99.6407
4.6174,100.0307
4.6318,100.2530
4.6463,100.0012
4.6607,99.7187
4.6751,99.3948
4.6895,99.1903
4.7040,99.2961
4.7184,99.4622
4.7328,99.5863
4.7473,99.7228
4.7617,100.0810
4.7761,100.3428
4.7905,100.3647
4.8050,100.3245
4.8194,100.4811
4.8338,100.6678
4.8483,100.8115
4.8627,100.5544
4.8771,100.4326
4.8916,100.4965
4.9060,100.9557
4.9204,101.3197
4.9348,101.3564
4.9493,101.4178
4.9637,101.5024
4.9781,101.4444
4.9926,101.3983
5.0070,101.5514
5.0214,101.7695
5.0358,101.9037
5.0503,101.9060
5.0647,102.0804
5.0791,102.4338
5.0936,102.4539
5.1080,102.5573
5.1224,102.6170
5.1369,102.5508
5.1513,102.7441
5.1657,102.8712
5.1801,102.7843
5.1946,102.5491
5.2090,102.4208
5.2234,102.7429
5.2379,103.1803
5.2523,103.4640
5.2667,103.4509
5.2811,103.4764
5.2956,103.6939
5.3100,103.8948
5.3244,104.4255
5.3389,104.5638
5.3533,104.5697
5.3677,104.5059
5.3822,104.6826
5.3966,104.9882
5.4110,104.8824
5.4254,104.6011
5.4399,104.6336
5.4543,104.5301
5.4687,104.4202
5.4832,104.3032
5.4976,104.1064
5.5120,104.0408
5.5264,104.1424
5.5409,104.2518
5.5553,104.1371
5.5697,103.8375
5.5842,103.1708
5.5986,102.7270
5.6130,102.3788
5.6275,102.2677
5.6419,101.8168
5.6563,101.5041
5.6707,100.8534
5.6852,100.9137
5.6996,100.7275
5.7140,100.2524
5.7285,99.5130
5.7429,98.9208
5.7573,98.0816
5.7717,97.4468
5.7862,96.4681
5.8006,95.4923
5.8150,94.5579
5.8295,93.9474
5.8439,93.7565
5.8583,93.3067
5.8728,92.4391
5.8872,91.6229
5.9016,90.7642
5.9160,90.1283
5.9305,89.3983
5.9449,88.7069
5.9593,87.9509
5.9738,86.9580
5.9882,86.2210
6.0026,85.8552
6.0170,85.2577
6.0315,84.5532
6.0459,83.8647
6.0603,82.9622
6.0748,81.9439
6.0892,81.2453
6.1036,80.2636
6.1181,79.2908
6.1325,78.3647
6.1469,77.5059
6.1613,76.4675
6.1758,75.5337
6.1902,74.7063
6.2046,73.8954
6.2191,73.0165
6.2335,72.2240
6.2479,71.2346
6.2623,70.0449
6.2768,68.8907
6.2912,68.1749
6.3056,67.6537
6.3201,67.0869
6.3345,66.3186
6.3489,65.5236
6.3633,64.7985
6.3778,64.0981
6.3922,63.5053
6.4066,63.1744
6.4211,62.4829
6.4355,61.9551
6.4499,61.5378
6.4644,61.2317
6.4788,61.0118
6.4932,60.7358
6.5076,60.3712
6.5221,59.8842
6.5365,59.3262
6.5509,59.0579
6.5654,58.5189
6.5798,57.9687
6.5942,57.4019
6.6086,57.2807
6.6231,57.1998
6.6375,56.9096
6.6519,56.2459
6.6664,55.5721
6.6808,55.2139
