X,Y
52.988,50.181
53.017,50.174
53.047,50.166
53.078,50.158
53.110,50.150
53.143,50.142
53.176,50.134
53.210,50.126
53.244,50.117
53.279,50.108
53.315,50.099
53.351,50.091
53.388,50.082
53.425,50.073
53.463,50.064
53.501,50.055
53.539,50.046
53.578,50.037
53.617,50.028
53.657,50.019
53.696,50.011
53.736,50.002
53.776,49.994
53.817,49.986
53.857,49.978
53.898,49.970
53.938,49.962
53.979,49.955
54.019,49.948
54.060,49.941
54.101,49.934
54.141,49.928
54.182,49.921
54.223,49.915
54.263,49.909
54.304,49.904
54.344,49.898
54.384,49.893
54.425,49.888
54.465,49.882
54.505,49.877
54.544,49.873
54.584,49.868
54.623,49.863
54.663,49.859
54.702,49.854
54.741,49.850
54.779,49.845
54.817,49.841
54.856,49.837
54.893,49.833
54.931,49.829
54.968,49.825
55.005,49.821
55.042,49.817
55.078,49.813
55.114,49.809
55.150,49.805
55.185,49.801
55.221,49.797
55.256,49.793
55.291,49.789
55.326,49.785
55.361,49.781
55.396,49.778
55.431,49.774
55.466,49.771
55.501,49.767
55.536,49.764
55.572,49.760
55.607,49.757
55.643,49.754
55.678,49.750
55.715,49.747
55.751,49.744
55.787,49.741
55.824,49.739
55.862,49.736
55.899,49.733
55.937,49.731
55.976,49.728
56.014,49.726
56.053,49.724
56.093,49.722
56.132,49.720
56.172,49.718
56.212,49.716
56.253,49.714
56.293,49.713
56.334,49.711
56.374,49.710
56.415,49.709
56.456,49.707
56.497,49.706
56.538,49.705
56.579,49.705
56.619,49.704
56.660,49.703
56.701,49.702
56.742,49.702
56.782,49.702
56.822,49.701
56.863,49.701
56.903,49.701
56.942,49.701
56.982,49.701
57.021,49.701
57.060,49.701
57.099,49.702
57.137,49.702
57.175,49.703
57.213,49.703
57.251,49.704
57.289,49.705
57.326,49.706
57.363,49.707
57.401,49.708
57.437,49.710
57.474,49.711
57.511,49.713
57.547,49.714
57.584,49.716
57.620,49.718
57.656,49.720
57.693,49.722
57.729,49.725
57.765,49.727
57.801,49.730
57.837,49.732
57.872,49.735
57.908,49.738
57.944,49.741
57.980,49.745
58.016,49.748
58.052,49.752
58.088,49.755
58.123,49.759
58.159,49.763
58.195,49.767
58.230,49.771
58.266,49.775
58.301,49.779
58.336,49.783
58.371,49.787
58.406,49.791
58.441,49.796
58.476,49.800
58.511,49.804
58.545,49.809
58.579,49.813
58.613,49.817
58.647,49.821
58.681,49.825
58.714,49.830
58.747,49.834
58.780,49.838
58.813,49.842
58.845,49.846
58.878,49.850
58.910,49.854
58.942,49.858
58.973,49.862
59.005,49.866
59.036,49.870
59.068,49.875
59.099,49.879
59.130,49.884
59.161,49.889
59.193,49.894
59.224,49.900
59.255,49.906
59.286,49.912
59.317,49.918
59.348,49.925
59.379,49.932
59.411,49.940
59.442,49.948
59.473,49.957
59.505,49.966
59.537,49.975
59.568,49.985
59.600,49.995
59.632,50.006
59.663,50.017
59.695,50.028
59.726,50.040
59.758,50.053
59.789,50.065
59.820,50.078
59.851,50.091
59.882,50.105
59.912,50.119
59.942,50.133
59.972,50.147
60.002,50.162
60.031,50.177
60.060,50.192
60.088,50.208
60.116,50.224
60.144,50.240
60.171,50.256
60.198,50.272
60.224,50.289
60.250,50.305
60.276,50.322
60.301,50.339
60.326,50.357
60.351,50.375
60.375,50.392
60.400,50.411
60.424,50.429
60.448,50.448
60.471,50.467
60.495,50.486
60.519,50.505
60.542,50.525
60.566,50.545
60.590,50.565
60.613,50.585
60.637,50.606
60.661,50.627
60.685,50.649
60.709,50.670
60.733,50.692
60.757,50.715
60.781,50.738
60.805,50.761
60.829,50.785
60.853,50.809
60.877,50.833
60.901,50.859
60.924,50.884
60.948,50.911
60.971,50.938
60.994,50.965
61.016,50.993
61.039,51.022
61.061,51.052
61.082,51.082
61.104,51.113
61.124,51.145
61.145,51.178
61.165,51.211
61.184,51.246
61.203,51.281
61.221,51.317
61.239,51.354
61.256,51.392
61.273,51.431
61.289,51.470
61.305,51.511
61.320,51.552
61.334,51.594
61.348,51.636
61.362,51.679
61.375,51.723
61.387,51.767
61.400,51.812
61.411,51.857
61.422,51.903
61.433,51.950
61.444,51.996
61.453,52.043
61.463,52.091
61.472,52.139
61.481,52.187
61.489,52.235
61.497,52.284
61.504,52.332
61.512,52.381
61.518,52.430
61.525,52.479
61.531,52.529
61.537,52.578
61.542,52.627
61.548,52.676
61.552,52.725
61.557,52.774
61.561,52.823
61.565,52.872
61.569,52.921
61.572,52.969
61.575,53.018
61.578,53.066
61.581,53.114
61.583,53.162
61.585,53.209
61.586,53.256
61.588,53.303
61.589,53.350
61.589,53.396
61.590,53.442
61.590,53.488
61.589,53.533
61.589,53.578
61.588,53.622
61.587,53.666
61.585,53.710
61.583,53.753
61.581,53.795
61.578,53.837
61.576,53.879
61.572,53.920
61.569,53.961
61.565,54.001
61.561,54.040
61.557,54.079
61.552,54.117
61.547,54.155
61.541,54.192
61.536,54.228
61.529,54.264
61.523,54.300
61.516,54.335
61.509,54.370
61.502,54.405
61.494,54.439
61.486,54.473
61.477,54.507
61.468,54.541
61.459,54.575
61.449,54.608
61.439,54.642
61.428,54.676
61.418,54.710
61.406,54.744
61.395,54.778
61.383,54.813
61.370,54.847
61.357,54.882
61.344,54.918
61.330,54.954
61.316,54.990
61.302,55.027
61.287,55.065
61.271,55.102
61.256,55.141
61.239,55.179
61.223,55.218
61.206,55.257
61.189,55.297
61.171,55.337
61.153,55.377
61.134,55.417
61.116,55.457
61.096,55.498
61.077,55.539
61.057,55.579
61.036,55.620
61.016,55.661
60.995,55.702
60.973,55.743
60.952,55.784
60.930,55.825
60.907,55.865
60.885,55.906
60.862,55.946
60.839,55.987
60.815,56.027
60.791,56.067
60.767,56.106
60.742,56.145
60.717,56.184
60.692,56.223
60.667,56.261
60.641,56.299
60.615,56.337
60.589,56.374
60.562,56.411
60.535,56.448
60.508,56.484
60.481,56.520
60.453,56.556
60.425,56.592
60.396,56.628
60.367,56.663
60.338,56.698
60.309,56.733
60.279,56.768
60.249,56.803
60.219,56.838
60.188,56.872
60.157,56.907
60.125,56.941
60.094,56.975
60.062,57.009
60.029,57.043
59.996,57.078
59.963,57.112
59.930,57.146
59.896,57.180
59.862,57.214
59.828,57.248
59.793,57.282
