X_px,Y_px,X_mm,Y_mm
8025.074,3750.722,115.048,53.771
8022.086,3750.820,115.005,53.772
8018.770,3750.980,114.958,53.774
8015.192,3751.199,114.906,53.777
8011.420,3751.477,114.852,53.781
8007.521,3751.813,114.796,53.786
8003.563,3752.205,114.740,53.792
7999.584,3752.651,114.683,53.798
7995.586,3753.143,114.625,53.805
7991.563,3753.675,114.568,53.813
7987.513,3754.240,114.510,53.821
7983.432,3754.832,114.451,53.830
7979.316,3755.443,114.392,53.838
7975.164,3756.068,114.333,53.847
7970.981,3756.704,114.273,53.856
7966.773,3757.352,114.212,53.866
7962.549,3758.011,114.152,53.875
7958.314,3758.680,114.091,53.885
7954.078,3759.359,114.030,53.894
7949.845,3760.047,113.970,53.904
7945.622,3760.745,113.909,53.914
7941.401,3761.452,113.849,53.924
7937.177,3762.170,113.788,53.935
7932.944,3762.899,113.727,53.945
7928.695,3763.640,113.666,53.956
7924.424,3764.393,113.605,53.967
7920.125,3765.160,113.544,53.978
7915.794,3765.941,113.481,53.989
7911.439,3766.734,113.419,54.000
7907.062,3767.540,113.356,54.012
7902.667,3768.357,113.293,54.023
7898.261,3769.186,113.230,54.035
7893.846,3770.026,113.167,54.047
7889.429,3770.875,113.103,54.060
7885.011,3771.735,113.040,54.072
7880.594,3772.604,112.977,54.084
7876.178,3773.484,112.914,54.097
7871.763,3774.375,112.850,54.110
7867.351,3775.275,112.787,54.123
7862.940,3776.187,112.724,54.136
7858.534,3777.110,112.661,54.149
7854.132,3778.044,112.597,54.162
7849.741,3778.988,112.535,54.176
7845.365,3779.941,112.472,54.190
7841.011,3780.903,112.409,54.203
7836.684,3781.872,112.347,54.217
7832.389,3782.848,112.286,54.231
7828.131,3783.830,112.225,54.245
7823.914,3784.818,112.164,54.259
7819.726,3785.816,112.104,54.274
7815.558,3786.826,112.044,54.288
7811.400,3787.854,111.985,54.303
7807.241,3788.902,111.925,54.318
7803.070,3789.975,111.865,54.333
7798.879,3791.075,111.805,54.349
7794.666,3792.205,111.745,54.365
7790.443,3793.359,111.684,54.382
7786.226,3794.536,111.624,54.399
7782.028,3795.732,111.564,54.416
7777.862,3796.943,111.504,54.433
7773.744,3798.165,111.445,54.451
7769.685,3799.396,111.387,54.468
7765.685,3800.636,111.329,54.486
7761.731,3801.891,111.273,54.504
7757.809,3803.164,111.217,54.522
7753.903,3804.462,111.161,54.541
7750.000,3805.788,111.105,54.560
7746.085,3807.149,111.048,54.580
7742.147,3808.548,110.992,54.600
7738.192,3809.983,110.935,54.620
7734.229,3811.451,110.879,54.641
7730.270,3812.948,110.822,54.663
7726.323,3814.470,110.765,54.685
7722.399,3816.014,110.709,54.707
7718.509,3817.578,110.653,54.729
7714.656,3819.158,110.598,54.752
7710.837,3820.755,110.543,54.775
7707.046,3822.371,110.489,54.798
7703.278,3824.007,110.435,54.821
7699.528,3825.662,110.381,54.845
