Distance_(mm),Gray_Value
0.0000,84.1342
0.0143,83.9434
0.0287,83.5933
0.0430,83.4717
0.0573,83.0147
0.0717,82.8658
0.0860,82.6583
0.1004,82.7212
0.1147,82.3920
0.1290,82.3459
0.1434,82.4109
0.1577,82.7337
0.1720,83.2369
0.1864,83.3941
0.2007,83.2725
0.2150,83.1342
0.2294,83.5094
0.2437,83.9140
0.2580,83.4591
0.2724,83.5954
0.2867,83.3187
0.3011,83.1761
0.3154,83.1908
0.3297,83.1195
0.3441,83.2725
0.3584,83.1509
0.3727,83.1426
0.3871,83.0168
0.4014,82.4759
0.4157,82.1908
0.4301,82.0231
0.4444,82.2117
0.4588,82.0587
0.4731,81.7945
0.4874,81.5073
0.5018,81.5136
0.5161,81.3187
0.5304,80.9371
0.5448,80.5514
0.5591,80.2788
0.5734,80.0189
0.5878,79.6876
0.6021,79.9748
0.6165,79.8826
0.6308,80.0356
0.6451,79.9686
0.6595,79.5639
0.6738,79.2013
0.6881,79.1614
0.7025,79.7841
0.7168,79.8973
0.7311,79.6730
0.7455,79.7736
0.7598,79.7945
0.7741,79.5849
0.7885,79.4172
0.8028,79.1216
0.8172,79.3187
0.8315,79.0755
0.8458,79.1698
0.8602,79.4235
0.8745,79.8155
0.8888,80.4277
0.9032,80.8113
0.9175,81.0000
0.9318,81.2306
0.9462,80.9581
0.9605,80.7526
0.9749,80.6939
0.9892,80.6080
1.0035,80.4214
1.0179,80.1929
1.0322,80.0587
1.0465,80.4843
1.0609,80.4654
1.0752,80.5597
1.0895,79.9078
1.1039,79.8491
1.1182,79.9413
1.1326,80.3040
1.1469,80.2830
1.1612,80.1321
1.1756,79.8931
1.1899,80.4696
1.2042,81.1866
1.2186,81.9581
1.2329,82.6583
1.2472,83.3312
1.2616,83.6205
1.2759,83.6520
1.2902,83.7862
1.3046,84.2683
1.3189,84.4885
1.3333,84.4885
1.3476,84.1992
1.3619,84.0503
1.3763,83.9937
1.3906,83.9665
1.4049,83.7149
1.4193,83.8239
1.4336,84.0734
1.4479,84.3711
1.4623,84.6310
1.4766,84.7337
1.4910,84.7107
1.5053,84.5451
1.5196,84.2201
1.5340,83.7065
1.5483,83.3145
1.5626,83.3270
1.5770,83.5367
1.5913,83.8847
1.6056,84.0189
1.6200,84.1048
1.6343,83.5744
1.6486,83.9308
1.6630,84.2830
1.6773,84.6855
1.6917,84.8595
1.7060,85.2704
1.7203,85.3333
1.7347,85.5597
1.7490,85.6730
1.7633,85.6813
1.7777,85.7317
1.7920,85.9895
1.8063,86.4591
1.8207,86.4990
1.8350,86.1258
1.8494,85.5954
1.8637,85.1551
1.8780,84.8008
1.8924,84.6122
1.9067,84.7924
1.9210,84.8616
1.9354,84.9895
1.9497,85.0608
1.9640,85.1300
1.9784,85.1530
1.9927,85.0818
2.0071,85.1300
2.0214,85.2956
2.0357,85.1321
2.0501,85.1426
2.0644,85.1761
2.0787,85.4570
2.0931,85.2201
2.1074,85.8784
2.1217,86.4507
2.1361,86.6373
2.1504,86.4046
2.1647,86.5870
2.1791,86.7296
2.1934,87.1321
2.2078,87.4088
2.2221,87.5514
2.2364,87.8532
2.2508,88.3019
2.2651,88.5367
2.2794,89.0503
2.2938,89.2809
2.3081,89.5493
2.3224,89.4864
2.3368,89.0314
2.3511,89.0524
2.3655,89.3019
2.3798,89.6960
2.3941,89.8595
2.4085,90.0755
2.4228,90.0210
2.4371,90.0398
2.4515,89.9455
2.4658,89.8239
2.4801,89.8784
2.4945,90.2872
2.5088,90.7883
2.5231,91.2306
2.5375,91.1111
2.5518,90.7191
2.5662,90.9119
2.5805,91.0126
2.5948,91.1719
2.6092,91.3690
2.6235,91.5723
2.6378,91.1237
2.6522,90.9119
2.6665,90.8532
2.6808,90.6604
2.6952,90.6981
2.7095,90.5577
2.7239,90.6080
2.7382,90.7023
2.7525,90.5052
2.7669,90.5618
2.7812,90.7400
2.7955,90.7002
2.8099,90.6394
2.8242,90.6205
2.8385,90.8050
2.8529,91.2411
2.8672,91.8952
2.8816,92.5409
2.8959,93.1971
2.9102,93.2621
2.9246,93.2201
2.9389,93.6813
2.9532,93.9140
2.9676,93.8763
2.9819,93.8491
2.9962,93.9203
3.0106,94.4528
3.0249,94.8742
3.0392,95.0587
3.0536,94.8050
3.0679,94.2956
3.0823,93.7966
3.0966,93.5346
3.1109,93.5199
3.1253,93.8470
3.1396,93.7296
3.1539,93.4612
3.1683,93.5304
3.1826,93.8323
3.1969,93.8805
3.2113,93.4130
3.2256,93.1803
3.2400,93.3753
3.2543,93.5283
3.2686,93.8218
3.2830,94.3354
3.2973,94.5241
3.3116,94.7904
3.3260,94.9895
3.3403,95.3019
3.3546,95.3732
3.3690,95.5073
3.3833,95.0063
3.3977,94.5933
3.4120,94.3166
3.4263,94.6017
3.4407,94.5010
3.4550,94.3795
3.4693,94.5388
3.4837,94.4193
3.4980,94.8637
3.5123,95.2327
3.5267,95.4591
3.5410,95.6751
3.5553,96.1405
3.5697,96.5975
3.5840,96.6436
3.5984,96.6813
3.6127,96.8449
3.6270,96.9119
3.6414,96.7128
3.6557,96.3208
3.6700,95.9644
3.6844,95.8868
3.6987,95.7610
3.7130,95.9539
3.7274,96.1488
3.7417,96.2977
3.7561,95.9623
3.7704,95.7841
3.7847,95.7694
3.7991,96.1405
3.8134,95.9287
3.8277,95.9057
3.8421,95.7715
3.8564,95.8826
3.8707,96.0335
3.8851,96.4948
3.8994,96.9287
3.9137,97.0335
3.9281,97.1405
3.9424,97.4612
3.9568,97.4549
3.9711,97.1845
3.9854,97.1426
3.9998,97.1824
4.0141,96.8323
4.0284,97.0545
4.0428,96.6184
4.0571,96.3229
4.0714,96.3166
4.0858,96.7945
4.1001,96.5870
4.1145,96.3606
4.1288,95.7757
4.1431,95.3732
4.1575,94.2474
4.1718,93.6247
4.1861,93.2348
4.2005,92.7212
4.2148,92.3354
4.2291,91.8302
4.2435,90.9937
4.2578,90.7337
4.2722,89.7170
4.2865,89.6394
4.3008,89.7254
4.3152,90.8155
4.3295,91.9560
4.3438,93.4654
4.3582,94.3312
4.3725,95.1321
4.3868,95.8742
4.4012,96.3501
4.4155,96.5115
4.4298,96.3333
4.4442,96.1216
4.4585,96.1530
4.4729,96.0440
4.4872,95.7945
4.5015,95.1740
4.5159,94.9266
4.5302,94.6667
4.5445,94.6080
4.5589,94.3480
4.5732,94.2474
4.5875,94.4864
4.6019,94.9392
4.6162,94.9874
4.6306,95.0839
4.6449,94.9140
4.6592,94.8218
4.6736,94.9958
4.6879,95.3250
4.7022,95.4948
4.7166,95.7505
4.7309,95.9182
4.7452,95.6897
4.7596,95.0985
4.7739,94.7820
4.7883,94.4151
4.8026,94.4004
4.8169,94.3082
4.8313,94.2558
4.8456,94.4885
4.8599,95.0168
4.8743,95.4486
4.8886,95.6436
4.9029,95.6876
4.9173,95.4109
4.9316,95.3438
4.9459,95.3270
4.9603,95.6771
4.9746,96.0503
4.9890,96.6583
5.0033,97.2893
5.0176,97.8029
5.0320,98.0545
5.0463,98.0126
5.0606,97.9350
5.0750,97.8553
5.0893,97.8260
5.1036,97.7589
5.1180,97.7799
5.1323,97.7589
5.1467,97.7736
5.1610,97.2872
5.1753,96.9832
5.1897,96.9497
5.2040,97.5073
5.2183,98.1677
5.2327,98.7212
5.2470,99.0734
5.2613,99.4109
5.2757,99.4423
5.2900,99.3250
5.3043,99.0922
5.3187,99.0168
5.3330,98.1992
5.3474,97.3145
5.3617,97.2390
5.3760,97.9958
5.3904,98.7254
5.4047,99.1824
5.4190,99.7086
5.4334,99.9665
5.4477,100.0943
5.4620,99.8973
5.4764,99.6415
5.4907,99.3019
5.5051,99.0713
5.5194,98.8805
5.5337,98.4235
5.5481,98.2243
5.5624,97.8365
5.5767,97.4277
5.5911,96.7673
5.6054,96.3648
5.6197,95.8931
5.6341,95.6520
5.6484,95.0566
5.6628,94.6771
5.6771,94.4633
5.6914,94.2306
5.7058,93.6667
5.7201,92.8470
5.7344,91.5744
5.7488,90.1153
5.7631,88.9329
5.7774,88.2327
5.7918,87.5912
5.8061,86.7505
5.8204,86.3438
5.8348,86.0650
5.8491,86.0776
5.8635,86.3438
5.8778,86.2746
5.8921,86.2453
5.9065,85.9560
5.9208,85.7652
5.9351,85.4067
5.9495,84.8050
5.9638,84.2348
5.9781,83.7715
5.9925,83.3270
