X_px,Y_px,X_mm,Y_mm
3562.000,3763.000,51.065,53.947
3564.026,3762.515,51.094,53.940
3566.082,3762.021,51.124,53.933
3568.166,3761.519,51.154,53.925
3570.278,3761.008,51.184,53.918
3572.417,3760.490,51.214,53.911
3574.580,3759.965,51.245,53.903
3576.769,3759.433,51.277,53.896
3578.981,3758.895,51.309,53.888
3581.216,3758.352,51.341,53.880
3583.473,3757.804,51.373,53.872
3585.751,3757.251,51.406,53.864
3588.049,3756.695,51.439,53.856
3590.365,3756.136,51.472,53.848
3592.700,3755.573,51.505,53.840
3595.052,3755.009,51.539,53.832
3597.420,3754.443,51.573,53.824
3599.803,3753.876,51.607,53.816
3602.200,3753.309,51.641,53.808
3604.611,3752.741,51.676,53.800
3607.033,3752.174,51.711,53.791
3609.468,3751.608,51.746,53.783
3611.912,3751.043,51.781,53.775
3614.366,3750.481,51.816,53.767
3616.829,3749.922,51.851,53.759
3619.299,3749.366,51.887,53.751
3621.776,3748.813,51.922,53.743
3624.259,3748.265,51.958,53.735
3626.746,3747.722,51.993,53.728
3629.237,3747.184,52.029,53.720
3631.731,3746.653,52.065,53.712
3634.227,3746.127,52.101,53.705
3636.723,3745.609,52.136,53.697
3639.220,3745.098,52.172,53.690
3641.716,3744.596,52.208,53.683
3644.209,3744.102,52.244,53.676
3646.700,3743.617,52.279,53.669
3649.187,3743.143,52.315,53.662
3651.670,3742.678,52.351,53.655
3654.146,3742.225,52.386,53.649
3656.616,3741.782,52.422,53.642
3659.078,3741.352,52.457,53.636
3661.532,3740.934,52.492,53.630
3663.976,3740.529,52.527,53.625
3666.410,3740.138,52.562,53.619
3668.832,3739.761,52.597,53.614
3671.242,3739.398,52.631,53.608
3673.639,3739.051,52.666,53.603
3676.021,3738.719,52.700,53.599
3678.390,3738.403,52.734,53.594
3680.744,3738.103,52.767,53.590
3683.086,3737.817,52.801,53.586
3685.416,3737.545,52.834,53.582
3687.733,3737.288,52.868,53.578
3690.038,3737.045,52.901,53.575
3692.333,3736.816,52.934,53.571
3694.616,3736.600,52.966,53.568
3696.889,3736.397,52.999,53.565
3699.153,3736.207,53.031,53.563
3701.407,3736.029,53.064,53.560
3703.653,3735.864,53.096,53.558
3705.890,3735.710,53.128,53.555
3708.119,3735.567,53.160,53.553
3710.341,3735.436,53.192,53.552
3712.556,3735.316,53.223,53.550
3714.764,3735.206,53.255,53.548
3716.967,3735.107,53.287,53.547
3719.164,3735.017,53.318,53.546
3721.356,3734.937,53.350,53.544
3723.543,3734.867,53.381,53.543
3725.726,3734.805,53.412,53.542
3727.906,3734.752,53.444,53.542
3730.083,3734.708,53.475,53.541
3732.256,3734.671,53.506,53.541
3734.428,3734.642,53.537,53.540
3736.598,3734.621,53.568,53.540
3738.766,3734.607,53.599,53.540
3740.934,3734.599,53.630,53.540
3743.102,3734.599,53.661,53.540
3745.269,3734.604,53.692,53.540
3747.438,3734.615,53.724,53.540
3749.607,3734.632,53.755,53.540
3751.778,3734.654,53.786,53.540
3753.951,3734.681,53.817,53.541
3756.126,3734.712,53.848,53.541
3758.305,3734.748,53.879,53.542
3760.487,3734.788,53.911,53.542
3762.673,3734.832,53.942,53.543
3764.863,3734.879,53.973,53.544
3767.058,3734.929,54.005,53.544
3769.258,3734.982,54.036,53.545
3771.465,3735.037,54.068,53.546
3773.677,3735.094,54.100,53.547
3775.895,3735.155,54.132,53.547
3778.118,3735.217,54.163,53.548
3780.346,3735.282,54.195,53.549
3782.579,3735.349,54.227,53.550
3784.817,3735.419,54.259,53.551
3787.060,3735.491,54.292,53.552
3789.307,3735.565,54.324,53.553
3791.558,3735.643,54.356,53.554
3793.813,3735.722,54.388,53.556
3796.072,3735.805,54.421,53.557
3798.334,3735.890,54.453,53.558
3800.600,3735.977,54.486,53.559
3802.869,3736.067,54.518,53.561
3805.140,3736.160,54.551,53.562
3807.414,3736.256,54.583,53.563
3809.691,3736.354,54.616,53.565
3811.970,3736.455,54.649,53.566
3814.251,3736.559,54.681,53.568
3816.534,3736.665,54.714,53.569
3818.818,3736.774,54.747,53.571
3821.104,3736.886,54.780,53.572
3823.390,3737.001,54.812,53.574
3825.678,3737.119,54.845,53.576
3827.967,3737.239,54.878,53.577
3830.256,3737.363,54.911,53.579
3832.545,3737.489,54.944,53.581
3834.835,3737.618,54.976,53.583
3837.125,3737.751,55.009,53.585
3839.414,3737.886,55.042,53.587
3841.702,3738.024,55.075,53.589
3843.990,3738.165,55.108,53.591
3846.277,3738.310,55.141,53.593
3848.563,3738.457,55.173,53.595
3850.847,3738.608,55.206,53.597
3853.130,3738.761,55.239,53.599
3855.411,3738.918,55.271,53.601
3857.690,3739.078,55.304,53.604
3859.967,3739.241,55.337,53.606
3862.242,3739.407,55.369,53.608
3864.513,3739.576,55.402,53.611
3866.782,3739.749,55.435,53.613
3869.048,3739.925,55.467,53.616
3871.311,3740.104,55.499,53.618
3873.570,3740.287,55.532,53.621
3875.826,3740.473,55.564,53.624
3878.079,3740.662,55.596,53.626
3880.328,3740.855,55.629,53.629
3882.575,3741.052,55.661,53.632
3884.818,3741.253,55.693,53.635
3887.058,3741.458,55.725,53.638
3889.295,3741.666,55.757,53.641
3891.529,3741.879,55.789,53.644
3893.760,3742.096,55.821,53.647
3895.989,3742.317,55.853,53.650
3898.214,3742.542,55.885,53.653
