X_px,Y_px,X_mm,Y_mm
8030.667,3750.667,115.128,53.770
8032.705,3750.650,115.157,53.770
8034.743,3750.645,115.187,53.770
8036.783,3750.653,115.216,53.770
8038.824,3750.673,115.245,53.770
8040.866,3750.705,115.274,53.770
8042.909,3750.748,115.304,53.771
8044.953,3750.801,115.333,53.772
8046.998,3750.865,115.362,53.773
8049.045,3750.940,115.392,53.774
8051.092,3751.024,115.421,53.775
8053.142,3751.117,115.450,53.776
8055.192,3751.219,115.480,53.778
8057.244,3751.330,115.509,53.779
8059.297,3751.449,115.539,53.781
8061.352,3751.575,115.568,53.783
8063.408,3751.709,115.598,53.785
8065.466,3751.851,115.627,53.787
8067.526,3751.999,115.657,53.789
8069.587,3752.153,115.686,53.791
8071.650,3752.312,115.716,53.793
8073.715,3752.478,115.745,53.796
8075.781,3752.648,115.775,53.798
8077.850,3752.824,115.805,53.801
8079.920,3753.003,115.834,53.803
8081.992,3753.187,115.864,53.806
8084.066,3753.374,115.894,53.809
8086.142,3753.564,115.924,53.811
8088.220,3753.758,115.953,53.814
8090.301,3753.953,115.983,53.817
8092.383,3754.151,116.013,53.820
8094.468,3754.350,116.043,53.823
8096.555,3754.551,116.073,53.826
8098.644,3754.752,116.103,53.828
8100.735,3754.955,116.133,53.831
8102.829,3755.157,116.163,53.834
8104.926,3755.359,116.193,53.837
8107.024,3755.560,116.223,53.840
8109.125,3755.760,116.253,53.843
8111.229,3755.959,116.283,53.846
8113.336,3756.156,116.313,53.849
8115.445,3756.351,116.344,53.851
8117.557,3756.544,116.374,53.854
8119.671,3756.733,116.404,53.857
8121.788,3756.920,116.435,53.859
8123.908,3757.102,116.465,53.862
8126.031,3757.281,116.495,53.865
8128.157,3757.455,116.526,53.867
8130.285,3757.625,116.556,53.870
8132.417,3757.790,116.587,53.872
8134.550,3757.952,116.618,53.874
8136.685,3758.110,116.648,53.877
8138.822,3758.265,116.679,53.879
8140.960,3758.417,116.709,53.881
8143.100,3758.567,116.740,53.883
8145.240,3758.714,116.771,53.885
8147.382,3758.859,116.802,53.887
8149.523,3759.001,116.832,53.889
8151.666,3759.143,116.863,53.891
8153.808,3759.283,116.894,53.893
8155.949,3759.422,116.924,53.895
8158.090,3759.560,116.955,53.897
8160.230,3759.698,116.986,53.899
8162.370,3759.836,117.016,53.901
8164.508,3759.974,117.047,53.903
8166.645,3760.112,117.078,53.905
8168.779,3760.250,117.108,53.907
8170.912,3760.390,117.139,53.909
8173.042,3760.531,117.169,53.911
8175.170,3760.674,117.200,53.913
8177.295,3760.818,117.230,53.915
8179.417,3760.964,117.261,53.917
8181.536,3761.113,117.291,53.920
8183.651,3761.264,117.321,53.922
8185.763,3761.418,117.352,53.924
8187.870,3761.575,117.382,53.926
8189.973,3761.736,117.412,53.929
8192.071,3761.900,117.442,53.931
8194.165,3762.069,117.472,53.933
8196.254,3762.241,117.502,53.936
8198.337,3762.419,117.532,53.938
8200.415,3762.601,117.562,53.941
8202.486,3762.788,117.591,53.944
8204.553,3762.980,117.621,53.946
8206.612,3763.179,117.651,53.949
8208.665,3763.383,117.680,53.952
8210.711,3763.594,117.709,53.955
8212.750,3763.810,117.739,53.958
8214.782,3764.034,117.768,53.961
8216.807,3764.265,117.797,53.965
8218.822,3764.503,117.826,53.968
8220.831,3764.749,117.854,53.972
8222.831,3765.003,117.883,53.975
8224.822,3765.265,117.912,53.979
8226.805,3765.535,117.940,53.983
8228.779,3765.814,117.968,53.987
8230.745,3766.101,117.997,53.991
8232.702,3766.396,118.025,53.995
8234.652,3766.699,118.053,54.000
8236.596,3767.010,118.080,54.004
8238.532,3767.329,118.108,54.009
8240.462,3767.655,118.136,54.013
8242.386,3767.989,118.163,54.018
8244.304,3768.329,118.191,54.023
8246.217,3768.677,118.218,54.028
8248.124,3769.032,118.246,54.033
8250.027,3769.394,118.273,54.038
8251.926,3769.762,118.300,54.044
8253.820,3770.137,118.327,54.049
8255.711,3770.518,118.355,54.054
8257.600,3770.906,118.382,54.060
8259.484,3771.299,118.409,54.066
8261.367,3771.699,118.436,54.071
8263.247,3772.104,118.463,54.077
8265.126,3772.515,118.490,54.083
8267.003,3772.931,118.516,54.089
8268.879,3773.353,118.543,54.095
8270.755,3773.779,118.570,54.101
8272.630,3774.211,118.597,54.107
8274.506,3774.648,118.624,54.114
8276.381,3775.089,118.651,54.120
8278.258,3775.535,118.678,54.126
8280.135,3775.986,118.705,54.133
8282.014,3776.440,118.732,54.139
8283.895,3776.899,118.759,54.146
8285.777,3777.362,118.786,54.153
8287.663,3777.829,118.813,54.159
8289.552,3778.299,118.840,54.166
8291.443,3778.773,118.867,54.173
8293.339,3779.251,118.894,54.180
8295.238,3779.731,118.921,54.187
8297.143,3780.215,118.948,54.193
8299.051,3780.702,118.976,54.200
8300.965,3781.191,119.003,54.207
8302.884,3781.683,119.031,54.215
8304.809,3782.178,119.058,54.222
8306.739,3782.675,119.086,54.229
8308.677,3783.175,119.114,54.236
8310.621,3783.676,119.142,54.243
8312.571,3784.180,119.170,54.250
8314.527,3784.687,119.198,54.258
8316.488,3785.196,119.226,54.265
8318.454,3785.708,119.254,54.272
8320.424,3786.224,119.282,54.280
8322.397,3786.743,119.311,54.287
8324.374,3787.266,119.339,54.295
8326.354,3787.793,119.367,54.302
8328.336,3788.324,119.396,54.310
8330.319,3788.860,119.424,54.317
8332.305,3789.399,119.453,54.325
8334.290,3789.944,119.481,54.333
8336.276,3790.494,119.510,54.341
8338.263,3791.049,119.538,54.349
8340.248,3791.609,119.566,54.357
8342.232,3792.175,119.595,54.365
8344.215,3792.747,119.623,54.373
8346.195,3793.325,119.652,54.381
8348.174,3793.909,119.680,54.390
8350.148,3794.500,119.708,54.398
8352.121,3795.097,119.737,54.407
8354.088,3795.701,119.765,54.415
8356.052,3796.313,119.793,54.424
8358.010,3796.932,119.821,54.433
8359.963,3797.558,119.849,54.442
8361.910,3798.193,119.877,54.451
8363.851,3798.835,119.905,54.460
