X_px,Y_px,X_mm,Y_mm
3880.287,4070.553,55.973,58.718
3878.519,4070.570,55.948,58.718
3876.727,4070.604,55.922,58.719
3874.912,4070.654,55.896,58.720
3873.074,4070.720,55.869,58.720
3871.214,4070.799,55.843,58.722
3869.332,4070.892,55.815,58.723
3867.428,4070.998,55.788,58.724
3865.503,4071.115,55.760,58.726
3863.558,4071.242,55.732,58.728
3861.592,4071.379,55.704,58.730
3859.607,4071.525,55.675,58.732
3857.602,4071.678,55.646,58.734
3855.579,4071.839,55.617,58.737
3853.537,4072.006,55.588,58.739
3851.479,4072.179,55.558,58.742
3849.403,4072.359,55.528,58.744
3847.313,4072.544,55.498,58.747
3845.207,4072.735,55.467,58.750
3843.088,4072.932,55.437,58.752
3840.955,4073.134,55.406,58.755
3838.810,4073.340,55.375,58.758
3836.654,4073.551,55.344,58.761
3834.486,4073.767,55.313,58.764
3832.309,4073.986,55.281,58.768
3830.123,4074.210,55.250,58.771
3827.928,4074.437,55.218,58.774
3825.727,4074.668,55.186,58.777
3823.518,4074.901,55.155,58.781
3821.304,4075.138,55.123,58.784
3819.086,4075.378,55.091,58.788
3816.864,4075.621,55.059,58.791
3814.639,4075.865,55.026,58.795
3812.413,4076.113,54.994,58.798
3810.187,4076.362,54.962,58.802
3807.960,4076.613,54.930,58.805
3805.735,4076.866,54.898,58.809
3803.512,4077.120,54.866,58.813
3801.292,4077.375,54.834,58.816
3799.077,4077.632,54.802,58.820
3796.867,4077.890,54.770,58.824
3794.661,4078.148,54.738,58.828
3792.460,4078.408,54.707,58.831
3790.263,4078.669,54.675,58.835
3788.067,4078.930,54.643,58.839
3785.873,4079.193,54.612,58.843
3783.680,4079.458,54.580,58.847
3781.486,4079.723,54.548,58.850
3779.291,4079.990,54.517,58.854
3777.094,4080.259,54.485,58.858
3774.894,4080.529,54.453,58.862
3772.689,4080.801,54.421,58.866
3770.480,4081.074,54.389,58.870
3768.265,4081.350,54.358,58.874
3766.043,4081.628,54.325,58.878
3763.814,4081.907,54.293,58.882
3761.580,4082.188,54.261,58.886
3759.339,4082.472,54.229,58.890
3757.093,4082.757,54.196,58.894
3754.842,4083.043,54.164,58.898
3752.587,4083.331,54.131,58.902
3750.328,4083.621,54.099,58.907
3748.066,4083.912,54.066,58.911
3745.802,4084.204,54.034,58.915
3743.536,4084.498,54.001,58.919
3741.268,4084.793,53.968,58.923
3739.000,4085.089,53.935,58.928
3736.730,4085.385,53.903,58.932
3734.462,4085.684,53.870,58.936
3732.193,4085.982,53.837,58.941
3729.926,4086.282,53.804,58.945
3727.659,4086.583,53.772,58.949
3725.393,4086.884,53.739,58.954
3723.127,4087.186,53.706,58.958
