X_px,Y_px,X_mm,Y_mm
7841.000,3599.000,113.192,51.955
7840.929,3599.004,113.191,51.955
7840.718,3599.016,113.188,51.955
7840.372,3599.035,113.183,51.956
7839.893,3599.063,113.176,51.956
7839.286,3599.099,113.168,51.956
7838.554,3599.143,113.157,51.957
7837.701,3599.196,113.145,51.958
7836.730,3599.257,113.131,51.959
7835.646,3599.327,113.115,51.960
7834.451,3599.406,113.098,51.961
7833.149,3599.493,113.079,51.962
7831.745,3599.590,113.059,51.964
7830.242,3599.695,113.037,51.965
7828.643,3599.810,113.014,51.967
7826.952,3599.934,112.990,51.968
7825.173,3600.067,112.964,51.970
7823.310,3600.210,112.937,51.972
7821.365,3600.363,112.909,51.975
7819.343,3600.525,112.880,51.977
7817.248,3600.698,112.849,51.980
7815.083,3600.880,112.818,51.982
7812.852,3601.072,112.786,51.985
7810.558,3601.275,112.753,51.988
7808.205,3601.487,112.719,51.991
7805.797,3601.711,112.684,51.994
7803.337,3601.945,112.649,51.998
7800.830,3602.189,112.612,52.001
7798.278,3602.444,112.576,52.005
7795.686,3602.710,112.538,52.009
7793.057,3602.987,112.500,52.013
7790.394,3603.276,112.462,52.017
7787.702,3603.575,112.423,52.021
7784.984,3603.886,112.384,52.026
7782.244,3604.208,112.344,52.030
7779.485,3604.542,112.304,52.035
7776.711,3604.887,112.264,52.040
7773.927,3605.244,112.224,52.045
7771.134,3605.613,112.184,52.050
7768.337,3605.994,112.143,52.056
7765.541,3606.387,112.103,52.062
7762.747,3606.793,112.063,52.068
7759.961,3607.210,112.022,52.074
7757.186,3607.641,111.982,52.080
7754.424,3608.083,111.943,52.086
7751.681,3608.539,111.903,52.093
7748.960,3609.007,111.864,52.099
7746.264,3609.488,111.825,52.106
7743.595,3609.980,111.786,52.114
7740.957,3610.481,111.748,52.121
7738.352,3610.990,111.711,52.128
7735.782,3611.506,111.673,52.136
7733.250,3612.026,111.637,52.143
7730.758,3612.549,111.601,52.151
7728.309,3613.073,111.566,52.158
7725.905,3613.596,111.531,52.166
7723.549,3614.117,111.497,52.173
7721.243,3614.634,111.464,52.181
7718.989,3615.146,111.431,52.188
7716.791,3615.650,111.399,52.195
7714.650,3616.146,111.368,52.203
7712.569,3616.630,111.338,52.210
7710.551,3617.103,111.309,52.216
7708.598,3617.562,111.281,52.223
7706.713,3618.004,111.254,52.229
7704.897,3618.430,111.228,52.235
7703.154,3618.836,111.202,52.241
7701.486,3619.222,111.178,52.247
7699.896,3619.586,111.155,52.252
7698.385,3619.926,111.134,52.257
7696.957,3620.239,111.113,52.262
7695.613,3620.526,111.094,52.266
7694.357,3620.783,111.075,52.269
7693.191,3621.010,111.059,52.273
7692.117,3621.204,111.043,52.276
7691.138,3621.364,111.029,52.278
7690.256,3621.488,111.016,52.280
7689.474,3621.575,111.005,52.281
7688.794,3621.623,110.995,52.282
7688.219,3621.630,110.987,52.282
7687.751,3621.594,110.980,52.281
7687.393,3621.514,110.975,52.280
7687.147,3621.389,110.971,52.278
7687.016,3621.216,110.969,52.276
7687.001,3620.993,110.969,52.272
7687.100,3620.723,110.971,52.269
7687.284,3620.415,110.973,52.264
7687.520,3620.084,110.977,52.259
7687.772,3619.744,110.980,52.254
7688.011,3619.406,110.984,52.250
7688.200,3619.086,110.987,52.245
7688.306,3618.797,110.988,52.241
7688.296,3618.551,110.988,52.237
7688.145,3618.360,110.986,52.234
7687.853,3618.223,110.982,52.233
7687.423,3618.138,110.975,52.231
7686.862,3618.105,110.967,52.231
7686.173,3618.121,110.957,52.231
7685.361,3618.184,110.946,52.232
7684.432,3618.292,110.932,52.234
7683.389,3618.445,110.917,52.236
7682.237,3618.640,110.900,52.239
7680.982,3618.875,110.882,52.242
7679.627,3619.150,110.863,52.246
7678.177,3619.461,110.842,52.250
7676.638,3619.807,110.820,52.255
7675.013,3620.187,110.796,52.261
7673.307,3620.598,110.772,52.267
7671.526,3621.040,110.746,52.273
7669.673,3621.509,110.719,52.280
7667.754,3622.005,110.691,52.287
7665.772,3622.526,110.663,52.295
7663.734,3623.070,110.633,52.302
7661.644,3623.635,110.603,52.311
7659.504,3624.220,110.572,52.319
7657.322,3624.822,110.541,52.328
7655.102,3625.440,110.509,52.337
7652.848,3626.073,110.476,52.346
7650.564,3626.719,110.443,52.355
7648.256,3627.374,110.410,52.365
7645.928,3628.039,110.376,52.374
7643.585,3628.712,110.342,52.384
7641.232,3629.390,110.308,52.394
7638.873,3630.071,110.274,52.404
7636.512,3630.755,110.240,52.413
7634.156,3631.439,110.206,52.423
7631.808,3632.122,110.172,52.433
7629.472,3632.801,110.139,52.443
7627.154,3633.476,110.105,52.453
7624.858,3634.144,110.072,52.462
7622.590,3634.803,110.039,52.472
7620.353,3635.453,110.007,52.481
7618.153,3636.090,109.975,52.490
7615.993,3636.714,109.944,52.499
7613.879,3637.322,109.914,52.508
7611.812,3637.915,109.884,52.517
7609.790,3638.493,109.855,52.525
7607.812,3639.057,109.826,52.533
7605.874,3639.608,109.798,52.541
7603.977,3640.146,109.771,52.549
7602.118,3640.673,109.744,52.557
7600.294,3641.189,109.718,52.564
7598.506,3641.696,109.692,52.571
7596.750,3642.194,109.666,52.579
7595.024,3642.684,109.641,52.586
7593.328,3643.166,109.617,52.593
7591.659,3643.642,109.593,52.599
7590.016,3644.113,109.569,52.606
7588.396,3644.579,109.546,52.613
7586.798,3645.042,109.523,52.620
7585.220,3645.501,109.500,52.626
7583.661,3645.959,109.477,52.633
7582.118,3646.415,109.455,52.639
7580.589,3646.871,109.433,52.646
